novel ;sentence ;DD;DI;DIL;Soliloquio/Flusso di coscienza ;note;
Collodi_Carlo-Macchiette-1880.txt;"﻿Macchiette
Carlo Collodi
STORIA DI QUESTO VOLUME
Ve la racconto in poche parole.";no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Erano un centinaio di foglietti, tutti sparpagliati qua e là, come se il vento ci si fosse baloccato.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Un bel giorno, tanto per non star li colle mani in mano, mi saltò l’estro di raccoglierli, di numerarli e di cucirli insieme.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Quando li ebbi cuciti, m’accorsi che avevo fatto un libro.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Moltissimi libri, in giornata, si fanno così: vale a dire, si pigliano dei fogli scritti, stampati o scarabocchiati pur che sia, si numerano uno dopo l’altro come vengono vengono, e se non vogliono stare uniti e d’accordo fra loro, allora si piglia un filo di refe e si cuciono insieme.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;E il libro è fatto.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Quel modestissimo filo di refe, vedendolo così a occhio, parrebbe quasi un accessorio da nulla: eppure quel filo di refe, in parecchi libri, è il vero nesso logico che serve a legare i primi capitoli cogli ultimi e a mantenere intera l’unità di concetto dal frontespizio alla fine.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Questa storia è breve, ma chiara, specie per chi sa leggere.

UN NOME PROSAICO

UN NOME PROSAICO
I
I o l’ho conosciuto come conosco voi.";no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Era un caro giovinetto, su i diciassette anni, dai capelli biondi come l’oro e dalla pelle delicata e quasi trasparente, come la foglia della camelia.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Al solo vederlo, ti tornavano alla memoria quei graziosi paggi della Corte di Francia, che avevano la cipria su i capelli, il fiocco di raso alle scarpe e la romanza d’amore sulle labbra.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Figlio unico di ricchi ma onesti genitori, era entrato nella nostra valle di lacrime per un sentiero tutto rallegrato di luce, di sorrisi e di fiori.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;I pedagoghi e i maestri di scuola, queste macchie nere e malinconiche che rattristano l’orizzonte sereno della prima fanciullezza, non avevano mai turbato la giocondità della sua vita nè col cipiglio burbanzoso della minaccia, nè con quelle pantomime sgarbate e violente che, dai pagliacci delle compagnie equestri, passarono a poco a poco a far parte della classica istruzione elementare.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;A dieci anni sapeva leggere e scrivere quasi correntemente: a sedici sonava il pianoforte, un poco più di un dilettante, e un po’meno del canonico Listz.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;La musica era la sua gran passione, s’intende la musica mossa, vivace, allegra.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;I notturni, le melodie, le romanze e le fantasie sentimentali lo annoiavano e lo mettevano di mal’umore, come la vista di un panno abbrunato, come l’aspetto di una stanza umida e senza luce.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Fortunato giovinetto!;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;La natura e il cielo gli sorridevano a gara d’intorno: ed egli, con gentile ricambio, sorrideva amorosamente al cielo e alla natura.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"II
Q uando una sera… (non mi uscirà mai dalla mente: era di venerdì: mese di febbraio: 24 del mese: tre date fatali!..) volle quasi per forza che lo presentassi in casa del cavaliere Ypsilon Della-Zeta.";no;no ;no;si;;
Collodi_Carlo-Macchiette-1880.txt;Quella sera in casa del cavaliere, per dirla come dicono gl’italiani quando vogliono far capire che hanno studiato il francese, si faceva della musica.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Il cavaliere aveva una figlia.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Si chiamava Fatima: diciott’anni, capello corvino, occhi di fuoco e due sopracciglia lunghissime e profilate, come se fossero disegnate colla matita di Faber dalla mano di un grande artista.
— Anche voi, — disse la figlia del cavaliere volgendosi con grazia al nuovo presentato, — anche voi vi dilettate di musica, non è vero?
— Così, per passatempo.
— Ho qui la sinfonia dei Normanni a Parigi, ridotta per pianoforte a quattro mani.";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Volete che la soniamo insieme?
— Impossibile!… resterei a mezzo.
— Proviamoci.
— Vi prego, signorina…
— Su via, siate buono!";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Rammentatevi che il proverbio dice che tutte le belle si fanno pregare: » non fate che si debba dire altrettanto dei belli!…
E la fanciulla accompagnò queste parole con uno di quei sorrisi ineffabili, che hanno la virtù di sospendere un uomo a mezz’aria, fra il cielo e la terra.";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Riavutosi dalla sua visione, il mio simpatico amico si trovò seduto al pianoforte, accanto alla bella Fatima, e colla sinfonia dei Normanni squadernata dinanzi agli occhi.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;La sinfonia cominciò.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Fin dalle prime battute, il cuore del giovine pianista era in preda a uno strano sussulto.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;I suoi occhi abbarbagliati da una specie di vertigine vedevano le note staccarsi dal libro e corrersi dietro, le une alle altre, scherzando, roteando, mulinando e mescolandosi insieme fra loro, come un brulichio di moscerini lungo una striscia di sole.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;I fiati tepidi e leggermente concitati della sua graziosa compagna, carezzandogli di tanto in tanto il viso e le papille del naso, gli mandavano il cervello in visibilio e lo inebriavano di amore e di voluttà, come i profumi di un aroma preparato nelle officine misteriose di Pafo o di Citera.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Ahimè, quanti poveri giovani piangono amaramente sulle tristi conseguenze di una sonata a quattro mani!;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"III
-";;;;;;
Collodi_Carlo-Macchiette-1880.txt;"V i faccio i miei complimenti, gli disse la figlia del cavaliere, appena finita la sinfonia — voi siete un gran pianista…
— Non me n’ero mai accorto.
— Quanto tempo è che studiate?
— Non lo so davvero; — replicò l’altro sorridendo; — bisognerebbe domandarlo ai miei vicinanti di casa: sono forse i soli che ne abbiano preso ricordo.";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"La conversazione durò qualche altro minuto su questo tono: ma fu sempre una di quelle conversazioni leggiere, spezzate e inconcludenti, che a due persone di sesso diverso servono unicamente di pretesto per avere il tempo di esaminarsi scambievolmente dalla punta dei capelli fino alla punta dei piedi.
— E il vostro nome? — domandò a un tratto Fatima, mostrando una vivissima simpatia per il suo interlocutore.
— Govelli!
— Questo lo so: ma io vi domando il vostro nome di battesimo.
— Prosdocimo!";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;A sentir quel nome, la figlia del cavaliere dette in una gran risata, e rise con quella smodata intemperanza, colla quale ridono in generale tutte le donne, quando sanno di poter mostrare trentadue denti di sfavillante bianchezza.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Il mio ingenuo amico, non potendo indovinare il motivo di tanta ilarità, rimase di stucco.
— Animo via! — riprese Fatima — mettete da parte gli scherzi e ditemi davvero qual’è il vostro nome.
— Mi pare di avervelo detto.
— Allora vedo bene che non me lo volete dire.
— Vi ripeto che mi chiamo Prosdocimo.
— Ma che cosa v’andate prosdocimando?";si;no ;no;no;posso dividere?;
Collodi_Carlo-Macchiette-1880.txt;Com’è possibile, che un giovine così gentile, così educato e di buona famiglia, come voi, si chiami con quel nomaccio prosaico di Prosdocimo?;si;no ;no;no;posso dividere?;
Collodi_Carlo-Macchiette-1880.txt;"Questa è una burla…
— Sarà una burla!… — balbettò l’altro confuso e mortificato…
— Davvero — continuò Fatima, pigliando quel fare spensierato delle persone che parlano in buona fede; — davvero, come sono disgraziati quei poveri diavoli, ai quali toccano dei nomi ridicoli e prosaici, come, per esempio, sarebbe quello di Taddeo, di Sempronio, di Gesualdo e quello di Prosdocimo,… non vi pare?";si;no ;no;no;posso dividere?;
Collodi_Carlo-Macchiette-1880.txt;Il mio povero amico, invece di rispondere, girava gli occhi smarriti in qua e in là, e non sapeva più dove mettersi le mani.;no;no ;no ;no;;
Collodi_Carlo-Macchiette-1880.txt;"Ma la fantastica fanciulla, senza badarvi nè tanto nè quanto, proseguiva sullo stesso tono:
— Vedete! per me un nome brutto o ridicolo è quasi peggio di un difetto fisico.";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Io la penso così.
— Distinguo…
— C’è poco da distinguere.";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Se lo domandate a me, un uomo, per esempio, che si chiamasse davvero Prosdocimo, dovrebbe nascondere il proprio nome collo stesso zelo, col quale nasconderebbe una spalla più sporgente o una gamba più corta.
— Questa è curiosa!… — disse il giovinetto, facendo forza a sè stesso e ridendo di quel riso che non si cuoce. — Dunque!… e se io mi chiamassi davvero Prosdocimo?
— Sareste un disgraziato e vi compiangerei: vi compiangerei proprio di cuore! perchè un uomo che si chiama così, mi pare che non abbia nemmeno il diritto di innamorarsi e di voler bene a una donna.
— Ma perchè?…
— Perchè?";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Siamo giusti: come volete che una donna possa dirgli sul serio e senza ridere:;si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Mio caroProsdocimo?;si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;E dato il caso che egli fosse lontano e la sua amante avesse da scrivergli, non ve lo figurate quanto dovrebbe soffrire quella povera ragazza a cominciare la sua lettera con un:;si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Adorato Prosdocimo?;si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"Io so che se mi fosse toccato il nome, per esempio, di Brigida, di Taddea o di Gesualda…
— Che cosa avreste fatto?
— Mi sarei fatta monaca, per disperazione.
— E un disgraziato che si chiamasse Taddeo, o… Prosdocimo… che cosa dovrebbe fare, secondo voi?
— Dovrebbe farsi frate.";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"E nel dir così Fatima continuava a ridere, senza avvedersi delle orribili pene che cagionava al suo giovine interlocutore.
— Dunque — gli domandò di nuovo con fanciullesca insistenza — il vostro vero nome me lo volete dire, sì o no?
— Ve l’ho già detto.
— Ah! signor Govelli! lo scherzo diventa un po’lungo.";si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;Ebbene, se non volete dirmelo voi, lo domanderò a qualcuno de’vostri amici.;si;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;E alzandosi quasi indispettita, andò a sedersi in un altro punto della sala.;no;no ;no;no;;
Collodi_Carlo-Macchiette-1880.txt;"IV
L’ infelice giovinetto colse il frattempo e abbandonò quasi di sotterfugio la casa del cavaliere.";no;no ;no;no;;
