Testo;Sentence;DD;DI;DIL;Soliloquio/Flusso di coscienza;Note
Rovetta-Gerolamo_Ninnoli_1882.txt;"STORIELLA VECCHIA

Se Domenico Ghegola non fu un eroe, la colpa certo non è stata sua, ma del coraggio che sempre gli venne meno in tutte le circostanze della vita.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Vi è, non è vero? un certo coraggio sui generis, così detto della paura, il quale, alle volte, spinge anche i timidi a compiere prodigi di valore....;no;no;si;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Ebbene, lo credereste?...;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Domenico Ghegola non ebbe mai neppure il coraggio della paura.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Tuttavia, però, non bisogna credere che, di tanto in tanto, non se la sentisse anche Menico, così tra carne e pelle, la fregola di essere o almeno di parere un ammazzasette; ed anzi, si può dire di più, che, per diventare un eroe, o soltanto un di quei buli capaci di tener la gente in soggezione, egli avrebbe fatto di tutto; tranne, s'intende, di mettere in pericolo una goccia del suo sangue, o un'ora della sua vita.";;;;;
Rovetta-Gerolamo_Ninnoli_1882.txt;Egli non discorreva che di scherma, di duelli, di fucili e di cannoni.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"Passava l'intera giornata in sala d'armi; e nel cortile di casa s'era fatto costruire un bersaglio per divertirsi nel dopo pranzo.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;Le sue stanze erano tappezzate di sciabole, di spade, di pugnali e di stocchi di ogni forma e di ogni tempo, dalle scimitarre ricurve alla turca, agli spadini flessibili delle Eccellenze veneziane.;no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;"I quadri ricordavano qualche battaglia fra le più sanguinose della storia; nella sua camera, inchiodato forte sul muro, accanto al letto, teneva un guancialino di pelle, sul quale, per esercitarsi il pugno, tirava lesto lesto varii colpi di fioretto ogni mattina appena alzato, e ogni sera prima di coricarsi.";no;no;no;no;
Rovetta-Gerolamo_Ninnoli_1882.txt;I ferma-porte rappresentavano degli zuavi col muso nero come il carbone, delle armature antiche e dei cannoni.... di legno.;no;no;no;no;
