doc_id;text;DD;DI;DIL;Soliloquio/Flusso di coscienza
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;﻿GIOVINOTTI,;no;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;"NON ESAGERIAMO!
(E SIA DETTO ANCHE ALLE RAGAZZE*)

I
Un pallone che parte e non ritorna. — Si sarebbe moltiplicato in ventimila palloni? — Interessamento degli scienziati e importanza del carattere corsivo.


Il 12 di quel mese, sapete, quel mese così conosciuto, di cui si parla tanto, specialmente in poesia, ma sì, quel mese che fa rima con quella cosa, ce l’ho sulla punta della lingua.";no;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;"Insomma, il 12 di quel mese, al Chrystal Palace di Londra i 200.001 occhi degli spettatori che assistevano a una partita di calcio...
“Oh,” diranno i lettori “c’era uno spettatore con un occhio di più.”
No.";si;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;C’era uno spettatore con un occhio di meno.;no;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;Un simpatico vecchietto a nome Peterson, che non mancava mai alle grandi partite di calcio, dovunque esse si svolgessero.;no;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;Per assistervi, quest’uomo irrequieto compiva lunghi viaggi e spendeva un monte di quattrini.;no;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;"Una volta, in un resoconto, si lesse che la partita era seguita da centotrentamila occhi.
“Oh,” dissero tutti “è morto Peterson.”
Ma Peterson era vivo e presente alla partita.";si;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;Il fatto è che questa volta, nel pubblico, c’era anche un altro spettatore guercio.;no;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;Allora i giornali pregarono quest’ultimo di intervenire sempre, come spettatore, alle grandi competizioni calcistiche, e gli pagarono i viaggi, per ristabilire l’equilibrio e facilitare il compito dei resocontisti, che, prima, con quell’occhio dispari, eran costretti a fare calcoli complicatissimi.;no;no;no;no
Campanile_Achille-Giovinotti_non_esageriamo-1929.txt;Dunque, i 200.001 occhi degli spettatori che assistevano a una partita di calcio al Chrystal Palace videro un fatto curioso.;no;no;no;no
