doc_id;text;DD;DI;DIL;Soliloquio/Flusso di coscienza
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;﻿I.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Ricordava senza affetto e senza rimpianto la città dov’era nata e dov’era vissuta per tanto tempo.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;"Quando aveva compiuti sette anni sua madre l’aveva accompagnata a scuola; dopo qualche giorno ella aveva imparato a portare da sè i pochi libri e il cestino con la colazione, ed era sempre andata e tornata sola.";no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Scendeva le innumerevoli scale della sua casa, percorreva la sua via grigia, e poi una via lunghissima e frequentata.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;"I suoi piedini erano sicuri e veloci, e sarebbero arrivati prima di quanto occorreva; ma i suoi occhi obbligavano i piedini obbedienti a fermarsi davanti a tutte le vetrine.";no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Ella non era mai sazia di guardare i nastri d’ogni colore, i pizzi, i bottoni lucenti, le scarpe eleganti, i cappelli, i libri legati in cuoio, le chicche, i balocchi, i fiori.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;I piedini si fermavano obbedienti, e gli occhi si aprivano avidi ed assorti davanti a tante cose meravigliose ch’ella poteva finalmente guardare, in silenzio, senza che sua madre la chiamasse o le prendesse la mano per obbligarla a camminare.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Così, ella giungeva sempre a scuola con enorme ritardo e ne fu avvertita sua madre.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Quella sera fu mandata a letto subito dopo cena, per castigo, e le fu negato per parecchie sere di sfogliare la Enciclopedia illustrata che ella amava tanto.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Si rassegnò senza piangere, come sempre, e, poichè era obbediente, non si fermò più davanti alle meravigliose vetrine.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Nei giorni di festa e di bel tempo faceva lunghe passeggiate con sua madre verso la campagna.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Percorrevano generalmente un viale fiancheggiato da platani, fra i quali appariva ogni tanto qualche grande casa signorile.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;E la loro mèta era quasi sempre una villa bellissima, circondata da un vasto giardino, chiuso da un muro abbastanza alto.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Non si poteva vedere il giardino perchè il cancello era tutto di ferro liscio, impenetrabile, non fatto a spranghe più o meno sottili come sono quasi tutti i cancelli.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Si vedeva dalla strada qualche abete, qualche immensa quercia, e nient’altro.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;"Un giorno ella pensò che in quel giardino doveva esserci dell’altro, cespugli e fiori, e non solo abeti e quercie; pregò sua madre di tenerla un momento sollevata fra le braccia, così ch’ella potesse vedere oltre il muro.";no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Sua madre l’accontentò.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Ella si strinse al muro con le piccole braccia e si sporse: nel giardino chiuso, fra gli abeti e le quercie non vi era niente.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Ella ricordava questo, ed altre cose più insignificanti ancora.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;"Se si affacciava ad una delle piccole finestre del suo terzo piano, vedeva una specie di piazzale o il punto più largo d’una via grigia; vedeva in fondo a sinistra una caserma, di fronte alcune case basse, a destra una chiesa.";no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Quella chiesa aveva un piccolo campanile che ogni tanto, nelle ore più quiete, gettava all’aria il fragore cantante delle sue invisibili campane.;no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;"I suoi delicati orecchi sussultavano, colpiti da quel suono improvviso e vicino; ed ella sentiva una molestia agli orecchi ed al cuore, e fin che le campane suonavano le era impossibile distrarsi, giocare, studiare, pensare ad altro che non fosse quel suono.";no;no;no;no
Dandolo_Milly-Il_figlio_del_mio_dolore-1921.txt;Poi, un po’ alla volta, si abituò.;no;no;no;no
