"filename","nome","titolo","anno","chunk","DIL"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","Il tempo della verità, che sull'oprare dell'uomo comincia allorchè è chiusa la tomba, giunse per ANTONIO ADEMOLLO il 24 Settembre 1837. Nato in Siena il 5 Aprile 1794 da Luigi Ademollo Milanese celeberrimo Pittore e da Margherita Cimballi Romana, ben presto mostrò che natura non le fu avara delle più belle doti a* della mente e del cuore. Modellate queste al vivo esempio della nota virtù del genitore, lo resero dispostissimo a tutte le cose che sentissero di bontà e di misericordia.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","Diè pure a vedere tal prontezza d' ingegno, che corso il tirocinio degli ottimi studj si in Roma che in Firenze, lo fece in quel modo, che då ragione alle più liete speranze. Pervenuto ai maggiori insegnamenti, per i quali maestro divenne nelle Scienze Mattematiche ed Economiche, si dedicò alle Belle Arti ed in specie all'Architettura; ma per poco tempo. Inquantochè fatto adulto, e collegate le sue con le sorti di Rebecca Sbolgi che il rese padre di numerosa figliolanza, si rivolse all' utile e decorosa professione d' Ingegnere, seguendo gli insegnamenti di Marco Moretti, uomo di gran fama nell'arte, che ravvisato aveva in ANTONIO tutte le doti atte a guadagnargli la pubblica e privata estimazione nel disimpegno di commissioni difficili e sempre delicate.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","Ben tosto fu noto in Firenze e nella Toscana per si fatta civile carriera, nella quale divenne espertissimo coll' infaticabile cultura ed applicazione delle Scienze Esatte ed Opinative, d' onde abbondarono a Lui onorevoli incarichi dalla fiducia dei Magistrati e dalla stima dei Particolari. Amico e padre impareggiabile, vero cristiano, sayio filosofo, fu commendabile ancora per la somma onestà e disinteresse negli affari, e per la prodigalità di consiglio ed ajuto a vantaggio di coloro che ne lo ricercavano. Ed il nuovo Censimento Toscano con assai buon successo si giovò de' Suoi lumi, avendo in Lui uno de' primarj sostegni e periti alla giusta valutazione ed esazione del pubblico patrimonio.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","In queste commissioni, incurante del suo vantaggio e del suo riposo, in modo si comportò, che il suo operare fu veramente utile a prò dello Stato. Per il che S. A.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","I. e R. il GranDuca LEOPOLDO II con due Rescritti gli esternò la sodisfazione sovrana, e volle rimunerato il di Lui zelo con pensione annua, generosa. Altre gravi operazioni per l'ultimazione del Catasto stava per compire; altre onorevolissime cure lo attendevano; il più ridente avvenire gli si appresentava, quando improvviso si avvicinò per Lui l'ultimo ed il più breve de' sospiri. 1 Per motivo di sua professione andato a Lorenzana, villaggio poche miglia distante da Livorno ove serpeggiava il Cholèra, dopo brevissima dimora ritornò in Firenze il 22 Settembre 1837 in apparenza di buona salute; ma sorpreso (per la prima volta nel corso di Sua vita) da un'acutissima Gastro-Enterite, fu vittima del male in quel momento che sembrava averlo superato.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","Partiva dalla terra presente a se stesso, fra le braccia dei suoi, sereno, tranquillo per il testimonio della coscienza pura e per la ferma speranza di più lieto avvenire. Divulgatasi la notizia di Sua morte, mosse un pianto di stima, d'amicizia, d'amore schietto; un pianto tacito, sõlitario, il pianto del cuore! Questo solennemente dimostrò quanto fosse meritevole di estimazione ed affetto, e quanto forte lasciasse di Se vivo desiderio ed onorata memoria !","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","Giacciono le fredde spoglie mortali sotto un marmo nei Chiostri de' Padri di Santa Croce di Firenze; per molto tempo questa tomba abbonderà di lacrime, divenuta essendo sorgente di lungo pianto per la numerosa famiglia, piombata nell' avvenire senza conforto. FRATELLO ACCOGLI QUESTA ONORANZA CHE NEL PERENNE AFFETTO E DOLORE RENDO ALLA TUA SANTA MEMORIA A TE PIÙ CHE IL FASTO DEI MAUSOLEI CARA E GLORIOSA. PREGA L'ETERNO CHE AL GENITORE, AI FRATELLI, AI FIGLI TEMPRI L'AMARO CALICE O DONI FORTEZZA PARI ALLA DURA PROVA.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","BETORE Se non ami Firenze, questo Libro ti nojerà, non d'altro parlando che di cose fiorentine; ma se non pertanto vorrai degnarti percorrere le pagine di questa Storia, onde tumi sia cortese di benigno compatimento, voglio palesarti qual fosse l'intenzione mia, allorchè mi accinsi a tesserla per conseguire da questo lavoro geniale un oggetto che divagasse il mio spirito dalla cupa melanconia in cui lo avvolse la perdita d'un fratello, sostegno, delizia ed onore della mia famiglia. È una verità da tutti predicata, ma da non pochi in effetto messa in oblio, che il più degno uffizio delle Lettere è posto nelle Opere che tendono al perfezionamento morale. Errano coloro, che le reputano soltanto ministre del diletto, piuttostochè destinate a destare nel cuore affetti generosi, ed a vincere la ritrosia che gli uomini hanno a seguire la virtù, con mostrarli di essa il bello, l'utile e la nobiltà.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","Se per questi principj è debito dello Scrittore di faticare al bene sociale, che sta nel vero e nell' onesto, io credo, che meglio non si possa conseguire sì nobile fine, che con porre sotto l'occhio degli uomini la scena delle umane passioni, dei fatti che produssero, e delle conseguenze che ne seguirono. E chi nol sa, che la pittura stessa del vizio è il più valevole mezzo a condurre gli erranti alla virtù? Principalmente questo bene sociale si ottiene con gli esempj, che dimostrano l'influenza del vizio e della virtù, dell' operosità e della inerzia, del sapere e della ignoranza sopra i destini di tutti i popoli, non che di ogni uото.","NO"
"Ademollo_Agostino-Marietta_de_Ricci-1841","Ademollo Agostino","Marietta de Ricci","1841","I luoghi che rammentano generosi fatti, un monumento, una pietra, e le stesse rovine della umana grandezza parlano al cuore meglio di un oratore e di un poeta. L'eccellenza delle arti, la gravità della vita, le opere dei laboriosi, le virtù dei cittadini destano emulazione e riverenza per la virtù, e spengono il germe degli affetti contrarj. Queste cose poi hanno potentissima autorità e forza, ove sagacemente tolte siano dagli annali della propria Nazione.","NO"
