"filename","nome","titolo","anno","chunk","DIL"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","﻿VENT’ANNI È vero che i Profeti parlano del futuro con segni e immagini, e quasi tutti antiveggono con immagini della profession loro; laonde Amos vide uncini, vacche, carri di fieno stridenti, manipoli e fabbricatori, perché era rustico; e Iside vide tempio, fuoco, animali, nobili, fimo di gloria, perché era nobile; e Daniele, cortigiano del Re, statue di diversi metalli, animali superbi, guerra di venti; e ognuno antivede come a lui è naturale sentire. TOMMASO CAMPANELLA Ad Annibale Nofèri, fiumano, volontario di guerra, caduto sul Carso all’assalto: il suo tenente. A Guglielmo Alvaro, ardito di guerra, caduto poi nella lotta per la vita: suo fratello.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","All’alba d’una mattina d’ottobre, Luca Fabio scendeva alla stazione di Firenze con una valigia di tela grigia e mezza vuota come un mantice. L’ora era pigra e nebbiosa, e, attraverso la nebbia, chiese e palagi arretravano in una lontananza cinerea, come offuscati dalla terra degli scavi. Luca Fabio era di un qualche paese dell’Italia meridionale, e di una contrada non illustre, nient’altro che pastori; e la campana, tra un’impalcatura di legno, era, coi suoi bassorilievi, il solo oggetto d’arte della contrada; perciò, appena s’imbatté, a un crocicchio verso Santa Maria Novella, in una colonna sormontata da una croce, si ricordò confusamente di alcune letture, e la prima che gli venne a mente come la più elementare, fu quel capitolo del Manzoni in cui Renzo trova i pani a pie’ d’una colonna.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Era la prima volta che Luca Fabio capitava a Firenze, in un modello di città comunale e signorile; non gli ci volle molto a risentire tumulti storici, che gli ronzavano nelle orecchie e nella memoria. La storia di ieri si stupiva di ritrovarla intatta. Non sapeva se fosse un’illusione, una memoria anch’essa di letture, ma gli pareva di udire martelli battere su lastre di rame, tornii girare, scalpelli stridere, bulini ronzare su lame d’argento.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Luca Fabio era pieno di ricordi storici e amava la storia. Passando davanti a Santa Maria Novella, aveva inteso cantare, come se le figure delle vetrate osannassero nella loro gracile favella. Luca Fabio non era a Firenze per divertimento, perché era povero.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Era l’ottobre del 1914, e Luca Fabio, a diciannove anni, classe del 1895, era stato chiamato soldato; siccome per i suoi studi poteva scegliere un plotone di allievi ufficiali, aveva scelto quello di Firenze. Sebbene non nutrisse aspirazioni speciali, le letture fatte lo avevano spinto verso quella città come a una meta ideale. Difatti si sentì pellegrino e straniero, e pensava alla sua regione disadorna, e anzi all’impressione di artifizio e di troppo lusso che i rari monumenti d’arte acquistavano nei suoi paesi.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Qui, invece, tutto era fatto e compiuto, in un ordine quasi naturale: le stesse figure che cominciarono a popolare quell’alba avevano facce illustri, e nel costume del nostro secolo gli parevano stranamente travestite. Firenze era avvolta in quel suo colore mattutino di un’alba attonita e già popolata, anche se non si veda anima viva, in cui si fonde con la luce il colore della sua pietra, e fa quasi un colore di tempi, e tutto diventa remoto, colore e tempo. Luca Fabio non se ne rendeva conto precisamente; certo si sentì più sicuro e a posto quando le case qualunque, digradanti verso un sobborgo, lo accolsero in una specie di dormiveglia familiare, coi rumori mattinieri di chi andava nell’alba per il lavoro, delle donne già in faccende, delle voci che meravigliosamente uscivano da case dove finestre e porte secolari facevano credere a un mondo non più frequentato.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Tutto questo era concluso in uno schema musicale e architettonico; Luca Fabio pensava per la prima volta che cos’è mai l’Italia se egli, italiano, sentiva soggezione come uno straniero in quella città. Gli si imbrogliava la lingua, aveva timore di chiedere dove fosse la caserma, sentiva il suo parlare meridionale come un gergo, e a nessun patto avrebbe aperto bocca. Alla fine dovette decidersi a domandare.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Era assai lontano dalla caserma, ed era sbucato in tutt’altro quartiere. Rasentava vecchi palazzi, giardini composti in un ordine antico, tabernacoli che gli parevano, e non erano, simili alle croci levate nei viottoli della campagna al suo paese, ricordanti i colpiti dal fulmine e dalle vendette. Questa mescolanza d’impressioni, e la sovrapposizione dei ricordi della sua regione in questo mondo tanto diverso, lo sbigottivano.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Siccome era figlio del popolo, nei suoi paesi aveva considerato la casa architettata come la sede dei signori e delle ingiustizie; anche qui, davanti a ogni edifizio illustre, era intimorito. La caserma si stendeva in un quartiere nuovo, e stava nel panorama della vecchia città come una baracca provvisoria, o come certi capannoni che sorgono finché duri una fabbrica. Già erano in piedi gli uomini in quella vita distaccata delle caserme, misteriosa e chiusa come la vita delle api.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Qui improvvisamente tutto diventa simbolo, ubbidisce a concetti difficili da distinguere, ed è perciò che vi si soffermano volentieri i ragazzi, le donne, i curiosi in genere, che tentano di capire gli atti diversi e i movimenti che vi si compiono come in una cerimonia religiosa di cui ogni fase è legata a sottintesi esoterici. Luca Fabio si presentò a un cancello; un tenente avvolto in una lunga mantella grigia gli disse: “Di fronte; qui ci sono gli allievi ufficiali.” “Ebbene,” replicò Luca Fabio, “io sono un allievo ufficiale.” Il tenente lo squadrò con un’occhiata rapida; Luca Fabio si vide anche lui la valigia floscia di tela, appesa a una mano, il pastrano comperato in un magazzino popolare, le scarpe basse che mostravano calze di color turchiniccio, opera di sua madre. Anche la camicia mostrava certi bottoni di madreperla assai grossi, una camicia di lino grezzo, tessuta in casa, un po’ gialla perché nuova, e nella valigia ne aveva sei.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","“Andate, aspettate nel cortile.” Era già cominciata l’istruzione. Luca Fabio vedeva una ventina d’uomini in fila indiana che ubbidivano al comando d’un graduato, il quale diceva: “Uno, due! Uno, due!” I venti uomini imbrogliavano di quando in quando il passo e il graduato gridava: “Quando dico uno, dovete mettere giù il piede sinistro.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Questo piede.” E indicava col dito teso il suo piede sinistro. Lo guardavano quei soldati senza avere il coraggio di fissarlo, con gli occhi sottomessi, e guardavano tutti quella scarpa, quel piede, poi il loro stesso piede sinistro come se non appartenesse più a loro; al comando riprendevano, e, aspettando il segnale di ‘marsc!’ lo sollevavano un poco come per tenerlo pronto; alla fine producevano un tonfo disordinato, come di scarpe buttate alla rinfusa. Il graduato, con un accento meridionale, ricominciava la spiegazione.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Dopo due o tre prove faceva uscire dalle file quelli che non avevano capito, li faceva marciare soli, in mezzo al cortile: questi arrossivano, abbassavano gli occhi, ma il graduato: “Alta la testa! Occhi fissi in avanti!” Quelli andavano camminando di qua e di là, ondeggiavano come farfalle, fissavano quel loro piede sinistro, lo posavano giù con intenzione, e con tutte le forze. Luca Fabio osservava e rideva.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","All’ufficiale che gli si avvicinava domandò: “Non saranno mica gli allievi ufficiali, questi!” “Parlate soltanto quando siete interrogato. Quando passa un ufficiale ci si alza in piedi. Venite con me!” L’edifizio era costruito come tutte le caserme: una specie di portico ne seguiva la facciata interna, che dava su un cortile, e su questo portico si aprivano al primo piano le camerate, al pianterreno i magazzini.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Luca Fabio seguì il tenente lungo il portico al pianterreno. In uno stanzone a scaffali l’ufficiale disse a qualcuno che si confondeva fra tutto quel color verde dei panni allineati nei palchetti, o accatastati in mezzo alla stanza: “Vestitemi questo allievo!” “Oh,” disse Luca Fabio, “mi raccomando: un vestito adatto alla mia persona.” L’uomo che era sorto dietro la catasta dei panni buttò un indumento che Luca Fabio riconobbe per un paio di pantaloni. Cercò di misurarseli stendendoli per la lunghezza delle sue gambe, ma l’ufficiale glieli tolse di mano, e gl’indicò con l’esempio che per misurarseli bastava tenderli da una mano all’altra con le braccia aperte.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","“Vanno benissimo!” Si volse per andar via. Sulla porta sembrò preso da un pensiero, si voltò a domandargli: “Come ti chiami? Di che classe?","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Di dove?” Quel tu fece piacere a Luca Fabio. Intanto il magazziniere gli buttava addosso, dall’alto d’una scaletta, la giubba, le scarpe, lo zaino. “Per le buffetterie e le armi, al magazzino qui accanto.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Ma prima vatti a vestire.” Lo stesso ufficiale, vedendolo uscire dalla porta del magazzino, carico di tutta quella roba come un mercante ambulante, gli gridò: “Andate dal caporale, disopra, fatevi assegnare un posto nella prima camerata, primo plotone.” Il posto non era altro che una semplice branda, ora chiusa con una catenella, accanto a una trentina di altre brande; Luca Fabio vi scaricò sopra la sua roba, il caporale gl’indicò sommariamente come doveva fare: vedeva quei posti accanto al suo come erano accomodati; bene, anche lui doveva disporre il suo trofeo sulla mensola che correva all’ingiro; il fazzoletto doveva coprire il telo da tenda e formare una specie di base allo zaino che andava ben pieno e rigido e dritto, bene in linea con tutti gli altri; a destra dello zaino la gavetta, sempre ben lustra. Appeso al chiodo sotto il palchetto, il tascapane, e accanto la borraccia. L’altro paio di scarpe, appeso per i lacci congiunti insieme, e in equilibrio, all’asse di ferro sotto la branda.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Mi raccomando, ben lustre le scarpe. Hai la tua scatola di lucido? Bene, darci di nero.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Oh, attaccarsi le mostrine alla giubba, il gallone d’argento intorno al colletto della giubba. Il numero del reggimento, anche. C’è il filo e l’ago nella borsa di pulizia.","YES"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Nel cortile la squadra delle reclute seguitava nello stesso esercizio. “Sono gli allievi questi?” “Oh, no, sono le reclute.” A uno di questi soldati avevano legato un filo intorno alla gamba sinistra perché si rammentasse che, al comando di Uno! era quella che doveva mettere avanti.","NO"
"Alvaro_Corrado-Vent_anni-1930","Alvaro Corrado","Vent anni","1930","Luca Fabio osservava, e intanto stendeva il lucido nero sulle scarpe gialle. Poi si cucì attentamente le mostrine del reggimento e il numero sul berretto. Si vestì.","NO"
