"filename","nome","titolo","anno","chunk","DIL"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","IL BUON CURATO RACCONTO DI GUGLIELMO AUDISIO Bonus pastor animam suam dat pro ovibus suis.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Joan. x, 11. Nascita e origine di questo libro.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Entrando il Luglio del 1858, quando latra il cane ed il leon rugge; e stabilite già le norme alle Letture Cattoliche da pubblicarsi in Roma, sotto gli auspicii del vigilantissimo Pontefice Pio IX e del suo Vicario Eminentissimo; il Presidentė di quelle gentilmente mi onorava di questa domanda: Fareste un proemio, un'introduzione, un libriccino per cominciare nel prossimo Novembre questa pubblicazione? In altra stagione, risposi, potrebbe venir fuori dalla penna un libriccino: ma in questi calori estivi, in Roma, dove l'austro ci prepara la sua cappa di piombo, plumbeus Auster, chi può rispondere di nulla? Ma, dato per possibile, che libro ha da essere, di qual genere e di quale argomento?","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Il Presidente a me: L'argomento è libero, purchè versi in uno di quei generi che abbiamo stabilito: Storia, Morale o Religione. Verrà in seguito il quarto, genere che dicemmo Varietà religiose. La forma è pure intesa: semplicità non inculta nė disadorna.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Un libro che faccia per tutti, non superiore all'intelligenza popolare, non troppo inferiore alle intelligenze che sono o si credono incivilite. E siccome verranno dopo e catechismi elementari, e istruzioni ai contadini; non sarebbe male che il primo libro della pubblicazione, tenendo un certo mezzo, fosse stimolo e pane per tutti, niuna condizione o qualità di gente assolutamente esclusa. Fatta così la testa dell'opera, ne comporremo poi il corpo, e ne disporremo le membra, mettendo nelle parti quel maggiore collegamento che sia possibile, per formare del tutto un'istruzione continuata e ragionevole.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Sin qui il Presidente con molta chiarezza e sapienza; ma il libro o libriccino da farsi vie più appariva difficile per quelle stesse condizioni si giuste e sì ben definite, Che fare adunque, che rispondere? Un sì od un no, è parola troppo recisa. Fortunatamente poi la gentilezza del ragguardevole personaggio lasciava tanta latitudine fra un libro ed una introduzione, che senza nulla stringere, potevasi fuor di temerità consentire sulle generali all'onesta e cortese domanda.","YES"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","E come si suole, conchiudevasi in un: vedremo, penseremo. Il caldo avanzava, ma il tempo era giunto di vedere e di pensare. E dissi fra me: la stagione è contraria; ma Cicerone non scrisse nella state i suoi dialoghi si puri e graziosi?","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Ce lo fa sapere egli stesso: ma chi è più fatto sulla stampa di Cicerone? Anzi pare che madre natura rompesse la stampa di quegli antichi uomini, e noi siamo nuovi, veramente nuovi, novellini, farfalline: almeno fossimo modesti e umili in si poca gloria! Poi Cicerone rinvigoriva il corpo e la mente alle ombre del Formiano e del Tuscolo; e Dio sa di quante belle e buone villeggiature si ricreavano quegli antichi romani, i quali viaggiavano come in casa propria dall'uno all'altro mare.","YES"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Allora potevano dire d'aver mentem sanam in corpore sano. Ma per noi languenti, stufati, e-quasi stupefatti in queste gabbie che si dicono città e capitali, ha ben da essere un'altra cosa, Quantunque poi la Provvi denza c'è, e con un poco di buona volontà chi sa? La Provvidenza c'è davvero, e sul nostro si coglie la buona volontà.","YES"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Ma fare un libro con tante condizioni, che vada al palato di tutti, che tutti istruisca, diletti tutti, senza far guaire nissuno, senza far dormire nissuno: ah! qui c'è da perder la bussola. In una età che ha tanti gusti da non poterli numerare il paziente Aristotele con tutte le sue categorie; che ha tante opinioni, rosse, bianche, ardenti, sfumate, e di tutti i colori; che ha tanti critici di bassa e di alta levatura; e ciò che è più orribile in questo secolo positivo, dar fuori un libro e sperarlo piacevole, senza che parli di economia politica, di cifre e di quattrini.","YES"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Qui farebbe il gran fiasco Apollo con tutte le Muse. Tutto ciò è vero, verissimo: si vede cogli occhi, si tocca colle mani. Ma pure l'uomo ha da esser uomo, ed in lui vi ha da essere qualche cosa più stabile che le opinioni umane, le quali si mostrano e passano.","YES"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Ed al cuore che ha tanta sete di vita immortale, come al Cerbero, non si getterà che un pugno di fango per acquietarlo? No, no: il cuore dell'uomo che sospira a Dio, e la sua intelligenza che lo riflette e lo contempla, e tutto l'uomo che tende a lui come a suo centro, hanno bisogno di Dio e di quelle virtù che sono scala a conoscerlo e possederlo. Questo va bene: condurre l'uomo a Dio per la scala della virtù.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Non al Dio materiale del paganesimo; non al semidio, lacero e tronco dall'eresia; non al fantasma divino che si figura e compone la ragione o la filosofia: ma al Dio vero, reale e intiero che rivelò se stesso nelle divine tradizioni e nella Bibbia. Al Dio insomma creatore e redentore della natura; al Dio che non abbandona l'opera sua, ma dall'alto de' cieli la regge e la governa costituita in società pellegrinante da questa all'altra vita; al Dio infine che ravvolto nella sua nube ha parlato per li profeti, svelatamente ha parlato agli uomini col suo Figlio, e parlerà sino al fine dei secoli col magistero di Pietro e de' suoi successori. Senonchè l'argomento per se stesso bellissimo e saporitissimo, si dovrà tuttavia dispensare a piccole dosi, e proporzionate agli stomachi ed ai palati.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Per esempio si potrebbe avvolgere in un poco di storia: la storia è la verità personificata: la persona passa, e la verità resta. Sono storie moderne e storie antiche; e ma le moderne sono rappresentanze più vere e più vive dei nostri costumi. Ed io conosco un tal curato che fece va facendo cose a dire e ad ascoltare molto belle e curiose.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","In altri tempi sarei tentato di farne l'eroe del mio libro: ma in questi, un prete come si soffrirebbe? salvo per riderne, se fosse un D. Abbondio. Ma il curato di mia conoscenza non è D. Abbondio.","YES"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Peccato che i preti non siano più cose da questi tempi, o che i tempi non corrano più felici ai preti ed alle cose loro! Ma è poi vero che il prete, il buon prete, il buon curato non sia più cosa da questi tempi? Parrebbe all'udire certi maestri di libertà, i quali professano anche la libertà delle unghie, la libertà della calunnia, la libertà della bestemmia.","YES"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Però il prete è sempre l'uomo del popolo, che in mille guise lo istruisce, lo consiglia, lo visita, lo consola, lo indirizza. Egli consacra le più solenni epoche della vita: la nascita, il matrimonio, la morte. Egli battezzando moltiplica i figliuoli della Chiesa, che diventano suoi figliuoli spirituali, e fratelli in Gesù Cristo.","NO"
"Audisio_Guglielmo-Il_buon_curato-1858","Audisio Guglielmo","Il buon curato","1858","Egli benedicendo le nozze, pone come un suggello divino sulla famiglia. Egli sparge infine le auguste consolazioni della religione e le speranze dell'immortalità su chi muore e su chi vive. L'uomo che ha tante relazioni colla famiglia, colle anime, col tempo e coll'eternità, non sarà egli l'uomo, l'uomo principalissimo, il grand' uomo di tutti i tempi illuminati e civili?","NO"
