"filename","nome","titolo","anno","chunk","DIL"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","﻿Riccardo Bacchelli Il diavolo al Pontelungo Transatlantica Nel numero di dicembre 1928 della rivista bonearense «Nosotros» apparve una protesta del dottor Luigi Bakùnin contro il mio modo di raffigurare suo nonno Michele. Tanto spesso accade di pentirsi d’aver discorso con vicini, quanto di rado con lontani; tanto più che, con un oceano di mezzo, le discussioni non vanno per le lunghe!","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","E la sdegnata protesta mi ha dato stimolo a mettere in carta alcune riflessioni sul Diavolo al Pontelungo, da premettere alla seconda edizione, e sul romanzo storico in genere. Ma se il dottor Luigi Bakùnin fosse soltanto, come «Nosotros» lo presenta, uno studioso di questioni sociali e letterarie, lo stimolo sarebbe stato troppo lieve. Non sarei nemmeno arrivato in fondo alla sua protesta.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Non è lunga, ma troppo debole d’argomenti. Essa mi ha ricordata la noia che, alla lettura dei testi teorici degli anarchici, mi fece giurare, finita la preparazione del Diavolo, che di anarchici non avrei mai più letta una riga. Il dottor Bakùnin crede di dir qualcosa quando parla di «redimir a la humanitad», e par che non sospetti qual razza di pallone di carta — la letteratura democratico-umanitaria utopistica e sentimentale — anch’egli dia fiato a gonfiare.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Ma su questo punto è inutile discutere. Egli dice che Bakùnin sacrificò tutto alla sua idea; io nego che questo sia un merito, quando l’idea è sbagliata. Ma «Nosotros» presenta il dottor Bakùnin anche in qualità di ufficiale italiano e di combattente, oggi benemerito medico tropicale.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","E questi sono titoli di rispetto. Inoltre egli si è mosso per difendere suo nonno, e questo sentimento mi ricorda uno dei più simpatici tratti del vecchio Michele, il suo affetto per la famiglia, quantunque anarchica. Probabilmente io conosco suo nonno (altro che invitarmi a leggere il Guillaume e il Nettlau!)","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","assai meglio di lui. Cosa logica e naturale del resto, appunto perchè egli è della famiglia. Ed egli mi invita anche a leggere tutte le opere di Michele Bakùnin.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","E questo poi no! Mancherei di metodo storico. Come teorico infatti diceva sempre la stessa cosa.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Come polemista, fu più brillante, spesso caustico, e abile a trovare i punti deboli e le incertezze dei suoi rivali: i maggiori uomini della democrazia e del socialismo. Certo nessuno ebbe il coraggio di seguirlo nel ragionamento fin dove arrivava lui. Faceva proprio quel che i logici chiamano «per troppo provare non provar nulla».","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Anche la sua polemica riusciva dunque troppo facile, in ultima analisi. Di questa polemica, e della parte storica che la dialettica di Bakùnin, quale stimolo casuale ma non senza una hegheliana «astuzia della ragione» ebbe nei primordi del socialismo in Italia, il mio romanzo è un ritratto fedele, anzi costituisce l’unica giustificazione storica di quel singolarissimo personaggio. Certo, per intendermi, non bisogna credere che il buon Nettlau sia uno «storico»!","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Al di fuori della dialettica, che è una pazzia, e della malizia polemica di Bakùnin, che è saporita, resta, nelle memorie scritte, — e io molto debbo inoltre ai racconti dell’ultimo superstite della congiura bolognese, un professionista valente, il quale, per mia fortuna, è ancor di vegeta, fresca e alacre memoria, — restano nei «carnets» dell’agitatore riprodotti dal Nettlau, nei libri e nei giornali, la sua generosità sventata, la sua avventurosa fiducia, il capriccio, l’esaltazione, la mobilità di fantasia, la passione, l’imperterrita illusione, l’azzardo, e poi certi tratti di buon senso tanto inaspettato da riuscir bizzarro e cinico: un tesoro per un romanziere! Se non avessi avuto scrupoli da storico, anche solo da romanziere mi sarei ben guardato dal lavorar troppo di fantasia. È un personaggio che ho trovato bell’e fatto, fatto da sè.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Confesso, con dispiacere, poichè la naturale ambizione del romanziere è che il lettore creda a quel che legge, che ho dovuto in parte rilevar la vicenda, dare più spicco e più moto alla materia del mondo anarchico, nel quale, contrariamente a quanto si può credere, e da parte gli attentati, non succedeva mai nulla. Non lo dico io: lo dice Bakùnin, che mosse alla sua ultima impresa verso Bologna perchè non voleva morire senza aver fatto ancor niente. Il dottor Bakùnin chiede se ho fatto opera storica o polemica.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Sarebbe presto fatto replicare che ho fatto opera estetica; ma io non credo fino a questo punto all’estetica, e quando impresi a trattare coi nomi e cognomi personaggi storici e fatti accaduti, sapevo ed accettavo di assumere una responsabilità morale, di giudizio storico. Accorarsi perchè la neve nel cimitero di Blumengarten a Berna non nasconde in perpetuo la tomba di Michele agli occhi degli investigatori e dei denigratori, è sentimento delicato, ma inammissibile. I sentimenti affettuosi e familiari sono la cosa più estranea alla storia.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Bakùnin, che negava tutte le discipline e le separazioni, non avrebbe inteso neanche questa, realissima, e a volte dura disciplina, che pone la storia, quando rende di pubblico dominio la vita di un uomo, di pubblica ragione ed arbitrio, investigabile con tutti i metodi, anche quelli bellicosi ed ingiuriosi. Perchè la storia non è quella faccenda liscia e semplice e piattamente scientifica che s’immaginavano i filosofi positivisti della cui scuola fu Bakùnin; e la verità storica non si sa mai da qual investimento può uscire. Bakùnin poi non l’ho ingiuriato; se mai, al contrario.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","E se nella storia egli è entrato, fu per sua disgrazia e condanna, in quanto riuscì il teorico da cui si richiamò «la propaganda coi fatti», e quei fatti avevano delle miccie, come si sa. Ma Bakùnin personalmente non riuscì mai a gettare delle bombe, — e in ciò fu più fortunato che meritevole; — combattè invece sulle barricate, e la sua postuma responsabilità di dottrinario può ben essere lasciata da parte da un artista: fantastico, egli può andar nelle mani di un fantastico. È stato il meglio che potesse capitargli.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","E lo storico riconosce ch’egli restò, per un capello e perchè era fortunato, negli ultimissimi limiti della politica di una certa epoca: dal ’48 al 1871. L’idea, che lo possedette, d’un progresso troppo definito nel passato e troppo indefinibile nel futuro, il suo credo ateo ed anarchico di solidarista assoluto, era un nulla e tutto, un assurdo; che in logica è una risoluzione. Ma loico fu, fino al punto di proclamar la ribellione anche contro sè medesimo, se per far la palingenesi gli fosse stato forza prender autorità.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Questa mistica idea della Società spontanea, la fede nello stato di natura, gli partorì nel cervello slavo una sorta di nirvana materialistico. A uno che gli avesse detto che Gregorio Magno, santo papa, pregò per riscattare l’anima del persecutore Traiano, giusto secondo le sue leggi; che è, io credo, il più sublime momento di un’autorità che ne riscuote un’altra, egli avrebbe risposto che anima e Dio non fanno parte delle nozioni umane, che ogni autorità è sopraffazione, cioè che tutta la storia è uno sbaglio. Risposte di questo genere gli servivano per ogni sorta di argomenti, e, per venire alla conclusione, egli fu figura da adattarsi particolarissimamente al romanzo.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Questo genere infatti, che non si sa bene se sia fortuna o sfortuna della nostra epoca artistica, come tutto ha aggredito e di tutto si è valso, così ha cercato anche nella storia; nella storia vera e propria, non soltanto nella curiosità aneddotica o arcaicizzante. Valgano romanzi come I Promessi Sposi, Guerra e Pace, i romanzi storici di Thackeray, L’Éducation Sentimentale. E personaggi ed eventi storici adatti al romanzo sono per eccellenza quelli minori, eroi singolari o mezzi eroi o eroi di straforo, di un’ora o dell’illusione; momenti fuggevoli o perplessi, scacchi o vane vittorie o sogni di vittorie.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Gli altri, uomini e momenti, significano di più e offrono di meno al romanziere, perchè lo storico li ha assunti e definiti, e quel che offrono all’artista o è ozio o è illusione sua; o è risaputo o è falso. Non ricorra nessuno a Guerra e Pace per sapere chi era Napoleone e come fu condotta Borodino, ma sì per sapere chi era Rostopcin e come prese fuoco Mosca. Uomini e momenti capitali, la storia, specchiandosi in essi la sua perennità e universalità, non cessa di riproporli sempre uguali e sempre nuovi alla conoscenza e all’azione umana; e perchè gli uomini vi si riconoscano, toglie via psicologia, costume, indole.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Agli occhi dello storico i grandi uomini hanno pubblico destino, non già vita privata; e i trent’anni di vita privata di Gesù Cristo costano all’Evangelista non più di tre parole. Ora il romanziere, che sta all’epico come il drammaturgo al trageda (Shakespeare fra i due, secondo il detto di Goethe! ), trova nella storia le sue risorse con figure e tempi che offran gran parte di sè come costume, indole, umanità, fortuna, illusione, magari ragionevole aberrazione; con quelli che sfiorino la storia e l’illuminino da un angolo.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Lo storico li conosce, e li apprezza pure; e se ne rimette all’artista e all’avventura delle sue intuizioni fantastiche. Non dirò che per sapere che cosa fu il falanstero della Baronata convenga leggere il Diavolo al Pontelungo, altrimenti in qualche paese di qua dall’oceano direbbero che mi paragono a Tolstoi, mentre invece cerco delle autorità, essendo, al contrario di Bakùnin, persuaso che occorrono autorità anche in queste materie. E mi sembra, se non mi lusinga una speranza vana, di non aver definito ed esercitato un genere da dilettante senza metodo.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Mi sembra di aver escluso, ragionando da romanziere, quella che oggi par essere una diffusa tentazione degli storici, o dei pretesi storici: il vezzo di ciò che si chiama ibridamente storia romanzesca, quel tal genere in voga di biografie, che fanno dire tante parole a coloro che nei secoli si spiegano così grandemente tacendo o dicendo tanto in così poco. No, non ho inteso di far entrare la psicologia alla francese, o la fisionomica magari e la chiromanzia alla tedesca, nella storia. In una parola ho inteso di fare un romanzo storico, non una storia romanzesca.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","E, se vi son riuscito, mi ha aiutato non meno fantasia di romanzo che rigore di storia. Ma vi son riuscito? La risposta tocca al lettore.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","R.B. Milano, 1 marzo 1929. Anche il Nettlau, quando nel 1929 questo romanzo uscì nella eccellente traduzione inglese di Orlo Williams, The Devil at the Long Bridge, credette di dover indirizzare al «Times» una lettera di protesta per rivendicare la memoria del Bakùnin, ma come gli argomenti, ai quali risposi sul medesimo giornale, erano dello stesso stampo, in sostanza, così basta anche per essi quel ch’è scritto qui sopra. Del resto il Nettlau, come raccoglitore di documenti e di curiosità riguardanti il mondo strampalato dei primi anarchici, s’intende di quelli anteriori alla «propaganda coi fatti», fu benemerito, e particolarmente nei riguardi dell’autore di questo romanzo che di quei documenti ha fatto tesoro.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Mi permetta il lettore di prender l’occasione per avvertire che nei particolari d’indole privata ho usato del mio diritto artistico di inventare, forse non senza convenienza, se proprio qualche invenzione ho fatto credere che fosse desunta da documenti. E per scrupolo, aggiungerò che in questa edizione (3a, 1939), ho mutato il nome a un personaggio, all’olandese Domela Nieuwenhuis, perchè questi nella storia del socialismo del suo paese ebbe in seguito una parte alla quale sconveniva il carattere da me dato al personaggio corrispondente che si chiama ora Domela Raavenstein. Tanto perchè se qualche lettore affezionato volesse rileggere il romanzo in questa edizione riveduta, non abbia a rimanere un po’ sconcertato del mutamento, e per corrispondere in qualche modo alla sua benevolenza.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","( Nota alla 3a edizione, 1939) Poichè è sorte che questo romanzo si sia corredato e aggravato di note preliminari, da un’edizione all’altra, ne aggiungo un’ultima per il lettore che, arrivato al capitolo «San Cassiano», avesse oggi curiosità di sapere se, parlando di romagnoli politici e della necessità ch’essi hanno, e della difficoltà che incontrano, di dominare i loro estri ed umori intemperanti, pensassi, nel ’27, a Mussolini. Pensavo, propriamente, anche a lui, e sopra tutto a lui. ( Nota alla 5a edizione, 1951) Preludio Cent’anni fa, per la festa di San Giovanni, la messe indorava e santificava le campagne sotto la tutela delle croci benedette, fatte d’uno stelo secco di canapa piantato sui seminati.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Il pane è vita degli italiani, e il grano finisce di maturare nella stagione più spessa di grandinate. La carestia va spartita fra tutti, ragionano ognun per sè i contadini; ma la grandine, a chi tocca il danno è tutto suo. Sotto San Giovanni ricordano volentieri che Dio pensa a tutti.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Allora si comprende perchè i vecchi abbiano piantato il Santuario della Madonna di San Luca, special protettrice della città e del contado bolognese, sulla vetta del colle di dove scopre tanti gioghi di colline e tanta stesa di pianura, dove da tante strade e da tanti campi chiama e risponde ai voti del popolo. Oggi l’assicurazione contro la grandine è uno dei cento e un modi di perdere la fiducia in Dio, ma la gente ci riposava ancora cent’anni fa, ai tempi del Papa, quando un giorno l’arciprete del Borgo Panigale si avviava a traversar Pontelungo sul Reno. Il Borgo è posto sulla sinistra del fiume a ugual distanza da Bologna e dalla chiostra delle colline.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Guarda il santuario da quel tanto in linea d’aria che scopre la vista intiera delle spalle di un colle modesto, pur non uscendo dai limiti che si possono un po’ largamente chiamare il piede di una altura. Il ponte di rossi mattoni si dice Pontelungo, propriamente, e il giorno era vigilia di San Giovanni, 23 di giugno. L’arciprete aveva terre al sole e carità di cristiano, e raccomandava alla Madonna di San Luca i campi suoi e dei suoi parrocchiani, mentre veniva con poca voglia lungo la spalletta a monte.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Guardava il cielo sereno, denso di azzurro come certi occhi chiari si caricano di colore nella rabbia, e, con buon rispetto dell’obbedienza, gli pareva che Monsignore Arcivescovo avrebbe potuto risparmiarsi di levare dai campi i parroci alla vigilia di San Giovanni. Non per niente, ma lasciare i seminati maturi in quel momento era come invitare il Maligno, che spia tutti i momenti e specialmente quelli in cui non lo si aspetta. L’arciprete era saggio e fino, ma non pensò, tutto volto al grano, com’era, che il Maligno potesse spiar più dei campi il suo cuore e quel poco di presunzione e di mormorazione.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Forse il riverbero del greto gli aveva abbacinata la vista; fatto sta che all’entrare il ponte gli era apparso deserto quanto lungo sulla fuga salda delle sue pazienti arcate; e fino al mezzo non s’accorse, quando se lo trovò davanti come sortito dalla polvere della strada, che un signore in gibus veniva lungo la spalletta a valle e in quel punto attraversava il ponte per farglisi incontro. Era nero come un grillo, abbottonato, schifiltoso nel mettere i piedi nella polvere di strada, e aveva sguardo duro e fuggitivo. — Buon giorno, — disse colui scappellandosi con una compitezza senza creanza, — Don come si chiama, signor arciprete.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","— Buon giorno, quel signore forestiero, — rispose fermandosi l’arciprete che, a buon conto, non volle dire il suo nome a uno che lo abbordava con tanta indiscrezione. — Avete una bella campagna quest’anno. — Bella, se Dio ci aiuta.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","— Non mancherà di fare il suo dovere. Avrei dei buoni cavalli da mandare a pascere dentro il vostro frumento, signor arciprete del Borgo. — E io ho delle buone redini per tenerli in briglia, signor non so di dove!","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Come fosse per non detto, si salutarono in fretta e l’arciprete tornò al Borgo. Faccie sospette a quella maniera, la polizia non le avrebbe dovute lasciare in giro per le campagne; e quello era per lo meno un Giacobino. Idea più eretica e proposito più vigliacco, l’arciprete non aveva udito mai.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Allungò il passo, e arrivato alla chiesa chiamò il sagrestano. — Se mai — gli disse — vedeste mai la più piccola mossa del tempo, il più lontano segnale di nuvole o di vento, attaccatevi alle corde e non risparmiate le braccia: suonate alla tempesta. Anzi salite subito sul campanile e ditemi se si vede nulla in giro.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Il sagrestano salì per contentarlo, e quando s’affacciò vide sereno da levante a ponente e da mezzogiorno a tramontana. — Sereno ai quattro venti, — gridò giù all’arciprete che stava sul sagrato a naso in aria e mani sui fianchi. — Meglio, — rispose l’arciprete, e già forse partiva, ma: — Un momento, — gridò il sagrestano fra le mani a tromba, — è spuntata una nuvola, una nuvoletta.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Viene in furia: ma è grande come una noce soltanto. — Scendi, scendi più presto che puoi, — urlò il prete, e, vestito com’era della sottana nuova, senza cura d’impolverarsi, si attaccò alle funi delle campane. Poi le dette al sagrestano stupefatto ma docile, e corse in sagrestia a indossare i paramenti.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Tosto uscì col chierico a benedire i campi. Si vedeva già l’ombra della nuvola di là dal fiume. La nuvola era sorta dalle parti infedeli di Levante, dal mare, elemento dei meno devoti, e veniva così in fretta, piccola e rabbiosa, che nel tempo d’andare e tornare di sagrestia già spuntava sul filare dei pioppi in fondo allo stradale della canonica: d’un tratto si torsero e si piegarono investiti come da un fuoco.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Tutta la campagna fu presa da una fosca disperazione di vento. In principio i contadini sul lavoro s’erano fatti meraviglia, poi risero e sacramentarono. Il prete doveva essere matto o ubbriaco per suonare alla tempesta in quel sereno.","YES"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Ma intanto la noce aveva partorito e svolto il più nero e feroce nembo che si vedesse da un pezzo in qua. Parve che si avventasse dirittamente sul campanile, unico desto in quella vasta calura pomeridiana sprovveduta, per soffocarvi la squilla. Ma lì fu respinto, inzeppato su sè medesimo come un furioso che venga a scontrar la corsa e la rabbia su due saldi pugni.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Di steso ch’era, crescente ad aduggiar cielo e terra, ribollì come la risacca del mare, rifluì e impennò il suo precipizio in una colonna da sfondare il firmamento. Sole si rifece lontano, sulle colline di Casalecchio di Reno e di San Luca; e sul piano l’ombra si restrinse per incupire a gravare tutta e a torreggiare colla sua notte sul Borgo e sulla chiesa. I contadini, mentre il prete passava nel bianco càmice a benedire le messi, si inginocchiavano sul bordo delle strade e dei fossi.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Le donne cantavano le litanie sugli usci delle case livide. La campana squillava come la campanella di una nave in balìa, e il lembo inferiore dell’orrida nuvola s’era impigliato nelle braccia della croce del campanile. L’arciprete sentì la vita dei suoi fedeli attaccata al braccio levato a segnare.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","L’arciprete finiva il santo giro quando la nube si scrollò e procedette rigida e intiera come una colonna. Non trovava palmo di terreno profano in quel di Borgo Panigale. Allora, cacciata dal suono della campana e dai segni di croce dell’arciprete, che quando la vide muoversi parve cresciuto un palmo, andò a porsi sul Reno.","NO"
"Bacchelli_Riccardo-Il_diavolo_al_Pontelungo-1927","Bacchelli Riccardo","Il diavolo al Pontelungo","1927","Là sgravò, fra strette orrende di fulmini e di tuoni, la vasta carica di grandine divoratrice, che crebbe tre braccia sul greto del fiume. L’arciprete svestì i paramenti e andò di buon passo, mentre il sole rorido tornava bellissimo e lieto sul Borgo, e di buon animo, per riprendere il tempo che non aveva perduto, a scusarsi del ritardo con Monsignor Arcivescovo. Questo si racconta al Borgo Panigale, e ogni anno ai ventitrè di giugno da mezzanotte a mezzanotte la campanella del Borgo suona per ventiquattr’ore continue, in memoria di quella vigilia di San Giovanni, cent’anni fa.","NO"
