"filename","nome","titolo","anno","chunk","DIL"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","I. Presentazione Nacqui a Vespignano, nel Mugello, in Toscana, l’anno 1874. Il babbo non l’ho conosciuto, e tutte le volte che ne domandavo alla mamma, era una scena da far intenerire anche i sassi.","NO"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Si metteva a schiamazzare in modo compassionevole, e fra quei suoi gridi raccapezzavo a stento qualche cosa, come per esempio, girarrosto, fuoco, tirare il collo e altre piacevolezze dello stesso genere. Io, come potete immaginarvi, ero in quel tempo troppo piccino, per capire come fosse andata la faccenda; ma fin d’allora cominciai a non poter più soffrir gli spiedi, e quando per cercar la mamma ero costretto a far capolino nella cucina della massaia, mi sentivo venire i bordoni. Ma lasciando da parte que’ momentacci, che, del resto, procuravo sfuggire a più non posso, la mia vita era tutt’altro che noiosa.","NO"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Si stava tutti, la mamma, i miei quindici fratellini ed io, in quel bel pollaio, grande, arioso, pulito che era una delizia; il giorno, poi, eravamo padroni di girandolare in un gran campo pieno d’ogni ben d’Iddio; alberi di qua, alberi di là, ciliegie grosse grosse, carciofi, baccelli, piselli, tanti da non saper dove se li mettere; grano poi! ce n’era da sfamare una mezza città, a quel che diceva Giampaolo, un contadinone lungo come una pertica, che tutti di casa riverivano e chiamavano maestro. Era lui quello che teneva le chiavi della dispensa, del granaio e della cantina; ma non c’era pericolo, no, che se ne tenesse di tutti quegli onori; anzi era affabile, buono e alla mano più degli altri; anche con noi pulcini se la diceva; e spesso spesso, quando gli andavamo fra’ piedi, ci sbriciolava una bella midolla di pane.","YES"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Per altro, il pulcino a cui tutti volevano più bene ero io; e la ragione non l’ho mai saputa; forse, mi si perdoni la superbia, sarà stato perchè non ero scontroso come i miei fratellini. Quando Giampaolo, la massaia o anche la Mariuccia, figliuola di quest’ultima, mi venivano incontro, non scappavo mai; mi lasciavo pigliare ed accarezzare finchè fosse loro piaciuto; sicuro, se invece avesse voluto acchiapparmi qualche monello, tanto per tirarmi la coda o le penne, avrei fatto come gli altri: me la sarei data a gambe, e chi s’è visto s’è visto; ma con quella buona gente potevo star sicuro che male non me l’avrebbero fatto neppur per celia. La sera, poi, quando la mamma ci chiamava per andare a letto, ero sempre il primo a obbedire; e se vedevo che i miei fratelli si facevano aspettare, mi sentivo limar lo stomaco: infatti com’è possibile il fare star in pensiero la mamma?","YES"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","La Marietta diceva che ero piuttosto bellino, e siccome mi voleva un ben dell’anima, mi aveva messo al collo un nastrino rosso che, secondo lei, doveva crescermi bellezza. Ma io, a dirla fra noi, avrei fatto volentieri a meno di quell’impiccio, e più d’una volta mi provai a beccarlo e lacerarlo; la Marietta, però, me ne rimetteva subito un altro, esortandomi all’obbedienza. Che cosa dovevo fare?","YES"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Che cosa avreste voi fatto ne’ miei piedi, o bambini? Mi rassegnai. Su’ primi giorni, lo confesso, la rassegnazione mi parve duretta, ma poi mi avvidi che la mia padroncina ci pativa, e io, per far piacere a lei, mi tenni il nastrino in santa pace e mi ci avvezzai.","YES"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Date queste notizierelle che mi parevano più che necessarie per farmi un po’ conoscere, comincio subito a raccontar la mia storia, o, come oggi si direbbe, le mie avventure. È una storia, sono avventure da pulcino, ma non dubitate, no, la mia parte di disgrazie l’ho avuta anch’io, e i giorni neri sono stati più frequenti di quelli color di rosa. Tuttavia ho cercato di sopportare i dispiaceri con quella fermezza d’animo che il buon Dio mette anche nelle povere bestioline, e a’ tempi felici non sono mai montato in superbia e ho cercato sempre di fare quel po’ di bene che stava in me.","NO"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Ora me la passo discretamente. Di pulcino sono divenuto un robusto e svelto galletto e se ho la fortuna di rimanere co’ padroni co’ quali sto ora, sono certo, certissimo di morir di vecchiaja. II.","YES"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Il galletto della Lena E prima di tutte, due parole sulla famiglia dei contadini presso la quale io nacqui, fui allevato e trascorsi i giorni più lieti della mia giovinezza. Componevasi di quattro persone solamente: la massaia, il suo marito, la Mariuccia e il signor Giampaolo, fratello del marito, e per conseguenza zio della padroncina. Di esso ho già fatto cenno qui innanzi.","NO"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Parlerò dunque degli altri tre. La massaia, ossia la Tonia, come tutti la chiamavano, era una donnona su’ quarant’anni, grassoccia, ben portante e tutta pace. Nessuno si ricordava d’averla mai vista montare in furia; anzi, una volta che un gatto forestiero (in casa, grazie a Dio, di quegli animalacci non se ne vedevano) le rubò un bel pezzo di carne dalla pentola, invece di rincorrerlo o di sfogarsi a mandargli delle imprecazioni, si strinse nelle spalle dicendo: — Povera bestia, chi sa che fame gli avrà avuto!","NO"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","— E finì li. Anche Geppino, il suo marito, era una buona pasta d’uomo; ma lui, una faccenda simile non l’avrebbe presa in santa pace; chè, se si deve dir la verità, buono era, ma stizzoso la su’ parte. La Marietta poi, oh che cara fanciullina!","YES"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","Chi la voleva vedere, era sempre accanto alla mamma ad aiutarla nelle faccende di casa; in certe ore andava a scuola, e quando tornava, o si baloccava con la bambola, oppure, se il tempo lo permetteva, veniva nel campo a divertirsi con noialtri pulcini; io, come dissi, ero il suo prediletto, e non c’era giorno in cui non mi regalasse qualche coserella: quando un pinolo, un po’ di pane o un seme. Ed era buona con tutti ugualmente; se picchiava alla porta qualche poverello, si sarebbe levato il pan di bocca per non lo rimandar via scontento: e spesso e volentieri l’ho vista divider la sua merendina con delle povere bambine, che non avevano da sdigiunarsi. Le cose, come vedete, ragazzi miei, non potevano andar di meglio; ero in mezzo a bonissima gente, che mi voleva tutto il suo bene; non mi mancava nulla, ed io potevo chiamarmi addirittura il più felice tra i pulcini.","NO"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","E buon per me, se mi fossi sempre contentato di quella vita, e mi fossi mantenuto buono e obbediente! Lo ripeto: ho avuto moltissimi dispiaceri, ma devo però convenire che la maggior parte me li son procacciati da me medesimo, con le mie imprudenze. Una mattina, per dirvene una, venne nel podere una vecchierella tutta vestita da festa con un fagottino da una mano e un galletto vivo da quell’altra; cercò della Tonia, e appena l’ebbe scorta da lontano, le andò incontro piangendo.","YES"
"Baccini_Ida-Memorie_di_un_pulcino-1875","Baccini Ida","Memorie di un pulcino","1875","— Oh nonna, disse la massaia — che miracolo è egli questo? che siete venuta a mangiare un boccone con noi? Ma vo’ piangete… per carità, ditemi quel che v’è successo.","NO"
