"filename","nome","titolo","anno","chunk","DIL"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","A TE DOLCE COMPAGNA ΜΙΑ CHE QUESTA STORIA DEL MAESTRO DI SCUOLA UDISTI MECO NELLA SOLITUDINE. DOVE ME FACEVI COSI FELICE DEL TUO AMORE TU FELICE DEL MIO FRANCESCA. La calunnia è un venticello.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","ROSSINI, Il Barbiere di Siviglia. In una villa dove già vissi alcuni anni, fu da maestro di scuola un prete molto buono e sociabile; del quale, come aveva detto messa e finita la scuola e l'ufficio, e se occorreva qualche confessione, ogni sollazzo era alla state ir a diporto su per que' colli, od a sonar gli organi e i gravicembali ne' castelli all' intorno; e il verno poi entrar nelle case de' signorotti e de' villani di quel contado, ed ivi, come si dice, fare stalla, che tant'è come in città far conversazione. E perchè virtuoso e pio e pacifico uomo egli era, ogni suo conversare tendeva a ispirare pace e pietà.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","Ond' egli poi solea con gli altri preti suoi amici darsi vanto di non far altro là, che continovar lo insegnamento della dottrina cristiana incominciato alla scuola e spiegarla con gli esempi, che fanno più impressione, ma che non tutti starebbero bene in chiesa. - E veramente, egli aggiugnea sorridendo, anche queste vecchierelle usano così, e volendo dar insegnamenti alle giovani, subito vengono agli esempi; ma questa differenza è tra esse e me, che elle li scelgono presso le vicine e contemporanee, io sempre li cerco in tempi antichi e luoghi sconosciuti. Nè so se nel modo loro sia più efficacia, ma nel mio certo è più carità.Ed una sera che c'ero pur io, ed a suo malgrado s'era appunto sparlato della gente, il buon maestro incominciò così: Donne mie, lo sparlare della gente è una brutta cosa: e' si fa senza badarci, e chi l' ha fatto la sera, talor non se ne ricorda la domane, nè mai più di sua vita; e intanto quella parola così leggermente uscita di bocca cresce e fa danno, e talor perde un uomo o una donna nell'onore e nella roba, e talor anco nella vita; e chi l'ha detta, anche pentito, non la può più riavere.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","Del calunniar poi per malignità non ne dico, perchè voi altre siete tutte buone; ma nelle città e paesi grandi è altrimenti. In una di queste, ch' io non vi nomerò, perchè non la conoscete, e se la conosceste, ve la nomerei anche meno, e'fu già una fanciulla chiamata Francesca, nobile, bella, e che era nata ricca e grande quasi sopra ogni altra della città. Ma per il parteggiare che si faceva a que' tempi (gran disgrazia, figliuoli miei, queste parti e nimicizie in un paese!)","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","erano stati uccisi in guerra, ed anche in piazza a furia di popolo, o di supplizi, o morti in esiglio, tutti i suoi, padre, avo, zii, fratelli; che tutti erano stati della parte perdente, ed ella sola è meschina rimanea colla madre vedova e ridotta a povertà. E in che trista vita s' allevasse la fanciulla, pensatelo voi. Non feste, non divertimenti, non gaio e giovanile vestire, che non si convenivano a tal povertà e vedovanza; nemmeno quasi un passeggio, per orrore ch' avea la madre d'incontrare or l'uno or l'altro degli uccisori o persecutori di suo marito o de' suoi figli; non compagne, nè amiche, che poche lor ne restavano, e quelle per timore si schivavano l' una l'altra più che non si cercavano, Ma sole, e il più del tempo la madre a piagnere; la figliuola a piagner con lei, a lavorar dell' ago o della rocca, o al più al più a leggere qualche libruccio di divozione, o qualche cronaca o leggenda, e poi di nuovo a veder piagnere la madre, ed uscir ogni domenica a messa molto per tempo, e a vespro molto tardi per non esser vedute, sempre vestite di un cambelotto nero, che la madre quasi credette far un peccato a lasciarlo poi mutar in bigio dalla fanciulla.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","Nè tuttavia crediate che fosse del tutto disconsolata la vita di questa. Non ella avea conosciuto padre nè fratelli, sendo tuttavia al petto della madre quando si rivolse lor fortuna. Ed, oltrechè il non rammentar tempi felici gran diminuzione è di miseria, la prima gioventù ha nel sangue stesso la felicità, ed a lei piovono le consolazioni.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","Ora era un bel giorno di primavera, e la madre lasciavala pur uscire all'alba colla servuccia a raccor fiori, ed ella riportavale un bel mazzo di mammole, che poi faceva sotto il povero tetto soave fragranza tutto quel giorno; ora comprato da qualche monello un bel cardellino, ella poi se l'allevava con un amore che se ne faceva un compagno; ora anche, perchè ella era tanto buonissima come bella, con quella poca moneta che poteva avere, sollevava ella meschina qualche più meschino di lei, il quale ne durava grato, meno a lungo forse che non ella felice. Nè era tutto, perchè forza è pur dirlo. Non compiuto avea il sedicesimo anno, una consolazione le venne troppo maggiore delle mammole e del cardellino, ed anche della sua amorevole carità; una consolazione da lei prima inavvertita e che ella nè consolazione nè altro di niun nome chiamava; ma era una vista, un pensiero, una occupazione continova, anzi una vita del tutto nuova e dolcissima.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","Nè a voi che accorte siete è mestiero dirvi che fosse. Dicovi solo il nome del giovane che la vide un giorno a caso in quelle sue gite mattutine a' praticelli fioriti, e sotto il povero e tristo abito pur la trovò bella più di niuna altra, e tornò il domane e ogni giorno, poi molti giorni senza incontrarla, e talor anco la incontrò, e la trovò più bella ogni volta, e pur non le si accostò; ma la seguì da lungi e fino a casa, e seppe chi era; e saputolo, perchè quantunque nascosta mal era ignota sua bellezza e sua bontà e miseria, subitamente con gran passione di lei s'innamord. Il qual giovane adunque si chiamava Manfredi, ed era pur egli bello e nobile giovine, e pur egli di casa stata ricca e de' perdenti, e il suo padre era morto in esiglio; ed egli era povero e solo rimasto, e benchè di assai ingegno e virtù, e molto destro in armi e cavalli, pure, perchè odioso a chi reggeva la repubblica, non era adoprato in nulla, nemmeno nella milizia, onde languiva in grande ozio.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","E, come sapete, dicesi l'ozio padre de'vizi, ma io ben credo che sia l'ozio de' felici; perchè gl'infelici e poveri mal possono darsi a' piaceri e alle gozzoviglie, e a' vizi che ne vengono. Sì confesso che gli oziosi infelici troppo sovente cadono poi in amore; e così cadde Manfredi. E l' amore di uno povero ozioso che non abbia altro a pensare il dì e la notte è poi tutt' altro che quello de' giovani occupati ne' piaceri e maneggi pubblici e privati.","NO"
"Balbo_Cesare-Novelle_di_Cesare_Balbo-1854","Balbo Cesare","Novelle di Cesare Balbo","1854","E in una parola Manfredi era, come si dice, perduto d'amore; che vuol dire che non avea più altro pensiero al mondo; od anzi, che tutti i suoi pensieri antichi e nuovi riferiva al suo amore; e se pensava a riacquistar lo stato e le ricchezze, o a farsi un nome o mostrarsi pro', non era più niente per sè stesso, ma tutto per la fanciulla ch' egli avrebbe voluta far ricca, e allegra, e onorata, e propria moglie. E in questi pensieri poi tanto andava d'uno in altro innanzi, che ne perdeva il pensiero e la ragione. E badate, che la perdeva non solo per l'altre cose di che non gl' importava più, ma in quella stessa di che sola gli caleva, che era il suo amore.","NO"
