"filename","nome","titolo","anno","chunk","DIL"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Ciascuno si diverte come può Bob era un fannullone. Lo sapevano tutti, anche le vecchierelle, che nella penombra della chiesa, durante la prima messa, parlavan di lui: sottovoce, per non far arrossire gli angeli, dipinti sulle pareti.","YES"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Egli stesso ammetteva i propri torti; ma con una certa compiacenza, che rivelava un animo incurabilmente perverso. — Figlio di Satanasso!, brontolavano gli uomini dabbene. Qualcuno, anzi, scorgendolo, si toccava, per precauzione, il grosso corno d'avorio, penzolante sulla rotondità addominale.","NO"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Infatti, c'era del buio in Bob, molto buio! Così, a occhio e croce, egli sembrava la creatura più attiva di questa terra: sempre in moto, sempre affaccendato intorno a qualche persona o a qualche cosa, come se avesse rubato agli americani il motto: tempo è denaro. Eppure, a dispetto dell'apparenza e dei continui andirivieni, si conservava fannullone, nel senso assoluto della parola.","YES"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Aveva risolto tranquillamente un problema, arduo al pari della quadratura del circolo: sbracciarsi a far niente. — L'ozio è una terribile occupazione, diceva, cacciando fuori dall'esile petto un sospiro. E definiva sè stesso: Un mare d'olio in burrasca.","YES"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Somigliava proprio a un bel cane barbone che, uscito dal bagno, scompaia per qualche momento in mezzo a un turbinio d'acqua, proiettata da ogni parte. Dopo la furia, si giurerebbe di rivedere la bestia ansante e ancor trafelata per il giuoco dei muscoli: ed eccola lì, invece, beatamente sdraiata con la pancia in aria, nella posa che assumono di preferenza, in certe delicate occasioni, le odalische turche e di parecchi altri paesi. Non esiste individuo, per quanto sfavorito dalla natura, che non possegga, fra i molti vizi, almeno una virtù.","NO"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Anche Bob aveva la propria: era curioso. Ogni giorno egli intraprendeva una specie di pellegrinaggio, attraverso le strade e le genti, per calmare un poco l'inesauribile sete di curiosità. Da buon cacciatore aveva scelta la preda: l'incidente; e non si curava d'altra selvaggina.","NO"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","I più piccoli oggetti e gli avvenimenti più volgari fornivano al suo cervello materia di elucubrazioni infinite. Egli si fermava più volentieri davanti ad una portinaia, occupata a litigare col gatto, che dinanzi a una casa divorata dalle fiamme. Possedeva il gusto delle minuzie e contava con la stessa gioia le rughe sul volto di una vecchia e i sassolini, lanciati dai monelli contro i vetri d'un lampione.","NO"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Se fosse stato filosofo, avrebbe data la formula del proprio sistema: Scoprire il molto nel poco. Benchè fannullone, Bob amava i lavoratori e ne ricercava la compagnia con la foga del ferro, che si getti sulla calamita. Tenendo le mani sprofondate nelle tasche dei pantaloni e ben alto il muso, dall'espressione tra ingenua e impertinente, egli, senza abbandonarli un minuto con lo sguardo, ne seguiva le mosse e registrava nel pensiero i sospiri, le gocce di sudore, le occhiate stizzose agli strumenti del mestiere o della professione; spesso, anzi, si lasciava trascinare dall'entusiasmo e li eccitava a raddoppiare di lèna con la sua voce dolce, che inspirava fiducia.","NO"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","— Interessanti bestiole!, diceva entro di sè; devono avere nel meccanismo qualcosa, che mi sfugge. Se potessi smontarne una, per vedere! E godeva tanto, da non stare più nella pelle.","NO"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Qualche volta si poneva in imboscata all'ingresso d'un ufficio e contemplava gli impiegati, che sfilavano frettolosi e un po' curvi. — Cari figliuoli!, mormorava intenerito; hanno l'aspetto gentile dei buoni bambini, che si rechino a scuola senza far capricci. Come mi ricordano la mia prima infanzia!","YES"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","E lanciava loro qualche bacio, di nascosto. Aveva un altro culto, al quale dedicava molta parte del giorno. Fermo sul marciapiede, di fronte a un negozio, fingeva d'aspettare qualcuno; ma, in realtà, divorava con gli occhi il bottegaio, non saziandosi mai di ammirarne la sapiente mobilità di lineamenti e la dolcezza persuasiva di gesto.","NO"
"Baratono_Pierangelo-Bob_E_Il_Suo_Metodo-1914","Baratono Pierangelo","Bob E Il Suo Metodo","1914","Ed arrossiva d'emozione, come una fanciulla, vedendo le manovre abili e caute del suo idolo per circuire un cliente. Peccato che una così forte simpatia non fosse corrisposta! L'abitudine di contrattare aveva sviluppata nell'anima di quei negozianti una diffidenza sistematica, che rendeva vano ogni amichevole tentativo per avvicinarli.","YES"
