"filename","nome","titolo","anno","chunk","DIL"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","﻿Susetta In paese lo chiamavano il «Gufo», perchè abitava una vecchia torre diroccata, spersa fra le sabbie, dalla quale non usciva, a compiere le sue solitarie passeggiate, se non quando le tenebre calavano sulla terra e sul mare. Di lui si sapeva soltanto ch'era scultore e che veniva da una città lontana lontana.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Qualche pescatore, incontrandolo sulla spiaggia nelle notti lunari, ne aveva osservato il volto bruno, nascosto nella fitta barba e sotto lo spiovere dei capelli ed ancor più rabbuiato da un'espressione indefinibile di scoramento. Un doganiere dal rifugio del suo casotto in una sera di tempesta lo aveva scorto, al bagliore dei lampi, alzare le braccia verso il cielo in un gesto di minaccia e d'odio. Una mattina il «Gufo» uscì dalla sua torre, meravigliando i rari viandanti, per lo più donne, in cui s'imbatteva.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Aveva il viso acceso e il passo affrettato, come di chi insegua qualche chimera, o sia da questa incalzato. Infatti nel suo cervello era germogliata un'idea ancora indistinta, che lo incitava e gli dava la febbre della creazione. Da mesi e mesi assiduo aveva nutrito quel suo immenso dolore, che gli altri vagamente intuivano.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Adesso, ad un tratto, gli era sorta nell'animo la speranza, se non di una liberazione, almeno di un momentaneo sollievo. Un po' di quell'ardore di artista, che un tempo infiammava il suo pensiero sempre in cerca di una raffigurazione estetica, era rimasto in lui. Nella notte e nel sogno egli aveva visto appunto sorgere innanzi a sè una figura, non ancora precisa, eppure reale, e l'aveva pensata contratta come la sua anima nello spasimo del ricordo, raccapricciante di terrore, minacciosa e timida a un tempo.","YES"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Era quella, appunto quella la visione, che lo tormentava, adesso, e lo spingeva a volgere i passi in ora insolita per l'ampia distesa di sabbia. Pure non sentiva ancora lo stimolo acuto del lavoro, poichè l'immagine gli appariva annebbiata ed incerta. La speranza, più che altro, alitava nella sua anima, illudendola di trovare un po' di pace, di sfogo in quella plastica raffigurazione della sua ambascia.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Oh, se l'avesse vista innanzi a sè, realizzata con tutta la potenza della verità e la forza della passione, quell'interna amarezza, che gli inaspriva la vita, forse si sarebbe potuto rialzare, avrebbe potuto guardare più sicuro nell'avvenire; chi sa, avrebbe ricominciata l'esistenza di un tempo. Tornò verso casa, scoraggiato. Malgrado il sogno, malgrado il lavorio lungo e acuto dell'immaginazione, la figura rimaneva sempre nella nebbia, come una cosa inafferrabile.","YES"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Camminava meccanicamente con gli occhi bassi e il volto contratto nello sforzo della ricerca. A un tratto alzò il viso. Innanzi a lui si drizzava la torre, che gli faceva da asilo, rigida fra le sabbie e contro il cielo, con i suoi merli rotti e le profonde fessure dei muri rossastri.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Sulla soglia c'era una forma umana, seduta, raggomitolata, con i cubiti sulle ginocchia e il viso nascosto fra le mani, le spalle coperte da un viluppo di capelli lunghi e arruffati. Il «Gufo» si fermò, meravigliato. Allo scricchiolio dei suoi passi sulla rena quella creatura aveva alzato un visetto di ragazza, magro, appuntito, sul quale gli occhi scintillavano con un'espressione di timidezza feroce.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Così, così egli aveva sognato il proprio dolore, pauroso e selvaggio, timido verso la gente, ma armato di un odio profondo. Quella fanciulla che gli si drizzava dinanzi nel momento, in cui egli stava per perdere ogni speranza, chi era, da dove veniva? Lo scultore s'avvicinò: — Che fai, qui?","YES"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","; chiese. La ragazza chinò gli occhi a terra, poi li rialzò a fissare chi l'interrogava, atteggiando il corpo alla fuga. — Nulla: aspettavo; rispose.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","La sua voce era rauca, tremolante. Gli occhi, ora, giravano istintivamente verso il paesello che si profilava laggiù, in fondo alla distesa di sabbia. Lo scultore continuò: — Aspettavi me?","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Che volevi? — Ecco. C'è la mamma, che ha ricevuta una lettera lunga da mio fratello, che si trova in America.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Ma non sa leggere. E in paese gli uomini non ci sono: sono a pescare. Le parole le uscivano smozzicate dalle labbra, come per uno sforzo.","YES"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Lo scultore le posò una mano sotto il mento, a rialzarlo. — E tu, chiese, non sai leggere? — Poco.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Lo guardò ancora con i suoi occhi ardenti e vivi, poi riprese frettolosa: — Sono andata dal curato; non c'era. Allora, sono venuta qui. Credevo di trovarla.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","— Dammi! Le tolse la lettera di mano, disse: — Verrò con te da tua madre. La bambina gli passò rapida innanzi, lo precedette fra mezzo alle sabbie.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Ma lo scultore la richiamò subito vicino. Voleva studiarne i lineamenti, sincerarsi se proprio quello fosse il modello cercato. — Come ti chiami?, chiese.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","— Susetta. Ricordava, ora. Avevano parlato anche a lui di quella fanciulla cresciuta liberamente fra mezzo alle famiglie di pescatori.","YES"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Egli la vedeva raffigurata nel marino, nella posizione, in cui l'aveva trovata sulla soglia della torre, ma col viso scoperto, sostenuto dalle due mani. Quel corpo magro e nervoso, quell'arruffìo di capelli e sopra tutto quei lineamenti, ch'esprimevano una paura selvaggia e il livore contro ogni cosa, erano appunto ciò, ch'egli aveva presentito nella notte, cercato invano nella corsa mattutina lungo la spiaggia. Non realizzavano forse la sua visione quel viso angoloso, feroce e timido a un tempo, e quello sguardo irrequieto, tormentato dall'ansia e scintillante di desideri?","YES"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Le prese una mano, dolcemente. La fanciulla alzò il viso, meravigliata. — Vorresti venire da me, ogni mattina?, chiese lo scultore.","NO"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","Ti darei molto denaro. — Perchè? Come era diffidente quello sguardo di ragazza precoce!","YES"
"Baratono_Pierangelo-Ombre_di_lanterna-1909","Baratono Pierangelo","Ombre di lanterna","1909","— Forse comprenderai. Voglio scolpire una statua, sai; e ti farei posare da modella. È cosa facile.","NO"
