"filename","nome","titolo","anno","chunk","DIL"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","﻿CAPITOLO I. I primi raggi d'un sole di primavera sfioravano appena le più alte cime degli alberi d'una foresta che per lunga tratta s'estende a manca del gran cammino che da Nevcastel conduce a Glascow. Pensoso e solingo per quella foresta Odoardo Dorsey s' avanzava alla volta di quest'ultima città traendo per le vie più remote, chè l' incontro degli uomini gli era un rimprovero un' umiliazione.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","Rigogliosa di sue nuove spoglie sorrideva natura nel silenzio di quella solitudine, non interrotto che dai lieti gorgheggi degli augelli, che rallégrati dai primi calori scherzando con amabil vezzo si chiamavano da fronda a fronda, e in mille volubili giri s'accostavano, schivavansi: raggiunta alfine la dolce compagna spiegavano insieme il volo al ramo su cui avevan disegnato il caro nido, e in armonioso accordo innalzavano un inno di riconoscenza e di omaggio all' Increato autore dell' universo, e de' vicendevoli affetti. Quella scena di gioie sì pure e tranquille, avrebbe altra volta commosso il cuor di Odoardo, che sensibile aveva sortito al nascere. Intemerata e saggia fu la sua prima educazione: il successivo sviluppo lo aveva traviato e guasto, ma non vi aveva tolto il sentimento del bello ed i germi della virtù, che ancor ripullulavano ogni qual volta non cadeva in predominio de' funesti esempi.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","Unico frutto della più felice unione, Odoardo aveva partecipato alla appassionata tenerezza di che s amavano i suoi genitori. Ma non aveva ancor compiuto il terzo lustro ch' ebbe a piangere la morte della madre: questa perdita fu l' innocente cagione di que' mali che tardarono pochi anni a raggiungerlo, e ch' io imprendo a narrare. Lord Dorsey, padre di Odoardo, finch'ebbe per oggetto delle sue cure una sposa che col prestigio della bellezza e l'incanto delle grazie gli rendeva preziose le domestiche affezioni, sentivasi beato ella pace del nativo castello; le sue sostanze prosperavano, e la stima dei vicini lo compensava degli onori e delle cariche, a cui pel suo ingegno avrebbe potuto aspirare.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","Quando mancò la donna che gli aveva reso care quelle abitudini, il dolore piombò profondo e cupo sul suo cuore: l'aspetto di quel soggiorno che più non divideva con essa, gli divenne odioso, insoffribile, e a sollevarne la mente si recò ad abitare la città; ma qui pure i suoi pensieri come respinti e smarriti, ritornavano nell' animo suo più angosciosi e tetri, nè bastava a confortarlo le carezze del figlio, e la compiacenza de' progressi di questi nel cammino della virtù e delle cognizioni. Il tempo anzichè calmare il suo dolore, fece il suo umore stravagante, atrabiliare, insoffribile a sè stesso, e a quelli che l'avvicinavano. Da tutti abbandonato, il suo stato diveniva più deplorabile.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","Nel turbamento del suo spirito, pensò di rimovere l'incessante martirio fra l'ebbrezza del vino, e negli esaltamenti del gioco. Neglettii pochi sinceri amici si circondò di quanti avean più nome nelle orgie dell' aristocrazia. I suoi esempi sospinsero il figlio sulla stessa carriera: la colpevole indulgenza ne facilitò il cammino, e Odoardo ora ne è la vittima.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","Intanto che l'infelice lord Dorsey cercava soffocare l'angoscia fra i disordini delle crapule e delle carte, scemavansi le sostanze, e non avvezzo ai stravizi, deperiva rapidamente la sua salute. Non aveva ancora Odoardo raggiunta l'età che la legge assegna all' emancipazione che rimase orfano. Presso a morte il padre l'aveva invano richiamato a principii migliori : l'esempio prevalse, e non appena Odoardo potè liberarsi dall' importunità dei tutori, che s'abbandonò con cieco ardore a tutti i capricci che gli suggerivano la gioventù e la fortuna.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","I beni rimasti si disperdevano con ispaventosa rapidità; coloro che protestandogli amicizia, lo avevano sospinto di vizio in vizio, e gliene avevano sovvenuti i mezzi, ora levata la maschera reclamarono i propri diritti e s'impossessarono d'ogni suo avere. Quella notte Odoardo aveva affidata alla sorte l'ultima sua speranza e l'ultima moneta; da principio la fortuna gli sorrise: egli ne fu adescato, e quando quella gli volse le spalle, illuso ancora del breve favore volle insistere, e continuò finchè i competitori con amaro soghigno gli ricordarono che non aveva più nulla a perdere. All'inaspettato oltraggio Odoardo s'alzò fremendo dal tavoliere; il sangue gli rifluiva al capo e gli enfiava le tempie: gli occhi sembrava gli schizzassero dalle orbite, e le sue membra tremavano convalse per l'indignazione e la rabbia.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","Tentò rinfacciare a quei vili l'amicizia tradita, le truffe, l'infamia, ma dal suo labbro non uscivano che suoni inarticolati. Indispettito uscì precipitosamente dalle esecrate stanze, e senza mente, senza progetto prese la via per alla campagna giurando fra sè di non riveder più mai quell' aborrita città. Fra gli studi che fin dalla sua prima età i suoi genitori vollero che adornassero il suo spirito, egli s'applicò con maggior profitto alla pittura, e sopra tutto nell'eseguire ritratti.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","L'inclinazione gli accelerò i progressi in quell' arte, e l'arte stessa sviluppò il suo gusto per quanto v' ha di bello e sublime nella natura, e l'animo suo s'abbandonava alla voluttà ed all' entusiasmo, se avveniva che s'incontrasse nelle semplici e solenni grandezze della creazione. E semplice e solenne era la scena che Odoardo aveva dinanzi, ma quell'aspetto di calma era allora in contrasto co' pensieri che fremevano nell'animo suo, e se dalle più triste immagini dell'avvenire distoglieva un istante la mente sedotta dagli oggetti che il circondavano, li rispingeva tosto come se quella pace fosse un insulto al suo infortunio. Tanto è vero che l'effetto delle cose varia in noi a norma delle disposizioni del nostro morale.","NO"
"Barbieri_Storari_Giulia-Odoardo_Dorsey-1848","Barbieri Storari Giulia","Odoardo Dorsey","1848","Erano già alcune ore che Odordo convulso e come sospinto dall'agitazione degli affetti si avanzava verso Glascow. Alfine stanco e affievolito dal lungo cammino quasi per istinto si lasciò cadere a piedi di un albero. Coi gomiti appoggiati sulle ginocchia, e nascondendo il viso nelle palme, ora rammentava i giorni trascorsi, e come trasognato gli sembrava ancora di essere felice, ed invidiato in quei convegni a' quali era sempre il ricercato, di cui era eletto ornamento: si raffigurava lo sfarzo dell' abitazione, il lusso degli abbigliamenti, le gare dei cavalli, il fragore delle cacce.. ora non vedeva dinanzi sè, che l'abbandono, il bisogno, l'umiliazione... Colla stanchezza del corpo e la tensione della mente, si era scemato alfine il suo orgoglio, e le sue idee incominciarono a riordinarsi, a mitigarsi.","YES"
