"filename","nome","titolo","anno","chunk","DIL"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","﻿IL PALAZZO DEL DIAVOLO LEGGENDA MANTOVANA ROMANZO ULISSE BARBIERI Volume Primo ALL'EGREGIA SIGNORA SELENE FOCASSATI NOME CARO ALLA MIA CITTÀ NATIVA PER PATRI SENSI DISTINTA ED ALLA QUALE AFFETTI DI FAMIGLIA MI VINCOLANO PER RICONOSCENZA E RISPETTO OFFRO IN SEGNO DI STIMA ULISSE BARBIERI. IL PALAZZO DEL DIAVOLO LEGGENDA MANTOVANA CAPITOLO PRIMO Che può servire d'introduzione.","NO"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","Una leggenda! in pieno secolo 1868?!.... ehi!","YES"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","signor Romanziere, dirà qualche gajo umore, dandomi una tiratina d'orecchi come faceva il mio maestro buon'anima quando sbagliavo la regola del tre od il mio professore di greco quando gli rispondevo latino. Affè! perchè no?...","YES"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","una leggenda è una storia come un'altra; più o meno vera, come tante altre storie vi sono, in cui si dà ad intendere quel che più piaccia! lanterna magica ad usum, in cui si fanno vedere lucciole per fanali. D'altronde a che discutere sovra una o su tal'altra forma di lavoro?....","YES"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","scelsi questa leggenda perchè a me piace volar di fantasia ed è un ghiribizzo come un altro. Varian di gusti i saggi!... Non già che io pretenda con ciò d'essere un saggio!....","NO"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","Dio me ne guardi!.... Vidi dei saggi far tante e tante sciocchezze che l'aver un ramo di matterìa nel nostro secolo di lumi (gaz) è forse la miglior cosa a desiderarsi!... Siamo sullo scorcio del secolo 1512.","YES"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","Più d'uno dei miei lettori, e più d'una delle mie amabili lettrici disponendosi al pranzo od agevolandone la digestione, o facendo almanacchi alla luna, per qualsiasi cagione insomma!... avrà passeggiato il Corso di Porta Pradella se è della città, lo avrà sentito nominare se è della provincia, e se qualcuno non l'ha veduto, non l'ha passeggiato, e non l'ha sentito nominare, vada a vederlo!... Occorre così poca spesa adesso che il progresso umano ha messo a disposizione di tutti un diluvio di quei cassoni ambulanti che si chiamano le strade ferrate, mercè i quali, con un po' di buona disposizione ed una buona ammaccatura, ad una buona noja, e ad una buona raccolta di polvere e di caldo, se si è d'estate, e di freddo se si è d'inverno, si può pacificamente viaggiare il mondo, e dico pacificamente tolto il caso d'un urto qualunque di convogli, opera della diligente diligenza dei nostri servizii pubblici in generale!...","NO"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","Il Corso di Porta Pradella pertanto è un bel Corso, lo dirò io, a chi non abbia la volontà di andarvi!.... è un'amena via fiancheggiata da bei caseggiati; alla bella facciata del teatro sociale, fa prospetto la porta sul cui arco in occasione dell'anniversario dei martiri di Belfiore la munificenza del Municipio ha fatto inchiodare delle figure, non so se di legno o di cartone, che sembrano di marmo guardandole d'innanzi, ma che per di dietro lasciano vedere le aste di legno che a sostenerle furono loro inchiodate nel capo, nelle spalle, ed in qualche altra parte più bassa!.... Quelle figure dovrebbero rappresentare credo la Storia, l'Italia, o non saprei che altro patrio simbolo!......","YES"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","Povera Storia e povera Italia!..... Guardate dalla parte della campagna così acconcie a chiodi e ad aste di legno, vi danno l'idea d'una Crocefissione di nuovo genere, che parmi duri un po' troppo!... e sarebbe oramai tempo che dovesse finire!...","YES"
"Barbieri_Ulisse-Il_palazzo_del_diavolo-1868","Barbieri Ulisse","Il palazzo del diavolo","1868","Il Corso di Porta Pradella è la passeggiata pubblica di tutti i giorni e massime delle feste, ove conviene il fiore delle vaghe fanciulle della città, colle rispettive loro mamme, e col codazzo dei loro rispettivi occhieggiatori; è un Corso ristretto e quasi di famiglia, chè Mantova è città cortese, città che ha conservata l'impronta d'una vita abbastanza socievole sebbene sia passata fra i più crudi rigori del dispotismo austriaco, forse anzi da quella cumunanza di sventure, resa più fratellevole... Pronta ad accettare il germe di quelle idee che avanzano i popoli sul cammino dell'umanità.... che ha i suoi Club, le sue riunioni artistiche, scientifiche, agricole, politiche, sociali. La cui vita insomma più che quella di altre provincie, s'avvicina alla vita delle capitali. Le sue donne senza essere tipi di bellezza classica, senza avere la plasticità d'una statua di Carrer, sono d'una fisonomia simpatica (quando non sono brutte); nel loro sguardo v'ha una languidezza patetica, generalmente pallida è la tinta del loro volto, folte le chiome e per lo più castane, portate per natura non all'astrazione delle meridionali, ma facili Al dolce vagheggiar, le fatue larve Dal pensiero evocate!...","NO"
