"filename","nome","titolo","anno","chunk","DIL"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","﻿RACCONTI ANGELICA PALLI BARTOLOMMEI. Alessio, ossia Gli ultimi giorni di Psara.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","Memorie di Paolina. - Il villaggio incendiato. - Ricordi di Federigo.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","Giulietta, ossia La Donna tradita. Un episodio dell’insurrezione greca del 1854. - Eleonora.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","Il maggiore D’Argincourt. - Calliroe. ALESSIO","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","OSSIA GLI ULTIMI GIORNI DI PSARA. ROMANZO ISTORICO.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","ALESSIO OSSIA GLI ULTIMI GIORNI DI PSARA.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","Cominciava il giugno del 1824; i Greci minacciati da imminente pericolo sentivano il bisogno della concordia, e i sollevati contro il Governo vinti, più che dalla forza, da carità della patria, rivolgevano le armi contro il comune nemico. Il figlio di Colocotroni avea, per comando del padre, ceduta Napoli di Romania alle milizie del Governo, ed erasi stabilito che i rappresentanti della nazione terrebbero per l’avvenire le loro sessioni in quell’importante fortezza. Il pascià d’Egitto preparava la sua flotta, quella uscita dai Dardanelli era tuttavia a Mitilene, e la flotta greca stava raccogliendosi nel porto d’Idra per recare ai Cretensi soccorso d’uomini e di munizioni, e andar poi in traccia delle navi nemiche per costringerle ad un conflitto.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","Correa voce fosse intenzione dell’ammiraglio turco tentare uno sbarco nelle isole d’Idra, di Spezia e di Psara, le quali avendo equipaggiati quanti più legni potevano, dopo la partenza dei medesimi rimanevano vuote di difensori; niuno però tra quegl’isolani lo credeva capace di osar tanto contro popoli, ch’ei ben sapeva non potersi sottomettere, nè trucidare come mandrie di agnelli. La prudenza voleva che quei tre baluardi della libertà di Grecia fossero presidiati da truppe di terraferma; ma da una parte indugiavasi a domandarle, nè si ebbe in mente dall’altra di offrirle prima che venissero domandate. In questo stato di cose due legni psariotti mandati a protegger Samo, dove i Turchi avean pur minacciato uno sbarco, tornavano a Psara per riattarsi, e raggiunger quindi la flotta stanziata nel porto d’Idra; erano carichi di prigionieri e di prede mercè una scorrerìa fatta sulle coste dell’Asia.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","Il giovine Alessio, proprietario e capitano di questi due legni, salutò da lungi la patria dalla quale da tre mesi era assente; Amina, moglie di uno dei primarii agà di Scala Nova e prigioniera d’Alessio, stava muta al suo fianco, riflettendo, raccolta in sè stessa, come fra tanti motivi di dolore e di lutto il suo animo potesse abbandonarsi in preda a speranze incomprensibili a lei medesima. Vesti rilucenti d’oro lasciavano trasparire tutta l’eleganza della sua persona; aveva nei lineamenti del viso non la regolarità della bellezza, e non quell’aria di capriccio, indizio della leggerezza della mente e del nulla dell’anima, ma quei lineamenti scolpiti, che indicano esservi qualche cosa di straordinario nella persona che li possiede. Alessio fissava i suoi negli occhi nerissimi della prigioniera, e in quei momenti la memoria degli azzurri languidi occhi della tenera Evantia si dileguava dalla sua mente; Evantia eragli bensì carissima, e dai primi anni dell’adolescenza l’amò e ne fu riamato.","NO"
"Bartolommei_Palli_Angelica-Racconti-1876","Bartolommei Palli Angelica","Racconti","1876","La morte del padre del giovine e dei genitori della donzella ritardò le loro nozze, e quando il giorno n’era finalmente stabilito, morì anche la madre d’Alessio pochi giorni prima ch’egli fosse costretto a imbarcarsi per Samo; così vennero ritardate fino al ritorno. Egli tornava, era giunto quasi al momento di possedere l’oggetto tanto a lungo desiderato, e il suo fervido sospiro non volava al porto che stava per afferrare, e il pensiero rimaneva immoto al suo fianco! È giunto; balza a terra; abbraccia gli amici che lo circondano, e accennando ad Amina di seguirlo, si dirige verso la casa, dove Evantia dimorava con la vecchia Sebastì nutrice del suo diletto.","NO"
