"filename","nome","titolo","anno","chunk","DIL"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","﻿Guido Bassi - La maschera rossa UN CONVEGNO. Il vento della sera soffiava forte nel parco di villa Feliciani e ne scuoteva gli alberi.","NO"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","Il sole era al tramonto ed i suoi ultimi raggi davano degli splendori rossastri, sanguigni, all’acqua del laghetto, sulla sponda del quale stava una giovane donna cogli occhi pensosi e la schiena poggiata ad un albero. Una selva di capelli biondi circondava il suo viso di fata, i suoi occhi azzurri luccicavano di pianto e di disperazione, guardando nella direzione in cui trovavasi la villa. - Perchè non viene?...","YES"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","Perchè non è già qui... egli che sa in quale angoscia mi trovo! - queste parole erano state mormorate da lei. Ad un tratto però ebbe come un sussulto, ed un’onda di sangue le corse sul viso, mentre si rizzava sulla punta dei piedi.","NO"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","Un rumore era giunto al suo orecchio, un rumore come di scalpitio di cavallo. - Egli viene! Viene a stringermi tra le braccia, a farmi animo, viene a dire alla sua Margherita che tutto è stato fruttò dell’eccitata fantasia...","YES"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","Mario! Vita mia! Idolo mio!","NO"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","E, staccatasi dall’albero al quale finora era stata appoggiata, la giovane tese le braccia, correndo incontro all’uomo cui aveva donato il suo vergine cuore, la sua anima di ragazza diciottenne. Un istante dopo i due amanti erano l’uno nelle braccia dell’altra, colle labbra unite in un lungo ed appassionato bacio. - Margherita... povero amore!","NO"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","- mormorò, serrandola al cuore, il nuovo venuto, un giovane dall’alta statura, cui un elegantissimo abito di cavallerizzo faceva risaltare le forme slanciate. Per un momento stettero a guardarsi negli occhi, ebbri di felicità. - Mario!","NO"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","- mormorò ella alfine. - Solo quando mi sei vicino, quando mi stringi nelle braccia, la pace regna nel mio cuore... ed io dimentico le angosce mie!... Non è vero, dimmi?","NO"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","non mi abbandonerai; il tuo non è stato un capriccio, non mi farai pentire di averti seguito, abbandonando la casa paterna, di aver dato ascolto alle tue promesse... ai tuoi giuramenti? - Mai, piccina mia... mai! - esclamò con l’accento della sincerità e della passione il giovane conte Feliciani, serrando con calore al petto quella bionda testina.","NO"
"Bassi_Guido-La_maschera_rossa-1910","Bassi Guido","La maschera rossa","1910","- lo ti son grato d'esser venuta, qui, nel parco... Nella villa oramai non v’è più da fidarsi; io temo che mia cugina... la baronessa di Brissac, nella sua gelosia, ci spii... Tu mi comprendi, non è vero, tesoro? Un brivido scorse per il corpo della fanciulla, che tremando, si fece condurre dall’amato verso un sedile di marmo, sul quale egli si pose a sedere, attirandola sulle ginocchia e cercando di farle coraggio, come ad una bimba impaurita.","NO"
