"filename","nome","titolo","anno","chunk","DIL"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","AMBROGIO BAZZERO Storia di un'anima Erano i tempi della nostra Vita Nuova.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","Con questo titolo uscì nel 1876 a Milano un giornale letterario sostenuto in parte dai raminghi scrittori dell'antica Palestra letteraria e da altri nuovi venuti. Furono e l'uno e l'altro due bagliori, più che due fuochi, ma a quella vampa molti giovani si conobbero a tempo, molte volontà si sgranchirono, molti ingegni si accesero. Poi venne la vita vera per alcuni, l'oblìo per altri, la morte per i migliori.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","Fu in quell'anno ch'io conobbi Ambrogio Bazzero, il primo dei nostri morti, Non molto alto di persona, di capelli rari per grave malattia sofferta qualche anno prima; con bei baffi rossicci, di fattezze regolari, parlava con una voce chiara, ora argutamente, ora in tono di profonda tristezza. Mobile, nervoso, fuggevole, caro, fu il più attivo, il più ordinato, il più candido di quella babilonia che si diceva per burla Amministrazione della Vita Nuova. Il Bazzero era nato il 15 ottobre 1851 a Milano, da una ricca famiglia.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","L'essere ricco non nocque a lui, come nuoce a molti che la troppa fortuna confonde e stanca, perchè il denaro non gl'impedì mai di studiare e di fare del gran bene alla povera gente. Fin da fanciullo, dice un santo libricciuolo che mi fu dato di consultare, Ambrogio mostrò animo così pietoso, che non osava far male a una formica. D'inverno spargeva miglio e briciole di pane sul davanzale della finestra e godeva a vedere gli uccelli che venivano confidenti a mangiare.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","Era così semplice ne' suoi gusti che un fiore, un frutto, un bambino, un cagnolino rapivano subito la sua attenzione e bastavano a consolarlo e a rallegrarlo Questa semplicità di gusto egli conservò sempre, e passeggiando con lui, era curioso il vedere come egli sapesse rilevare il bello e il grottesco nelle cose più comuni, nel saltellare elastico d'un passerotto sull'erba, o nel subito atteggiarsi d'un gatto, o nei ghirigori d'un'inferriata, o nella frase volante d'un vetturale, o in un proverbio di contadini, dei quali sapeva ingegnosamente imitare la cadenza e i fiori del linguaggio. Dopo il Liceo, in cui fu suo caro maestro Leopoldo Marenco, studiò legge privatamente, cosa di cui si lamentava sempre per non aver potuto apprendere nel libero consorzio universitario la scienza della vita e una maggiore sicurezza di sè stesso. E veramente in lui a trent'anni tremava ancora il fanciullo.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","Il pensiero era libero e audace, ma la volontà paurosa. Di questo squilibrio di forze, fra l'occhio che vede e la mano che non osa, egli si querelava spesso con me durante il nostro viaggio di piacere a Firenze e a Venezia, e spesso ne piange anche in questo libro, che è la storia dell'anima sua. Più che i codici amava le sue armi antiche di cui aveva in casa una ricca collezione, i suoi elmi, le sue spade rugginose, le celate, gli stocchi, gli archibugi a ruota.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","Nè minore era il suo entusiasmo per ogni altra sorta d'anticaglia, mobili, stipi, poltrone, inferriate, tappeti, e non già per moda, come usarono poi molti dei nostri ricchi, ma per il sentimento che gli faceva credere d'abbracciare in quelle cose lo spirito di più generazioni. Alle anime generose è poca soltanto una vita. Io me ne accorsi in quel nostro viaggio del 1876.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","Era la prima volta che si spiccava il volo dalla casa, e freschi entrambi di studi e di affetti, corremmo a contemplare le porte del paradiso, il campanile di Giotto, e poi San Marco e la laguna. Quali giorni nella mia vita e come sento che molta parte della vita di lui è rimasta come trasfusa in me! Quando entrando nella sala del Bargello a Firenze, vide una stupenda raccolta di fucili d'ogni tempo, egli gettò un grido di gioia e per poco non mi abbracciò, senza chiedermi pure se io avessi mai letta la sua monografia: Sopra gli archibugi a ruota ch'egli aveva pubblicato a vent'anni.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","Nella sala della Morte a Firenze, volle provarsi la veste, il cappuccio e la buffa della compagnia. A Parma pagò il chierico perchè si lasciasse mettere in testa l'elmo e brandisse la spada di Alessandro Farnese, giù nella cripta al chiarore delle torcie. A Ferrara, entrando nella celletta di Sant'Anna, mi accorsi ch'egli tremava di commozione, e pallido lo vidi uscire dal carcere ove fu chiuso il povero amante di Parisina.","NO"
"Bazzero_Ambrogio-Storia_Di_Un_Anima-1885","Bazzero Ambrogio","Storia Di Un Anima","1885","E intanto preveniva nuove emozioni desiderando, sognando Venezia e i quadri del suo Tintoretto, sul quale aveva due anni prima scritto il suo prediletto dramma. Non so dire se più dell'arte egli amasse la libera natura, Fin da fanciullo ebbe sotto gli occhi i malinconici dintorni del suo Limbiate e i grandi boschi di pino silvestre che coprono una vasta zona dell'alto Milanese, luoghi di caccia una volta e di sontuose villeggiature, oggi ingiustamente abbandonate. Per quei boschi, nati nell'ingrato solco della sodaglia, i sentieri si avviluppano in un inestricabile labirinto di selve, fra eserciti agglomerati di conifere, sottili, diritte, vicine, che quasi si toccano, che tolgono la luce del cielo o la lasciano solamente biancheggiare fra ciuffo e ciuffo pallidamente.","NO"
