"filename","nome","titolo","anno","chunk","DIL"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","﻿IL CASTELLO DI TREZZO.CAPITOLO I.E voi degli altri secoli feroci Ed ispid'avi... co' sanguinosi Pugnali a lato, le campestri rocche Voi godeste abitar, truci all'aspetto E per gran baffi rigida la guancia Consultando gli sgherri. Parini. Nell'età di mezzo, età d'armi e di fanatismo, in cui rade volte i principi s'avevano di mira il pubblico bene, l'Italia non offriva quell'aspetto florido e ridente che attualmente presenta.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Non vedevansi allora comode ed ampie strade, non sodi ponti sui molti suoi fiumi e torrenti, non villaggi ben costrutti e popolosi. Nell'alta Lombardia specialmente a piè de' colli e a dilungo de' fiumi erano vaste foreste e boschi antichissimi; il suolo in molte parti non appariva che nuda brughiera o inculta landa; le strade erano torti viottoli, la maggior parte ne' dì piovosi impraticabili, ne' villaggi stavano ammucchiati gli abituri dei contadini, fabbricati parte di legno e parte di sassi e creta, che mal valevano a proteggerli dalla intemperie delle stagioni. Surgevano all'incontro pel contado castelli di massiccie mura, cerchiati da profonda fossa e chiusi da porte ferrate: quivi o nobile, o feudatario, o guerriero stava rinchiuso per esercitare prepotenze sopra i vassalli, per tendere agguati a' vicini, o per sottrarsi alle pene meritatesi coi delitti e co' tradimenti.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Qua e là sparsi per le borgate e la campagna erano conventi e certose, i di cui superiori od abbati possedevano sovrani diritti. Le città presentavano l'aspetto più di fortezze che si guatino minacciose, che d'asilo di pacifici cittadini: l'una dell'altra inimiche, sempre tementi d'assalti, andavano tutte cinte d'altissime mura; e si amava più tosto con fossati e bastite di renderne l'avvicinamento difficile, di quello che procurarle ingresso comodo ed ornato. Nè a que' tempi era agevole attraversare le acque: i torrenti si passavano a secco od a guado; e quanto ai fiumi, se ne togli i luoghi più importanti per vie militari, ove gittavansi ponti, da per tutto il passaggio si mostrava disastroso, e il più delle fiate impossibile.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","E dove scorgi presentemente il maestoso ponte sull'Adda tra Canonica e Vaprio, allora non t'abbattevi che in due altissime ripe, entro cui quasi avvallate correvano le acque, inette a guadarsi. Surgevane pel vero un altro, erettovi dal duca Bernabò Visconti, allorchè rialzò dalle rovine il Castello di Trezzo; esso era guernito a due capi da torri, ma non porgeva altro ingresso fuor che al castello: e però niuno ardiva, anzi che passarlo, nè pure accostarvisi: chè chiunque fosse stato trovato o su una strada, o sovra un ponte di Bernabò, era crudelmente tormentato e quindi ucciso. Alla necessità de' passaggeri s'era però provveduto presso Vaprio con un porto costrutto rozzamente, come quella età comportava.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Appena si usciva di Canonica, scontravasi un sentiero che, passando tra ciottoli ed arene, attraversava qua e là i rigagnoli del Brembo (il quale scende dalle valli bergamasche per iscaricarsi nell'Adda), e dopo breve tratto di cammino, mettea capo a quel fiume in sito ove partitosi in due rami presentava nel di lui seno un'isoletta. Quivi la fiumana, men rigogliosa d'acque pei non ricevuti torrenti e per la partizione sofferta, dava facile adito al porto, il quale constava di due zattere locate agli opposti lati dell'isola ed aventi nella parte di mezzo un grosso palo, alla cui cima correva una fune infissa alle due bande del fiume. La prima di queste recava il passeggiero dalla sponda sinistra dell'Adda persino all'isola; la seconda dall'isola al destro lido; e qui si arrampicava novellamente un viottolo che adduceva alla via detta del bosco, tra Vaprio e Concesa.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Quest'isola era chiamata la Ca di Mandellone, perchè abitata da Nicola di Mandello, che per esser pingue appellavasi Mandellone; ed era uomo sollazzevole e di gaio aspetto, non che fino amatore del danaro. Guidava egli le zattere, e s'era per ciò edificata in mezzo all'isola una casuccia ove dimorava con sua figlia ed un famiglio; vendeva anche vino e cibi a' viandanti, i quali astretti a passare di là, vi si fermavano volentieri, adescati da sue lusinghe a vuotarne un bicchiere. La casa di Mandellone sorgeva in luogo un po' elevato: un praticello ombreggiato da alte piante vi si stendea di prospetto, ed offriva qua e là de' sedili foggiati coi tronchi d'albero, e qualche tavola per gli avventori.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Circuiva il prato un orticello che forniva i legumi per la cucina, e quivi mettean capo le due stradicciuole che si volgeano tra le piante ver gli opposti lidi dell'Adda. Allorchè l'albergatore udiva la chiamata di chi volea passar l'acque (ed era un grido od un fischio), soleva affacciarsi ad una finestretta per dove scorgeva i passeggeri senz'essere veduto: e se era tempo o persona opportuna, si muoveva a passarla, altramente fingeva di non udirla. Imperocchè capitando alla Ca di Mandellone ogni maniera di gente, siccome gabellieri, contrabbandieri, ladri, sgherri, venturieri, donne, frati, pellegrini, e simil fatta di persone, l'accorto nocchiero-albergatore evitava succedessero in sua casa incontri che valessero a porne a repentaglio la sicurezza, o cagionare disgusti agli avventori: e da che un non vi ho inteso per sua parte, qualche rimbrotto dal canto di chi non veniva passato, accomodavano ogni faccenda, in tal guisa adoperava il brav'uomo, che tutti gli restavano amici.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Volgeva l'anno 1385, ed era il venticinque maggio, giorno di giovedì, allorquando un'ora avanti al cader del sole Mandellone, che quetamente si stava nel suo casolare, udì dalla riva del bosco di Concesa partirsi un acutissimo fischio a cui varii altri si succedettero a brevi intervalli. Spiò a prima giunta dal fenestruolo, e tosto corse a staccare le zattere per levare un passeggero che lo pressava a gesti dalla sponda, e volgevasi ogni tratto a guardarsi alle spalle. Era costui un uomo a trent'anni, alto della persona, di fieri lineamenti forte adusti dal sole; sotto le larghe alaccie di un logoro cappello colla testiera a cono muoveva due occhi vivi ed agitati: aveva il mento coperto da folti peli nerissimi.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Il suo vestire constava d'un rozzo giubbone di lana scura e di due ampie brache; le sue gambe erano nude, tranne i piedi calzati in grosse scarpe acuminate; teneva tra le mani uno stocco irrugginito, la di cui punta luccicava tuttavia; e due pugnali stavangli infissi ai fianchi entro larga coreggia di cuoio, «Per Sant' Afra! (egli gridò) che ti possa affogare; sei più lento di una lumaca a muovere quelle tue quattro tavole mal connesse. - Vengo, vengo; non t'arrabbiare, Tencio (rispose Mandellone): aspetta che mi ti accosti.» Ma fu indarno, perchè Tencio spiccò un salto; e sebbene arrischiasse di capovolgere la zattera, datosi tosto a tirarne la corda a tutta possa, la fece retrocedere velocemente.","NO"
"Bazzoni_Giambattista-Il_castello_di_Trezzo-1838","Bazzoni Giambattista","Il castello di Trezzo","1838","Appena giunti all'isola, cacciossi fra le piante. Costui era un fuoruscito, il quale si aggirava per que' dintorni con due suoi compagni a fine di svaligiare i viandanti; e pel suo viso abbronzato s'avea avuto il soprannome di Tencio. Raccontò desso a Mandellone d'aver veduto uno stuolo d'uomini armati a piedi ed a cavallo, i quali s'avviavano dalla strada di Vaprio verso Concesa: per lo che avea divisato di porsi prestamente in salvo.","NO"
