"filename","nome","titolo","anno","chunk","DIL"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","﻿IL LORO MONDO Dopo la benedizione, ogni domenica, la vecchia Barbara riscalda sulle ceneri una pignattella di caffè, che sorbe in piedi nella cucina non sua, dove frignano e chiassano una mezza dozzina di bimbi; e anzichè salire la scala per raggiungere la sua stanza attigua al fienile, sguscia dalla porta come un’ombra, tanto è piccola e magra, e va a trovare mamma Rigoc: mezz’ora di salita tra campi di patate e di segala. Di solito, le due vecchie siedono sulla panchina a ridosso della casa piantata solidamente nel cuore dell’orto, a due piani sormontati da un’altana, con un portale che fa un gran buco nella facciata. Ci vuole proprio che il freddo scivoli dentro i fazzoletti annodati sulle due teste e vinca il grosso frustagno delle giacche e lo spessore delle tante gonne sovrapposte, per deciderle a rifugiarsi vicino al focolaio su cui i fascetti umidi borbottano e scoppiettano finchè riescono a curiosare, allungando lingue di fuoco, nel mistero fuligginoso della cappa.","NO"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","Mamma Rigoc è parca di parole; poichè a voler gettare fuori tutto il veleno che accumula in settimana, sarebbe un guastarsi anche la domenica in cui può tenere le mani in croce. Del resto, usa vuotarsi l’anima nel momento buono, dove capita, e sul muso di chiunque: che per dire il fatto proprio non si ha da avere soggezione. Bella novità raccontare che la nuora poltrisce nel far merletti, nell’aggiustare nastri sulle cuffie e nel lucidarsi le unghie come le maniglie, quando son cose che le sanno tutti.","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","Polenta a sazietà e pane a chi ne vuole in casa non manca, ma braccia ci vogliono, e buona volontà, per non lasciar frustare la grazia di Dio peggio che dalla tempesta. Eh sì, che il suo uomo ha dato il buon esempio fino all’ultima ora di vita: morto con la zappa in mano, che pareva fulminato. Ma chi poteva aspettarsi da quei suoi quattro mocciosi, partoriti non certo sulla bambagia, i quattro signori, che si profumano la sera per levarsi via la puzza della terra?","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","E anche questo, a dirlo, che sugo ci sarebbe? Il maggiore lo ha assassinato la guerra. Non tanto per via della ferita che gli tiene duro il braccio, quanto per quella straniera che si è portato in casa, buona a nulla, che gli zufola nelle orecchie monti di spropositi, come se badare al proprio fosse una vergogna, e una vincita al lotto andare in città sotto padrone.","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","L’altro, l’altro ha tirato sempre diritto fino alla chiamata sotto leva. Ma ora sta già con una gamba sospesa fuori; ci vuol poco a leggergli i pensieri. E, Dio non voglia, tornerà sbandato.","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","Delle due femmine la minore, quella maritata, è come dire persa: pensa a metter su figlioli, e si ricorda di casa nelle giornate che le vanno storte, per venire a vuotare un sacco di malanni, e portarsene via un altro, caricato sulle spalle, che le faccia riacquistare l’allegria. Jorka, che ha ventisette anni suonati, se pure svogliata e lenta come avesse imbrogliate le congiunture, per lavorare lavora; ma il tempo che perde ruba metà del profitto. E poi chi la capisce?","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","Sospira come una vedova e rifiuta i mariti. Non più tardi dell’ultima sagra, uno dei giovani Vidich, gente con tanto di suo sotto il sole da poterla accogliere da regina anche se nuda e cruda, fece capire le sue intenzioni. Neanche l’avessero frustata!","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","E non c’è stato verso di strapparle di bocca le ragioni del rifiuto. Capace, quella, di starsene a rimestare le ceneri quanto è lunga la domenica, ascoltando imbambolata le chiacchiere della Barbara come se ascoltasse l’armonica. Mamma Rigoc, quando sta con le mani in croce, più che far parole, si raschia di continuo la gola per ricacciare i triboli che dal cuore le salgono alla strozza.","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","Ma ancor peggiori sono talvolta le sue notti, quando stesa sul pagliericcio, messo in un angolo della stanza, per lasciar posto alle mele, alle pere, ai grappoli di sorbe che maturano allo scuro, ella si sente già indurita dalla morte, impotente a lottare contro le infamie che vede. I suoi boschi ridotti a maledette radure, a spiazzi calvi; i suoi campi invasi dalla sterpaglia, dai cardi e dall’erba matta. Le stalle sorde di voci come tombe; la casa lasciata in abbandono o ceduta ad altri.","YES"
"Benco_Delia-Creature-1926","Benco Delia","Creature","1926","E verso l’alba, se pur riconfortata nel sentirsi ancora viva, quando mamma Rigoc scende la scala, sempre prima di tutti, ha il passo pesante di un vecchio generale che inizia il combattimento quotidiano. *** La vecchia Barbara invece, da tanto che tace in settimana china sulla macchina a confezionare alla svelta camicie da uomo, specie la vigilia delle sagre, o a riempire genuflessa con ritagli di roba i tralicci per le imbottite, di domenica è loquace. Vive sola nella stanza, attigua al fienile della casa ch’era sua una volta e che ora, dal nuovo padrone, è ceduta in affitto, si può dire ogni tre anni, a donne contornate di bambini che si nutrono di polenta e latte acido, per spendere il meno possibile del denaro che il loro uomo spedisce dall’estero destinato a fabbricare la casipola.","NO"
