"filename","nome","titolo","anno","chunk","DIL"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","LETTORE CORTESE Non mi piacciono le prefazioni, e non ne voglio Solo ti avverto che il mio racconto - non so quanto potrà piacerti - è quasi interamente istorica verità. A' luoghi acconci ho notato le sorgenti da cui attinsi le mie notizie, e sono buone, lo spero, ed autentiche.","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","Se avessi potuto passar nel Libano e nella Siria una primavera ed un estate, avrei meglio descritti i luoghi; ma io imparai da quelli che vi andarono e vi rimasero, e mi dovetti fidare alle loro descrizioni. Mislin, Lamartine, Salverte, Volney, Poujoulat e simili sono i miei autori. Sappi che io feci un prodigio non mai veduto : cioè di due Pascia, quel di Damasco (Akmet) e quel di Berito (Kurscid) ne feci un solo che ho chiamato Mahmoud.","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","Ma credi bene che di due mostri farne un solo non è peccato. Se ti commoverai a compassione de' poveri Maroniti cosi oppressi dai turchi e dai drusi, io ti raccomando che ella non sia sterile. Procura ad essi un qualche alleviamento di sciagure, mandando loro un qualche soccorso per mezzo della opera della propagazione della Fede, ovvero anche per mezzo dell' opera delle scuole in Oriente (Œuvre des Écoles en Orient) il cui centro è a Parigi rue du Regard N.o 16, e ne è direttore il Signor Soubiranne.","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","Ma essa è anche stabilita in molte città d'Italia come: Aiaccio, Nizza, Roma, Milano, Asti, Bologna, Brescia, Firenze, Genova, Modena, Novara, presso che per tutto, alle cancellerie dei Vescovadi. I nostri vecchi prendevan la croce, impugnavan la spada ed andavano in Palestina ed in Siria a versare il loro sangue: e tu, o lettore, da mano al tuo gruzzoletto, se ne hai, e versa in quelle contrade un po' di denaro, per sollievarle da si infelice dominazione. Dio ti salvi.","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","Era il mese di novembre del 1859 sul suo scorcio: una lunga pioggia aveva reso impraticabile ogni sentiero della stretta campagna di Celesiria avvallata fra i due Libani; ed il cielo, ancor fosco e nebuloso, minacciava un più lungo diluviare. Un uomo presso a' 40 anni ravvolto in un mantello di lana che, per lo strapazzo e l'età, perduto aveva il primo suo candore e pareva cinerognolo, con un turbante rosso giallo sul capo toso, coi sandali a' piè, stava assiso sur un macigno bruniccio delle rovine di Balbek, e colla destra appoggiavasi alla lunga carabina. « Ullém!","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","» disse egli ad un altro, Arabo, ritto in piè, colla mano destra al mento e la sinistra in atto di sopportare il mantello, che lasciavagli ignudo uno stinco bruno e secco come di cavriolo: « Ullém, come è fosco quel cielo e triste quelle nubi, così son io. » << Tu? rispose Ullém, tu, a cui ubbidiscono i figli del deserto, come il tuo corsiere che pascola il prato?","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","Tu che hai cinque figliuoli arditi e svelti come i daini, dolci come la gazzella dei monti, robusti come gli elci del Sanir? Tu che pianti la tenda in mezzo ai popoli della Siria, e s'alloutanano di mille passi per cederti il più bel luogo, tremando alla tua voce, fuggendo l'ombra che manda la tua persona? » « Io appunto, rispose Abdelmelek; nulla mi servono il rispetto dei miei, nulla la bellezza dei figliuoli, nulla BERCHIALLA, Racconto 1 il timor dei nemici.","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","V'è qua dentro (e batteva colla destra il cuore) una fontana di assanno che scorre come il Giordano e sbocca nel mar della morte. Poni qua la tua mano, o Ullém, e senti qual fremito, qual agonia tremenda! >> << Che hai dunque?","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","Versa in questo mio cuore l'amarezza del tuo dolore, e rinfrancati. Finchè il cielo non piange per una pioggia dirotta, è tenebroso e pieno di orrore: lascialo sfogare in un torrente d'acqua, e si ras serena. ) « Ullém, riprese Abdelmelek, ascolta.","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","Io ebbi due schiave: erano gentili come il giorno, e rallegravano la mia tenda colla loro vista. Quando io veniva dalle scorrerie a Bzommar, ai Cedri, a Bicfaia, portando il frutto dei miei sudori, e la preda di questa mia carabina, mi arrestava sovente alcuni passi lontano per udirne le voci, e mi sentiva scendere al cuore una dolce melanconia, quasi una stilla di miele che racconsola. Sovente le sorpresi, mentre parlavano di altissimi secreti per me inesplicabili, ma pur dolci e meravigliosi.","NO"
"Berchialla_Vincenzo_Gregorio-Isleb_o_Il_soldato_druso-1867","Berchialla Vincenzo Gregorio","Isleb o Il soldato druso","1867","La più giovane, in sui sedici anni, appoggiava il capo sul seno di Jussefa che l'avanzava in età appena d'un lustro, ma dimostrava agli atti ed al portamento uno spirito acuto ed un cuore eccellente. E questa accarezzando gentilmente la compagna, ravviandole sulla fronte i capegli nerissimi e rilucenti, l'andava confortando a migliore speranza, e l'intratteneva d'una patria oltre modo bella, d'una città ricca fuor misura, e d'un palagio tutto di gemme, in cui dovevano entrare ambedue dopo non molto tempo. Io m'accostava furtivamente, e sorprendeva le loro conversazioni; ma appena mi vedevan comparir sulla soglia ed alzare il lembo della cortina, tacevano, chinavano a terra il viso e gli occhi, e prendevano un aspetto di mestizia inenarrabile.","NO"
