"filename","nome","titolo","anno","chunk","DIL"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","IL BENIAMINO DELLA FAMIGLIA Uscite dal villaggio e pigliate a mano destra. Non sentite il rumor del fiume che sussurra la eterna, monotona e pur non dispiacevole lamentazione delle sue onde che scorrono?","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","Quel rumore vi sarà di guida. Ecco le rive ombreggiate da salici, ontani ed alti pioppi leggiadramente superbi. Gli è colà.","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","Sulla sponda s'innalza la casa alta di più piani, bianca, colle gelosie verdi alle tante finestre che in righe serrate si schierano nelle sue pareti. L'aspetto medesimo di questa casa, il rumore di telai che sono in moto dalla mattina alla sera, il suono di canti donneschi che accompagnano quel rumore, vi avvertono che là dentro vi è una manifattura; un'insegna appiccata sulla gran porta d'ingresso vi dice, a lettere cubitali bianche su fondo nero, che quella è la fabbrica di tessuti di cotone dei signori Broeck Vannetti e compagnia. Dall'uno dei lati della casa, come un'appendice, si stende lungo la sponda medesima del fiume un muricciuolo senza arricciatura che chiude un orto il quale arieggia ad essere un giardino.","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","Al di sopra delle lattughe, dei cipollini e delle barbabietole, sfoggiano i loro fiori eleganti la rosa, la peonia, la dalia, e sorge, petulante plebeo, frammischiato a quell'aristocrazia botanica, il volgare girasole. In mezzo a quei fiori, chi guardasse traverso la cancellata di legno verniciato di color grigio che chiude l'entrata del cancello, vedrebbe parecchie volte del giorno passare ed aggirarsi, lesti e vivaci due cappelli da ragazza di paglia, ornati di nastri color di rosa, e sotto le tese di essi due visini freschi ed allegri, colorati dalla salute ed animati dalla gioventù: i volti cari e leggiadri delle damigelle Fulvia e Luigia Debaldi. Sono cugine, e la prima è nipote, la seconda figliuola del direttore della fabbrica, al quale i proprietarii della medesima, associandolo ai loro guadagni, hanno inoltre concesso per la famiglia un quartieretto a pian terreno, che mette su quella sembianza di giardino, e l'uso di quest'esso.","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","Il signor Carlo Debaldi è un uomo d'età matura. Da giovane, era stato assalito ancor egli dalla smania di un'ambizione. Voleva essere artista ed aveva egli pure, come tanti altri, fatto il suo sogno pericoloso di gloria; ma le brutte necessità della vita reale erano venute a destarlo, per istrappargli di mano il pennello e cacciargli invece la penna del computista.","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","Aveva avuto il torto d'innamorarsi, ed aveva avuto la ragione di sposare la fanciulla amata, la quale era una buona e brava ragazza con molto affetto e molta virtù, senza uno spicciolo di moneta; gli erano nati tre figliuoli, due maschi e una femmina: un suo fratello, l'unico parente che gli rimanesse, moriva anzi tempo, lasciando una bambina di otto anni a cui far da padre, e di cui amministrar le sostanze, poche ed oberate da molti debiti. Ma Carlo aveva un carattere d'oro ed una tempra di ferro. Sopra tutto gli era profondamente fitto nell'animo il sentimento del dovere, e Dio lo aveva favorito del coraggio e della forza di volontà da poter compire quello che credeva suo debito, a costo di qualunque sacrificio.","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","Diede un eterno addio all'arte, che non bastava a gran pezza ai bisogni dell'ancora accresciuta famiglia; cercò più proficuo lavoro, e benedisse la Provvidenza, quando, dopo molti e varii casi, potè trovare quel posto di direttore nella fabbrica dei signori Broeck e Vannetti, i quali, conoscendone ed apprezzandone sempre meglio la intelligenza e la moralità, vennero migliorando le condizioni di lui, finchè, oltre lo stipendio assegnatogli e l'alloggio, gli concessero, come ho detto, una certa parte negli utili. Così il signor Debaldi aveva potuto bastare all'educazione della sua figliuolanza ed a quella della nipotina, verso la quale egli governavasi in modo che, giunta alla maggior età, ella avrebbe trovato il troppo modesto patrimonio lasciatole dal padre non solo libero d'ogni gravame, ma dalla sapiente amministrazione e dall'economia e dal rammontarsi degli interessi alquanto accresciuto. Poichè il cielo l'aveva fatto padre, pensiero incessante e fra i primi nel signor Carlo era stato quello di lasciar, morendo, una modesta sostanza altresì a ciascuno de' suoi figli, la quale col lavoro potesse crear loro una indipendente agiatezza; ma i suoi guadagni pur troppo non divennero mai tali che egli potesse mettere molti risparmi in disparte, mentre pure non voleva tralasciare nessuna spesa che fosse necessaria alla buona educazione dei suoi figli.","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","Di questi, i due maschi aveva egli allogato in uno dei primi collegi della provincia, ed alle ragazze aveva fornito tutti quei mezzi d'istruzione che non disdicessero allo stato loro, e che insieme le rendessero capaci in ogni peggior caso di bastare poi a sè stesse guadagnandosi col lavoro il proprio sostentamento: la qual cosa, secondo quell'uomo prudente, era da ritenersi come base d'ogni veramente acconcia educazione. Sperava egli potere di poi avere maggiori i guadagni e minori le spese e quindi più considerevoli di gran lunga i risparmi, quando, cresciuti i figliuoli, essi pure concorressero ad accrescere i proventi famigliari, ed egli medesimo, per lo sviluppo e la prosperità maggiori dell'impresa industriale cui dirigeva, avrebbe più larga parte dei benefizi. La sorte aveva tradito le sue speranze.","NO"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","La crisi del cotone era venuta ad arrestare i progressi della fabbrica, allora quando la prendeva appunto uno slancio produttivo abbastanza importante. Si era trattato niente meno che di chiudere la manifattura: ed era soltanto mercè sacrifizi sostenuti eroicamente dai proprietarii che si continuava a tenere occupati gli operai. Di utili da spartire non c'era dunque da parecchi anni nemmanco da discorrere.","YES"
"Bersezio_Vittorio-Il_beniamino_della_famiglia-1872","Bersezio Vittorio","Il beniamino della famiglia","1872","I figliuoli poi non corrispondevano ancora alle previsioni del buon genitore. Erano ambidue uomini oramai. Il primo aveva venticinque anni, il secondo presso ai venti; quello si chiamava Emanuele, questo Cesare.","NO"
