"filename","nome","titolo","anno","chunk","DIL"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","﻿PARTE PRIMA TANAGRACAPITOLO I. Un cablogramma sensazionale Il celebre inscenatore Charley Brenon entrò nell'ufficio dell'amministratore delegato della grande Compagnia cinematografica «Universal» agitando un cablogramma. — Mister Sam, leggete – disse porgendo il foglio ad un uomo cinquantenne profondamente intento a guardarsi i poderosi piedi poggiati con eleganza yankee sulla scrivania.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— C'è del nuovo, Mister Brenon? – chiese prendendo il cablogramma. E lesse: «Charley Brenon, Hollywood – Offromi quale interprete film «Donna caduta cielo» arrivando con paracadute terrazzo «Universal» 24 Giugno – Tanagra».","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","Sam Woller offrì a Brenon un grosso sigaro e domandò: — Chi è Tanagra? — Non ne ho la minima idea. — Un'attrice italiana?","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Probabilmente: il cablogramma viene da Napoli. — Ebbene, caro Brenon, che ne dite? — Nulla... Attendo che me ne diciate voi qualche cosa.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Volete la mia opinione? Ebbene, se questo cablogramma non è uno scherzo, noi abbiamo il gran colpo di réclame per lanciare il nuovo scenario di Marcus Alliston... Se l'interprete della «Donna caduta dal cielo» ci arriva con questo mezzo grazioso dalle nubi, noi potremo girare il film più sensazionale del mondo.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Bisogna però che questa misteriosa Tanagra sia bella e sappia lavorare discretamente – mormorò Charley Brenon. — Che sia bella, sì – corresse Sam Woller – ma poco importa che sia un'oca perfetta. – Chi fa agire l'attrice è il direttore di scena: e voi, caro Brenon, mi avete cento volte provato di saper cavare miracoli da seducenti oche «fotogeniche».","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","Voi farete di questa Tanagra la più fulgida stella di Hollywood, costringendo a scoppiare d'invidia i nostri cari colleghi. E Sam Woller allungò la grossa mano conquistatrice di dollari sulla tastiera dei bottoni elettrici. Poco dopo comparve il capo dell'ufficio stampa.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Kennedy, diffondete su tutti i giornali questo cablogramma – ordinò Sam Woller. Kennedy lesse, sorrise e disse: — Buonissima trovata, mister Woller!... Grande boom!...","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","Ci sarà una vera frenesia per Tanagra! – Volete favorirmi qualche altro dato su Tanagra, mister Woller? L'amministratore delegato della «Universal» scrollò le spalle.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— E che ne so, io! — Datemi qualche notizia voi, mister Brenon – soggiunge Kennedy rivolgendosi all'inscenatore. — Ne so quanto mister Woller, io, di questa Tanagra.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","L'importante è di fare attendere il 24 Giugno come la data più interessante della storia di Hollywood. Il 24 Giugno dev'essere un giorno di spasimante attesa per tutto il mondo. Tutta l'America dovrà sentirsi orgogliosa che sul terrazzo della «Universal» piova dal cielo, il 24 Giugno, la stella che farà impallidire tutte le costellazioni di Hollywood.","YES"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Va bene, mister Woller... apro la campagna per miss Tanagra – esclamò il capo dell'ufficio stampa. – Gli aggettivi di riserva per le grandi occasioni verranno adibiti tutti al lancio di Tanagra. Nessuno sa chi sia Tanagra.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","Ecco un buon motivo perchè tutta l'America gridi in coro: viva Tanagra. Buon giorno, mister Woller; buon giorno, mister Brenon. E Kennedy uscì col cablogramma meditando qualche super-aggettivo per designare Tanagra.","YES"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— E se fosse uno scherzo? – domandò l'inscenatore. — Avremo sempre il vantaggio di aver fatto parlare tutti i giornali del nuovo scenario che stiamo allestendo – rispose l'amministratore delegato.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","– Ma perchè poi dovrebbe essere uno scherzo? — Secondo tutte le probabilità, l'ignota Tanagra è italiana – osservò Charley Brenon. — Bene?","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— E la sua idea è americana – spiegò Brenon. — Sentite, caro Brenon – disse Sam Woller con accento di generosa condiscendenza, – non è poi detto che tutte le buone idee siano l'esclusivo privilegio dei cervelli americani. Una buona idea può benissimo, qualche volta, spuntare sotto un cranio che non abbia i caratteri antropologici del yankee.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","Bisogna essere giusti, Brenon. — Non lo nego – accondiscese il celebre inscenatore. – L'Europa non è priva di genialità: non si può negare che ci abbia dato buone cose: Valentino, per esempio, e poi... tutto il suo oro.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","Una grossa risata scosse il corpo massiccio dell'amministratore delegato della «Universal». — Siete di buon umore, mister Brenon – disse Sam Woller – e ne godo. Gli uomini di buon umore lavorano meglio e rendono di più.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","– Ma ieri il vostro umore era pessimo. — Sfido! Non avevo la protagonista della «Donna caduta dal cielo» – disse Charley Brenon.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","Ora, invece, ho Tanagra. O quanto meno, ho il nome di Tanagra. — A pensarci bene, questo nome non mi è nuovo – osservò Sam Woller sforzandosi di ricordarsi dove e quando l'aveva udito pronunciare.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Non riesce nuovo nemmeno a me – soggiunge il grande inscenatore, il «più colto direttore di scena del mondo». — Perdiana! – esclamò Sam Woller.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","– Questo è il nome che si dà a certe statuette che ho recentemente acquistato in Europa e che i critici d'arte vogliono ora far credere che siano false. Io le ho pagate per autentiche, quindi sono autentiche. Ad ogni modo, questo nome di Tanagra è bello: suona bene ed è composto di sette lettere.","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Bene, mister Woller? – disse in tono interrogativo il celebre direttore di scena. – Che cosa significa un nome composto di sette lettere?","NO"
"Bertinetti_Giovanni-Il_gigante_dell_apocalisse-1930","Bertinetti Giovanni","Il gigante dell apocalisse","1930","— Significa sette milioni di dollari – rispose in tono convinto Sam Woller. Oramai è assioma tra i grandi finanzieri americani che i trusts destinati al successo si basano su un nome di sette lettere. — Superstizione!","NO"
