"filename","nome","titolo","anno","chunk","DIL"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","﻿Kutt-Hardy. Kutt-Hardy, il rivale di Sherlock-Holmes le cui imprese diedero la gloria e la fortuna allo scrittore inglese Conan Doyle, non è un personaggio puramente letterario. Sotto altro nome, esso vive in America e benchè, per una grave malattia agli arti inferiori egli non possa più esercitare le sue mirabili qualità poliziesche e se ne viva in una piccola e tranquilla villa visitato spesso dai suoi ammiratori, Kutt-Hardy tiene sempre desta la curiosità del pubblico per bocca del narratore delle sue avventure.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Herbert Bennet deve la sua nomea brillante di romanziere a Kutt-Hardy. Frequentatore assiduo, insieme a pochi altri intimi, delle serate di Kutt-Hardy egli ha udito dalla viva voce dell’eroe le avventure che traduciamo, avventure interessantissime che hanno appassionato il pubblico americano e che hanno valso al Bennet una fortuna invidiabile. Kutt-Hardy è veramente il rivale di Sherlock-Holmes, anzi noi opiniamo che il metodo di indagine poliziesca sia molto più logica e sicura in Kutt-Hardy che non in Sherlock-Holmes.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Questo personaggio dovuto alla fantasia veramente straordinaria di Conan Doyle è un poliziotto dilettante troppo intuitivo. Le sue trovate hanno troppo del provvidenziale e del mirabolante. Sherlock-Holmes, indovina troppo, deduce troppo poco.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Ecco perchè Kutt-Hardy è per certi aspetti superiore al suo maestro, se pure Sherlock-Holmes si deve considerare come maestro del nostro poliziotto. Le novelle che noi pubblichiamo in questa prima serie sono quasi tutte rapidissime: Bennet non si diffonde in descrizioni noiose ed inutili: egli dà, in poche pagine la materia di interi romanzi ed il lettore vi si diverte ed appassiona senza un minuto di sosta. Questa prima serie delle avventure di Kutt-Hardy sarà senza dubbio letta avidamente in Italia, per modo che noi prepariamo con sicurezza la traduzione della seconda serie.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Il Traduttore La pagina 309. La mente umana – incominciò Cutt-Hardy – è di una prodigiosa fecondità nell’escogitare forme di vendetta. Il desiderio di vendicarsi di un nemico, e nel medesimo tempo di sottrarsi all’occhio vigile della giustizia, ha reso fertile l’ingegno del vendicatore di delitti raffinati ed abilmente preparati.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Quanti crimini rimasero nell’oscurità e non caddero sotto gli sguardi degli uomini solo perchè gli uomini si lasciarono gabellare per morti naturali, veri assassinii perpetrati con profondità di scienza! Il codice è impotente a punire certi assassini, perchè nessun articolo di legge potrà mai colpire certi atti che pure, in fondo, costituiscono tante stilettate sul cuore della vittima designata. Ciò che mi accingo a narrarvi – o miei buoni amici – vi dimostrerà fino a qual punto può andare la diabolica raffinatezza nel delitto.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","È una delle vendette più originali che io conosca. Il giorno 13 ottobre 1902 moriva nel suo ufficio, alle ore 11 e quaranta minuti, il ricchissimo costruttore di macchine agricole Edward Campbell: egli moriva di aneurisma, improvvisamente, dinanzi a suo nipote Giorgio Campbell, che lavorava nel medesimo ufficio, ad uno scrittoio poco discosto. I medici constatarono la morte senza nulla trovarvi di anormale.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","I funerali furono splendidi perchè Campbell, notissimo a Chicago, era amato per la sua generosità, benchè, lui vivente, a mezza voce si narrasse una vaga storia di donna verso la quale egli avrebbe agito molto crudelmente. Ma nessuno dava importanza a questa vecchia storia. Cinque giorni dopo il funerale venne in casa mia il nipote Giorgio Campbell, un giovanotto sui trent’anni, che tutti sapevano molto affezionato allo zio.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Egli dimostrava una viva preoccupazione ed entrò subito in argomento dicendomi: — Io non credo alla morte naturale di mio zio… Egli è stato assassinato… — Come mai potete fare un’asserzione simile? Quali prove avete? – domandai.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","— La prova la più irrefutabile: una confessione stessa di mio zio. — Una confessione? Come mai?","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Se non erro vostro zio è morto di un aneurisma. — Così almeno asserirono i medici. Leggete.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Ho trovato questa lettera tra le carte intime di mio zio. Giorgio Campbell mi porse con mano tremante un foglietto sul quale eravi scritto a matita: «Caro Giorgio, ciò che succede è assurdo. Ti scrivo queste righe perchè temo che l’assurdo si verifichi.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","Se l’assurdo si verifica sia questo foglio testimone che tuo zio è stato assassinato, «Edward Campbell». — Che data porta questo foglietto? – domandai.","NO"
"Bertinetti_Giovanni-Le_avventure_di_Kutt_Hardy-1907","Bertinetti Giovanni","Le avventure di Kutt Hardy","1907","— Nessuna data, come vedete, signor Cutt-Hardy. — Malgrado questa confessione, sembra tuttavia che vostro zio sia morto di morte naturale, o meglio, che non sia stato vittima di nessun assassinio. — Sembra… Anzitutto, quale valore date voi alla parola assurdo che trovai in questo strano biglietto?","NO"
