"filename","nome","titolo","anno","chunk","DIL"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","PARTE VENETO Il paese « Che Tagliamento ed Adice richiude. » Dante. — Parad.","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","C. IX. VENEZIA","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","Non vi può esser nulla di più poetico, nell'aspetto suo, della città di Venezia.... Byron. Oh! sei bella, o nativa marina, Quando il sole al tramonto declina: Se in te gode la limpida notte Le sue eterne bellezze specchiar: Quando l'ombra e la calma son rotte Dal chiaror delle gondole erranti, Quando un'onda soave di canti Fa dell'eco la voce destar.","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","G. VOLLO . — Un canto a Venezia . » Carissima Sorella.","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","Eccomi, o Paolina, nella città delle meraviglie, ove invece di vie sonvi canali, invece di carrozze e cavalli, barchette e rematori. — Tu esclamerai: Quanto deve essere silenziosa e melanconica Venezia! — T'inganni: altro che melanconia!","YES"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","qui tutto è brio; Una sera uscendo da un oscuro vicolo mi trovai all'improvviso in piazza S. Marco; e restai abbagliato. In questo stupendo spazio ondeggiava un torrente di luce, e formicolava un'innumerevole turba.","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","Ovunqué sorgevano tavolieri e sedili, a cui si divertivano azzimati signori, gentili dame, prelati e popolani. In un canto il marinaio in mezzo alla sua famigliuola raccontava i suoi viaggi ; in un' altro il mercante i suoi guadagni. La pescivendola con stridula voce, aggiravasi fra tutti, offrendo i suoi pesci; il venditore d'acqua il suo liquido; il gondoliere la sua gondola, pronta a partire per qualunque parte del mondo.","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","Chi cioncava sotto ai portici, chi cantava, chi sonava, chi strepitava: insomma era un caos di gente allegra. L'aere poi echeggiava di mille suoni: dell'acuto del violino e del clarinetto, del grave del violoncello e del contrabasso, dell'armonico dell'arpa e della chitarra,! quali uniti col fruscio e collo schiamazzo della folla formavano un insieme inebbriante.","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","Io m'era avvicinato al gran campanile di S. Marco e da qui ammiravo questa fascinante scena, attorniata da superbi portici, e rischiarata dal tremulo chiarore di mille lampone a gaz-luce (1). Di fronte mi stava la Torre del-l'Órologio, tutta ornata di marmi e dorature.","NO"
"Bertolotti_Angelo-Alfredo_o_l_Italia_settentrionale-1865","Bertolotti Angelo","Alfredo o l Italia settentrionale","1865","Di repente vidi sulla sua cima muoversi due nere figure e con grave martello battere lentamente le ore. Guardai in capo alla piazza e vidi sulla facciata della Basilica di S. Marco apparire in chiaroscuro, luccicando (2) quattro dorati cavalli, una Cerere sul carro tirato da draghi ed altre strane figure in mezzo a mille colonne, che tutte sembravano, animarsi e voler saltare giù dai loro piedistalli.","NO"
