"filename","nome","titolo","anno","chunk","DIL"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","PARTE PRIMA La Società dei Carbonari. Ruminan sangue i despoti Ma con la morte in cor. GIULIO UBERTI, I moti rivoluzionari del 1821 erano stati appena allora compressi.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Il congresso di Lubiana aveva un'altra volta ribadite le catene di cui la Sacra Alleanza nel 1815 ricinse i popoli, e l'Italia intera gemeva nuovamente conculcata e divisa in brani fra i suoi sette scettrati carnefici, che contemplavano con un sorriso di scherno e colla truce gioja della vendetta soddisfatta sul volto il melanconico e sanguinoso tramonto della stella d'Italia, che aveva brillato per un'istante sulla nostra sfortunata patria, e la cui splendida luce li aveva fatti poco prima allibire di spavento e di terrore. Le orde austriache percorrevano trionfanti la misera penisola, distruggendo e cercando d'annientare colla sferza, coll'esilio, e co' patiboli qualsiasi germe di libertà. Scortato da esse, quasi in trionfo era ritornato a conculcare il bel suolo di Napoli il vecchio Ferdinando IV, già due volte fuggitivo, e due volte rimesso sul trono dalle bajonette straniere, non dopo d'essersi sbarazzato per la seconda fiata dal peso abborrito della costituzione che aveva perciò stracciata recentemente a Lubiana.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Le masnade tedesche costarono in poco tempo a' Napoletani settanta milioni di ducati, ma che importava al canuto imbecillito tiranno l'oro succhiato dal sangue de' suoi popoli, a lui, che trovava ancora somme immense da sprecare in abbellimenti ne' suoi palazzi di Napoli e di Caserta, favorita villeggiatura quest'ultima della figlia di Maria Teresa, dell'impudica e sanguinaria Carolina ? Nella vicina Roma il dominio pontificale procedeva col solito andazzo. La politica stazionaria ed abborrente da qualsiasi innovazione dettata dalla odierna civiltà non si smentiva punto.","YES"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Anche là non era il regnante Pio VII che dominava, erano, in deficenza della moglie, i favoriti ministri, infame consorteria di uomini abbrutiti dall'ambizione più sfrenata e da tutti i vizj, che nella caduta del potere teocratico, scorgevano la loro sicura perdita, e perciò con mano di ferro tentavano di schiacciare tutto che dava loro ombra di patriottismo e di libertà. Il regno temporale de' papi sôrto da impura fonte e donato dall' usurpatore Pipino, che con tal regalo aveva sanzionata e fatta benedire la male acquistata porpora reale, continuava sempre ad essere immerso nella fogna e nel fango in mezzo a cui era sôrto. Nè più avventurata era la Toscana, nella quale dominava tuttavia Ferdinando III, che meno vigliacco degli altri, erasi conservato, ad onta de'trambusti universali, sul suo seggio granducale.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Contuttociò, e sebbene non fossero successi gravi disordini in quel tratto di paese italiano, non pertanto la politica sospettosa e rapace dell'Austria, aveva colà pure stese le sue ugne ed una divisione tedesca teneva per precauzionale misura occupate le principali città, usando dappertutto le solite prepotenze e concussioni. Confinanti colla Lombardia e colla Venezia fortemente presidiate dagli Austriaci erano riusciti a mantenersi, l'una in Parma, l'altro in Modena, l'ex-imperatrice de' Francesi, Maria Luigia e Francesco IV d' Este, benchè colà numerosi forse più che altrove e ben diretti fossero i patriotti italiani. L'Austria dispotica padrona dell'intera penisola, ed ai cui cenni chinavano riverenti il capo i principotti fra i quali era divisa, faceva allora più che mai pesare il suo ferreo giogo sulle provincie Lombarde-Venete, poste sotto la sua immediata dipendenza.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Le carceri riboccavano degli uomini più influenti e chiari per scienza, per ingegno e per patriottismo; corti militari erette dovunque, condannavano senza processo e senza prova i più insigni cittadini, nè ritenendoli sicuri in terra italiana, venivano scortati infamemente a guisa di galeotti nelle fortezze della Moravia e della Boemia, ove molti di que' generosi trovarono la loro tomba. Anche in Piemonte, unico lembo d'Italia, dove sin d'allora avrebbe potuto annidarsi la rivoluzione e spiegarne alla luce del sole la sacra bandiera, ogni moto era stato brutalmente compresso, benchè molta parte dell'esercito stesso avesse proclamata la costituzione. La responsabilità immensa dell'impresa, le minaccie dell'Austria, l'incertezza, nella quale si travolgevano i moti rivoluzionarj medesimi avevano attutiti gli ardori del principe di Carignano, che spinto o dall' ambizione o da sentimenti veramente italiani s' era per un'istante posto a capo dell'opera ardita, ed egli si era ritirato, lasciando privi di direzione e scoraggiati i patriotti che lo avevano seguito con inenarrabile entusiasmo.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","La sua fuga segnò la loro perdita, e ben presto i patiboli, l'esilio e le carceri li avevano smembrati, annichiliti. Ma nò: la dura parola non regge: i patriotti esistevano tuttavia e sempre; nuovi campioni sorgevano ad ogni istante a sfidare le ire dei tiranni, e novelle congiure, che scoperte sembravano spente e annientate, si ravvivavano tosto o poco dopo, più forti, più tenaci, più diramate delle anteriori. I conati rivoluzionarj succedevano dappertutto, e specialmente nell'Italia superiore, molto più avanzata delle altre provincie italiche nelle idee di libertà e d'indipendenza.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Il carbonarismo che doveva in breve trasformarsi nella Giovine Italia sfasciato per le incarcerazioni e le condanne de'suoi capi, si rannodava nuovamente più compatto e più forte, reso più prudente della esperienza acquistata, e dalle amare delusioni provate. Uomini ardenti di patriottismo, ricchi di sapere e di talenti, benchè delusi e traditi nelle loro più ferme speranze e nei loro piani tracciati con tanta cura e tanta fatica, non ostante le fucilazioni in massa, i patiboli e le persecuzioni, punto non si scoraggiavano e benchè certi di rimaner vittime dell'amor patrio da cui erano animati, continuavano ad adoperarsi a tutta forza pel risorgimento d'Italia, colla convinzione che i loro figli e nipoti avrebbero raccolto più tardi il premio del sangue sparso dai padri, e fatta libera un di la bella e sventurata penisola italica dalle catene che la opprimevano. Si è già tanto parlato e tanto scritto sulla misteriosa associazione de' Carbonari, che la materia è ormai trita e ritrita; eppure molti ignorano tuttavia al presente il come ed il perchè dessa fosse stata fondata.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Figuratevi poi qual denso velo la coprisse nel 1821, costretta a celarsi sotto il manto del più fitto mistero onde sfuggire alle persecuzioni ed alle indagini più che mai violenti e continuate della polizia ! Le più assurde voci, sparse ad arte ed accreditate officialmente dai governi d'allora, che soli forse con una piccola ma elettissima porzione degli italiani, ne conoscevano benissimo lo scopo, correvano fra il popolo minuto, ed anche nei circoli più colti, credute e commentate in diversissimi modi. La parola carbonaro suonava in quel tempo 'alle orecchie della moltitudine come qualche cosa di straordinario, quasi una specie di spauracchio su cui si facevano le più strane induzioni.","NO"
"Bianchi_Celestino-Ciro_Menotti-1863","Bianchi Celestino","Ciro Menotti","1863","Si figuravano i carbonari tutti uomini barbuti, fieri, armati di pugnali, nascosti nell'ombra, che avevano il potere di rendersi invisibili e punivano inesorabilmente colla morte il temerario che osava scrutare i loro misteri, senza essersi affigliato. Ed onde venir ammesso a quella terribile Società, bisognava anzitutto che il candidato si assoggettasse a prove che facevano raccapricciare e drizzare i capelli in capo ai sciocchi che le narravano, ed a quelli ancora più stolti (ed erano i più) che le ascoltavano con maraviglia e terrore, e le credevano con perfetta buona fede, come succede sempre, d'ogni cosa straordinaria ed avvolta nel mistero. Per citarne una di queste assurde voci che pure dovunque in quei tempi circolavano e per dare un esempio di una delle tremende prove, a cui in ispecial modo la moltitudine prestava piena credenza, e che era ad un tempo la più sparsa, ne facciamo qui particolare menzione.","NO"
