"filename","nome","titolo","anno","chunk","DIL"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","GLI ULTIMI NOVANTA GIORNI DEL 1836 OSSIA IL COLERA IN NAPOLI RACCOΝΤΙ DI GIOVANNI EMMANUELE BIDERA PREFAZIONE Da' campi del Bengala su rapidissimo palafreno (orribilmente si ch'io non lo scrivo ) scorrendo l'Europa tutta, giunse fra noi il Colera, ossia la Colera, poichè i medici non avendo potuto finora alzargli la celata, non bene si accordano se sia maschio, o femina. Avea egli, o essa dunque, chè io non voglio questioni, abbeverando il suo cavallo, avvelenate le acque della Senna, date le spalle alla da lui desolata Marsiglia, a Genova, e a Livorno. Scacciato d' Ancona, rispettando la città de' Cesari, come il Giove di Omero, fece tre passi e col quarto fu in Napoli.","NO"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","Il primo ad annunziarlo fu uno sciagurato Doganiere, che volle dar di naso nel suo forziero. Gridò il misero, ma gridò al deserto, e spirò non creduto profeta. Un rumor sordo intanto serpeggia per tutta la città: « Il Colera è giunto e ha preso alloggio in una locanduccia a S. Bartolomeo ».","YES"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","Formicolajo di gente vi accorré e vede colà le sue prime vittime, pure non vi sipresta pienamente fede. «E Colera, non è Cole 6 PREFAZIONE ra: » son queste le voci che con tormentosa vicenda spaventano e rincorano gli animi della confusa città divisa in contrari pareri. Il grosso buon senso che corre per le strade dice di sì: la più parte de'medici affermano e dichiarano di no, quando a smentirli il terribile COLERA distese d'un colpo a terraunloro confratello a Taverna Penta.","YES"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","Da quel fatto in poi storia di paure di veleni di pianti di morti. Atterriti i ricchi, gementi i poveri, desolate le strade, vedovo Toledo, Napoli non più Napoli; Portici è la capitale. Gl'Istituti sono chiusi, gli studenti quasi tutti fuggono!","YES"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","- Ohime! ecco vuota e deserta la mia scuola di Declamazione!... Che cosa farmi adesso?...","NO"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","Come passare le mie ore fantastiche di noja e di timore? Scriviamo...un romanzo... ed eccomi al raggio di notturna lucernetta dar di mano ad una penna, quando si fanno attorno al mio tavolino le pallide ombre de' Colerosi e m'impongono di scrivere di loro. Il primo a parlare fu il Doganiere, poi la moglie del Pilota, indi uno Studente calabro, un mio amicissimo Poeta, un Avvocato ; e altri e poi altri da me non conosciuti, che con regolare vicenda mi dettarono la loro sventura costringendomi con giuramento solenne a farla palese colle stampe.","YES"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","Ma, Ombre mie carissime, con tutto il rispetto vi fo riflettere, che io spaventerò il pubblico con questi atroci racconti. Scrivi quel che vedesti - gridò sdegnoso il Poeta...minacciano, e partono. Rimaneva per ultima sul limitare della porta un'ombra alta dignitosae veneranda, a me rivolta quasi compiangendomi; indi mi siede appresso con gentile atto, onde io mi confortai.","YES"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","Era l'ombra del buono Henry. Voi, glidissi, che meglio di me conosceste il pubblico, che debbo or io fare?.. consigliatemi voi... Sorrise quel celebre Artista, e così rispose.","NO"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","Fate come spesso si è usato da me, che ad una scena seria e lagrimosa succeda una dilettevole. Le paure ridicole, i supposti veleni vi possono fornire di argomenti svariati e belli; e se avete ingegno, potete trarne profitto; e così dicendo disparve. Io seguito il consiglio di quel gran Coreografo, e pubblico questi QUADRI non già coll'idea di atterrire, ma di sollevare gli animi, spinto dal sentimento di non lasciare nel silenzio e nella oscurità certi tratti di filantropia e di coraggio di quasi tutta una Popolazione, generosa nel soffrire le proprie sven ture.","NO"
"Bidera_Giovanni_Emanuele-Gli_ultimi_novanta_giorni_del_1836-1837","Bidera Giovanni Emanuele","Gli ultimi novanta giorni del 1836","1837","LANGORA, GLI ULTIMI NOVANTA GIORNI DEL 1836 IN NAPOLI IL DOGANIERE (2 OTTOBRE) Poca favilla gran fiamma seconda. DANTE. « QUESTA città è travagliata da un morbo, che uc>> cide in poche ore.","NO"
