"filename","nome","titolo","anno","chunk","DIL"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","I CENTOVENTI GIORNI DEL 1837 PREFAZIONE Incendiati i carrettoni, chiusi gli ospedali e il Camposanto, ogni tempio risuonò le lodi del Signore per la già vinta pugna del temuto Colera - Io lo vidi, azzuffarsi con un avvinazzato cantiniere, e andare in un fascio a terra spenti entrambi nella vile taverna. Ma dopo tredici giorni da quell' apparente morte, levossi rabbuffato e sonnolento: a poco a poco, come figura di fantasmagoria, fattosi gigante, mi surò d' un guardo la vasta Città, e quasi sdegnoso di aver fin allora abitato ne' più abbietti e bassi cantoni, decise fare una passeggiata per tutti i dodici quartieri. E già muove per la Stella, ed urta col piede nello stiglio di una Zeppolajola, che rovescia morta con la pietosa vicina accorsa a sollevarla.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Gia ascende le più alte scale, entra ne' profumati gabinetti delle dame, penetra nelle più guar 6 PREFAZIONE date stanze de Magistrati, senza dar luogo alla dovuta anticamera; e mena a dritta ed a manσα, chi coglie coglie - Al codardo spavento del suo primo apparire era subentrata la più stolta baldanzosa fidanza ; e il superato pericolo, e l ottenuta vittoria, e la dolce stagione ci confortavano a sperar bene: quasi godea l'animo di scorgere quelle rarissime bare infiorate e illuminate passar compiante per Toledo, oggetto di profonda compassione, come gli orribili risuonanti carrettoni lo erano stati di estremo terrore. Ma quando queste moltiplicaronsi a segno che da Mergellina al Campo benedetto formavano una interminata e continua processione, invece delle spesse tristissime sensazioni, s'invidiarono le poche ed oscure dell'enigmatico carrettone. E quando ai lamenti del Pendino della Stella e della Vicaria risposero le querele di Chiaja di S. Ferdinando e dell'Avvocata, quan-.","YES"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","do al lutto di S. Carlo all' Arena di Porto e del Mercato si unirono i pianti di Monte-Calvario di S. Lorenzo e di S. Giuseppe, quando la città tutta in somma divenne un immenso ospedale di Colerosi, dove otto mila breviari e dieci mila preti volavano a confortare le anime fuggenti, e tredicimila medici correndo in cocchio bastavano appena a segnarne i passaporti per l'altro mondo; allora si che Napoli stette tremante e sbigottita. Si pensò fuggire; ma l' dico gigante che teneva in Napoli il ferreo piede, e il capo fulmineo nelle nubi, raggiunse i fuggitivi senza dar loro quartiere, e stese il braceio omicida sino alla lontana Marsiglia per ghermire da'capelli i naviganti sul veloce Fharamond, e tuffarli nel mare. Anche su me, la notte del 15 luglio, anche su me suo devotissimo storiografo alzò l'orribile fendente; ma mi avvolsero fra le tenebre le ombre amiche de Colerosi da mé elogiati, ed il colpo fatale cadde lungi un trar di pietra nel palazzo numero 23 vico Concordia dove ne feri 25 e ne uccise 10 !","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Conobbi allora che il consorzio di certe bestie prepotenti ê sempre pericoloso ; e mi serrai in casa - Ma il giorno 13 agosto mi destò dal sonno una pubblica gioja: aperte pian piano le vetrate vidi il feroce misterioso cavaliere sul nerissimo palufreno circondato da nube di fuoco volare verso l' oriente, e accompagnarlo fra'l pianto de' poverelli lo stupore de' medici e le maledizioni di tutti. Ringioito allora io scesi a Toledo per rivedere gli amici, e il motto d'ordine del giorno era: Son vivo, e ti abbraccio! Ma di tre due vestivano a lutto, e mi raccontavano dolorosi e faceti aneddoti, e mi esortavano a fare un' appendice agli ULTIMI GO GIORNI DEL 1836 ...","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Raccolto il voto universale, per non lasciare imperfetta la storia di così grande lagrimevole calamità, mi accingo al lavoro - Andrò io dun 8 PREFAZIONE que via via rammentandomi, ed abbozzando novelli quadri, che appenderò in vendita alle botteghe di Girard di Borsini e di Fabri per le anime sensibili e generose. I CENTOVENTI GIORNI DEL 1837 IN NAPOLI LA ZEPPOLAJOLA! (13 APRILE 1837) Urta, rompe, rovescia, uccide e passa.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","METASTASIO. CHI APRIRA MAI la scena di questa novella tragedia di tredici-mila attori? - Vedeste forse a caso, passando di notte per quella strada che un giorno conducea dritto alle carceri di Monte-santo, sul cantone del vicoletto S. Liborio a Porta Medina, una donna scalza e disciuta innanzi ad un alto tripode, avvolta nel fumo come una Pitopessa, tutta intesa a far bollire nell' olio stridente una specie di cuscus pe' nostri selvaggi inciviliti: quella appunto ê la prima esordiente dello spaventevole dramma.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Il suo nome ê Angiolella Rocco Al rom pere dell'alba del 13 aprile ella esce dalla sua casa numero 9, mette mano al suo mestiere, e fa rimbombare la contrada: Caure caure! scagliuozzole! quatto nu rano!","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","- Ma di lî a poco la sua voce argentina e sonora diviene debole e fioca in un tratto; le cade di mano la mestola; impallidisce e vacilla. Spaventati le si fanno intorno cinque figliuoli, ed il marito accorso la sostiene fra le braccia. Sopraggiungono tosto alle grida due animose donne, Rosalia la Pesacannella, e Rosaria Sperduti che la trasportano sul letto.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Ma quel letto non era che un tristo pagliericcio senza biancheria... Lo videro le due amiche della sventura, e la miseria corre intorno pitoccando per coprir la miseria Ecco già la Pesacannella allegra e sollecita torna con un fascio di cuscini e di lenzuola, quando s'intese come uno strale nelle viscere - Rosa era volata pel Viatico. Ed il Viatico scendea dalla chiesa che sovrasta al vico anzi detto, come un isolato romitorio posto sur una balza; e molta gente lo precedeva e lo seguiva, e molta devotamente affacciavasi alle finestre Ma d'un crudele stupore furono tutti compresi, quando uscito il Viatico dalla casa di Angiola, entrò nell' altra contigita a comunicare LA PESACANNELLA. (14 APRILE) Ad ogni colpo un cavalier per terra.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","TASSONI. Ê già l'ora che sveglia l' onesto cittadino e l' utile artigiano, ad affinare ai grandi Il piacer della vita e la mollezza: e le due porte numero 9 e to quasi ad un tempo si aprono, ed incontransi di fronte due desolati, che ânno vicendevolmente per la ténue parete udito gli spasimi delle misere mogli. Si guardano e non parlano; ciascuno sa le pene dell' altro; e cogli sguardi eloquenti formano un consiglio di famiglia sul deserto vicoletto, il cui risultato fu questa breve deliberazione: Sia fatta la volontà di Dio Undici teneri figliuolini, che ora fanno corona a questi sventurati, ed ora tornano ansiosi alle loro madri, incautamente vennero ad annunziare nell' impeto del dolore che la Pesacannella era morta: le loro grida svegliarono il vicinato - Il vedovo si strinse al seno quegli orfanelli, formando un gruppo più espressivo di quello del Laocoonte; l' altro corse ad annun 12 LA PESACANNELLA ziare alla Municipalità la prima vittima del riprodotto Colera; l' amicizia rese la pariglia all' a micizia.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","La prima attaccata Angiola Rocco, morì a 17 aprile; il compianto popolare l' accompagno. (15 APRILE ) Napoli dorme intanto spensieratamente, ed ê un problema de' paurosi se questi novelli casi appartengano al novello o al vecchio non ancora spento Colera; ritenendo ciascuno per certo che dov' esso per avventura fosse ricomparso, non avrebbe operato che gli ultimi moribondi suoi sforzi. Il lento procedere del morbo nei giorni 16 17 18 e 20 avvaloravano questa credenza.","YES"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Tali erano i nostri pensieri e i voti nostri di quel tempo: ma non furono che una speranza sempre più screditata e delusa di giorno in giorno. Fu allora che essendo distrutti i carrettoni 1' industre amore paterno immaginò per la vergine figliuola un funereo convoglio, rozzo bensi, ma interessante! LA PRIMA BARA ILLUMINATA (21 APRILE ) Lieve intanto la terra, e dolci e pie Ti sien l'aure c le piogge, e a té non dica Parole il passeggier scortesi e rie.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","MONTI. DOLCE amorosa cura d'anima addolorata e gentile fu certamente quella che adornò di lampadi il primo feretro de' colerosi: la religione vi pose il suo temuto stemma la pietà lo bagnò delle sue lagrime, l'amore lo cosperse di rose... Salve, o infelice vergine, che parti dal Monte Calvario per andare al Campo benedetto, come colomba disiosa Con l' alí apcrte e ferme al dolce nido. La modesta tua pompa tiene il giusto mezzo fra la oscura povertà del tenebroso carrettone vagante inosservato nell' alta notte, e la fastose ricchezza de' superbi convogli dalle numerose bandiere e dai velluti dorati, che passano nou compianti a pieno merigio.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Ma l'umile tuo feretro pietosamente illuminato attira a sê gli sguar- di di ciascuno, e tutti i cuori commove. 14 LA PRIMA BARA ILLUMINATA Salve, o vergine sventurata, che varchi Toledo fra una selva di gente, dormendo nella tua bara come Atala nel deserto in seno a Catchas trasportata dall' onde dell'Ohio. Io non ti conoSCO, e ti compiango: ma a que' sette giovanett i che ti accompagnano erano pur note le tue'sembianze, e quelle sette lampadi ch' essi sostengono par che ardano a rischiarare le tue virtùTu lasci indietro una famiglia sconsolata: io non la conosco, e pure piango con essa - Ab, fu pur gentile chi illuminò la tua bara!","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Salve, o compianta vergine! Il tuo spirito immortale percorre già immensi spazî per giungere all' amplesso di Dio; ma il tuo corpo non dileguasi ancora dalla mia vista; mi sono ancora di scorta que' fanali fuggenti, perchè io possa dirti nuovamente, salve: benedetta quella mano che illuminò la tua bara! Ah!","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","sei scomparsa: ma io ti seguo col pensiero - Tu scorrerai altre vie, ed altri pietosi ti augureranno la pace del giorno eterno; altri pietosi ripeteranno: Benedetta quella mano che d illuminato e cosperso di fiori il feretro della vergine! finchè non giungi colà dove il silenzio accoglie l'oscuro tuo nome e i rumorosi nomi de' grandi. Lâ ti troveranno i lugubri augelli abitatori de' sepolcri: lâ ti ritroverà il nuovo sole e cento altri milioni di soli - Attendi, attendi o vergine!","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","quel cortese che mettea su la LA PRIMA BARA ILLUMINATA 15 tua bara le mistiche faci, non tarderà a cospergere di fiori e di lagrime l'umile tua fossa. (22 E 23 APRILE) Questi notturni catalētti, che su le prime erano un pio ricordo della natura, una placida ammonizione alla umanità, con l'andar de' giorni divennero un terribile memento mori, che mi richiamava alla mente le mal augurate parole di un Marsigliese nel colmo del Colera passato: Vous n'avez pasu le Colera, mais vous l'aurez ! e quelle più triste ancora di un médico viaggiatore di Rodi: Guai a Napoli se il Colera vi ritornerà in aprile - Ah!","YES"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","pur troppo questi maledetti prognostici si verificarono : ed io.che avéa preconizzato spenta la dinastia del Colera per quaranta generazioni almeno, m'ebbi a sostenere la taccia di bugiardo profeta. LA SCOLLA (24 F 25 APRILE ) Quando si perde al meno Parte del cor si cara, La rimembranza amara Se ne perdesse ancor! METASTASIO.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","1 Nel giorno 17 si apri l'ospedale della Consolazione di cui si erano abbruciati i paglioni e molti altri arredi. Un servente nell' espurgo de' cenci de' colerosi fatto il 7 aprile sul Camposanto, svolgendo que' tanti involti destinati al fuoco, riconobbe la scolla ed il gilè del suo caro figliuolo morto di Colera - Chi ê padre, pensi il valore di una tale scoperta! - Il gilè fu baciato e poi dato alle fiamme ma la scolla fu sottratta da quell' amoroso genitore per memoria di ogni bene perduto.","YES"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Il giorno 24 volle adornarsene il collo - Al 25 punito dell'incauta tenerezza giaceva infermo sur uno di que' letti dove prima avea veduto morire migliaja di miseri Alle ta spirò, pregando di essere seppellito con la scolla del figlio. LA NUBE COLEROSA (26 APRILE ) D' eteruo sdegno orribilmente rossa Muove la nube, e a' popoli lontani Algente brividło manda per l'ossa. -FERRONI.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","CORREA voce che dalle fosse mal umate del Campo-santo emanassero pestifere esalazioni, causa del riprodotto Colera. Avvalorava questa popolare diceria il morbo omicida sviluppato con più veemenza in que' dintorni. E già l'immaginazione esaltata vedea verso l'alba una nube sanguigna alzarsi sopra il campo di Marte, e diradarsi a poco a poco all' apparir del sole, e ricomparire al suo tramonto.","YES"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Poscia si aggiunse che questa nube altro non era che un ammasso di rossi insetti colerosi concreati dalla putrefazione de' cadaveri, e che volando per le campagne avvelenava frutti ed erbaggi: che fu veduto questo infinito sciame d' insetti trasportato dai venti infettar tutta Napoli; e che al 20 aprile spirò un levante impetuoso, che spinse la nube colerica dentro Aversa, incolume del passato Golera e flagellata dal novello. Queste ed altre strane fantasie erano i ragionamenti di moda. 13 LA NUBE COLEROSA Certo ê che il morbo micidiale facea strage in quelle parti; e i nostri preti, il cui zelo supera davvero ogni elogio, accorreano pietosi nelle casipole de' contadini come negli alti palagi.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Ed discendere a quest' ora da S. Maria-del ecco monte IL CONFESSORE. (27 APRILE) O donna, tu vederlo brami? E il vedesti colui che t'amò tanto!...","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Abelardo! Abelardo!! FERRONI.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Il sole mandava i suoi primi raggi: le rosseggianti cime dell' ampio cratere di Napoli sembravano tante logge illuminate di un vastissimo anfiteatro: il vento spazzava la via. Ed il prete di S. Paolo col breviario sotto l'ascella ed in mente l' immagine di un moribondo, se ne tornava soletto al Convento - Gli attraversa da lunge il cammino una donna di lacere vesti, alta, del l'età di 60 anni, che muove a destra lo scarno braccio, e l'indice in consonanza di queste parole: È la chi muore senza sagramenti: e ciò detto sparisce - Ristette l'apostolo del Signore: IL CONFESSORE 19 poi si avviò lâ dove l' ingegnosa povertà nello scavato monte si avea fatta una casa di un'angusta grotta.","NO"
"Bidera_Giovanni_Emanuele-I_120_giorni_del_1837-1837","Bidera Giovanni Emanuele","I 120 giorni del 1837","1837","Tocca e spalanca la socchiusa e mal connessa porta, perchè il torrente dell' aria mattutina possa alquanto rattemprare il fatale miasma, e in nome di Dio ne varca la soglia - Entrò con lui un raggio di sole a rischiarare gli arredi di quella misera abitazione: erano una sedia ed un pagliericcio sul terreno. Quivi sotto un oscuro manto rappezzato a più colori giacea la moribonda. Il Signore che reca la salute dell'anima e del corpo, sia con voi - Come un corpo morto tocco dalla macchina galvanica, la giacente si scosse , apri le infossate luci, lo guardò attonita, e non fe' motto!","NO"
