"filename","nome","titolo","anno","chunk","DIL"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","CAPITOLO PRIMO Il cervello dell'uomo appena è in istato di esercitare le sue funzioni può rassegnarsi in tre scuole. Di queste una infallibilmente ne conoscete, - senz'altro le conoscerete anche tutte, perché non sono arcani di astronomia; - son cose semplici, e dappertutto si sentono dire.","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Io nondimeno, a scanso di equivoci, mi stimo in dovere di nominarvele tutte e tre, secondo l'ordine naturale in cui giacciono fino dal principio dei secoli. Elle pertanto son queste: Scuola della Fede; Scuola del Dubbio; Scuola dell'Incredulità.","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","E in una di queste tre, suo malgrado o no, ha da rassegnarsi il cervello. La prima è più frequentata di tutte; - la seconda più della terza; quest'ultima ha un numero bene scarso di alunni. Il locale stesso è sì angusto che non potrebbe capirne una folla, e per entrarvi ci vogliono certi dati requisiti, che non son comuni.","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Sic se res habet. V'è chi crede in tutto; v'è chi dubita di tutto; v'è chi non crede in nulla, V'è chi crede che il Sole abbia gli occhi, il naso e la bocca come abbiamo noi; - v'è chi dubita che il Sole non sia di fuoco, ma una massa enorme di ghiaccio; - vi sono certi pochi disperati che non credono in nulla, - né anche nel sasso dove urtano, - né anche nell'acqua che li bagna. - La Verità dove siede?","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","- Di grazia, vi prego, non fate a me questa dimanda, perché"" non saprei di dove cominciare a rispondervi. Quello che è vero, scuola la pretende esclusivamente nel suo retto, - e le ha destinato un bel seggiolo e a braccioli, dove non ci si vede mai nessuno a sedere. Ma tutte le scuole vi spiegano il fenomeno in questa guisa: non sì può negare, voi non vedete nessuno, e noi non vediamo nessuno, ma v'è la sua propria ragione; - la Verità è un ente invisibile.","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Forse la Verità imita il Congresso degli Stati Uniti d'America, che tiene le sue sessioni ora in questa ora in quella città, regolandosi con una giusta vicenda. Io per cominciare ab ovo, come dicono i retori, primamente entrai nella scuola della Fede, palpando l'ombre come cose sensibili, fino a che il tatto educato dall'uso non uscì d'inganno. Allora protestai nelle debito forme; - tolsi commiato il meglio che seppi, e mi diedi alla scuola del Dubbio.","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Non operò la stanchezza o il capriccio; furon la coscienza e il puntiglio che mi fecero divorziare colla Fede. La Fede me ne aveva fatte troppe delle fusa torte, e troppo manifeste, Mi dava una cosa per bianca, e al riscontro era bigia; - e quanto spesso, per cagion sua, invece d'uno ho dovuto far due viaggi, ho dovuto fare un conto due volte! Un tempo io mi dava a credere che un effetto solo e determinato fosse prodotto sempre da una causa sola, determinata, immutabile.","YES"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Un tempo io lo credeva, - e la Logica anch'essa mi accennava col capo ad una certa distanza. A me pareva allora che volesse darmi ragione, - e forse invece voleva dirmi di no, Oggi il mio credo è sensibilmente variato quasi in tutti i suoi articoli, e tale è il frutto degli anni. Ma son io più felice?","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","siete voi più felici, voi, che spettaste con tanto anelito il benefizio del tempo? - Gli anni mi hanno guarito di certe poche malattie, che non mi facevano né bene né male, e mi hanno guarito di più altre malattie, che mi facevano meglio della salute. Ora me ne accorgo, ma è tardi, - e poi quel che è stato doveva essere.","YES"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Gli anni, non contenti che il pomo dell'Asfaltide fosse pieno di cenere, gli hanno voluto rapire la lusinga di una scorza lieta dì bellezza e di luce. Oh! la dottrina degli anni!","YES"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","io la lascerei volentieri a chi la vuole, se il Fato non me l'avesse imposta come una camicia di forza. La dottrina degli anni smuove il cuore dal suo centro portandolo verso la testa. È una dottrina severa, geometrica, che cammina per terra colle mani e coi piedi, e dal tetto in su non vede altro che nuvole, e le stima buone solamente a far piovere.","YES"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Ma veniamo al dunque. - Io voleva dire che un effetto solo non dipende sempre da una causa sola: anzi spesso può dipendere sempre da due cagioni diametralmente opposte fra loro. - Un fulmine può scoppiare a ciel sereno, - può scoppiare in burrasca.","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","- Non so se in Fisica regga; ma l'ho detto così per dare un certo rilievo al mio disegno, - e in ogni caso sapete dove trovarmi; - io son qua per le debito scuse. - L'uomo può andare in prigione per i suoi meriti, exempli gratia per un furto, - etiam può andarvi per un qui pro quo. Un qui pro quo non è cosa da pigliarsi a gabbo; alle volte, è vero, può farvi ridere; - sovente ancora può farvi corrugare la fronte.","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Un qui pro quo può mettervi ai fatto d'un segreto che non avreste mai sospettato; - può dare e toglier l'ale a una vittoria; - può mandarti in prigione, e viceversa può farti vescovo. CAPITOLO SECONDO Lo conoscete voi Sancio Pansa?","NO"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","quel tipo verace di buon senso greggio e originale, tale e quale come la natura se lo cava di manica? - Ma diamine! v'è mestieri di domandano?","YES"
"Bini_Carlo-Manoscritto_di_un_prigioniero-1833","Bini Carlo","Manoscritto di un prigioniero","1833","Prendete l'uomo il più idiota, e rammentategli Sancio Pansa, si mette subito a ridere. Sancio Pansa è conosciuto in Europa, è conosciuto in America e sarà pur conosciuto in Africa e in Asia, quando queste due parti del globo vorranno leggere nei nostri libri. Sancio Pansa è il buon umore incarnato, - grazioso nei suoi sali, grazioso nelle sue balordaggini, grazioso a piedi, grazioso sull'asino.","NO"
