"filename","nome","titolo","anno","chunk","DIL"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","IL TRAPEZIO Savio Meng-pen, discepolo mio prediletto, fin da quel giorno in cui la paralisi m'irrigidì la lingua (e fu in sul principio di questa luna), tu mi sei stato sempre vicino, hai soccorso ai bisogni del mutolo ora indagando il mio cenno, or seguendo con l'occhio, e come anche ora fai, la traccia del mio calamo su questo papiro. Operando così tu mostri di possedere la più nobile fra le virtù, quella che Kong-tseu chiamava virtù d'umanità, e perciò ti lodo.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","E lodo Iddio che largì agli uomini tre possenti mezzi d'eloquenza nel gesto, nella penna e nella lingua, per modo che, grazie alla tua fedeltà, s'anco mi sia tolto il conversar delle labbra, mi sembra, scrivendo ciò che tu leggi, di non esser mutolo, giacché mi valgo d'una manifestazione dell'animo assai più lenta ma molto meno infedele che non sia la parola parlata. Afferrando la penna mi pare di stringere la mia lingua nel mio pugno e di assoggettarla meglio alla volontà e al pensiero. Tu vedi adunque, savio Meng-pen, come codesto morbo, il quale non è altro che un mio placido silenzio, e non paralizza menomamente la sensazione dell'orecchio né i movimenti della mano, e annoda soltanto il volubile organo della pronunzia, possa essere considerato come un bene piuttosto che come un male, giacché molti danni intravvengono agli uomini dalla parola ed io sono ora salvo da tali danni e perciò più perfetto nella mia persona che tant'altra gente ciarliera.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Rammentati del saggio Wen-Wang di cui è scritto nel Lun-yu, che rimase rinchiuso nell'eremo suo per tre anni senza profferire vocabolo. Pur ch'io m'illuda d'imitare quell'antico re e filosofo, mi troverò una volta di più contento nel mio silenzio. Tu sai, per quella dimestichezza che avemmo insieme, come io sia stato sempre eccessivamente propenso per mia indole al tacere.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Sai come in tutte le speculazioni del mio ingegno, e in forza della sublime scienza che professo, io abbia prediletta sempre la forma grafica del pensiero e anteposto la linea che io geometra stendo sulla tavola d'avorio, ad ogni altra dimostrazione di verità. Se la linea dunque è superiore alla parola, il carattere figurativo della nostra gloriosa patria chinese è più atto d'ogni altro a rappresentare l'idea. Ciò che non è scritto, non è dimostrato che in parte.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Felice me dunque che obbligato per esprimermi a mover la penna anzi che le labbra, sono così miglior interprete del vero. Già da parecchi giorni volevo tracciare queste righe per farti sapere che la mia calma, ammirata da te fin dalle prime ore del morbo, non è soltanto rassegnazione serena, ma sincero accontentamento dell'animo; e tu che m'ami, acquetati filosoficamente in questa certezza. Non ti rivolsi mai tante parole di seguito negli anni della mia completa salute ed ecco che, essendo ora mutolo, incomincio(7) a diventare loquace.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Sorridi pure senza temere d'offendermi; coll'orlo della pupilla, vedo l'onesto riso del tuo occhio intento a dicifrare l'orma tranquilla della mia scrittura. Sorridi pure delle contraddizioni umane, le troverai nei più saggi; ma non tralasciare di cercare il punto d'intersecazione in cui i due moti contraddittorii s'uniscono, perché colà troverai la sintesi dell'uomo e la spiegazione d'ogni sua apparente stranezza, e il tuo labbro si farà serio tosto. Certo, sono diventato loquace per ciò solo che non diffido più della mia lingua.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Se quando potevo parlare non osavo intrattenermi teco d'altra materia meno esatta che non fosse la nostra scienza, credi che la ragione di ciò non è da ricercarsi in nessuna titubanza o in nessun disdegno ch'io m'avessi di confidarmi teco, anzi la mia natura mi ha sempre spinto all'espansione fino dagli anni più teneri. Mi astenevo solo perché m'è sempre parso che la parola dovesse molto o poco travisare l'intenzione dell'affetto, e per omaggio all'affetto stesso frenavo lo slancio interno che mi trascinava ad espandermi. La vergogna dell'arrischiare, parlando, di commovermi più che non s'addicesse a filosofo, mi tratteneva anche.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Fin da quando compresi d'esser uomo, mi studiai di raggiungere quella forza morale che Confucio chiama l'irremovibilità del cuore, e in parte, a prezzo d'angoscia, la conquistai. Fin da quando lessi in Mencio che Kao-tse non si lasciava scuotere da emozione alcuna, mi studiai di possedere così solenne impassibilità. Io so fin dove posso paragonarmi a Kao-tse.","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Molte, anche fortissime azioni so di potere pacificamente compiere; altre poche e in apparenza semplici, no. Pure fin che avrò vita lotterò contro me stesso come un ginnasta e trionferò di codeste ultime fiacchezze per le quali a volte mi giaccio. Fu una di queste fiacchezze la fatale occasione della vertigine che mi colse il dì della nuova luna, mentre stavo calcolando sulla tavola d'avorio, in presenza tua e d'altri miei colleghi e discepoli e del venerabile Kung-sie, l'altezza dell'obelisco di Wei. Ti rammenti che in quel calcolo vi fu un punto in cui io volli generalizzare le mie dimostrazioni a tutte le forme trapezoidali?","NO"
"Boito_Arrigo-Il_rrapezio-1874","Boito Arrigo","Il rrapezio","1874","Ti rammenterai anche, o Meng-pen, che dopo aver disegnato col carbone tre lati d'un trapezio, mentre stavo tracciandone la base, dicendo queste parole: - il trapezio, come sapete, è una figura piana di quattro lati ineguali, due dei quali sono paralleli... - mi turbai un poco, e quando soggiunsi: - benché lo trapezoide differisca dal trapezio..., - svenni; poi mi ridestasti mutolo. I medici hanno ricercata la causa della mia malattia nel sangue, e credo che abbiano ragione; e so anche di certo che questa infermità mi sarebbe un dì o l'altro capitata per la gravezza dei miei anni; ma so pure che non la causa, ma l'occasione per la quale mi accadde ciò, fu il trapezio. Sappi dunque, mio dilettissimo Meng-pen, che in mezzo secolo ch'io ammaestro le generazioni nelle matematiche, non ho mai potuto descrivere un trapezio senza confusione dei miei spiriti vitali.","NO"
