"filename","nome","titolo","anno","chunk","DIL"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","﻿I Questo racconto strano comincia tra raggi di sole e allegrezze, un giorno di primavera, nella capitale del mondo. Comincia verso l’una pomeridiana del giorno 7 di maggio dell’anno 1900, ultimo del suo secolo: il qual giorno era lunedì, come ognuno può riscontrare in un almanacco di allora. Lunedì era, in tutte le parti del mondo civile che seguono il calendario gregoriano, e perciò anche a Roma, in via Abruzzi, la centrale tra le vie che sul colle Ludovisio furono consacrate a onorare le sedici regioni d’Italia.","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","Limitati così rapidissimamente il tempo e la porzione di crosta terrestre ove la nostra storia ha principio, possiamo salire – con l’immunità e l’invisibilità che Dio ha concesse ai narratori – al secondo piano d’una delle moderne case, dall’aspetto di villa, che formano quell’elegantissimo tra i quartieri dell’Urbe. E penetriamo addirittura – è l’ora propizia – in una gioconda sala da pranzo: soleggiata, infiorata, lucente di cristalli, di variopinte porcellane e d’argenti. Qui è raccolta, intorno alla tavola candida, una giovane famiglia: la famiglia di Mariano Parigi.","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","Mariano Parigi è un uomo oscuro nella storia, ma nella vita ha qualche importanza, se è importante guadagnare ogni anno buone somme di danaro trattando affari cospicui, e con esse provvedere ampiamente alla vita di sé e dei suoi, ed essere insignito di quegli onori, con i quali la società umana incoraggia i suoi più laboriosi. I raggi del sole, entrando dalla finestra spalancata, andavano a frangersi contro le caraffe del vino rosso, ad annegarsi entro le spume del vino biondo, rimaste nelle coppe. Mariano Parigi, quarantenne, è il pater familias.","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","In faccia a lui donna Arianna, sua moglie, giovane ancora e piacente, per coloro cui piacciono le signore d’animo ubbidiente, e di forme piccole e floride, e d’intelligenza tranquilla. Tale era donna Arianna: e per queste sue qualità il suo mitico e aereo nome si era per i familiari decapitato naturalmente in quello più placido di signora Anna. Tra l’uno e l’altro, tra Mariano e Arianna, tra il genitore e la genitrice, troneggia sulla sua sedia, rinforzata da due nudriti cuscini, il loro figliolo.","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","In faccia a questo la pallida istitutrice, giovine anch’essa ma senza sorriso: i raggi del sole la sfuggono. Due cameriere bianche e nere servono silenziosamente. All’onesto quadro non manca la figura del gatto domestico.","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","È tutto bianco e molto contegnosamente siede ai piedi della sedia del fanciullo. È tronfio e soddisfatto: ha già avuto la sua parte di quel pasto, più ghiotto e festoso che gli altri giorni. E in tutta l’aria c’è ancora un’eco di brindisi e di risa appena spente.","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","Ora, una piccola ombra traversa quell’eco. Appunto nell’attimo in cui comincia il racconto, il fanciullo aveva con molta diligenza raccolto dal proprio piatto nel cavo della mano le ultime briciole del dolce ed era in procinto di lanciarsele agilmente entro la spalancata bocca, quando un’occhiata severa del padre, un gesto spaurito della madre, una voce acuta di Elena l’istitutrice, fermarono a mezzo quell’atto voluttuoso e innocente. La voce dell’istitutrice aveva detto: «Mario, non si raccolgono le briciole».","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","Mario s’interruppe. Guardò attorno con grandi occhi attoniti i suoi educatori, poi domandò: «Nemmeno oggi che è la mia festa?». Mariano Parigi lasciò piovere sul figlio uno sguardo pieno d’indignata commiserazione.","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","Elena istitutrice ebbe un brivido di orrore. Ma donna Arianna s’impietosì e appoggiò al fanciullo una dolce mano sul braccio. Il padre s’alzò, gettò sulla tavola il tovagliolo con piglio desolatissimo, mormorando: «Non ne faremo mai niente, di questo ragazzo».","NO"
"Bontempelli_Massimo-Il_figlio_di_due_madri-1929","Bontempelli Massimo","Il figlio di due madri","1929","Ora Mario aveva i grandi occhi pieni di lacrime. Donna Arianna, alzandosi a sua volta, si chinò sopra di lui, gli cinse d’un braccio le spalle quasi aiutandolo a scendere dalla sedia, e in silenzio lo baciò sui capelli. Tutti s’avviarono.","NO"
