"filename","nome","titolo","anno","chunk","DIL"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","﻿La vita operosa Avventure del '19 a Milano ... Mediolani mira omnia: copia rerum, innumerae cultaeque domus, facunda virorum ingenia... Ausonio Capitolo primo Aperta campagna 1 Il Catechismo Alla scuola degli allievi ufficiali io e i miei compagni studiavamo le molteplici bellicose materie su certi quaderni che si venivano trasmettendo dinasticamente di corso in corso. Poiché i corsi duravano due mesi, il succedersi delle nostre generazioni era rapido.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Passavano gli studenti; ma restava, inesausto come il sole e il pensiero, il Quaderno. Molti degli studenti li portò via la guerra; i quaderni li dové distruggere la pace, perché l'uomo è un animale improvvido, e probabilmente nessuno ha pensato a conservare, per qualche ventura guerra con corsi accelerati, quelle concentrazioni manoscritte delle discipline di Marte e di Bellona. Ricordo che il quaderno d'una delle materie meno omicide, la topografia, era fatto a domande e risposte esattamente come i catechismi della dottrina cristiana e gli opuscoli di propaganda socialista; la quale triplice coincidenza potrebbe far fede che la umanità elementare è fondamentalmente dialogica.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Il capitolo intorno all'orientamento in aperta campagna finiva con queste battute: «D. Come si fa a orientarsi in aperta campagna?» «R. Con una bussola, che è uno strumento ecc. ecc.» «D.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","E quando non si ha la bussola?» «R. Con un orologio che si espone orizzontalmente al sole avendo cura ecc. ecc.» «D. E se è notte?» «R. Con le stelle, una delle quali chiamasi polare, e si trova tirando una linea immaginaria ecc.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","ecc.» «D. E se è giorno e non si ha l'orologio?» «R. Col sole.» «D. E se il sole è coperto?» «R.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Esaminando i tronchi degli alberi: la parte dove sono più verdi, poiché è quella dove non sono mai battuti dal sole, è il nord; la parte opposta naturalmente è il sud.» A questo punto finiva il capitolo, e cominciava un altro argomento. Ma a quel punto io sentivo un vuoto improvviso. Forse qualcuno dei lettori l'ha sentito con me.","YES"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","M'auguro siano pochi: li avverto che è un fenomeno morboso, prodotto in noi da una malsana tendenza verso l'infinità. Infatti, ho potuto allora fare alcune osservazioni sul contegno che i miei compagni tenevano di fronte all'interruzione. La maggioranza non aveva nessuna impressione o curiosità particolare, studiava quelle nozioni senza desiderarne altre.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Qualcuno, d'intelletto notevolmente preciso, ne dedusse che la guerra si fa sempre ed esclusivamente in luoghi ove ci siano almeno degli alberi. Pochissimi s'accorgevano che il trattato ereditario di topografia militare lasciava insoluto un grave problema: come si fa a orientarsi in aperta campagna quando si è perduta la bussola, s'è rotto l'orologio, il sole è coperto di nuvole, e non ci sono alberi. Quei pochissimi finivano per concludere che in quel caso ognuno fa quello che può: che in effetto è il solo insegnamento sicuro e fondamentale per tutte le discipline pratiche della guerra e della pace.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","2 Estasi Quando, due mesi dopo l'armistizio, rientrai (come dicevamo allora) in Italia, mi sono trovato nella città di Milano, aperta campagna per le maggiori battaglie della vita; mi sono ritrovato nell'aperta campagna Milano, senza bussola, né orologio, né sole, né stelle. Ho girato dunque per la città respirando la vita e cercando affannosamente un albero per vedere da che parte sta il nord. Quanto mi piacquero quel giorno i bar con le bottiglie di tanti colori.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","I colori dei bar, gli specchi dei caffè, i cristalli delle vetrine, e le donne che salgono in una carrozza o anche in un tranvai, furono i beni terrestri di cui il soldato sentì maggiore nostalgia. I liquori colorati, gli specchi, le vetrine e le donne, scossero ebriosamente la mia fantasia rinfanciullita nella lunga assenza dai piaceri del mondo. E così agitando lo sguardo goloso dall'uno all'altro dei molti esemplari d'ognuna di quelle specie benefiche, a un certo punto mi avvenne di fermarlo in modo particolare sopra una donna, la quale non saliva in tranvai, ma camminava morbidamente verso non so qual suo sogno o realtà fascinosa, e presto mi scomparve e non ebbe mai nome per me; era bellissima e aveva corta e densa la pelliccia e lunghe e rade le calze, e due occhi di carbone e di luce.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Come si allontanava, mi sorpresi a mormorare una frase di estasi ammirativa, che fu la seguente: «Perdio, qui bisogna trovar modo di fare molti quattrini.» Poiché intanto la donna era vanità del tutto dal mio orizzonte, un mio vigile Genio o Dàimone personale, che è loico e ironico di natura, mi domandò: «Quale rapporto così diretto e immediato supponi tu dunque, che gli Dei abbiano posto tra la bellezza e il danaro?» Ma, contro il Dàimone, ho insistito d'istinto nell'affermare quel rapporto come reale e forse anzi fondamentale ed eterno. Forse quando nacque la divina Afrodite dal mare e si presentò sul lido terrestre vestita alla moderna di poca spuma, forse allora i Tritoni e i mortali si mormorarono l'un l'altro ammirandola: «Per Zeus, qui bisogna trovare il modo di far molti talenti.» 3 Facilità Il cielo era coperto, come si conviene a una città di vita operosa. L'aria avvolgeva un velo di grigio intorno alle case, com'è opportuno in una aperta campagna delle battaglie della vita.","YES"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Il cielo era coperto e l'aria un velo grigio; ma di tratto in tratto le vie s'illuminavano di lunghi bagliori folgoranti, perché rapide correnti d'oro invadevano il cielo, s'insinuavano tra le linee dei tetti, volavano sopra le strade della città con una voce d'aeroplano giovane. Le correnti dell'oro a ogni momento urtando negli spigoli dei tetti si frangevano e mandavan giù rutilanti cascate a zampillar sui marciapiedi sotto lo sguardo dei passanti. Le donne non si chinavano a raccogliere quell'oro; lo raccoglievano gli uomini per esse.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Le correnti e gli zampilli s'allontanavano, si spegnevano, ricominciavano qua o là bizzarramente. A un certo punto mi domandai perché non m'ero chinato anch'io come gli altri. Era facile.","YES"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Chiunque può chinarsi e raccogliere. È facile chinarsi, ma non è facile pensarvi. Certi uomini, quando sarebbe il momento di chinarsi, continuano invece a contemplare la pelliccia corta che s'allontana, e non fanno a tempo a raccogliere l'oro per lei.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Questa è la differenza tra gli uni e gli altri. Non me ne rimproverai troppo. Tutto era ancora nuovo per me, che mi trovavo senza bussola né orologio né sole né stelle in mezzo all'aperta campagna della nuova vita.","YES"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Bisognava prima orientarsi. E proseguii l'esplorazione per la città, alla ricerca di alberi che m'indicassero il settentrione e l'oriente. Era l'ora che Milano è più bella: quando l'aria si risolve a essere scura del tutto, e s'accendono i lumi delle strade e delle case.","YES"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","4 Le aristocrazie Per intonarmi all'ora, sono andato al caffè. Sono entrato in un caffè che ha fama di ritrovo elegante. Ricordo che parecchi anni sono, quando ogni tanto venivo per qualche giorno a Milano da una città di provincia che dette i natali a Dante e a Machiavelli, solevo entrare in quel caffè con una specie di timorosa reverenza.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Mi pareva che tutti i presenti si voltassero a guardarmi con severità, mentre entravo e m'affrettavo a prendere un posto. M'aspettavo, ogni volta, che il cameriere prima di servirmi mi domandasse: «Il signore ha la tessera?» Il cameriere non me la chiese mai; ma certo tutti quei signori e quelle signore avevano una tessera d'intellettualità cittadina che concedeva loro la qualità di assidui in quel luogo, pubblico ma eletto; e s'indovinava sùbito, a vederli così da lontano conversare, che discorrevano d'arte, specialmente di teatro, e che erano gli uomini e le donne più intelligenti della città. Più tardi - ma sempre prima della guerra - ero venuto anch'io ad abitare a Milano, e anch'io un bel giorno, frugandomi per caso nella tasca del soprabito, ci avevo trovato la mia tessera d'intellettuale milanese.","YES"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Però non ne abusai; non andai più che raramente nel luogo pubblico ma eletto, e sempre senza mostrare la tessera. Ci sono dunque tornato quel giorno che mi aggiravo alla ricerca d'un albero orientatore. C'erano molte persone, e un colore diverso da quello d'un tempo.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Ignoro se le persone che vi si trovavano rappresentassero ancora il fiore dell'intellettualità cittadina. Certo non tutti quei gruppi discorrevano d'arte, di teatro, e d'altre cose supreme. Appena entrato, senza che sùbito mi rendessi conto della causa, mi sorprese un ricordo del fronte: rividi in un lampo stendersi Valdirose fra Tarnova e San Marco, dolce valle in un'aria d'autunno, recisa duramente da un reticolato che s'arrampicava per una china ripida.","NO"
"Bontempelli_Massimo-La_vita_operosa-1921","Bontempelli Massimo","La vita operosa","1921","Invece ero in un caffè, che ha nome di ritrovo elegante. Guardando traverso il fumo e il suono dei violini, vidi in fondo alla piccola sala, attorno a un tavolino, un gruppo composto di quattro gentiluomini e due signore. Le due signore stavano a guardare i quattro gentiluomini, e i quattro gentiluomini giocavano: giocavano alla morra.","NO"
