"filename","nome","titolo","anno","chunk","DIL"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","﻿La tragedia di Mayerling Prefazione Già prima della guerra la sorte di Rodolfo d’Austria e di Mary Vétzera m’era apparsa, per dirla con parola alfieriana, sommamente “tragediabile”: tema nello stesso tempo storico e leggendario, passionale e politico, intimo e pubblico. Essa offriva, oltre tutto, un esempio stranamente intenso di come un fatto reale, se le circostanze aiutino, possa rapidamente assumere un aspetto favoloso e mitico. Non erano ancora passati trent’anni; parecchi dei personaggi di Mayerling vivevano; eravamo in un’epoca di pubblicità abbagliante e d’orgogliosa esplorazione critica, che presumeva di ricostituire la certezza non solo intorno agli avvenimenti prossimi ma perfino intorno alla guerra di Troia e al re Numa Pompilio.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Eppure era bastata la volontà di Francesco Giuseppe, congiunta ai pudori sentimentali e agli interessi pratici di pochi altri, perché della tragedia di Mayerling quasi nulla fosse certo se non la mera constatazione che fra il 29 e il 30 gennaio del 1889 un principe e una signorina sua amante erano morti di morte violenta. In questa atmosfera l’ignota realtà poté subire deformazioni d’ogni genere: da quelle di maniera turpe e brutale a cui la sottoposero i romanzieri di portineria e gli infimi reporter, a quelle, idealizzatrici, di una vaga e inafferrabile opinione secondo la quale Rodolfo finiva per apparire un infelice martire di libertà e di giustizia, un nuovo Don Carlos, e Mary una vittima pura, quasi somigliante alla Giulietta di Shakespeare. Le pagine seguenti mostreranno come questa vaga e inafferrabile opinione fosse sostanzialmente la più vicina al vero.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","La guerra e i suoi risultati accrebbero le risonanze del fatto. Sembrava lecito vedere nella fine di Rodolfo un prodromo del crollo. Le idee impetuose e immature del secolo XIX, le aspirazioni a una società ideale e perfetta, giungevano con lui a una disgraziata insurrezione, che faceva presentire l’inanità delle tentate rinnovazioni, la necessità della catastrofe.","YES"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Gli Asburgo, abbandonando alla morte, sull’ultimo tratto della loro strada, il figlio ribelle, riuscivano a preservare se stessi e la loro legge; ma per poco; e la nemesi li raggiungeva a Vittorio Veneto e a Madera. Essi meritavano di perire; a Rodolfo e allo schematico ideale ch’egli rappresentava era mancata e mancava la forza di vincere; il nuovo secolo, quello cominciato nell’autunno del 1918, sorgeva deluso davanti a una tabula rasa, a un mondo tutto da capire e da fare. Senonché, non si poteva anche supporre che questa visione della tragedia di Mayerling fosse l’amplificazione inconsistente di un fatto di cronaca tanto illustre quanto brutto?","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Se il poeta si sentiva tentato dai significati e dalle lontananze che guerra e rivoluzioni parevano dare alla tragedia di Mayerling, allo storico s’imponeva la più prudente cautela. Giacché, quanto alla speranza che l’armistizio e la repubblica, dissigillati gli archivi, facessero venire in luce la verità, bisogna dir subito che fu speranza in massima parte vana. Poco venne fuori dagli archivi; le rivelazioni testimoniali rimasero frammentarie e contraddittorie, e spesso sospette; gli ultimi personaggi, uno dopo l’altro, sparivano e morivano; e in nessun caso sarebbe stato possibile, o umano, estorcere confidenze agli estremi superstiti, sottoporre a interrogatorio la madre di Mary o la vedova di Rodolfo.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Il protagonista era dunque quale io tendevo a raffigurarmelo, o uno squilibrato qualunque, come altri voleva? La donna ch’era morta con lui era una specie di Parca che aveva guidato un eroe all’ultimo passo, o un’avventuriera di basso rango? La storia, si dice, cerca il vero e l’arte cerca il bello.","YES"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Ma il bello è pure un aspetto del vero, e non si concepisce il sorgere di un’opera d’arte che si ponga in insolente contrasto con la coscienza intellettuale del suo tempo. Nel mio caso, poi, il problema si presentava più delicato e complesso del solito, perché non poteva escludersi che da un giorno all’altro il “mistero” improvvisamente si chiarisse e mostrasse inani le figure drammatiche costruite su un’ipotesi frettolosa. Può essere che così dicendo io erri, anche se non è disonorevole errare sulle tracce del Manzoni; ma non errerò certo confessando quale fosse il mio stato di coscienza in quel tempo.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Non sapevo staccarmi dal tema che amavo; e tuttavia nei miei personaggi volevo credere pienamente; e non mi sentivo tranquillo di ciò che vedevo con la fantasia e il sentimento finché la storia non avesse controllato e approvato quel modo di vedere. Sicché fui costretto a mettere in chiaro la sostanza storica del tema per vivere il tema poetico con pienezza di fede; mentre sarebbe superfluo aggiungere che questa fatica non mi fu fastidiosa, e che la mia curiosità della storia moderna e del clima letterario e morale in cui si formò la passione di Rodolfo e di Mary era già, di per sé sola, abbastanza fervida perché l’indagine storica, anche senza i fini artistici a cui giovava, mi occupasse la mente. Fui sui luoghi, interrogai chi potei, ascoltai opinioni, raccolsi libri, opuscoli, immagini.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Ma il massimo sforzo, poiché non serviva sperare negli archivi, dové concentrarsi in un esame, mi sia lecito dirlo, industrioso e perseverante, delle fonti accessibili, in una specie di processo indiziario donde la verità emergesse soprattutto per effetto del confronto fra i testi. Le pagine che seguono, il racconto della Tragedia di Mayerling, offrono i risultati di questo lavoro; e non mi si farà colpa di averli esposti con studio di concisione, curando di dare al lettore i punti di arrivo con sobrie indicazioni delle strade seguite, senza vanagloriarmi esibendo le lunghe peripezie che ogni pagina, posso dire, è costata. Il dramma di Rodolfo, L’arciduca, fu rappresentato a Milano nell’aprile del ’24.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","La tragedia di Mayerling, di cui il materiale era già pronto, fu scritta nei mesi successivi e pubblicata dapprima in sei fascicoli della Lettura. Qui riappare con correzioni ed aggiunte. E non avrei altro da dire, se la coscienziosità di storico con cui m’ero messo al dramma storico – titolo di merito più modesto, ma meno opinabile del valore artistico – avesse ottenuto la generalità di riconoscimenti cui ritenevo di poter aspirare.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Invece, molti in Italia videro nell’Arciduca l’abbellimento sentimentale e romantico di un fattaccio: tanto avevano potuto le dicerie eteroclite e scandalose che, abbarbicatesi per più di un trentennio sul segreto ufficiale, avevano infinito la confusione e deturpato la memoria. A Budapest un critico autorevole negò perentoriamente che Rodolfo potesse avere inclinazioni magiarofile e che gli avvenimenti ungheresi del gennaio ’89 potessero esercitare un qualsivoglia influsso sul suo destino; e a lui manderò questo libro, pregandolo di riflettere con pensiero meno preconcetto sulle concomitanze da me stabilite e sulle parole, non mie ma di Rodolfo stesso, circa i suoi atteggiamenti politici verso l’Ungheria. A Vienna, un altro critico, Arnold Höllriegel, benché assai benevolo a me e alla mia opera, sorrideva (nel Tag del 22 giugno ’24) dell’ingenuo drammaturgo che faceva cantare il fiaccheraio Bratfisch in lingua toscana.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","“Il traduttore tedesco,” soggiungeva fra parentesi, “avrà qualche imbarazzo a ritradurre in viennese queste scene...” Ma nessun imbarazzo. Bastava che il traduttore copiasse pari pari dalla Canzone del Fiaccheraio, dal Fiakerlied in dialetto viennese, le strofette che io avevo volte in toscano. Il lettore troverà in questo libro le parole originali e la musica; e troverà anche, se ne abbia curiosità, la lettera ch’io scrissi quando, tradotto l’Arciduca in tedesco, la censura viennese credé giusto di vietarne la rappresentazione, non per ragioni politiche ma per riguardo ai parenti superstiti di quelli ch’ebbero parte nella tragedia di Mayerling.","NO"
"Borgese_Giuseppe_Antonio-La_tragedia_di_Mayerling-1925","Borgese Giuseppe Antonio","La tragedia di Mayerling","1925","Poi, parecchi di questi superstiti – e fra essi la più importante, la madre di Mary – sparirono. Cercai di tenermi al corrente delle nuove confessioni e scoperte; ma nulla venne fuori che con autorità ed evidenza inoppugnabili svelasse il mistero, e nulla d’altro canto fu detto che contraddicesse seriamente alle mie deduzioni. Nuove sciocche leggende fiorirono da un momento all’altro.","NO"
