"filename","nome","titolo","anno","chunk","DIL"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","﻿A. G. CAGNA RACCONTI UMORISTICI UN SOLDO UN'AVVENTURA GALANTE UNA CROCE MERITATA LEI VOI E TU (Saggio di Dialogo) Vol. I.","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","AL MIO CARO AMICO EVASIO GABASIO Caro Gabasio Ti ricordi ancora dei placidi giorni della nostra adolescenza, quando ignari d'ogni affanno, e piena l'anima di baldanzose speranze ci lasciavamo trasportare nelle nuvole dorate di care illusioni? ‒ Ti ricordi dei beati tempi in cui il nostro fastidio più serio era quello di dover passare alcune ore fra le aride pareti della scuola, costretti a fissare gli occhiali dei nostri professori, i quali, poverini, facevano d'ogni possa per tirarci su con qualche bricciolo di sapere? ‒ Il finis del bidello segnava il principio della nostra allegria.","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ Uscivamo di collegio, e, buttati i libri in un canto, correvamo lietamente le campagne abbandonandoci alle gare dei salti. ‒ Ti ricordi di tutto ciò? e quando, fatti più grandicelli, i nostri cuori davano qualche sintomo di palpitazione, quante care follie presero possesso nei nostri deboli cervelli!","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ La mia buona nonna allora non aveva più potere di trattenermi col racconto delle gesta di Guerrino detto il Meschino. ‒ Io mi schermiva con mille sotterfugi alle premure della santa donna, ed appena poteva toccar la porta, me n'andava di volo. ‒ Le placide gioje del focolare, le storielle, ed i ninnoli non avevano più alcun fascino sui nostri giovani cuori che già intravedevano altri piaceri, altre felicità indefinite, confuse.","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ Addio giochi d'infanzia, allegre partite di campagna! addio limpide onde del fiume che eravate nostro sollazzo! ‒ Addio racconti della nonna!","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ Un subitaneo cambiamento operossi in noi in forza di uno sguardo. ‒ Il nostro cuore si era svegliato, e sulla nostra fronte giovinetta brillava un raggio d'ingenua mestizia. ‒ Allora i nostri capelli non guizzavano più disordinati; un grano di vanità era entrato nelle nostre testoline ‒ è questo un lampo dell'istinto che ci pone subito alla ricerca di ciò che piace alla donna.","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ La voce del cuore ci suggerisce che la donna ama ciò che è bello, ciò che è curato, ama l'apparenza insomma, e noi non trascuravamo punto la nostra. ‒ Io mi ricordo di tutto con estrema compiacenza. ‒ Quelle soavi emozioni, quelle delicate aspirazioni de' nostri cuori erano le prime voci d'un amore che cresceva nobilmente nei nostri cuori.","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ A quell'età si ama l'amore più che la donna, come ben disse un caro sventurato! ‒ Il mondo ci sembrava tutto bello, e quando sentiva parlare di affanni, di lacrime, pensava meco stesso che quelle voci fossero esagerate. ‒ D'allora non passarono molti anni, eppure tutto..... tutto è amaramente mutato.","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ Oh! io non so dirti quanti disinganni, quante delusioni mi caddero sull'anima! ‒ qual triste esperienza è la vita!","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ Io assisto ormai indifferente allo avvicendarsi di sempre nuove bricconerie, e vedo pur troppo signoreggiare quasi il raggiro e la mala fede. ‒ Credeva che certo cose fossero sacre, credeva all'apparenza, e a poco vedo divorato l'edifizio delle mie care illusioni. ‒ La è dura cosa il dubbio alla nostra età!","NO"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","ma questa disgraziata diffidenza che s'infiltra nell'anima è una ben triste necessità dei tempi. ‒ Gli sciocchi hanno il cuore sulle labbra. ‒ Questo ripugnante paradosso è scritto sulla bandiera di tutti.","YES"
"Cagna_Achille_Giovanni-Racconti_umoristici-1873","Cagna Achille Giovanni","Racconti umoristici","1873","‒ Non è mio proposito di far concioni, voglio soltanto nell'intitolarti questo libro, o generoso Amico, farti chiaro quale fosse il pensiero che me lo dettò. ‒ Nelle vicende di questa vita sì varia eppur tediosa, è miglior consiglio quello di non crucciarsi per nulla degli altri. ‒ Il rimedio più valido per schivare il pianto è quello di ridere.","NO"
