"filename","nome","titolo","anno","chunk","DIL"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Non sono ancor trascorsi molti anni che in Brescia nelle tarde ore della notte, in una via poco frequentata, udivasi di sovente il suono di un pianoforte eccitato da una mano maestra. Erano melodie spontanee soavemente malinconiche, vibrazioni patetiche che scorrendo sull'aria quali folate armoniche, andavano perdendosi lamentosamente a guisa di zeffiro che destandosi vigoroso ed ardito si smarrisce tra i fogliami delle siepi, e muore alitando un flebile sospiro. Non era difficile l'accorgersi che quelle soavi modulazioni erano prodotte da un'abile mano che rispondeva interprete ad un gentilissimo sentire - Per concepire ed esprimere quel misterioso linguaggio che si chiama musica, bisogna avere il cuore suscettibile alle soavi emozioni, ed i concenti sublimi di quel pianoforte erano l'emanazione palpitante di una fantasia delicata, erano la voce, l'espressione di un sentimento puro, ineffabile, celeste.","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Per quanto possa essere l'arte inerente all'uomo, nullameno l'artista vive si può dire di una doppia esistenza; l'arte è un'egoista, un'innamorata gelosa che si costituisce nella mente degli uomini un governo speciale, assoluto, determinato a certi momenti in cui tutte le altre facoltà dell'intelletto devono inevitabilmente sottomettersele - L'artista, il vero artista della fantasia, cessa d'esser uomo nel momento che crea, la sua mente sprigionandosi dalla cerchia troppo angusta in cui è costretta, erra libera negli spazi dell'infinito in cerca di emozioni da trasfondere ed imprimere nelle opere d'arte. Egli è appunto in uno di questi momenti che noi sorprenderemo il giovane pianista Ermanno Alvise, giacchè era desso il gentile disturbatore del silenzio notturno, era desso che colle soavi melodie arrestava il passeggiero per quella via costringendolo ad assaporare sino all'estremo quei melodiosi sospiri. Un salotto arredato con molto gusto, e di cui principale ornamento era un pianoforte verticale di elegante costruzione, un tavolino ripieno di scartafacci di musica, alcune sedie ed una poltrona che dall'ampia sua forma prometteva un comodo adagiarsi; ecco lo studio del nostro Ermanno il quale stava seduto al pianoforte colle mani erranti sulla tastiera nell'abbandono di chi tenta modulare i concetti che gli attraversano la fantasia.","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Ermanno avea 25 anni, la sua statura era un medio, nè troppo alta nè troppo bassa; ciò che più colpiva in lui erano due grand'occhi bruni che spiccavano sopra il volto palliduccio e gramo; la sua figura non aveva nulla di straordinario, all'infuori di una leggiera mestizia che spiravagli dallo sguardo. - Allorchè egli era rapito dalla corrente delle sue idee, le labbra si socchiudevano lasciando sfuggire un lieve sorriso di soddisfazione. Dotato di un grandissimo amore per la musica, egli aveva di gran lunga superate le belle speranze concepite sul suo ingegno; al culto dell'arte ei dedicò i suoi primi anni, e giovanissimo ancora era salito in bella fama.","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Nessuno meglio di lui traeva accordi più soavi dal pianoforte, la musica da lui eseguita aveva l'impronta di un linguaggio misterioso, ed il fascino che sapeva esercitare sull'animo degli uditori era sì grande, che bene spesso era giuocoforza abbandonarsi colla mente a tutte le oscillazioni di quelle corde, che sotto le dita del giovane pianista fremevano d'un nuovo accento, ed accarezzavano l'udito siccome le patetiche modulazioni dell'arpa - Ma ciò che più di tutto distingueva Ermanno, era la sua abilità nell'improvvisare sul pianoforte. Allora la fantasia svincolandosi dalle strettoie di un concetto limitato in poche linee di stampa prendeva il largo negli spazi infiniti della sua feconda immaginativa; in questi slanci della mente appariva vergine ed intatto il genio dell'artista, che secondando l'impulso d'un cuore ardentissimo, ora strappava lacrime con un adagio flebile, delicato, quasi impercettibile che ricercava le fibre dell'ascoltatore, e carezzandole soavemente inspirava all'animo sensi di dolcissima mestizia - Ora come torrente che straripa, le note incalzavano le note, e tanto rapidamente, che pareva d'assistere allo spettacolo d'un temporale d'inferno, allo urtarsi impetuoso di schiere d'armati spronati ad orribile massacro. Era bello Ermanno in quei momenti di abbandono, il suo sguardo stava sempre rivolto alle mani, che agilissime sorvolavano sui tasti con tanta grazia e delicatezza come si accarezzerebbe la chioma di una donna amata.","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Da qualche tempo egli lavorava alla composizione di una fantasia nella quale stillava tutta la sua feconda inspirazione. Buona parte ne era fatta, ma la riuscita non corrispondeva mai alle esigenze dell'artista. Passava ore intiere alla ricerca di una frase, diremo di più, ogni nota era l'oggetto di un paziente esame, ne provava tutte le vibrazioni, ne analizzava l'accento modulandola in mille guise finchè l'aveva collocata al suo vero posto - Era un lavoro lunghissimo, un raffinamento squisito del genio, un ricamo della fantasia.","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Sorprendiamo Ermanno in una delle sue veglie. La notte era già di molto avanzata, eppure non se ne accorgeva; da più di un'ora le sue mani cercavano sulla tastiera un'idea inafferrabile che gli attraversava la fantasia senza poterla colpire. - Non solamente la parola si ribella ad esprimere tutto ciò che si concepisce; la musica siccome quella che presenta un campo più vasto nella regione delle idee, riesce sempre più indecisa nell'espressione del pensiero.","YES"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Qual è l'artista che possa vantarsi di tradurre fedelmente le idee che gli sorgono dalla mente? Tutto ciò che si esprime in arte non è che una pallida riproduzione di ciò che si concepisce. Se le parole potessero tener dietro e concretizzare tutti i voli dell'immaginazione, sarebbe gran ventura per gli uomini di genio.","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","Tali riflessioni le faceva pure Ermanno che da molto tempo affaticavasi invano nel cercare la traduzione di un concetto troppo ardito per poterlo esprimere coi mezzi incompleti dell'arte. Già era passata la prima ora del mattino senza che l'ostinato artista pensasse che anche la natura esige i suoi tributi; ei non aveva sonno, la sua volontà era tanto fissa in quell'idea che non sentì neanche il suono di una voce che lo chiamava per nome. - Alla seconda chiamata però si scosse, ed alzandosi immantinente corse ad aprire la porta che introduceva in una stanza attigua alla sua sclamando: - Hai chiamato mamma?","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","- Sì, rispose la voce. - Attendi, porto il lume, e levata una candela dal pianoforte, ritornò nella camera della madre accostandosi premurosamente al letto. - Ti senti forse male?","NO"
"Cagna_Achille_Giovanni-Un_Bel_Sogno-1871","Cagna Achille Giovanni","Un Bel Sogno","1871","- No, no, rispose sorridendo la buona donna, sto benissimo, ho domandato perchè voglio che tu vada al riposo, è molto tardi ed hai lavorato abbastanza. - Ma no, non sono stanco, ti assicuro che mi sento bene. - Non importa, tu non sei troppo robusto figlio mio, dà retta a me, va al riposo, da bravo.","NO"
