"filename","nome","titolo","anno","chunk","DIL"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Figliuolo». «Papà». «Questo mi pare proprio l'albergo che fa per noi».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Te lo stavo per dire». «Pulito. Elegante.","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","Almeno a giudicare dall'esterno. Ci staremo come papi. E dì: sei contento di questo matrimonio?».","YES"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Se sei contento tu, sono contento anch'io». «Ma sei tu che devi sposare, figlio mio». «Sono io?","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","Oh, credevo che fossi tu». «Figlio mio, sono sei mesi che se ne parla, abbiamo combinato tutto per lettera, hai avuto perfino la fotografia della fidanzata, che arriva stasera dall'America, e ancora non hai capito che lo sposo sei tu? Mi fai cadere le braccia».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Sono io! Che bellezza! Allora fammi vedere meglio la fotografia».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Tò, guarda». «Che bella!». «Ancora non vi conoscete, ma questo non vuol dire.","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","Avrete anche troppo tempo, per conoscervi. No. Fermo.","YES"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","La fotografia la tengo io, ché tu sei capace di perderla. Dove hai messo i fiori?». «Nella valigia».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Nella valigia?». «Avevo paura che si sciupassero». «Figlio mio, non ti far sentire, quando dici queste cose.","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","Ti ho fatto studiare, ho speso per la tua istruzione migliaia di lire, ed ecco il risultato. Speriamo che la sposa non se ne accorga prima del matrimonio». «E se se ne accorge dopo?».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Dopo, troverà che sei l'ideale dei mariti. Ma, prima, ti rifiuterebbe». «Come mai?».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Così sono le donne. Prima di sposarlo, vogliono che il marito sia un genio. Quando l'hanno sposato, vogliono che sia un babbeo».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","Quando Andrea Malpieri e suo padre Gedeone entrarono nel vestibolo della «Vigile scolta», affollato di villeggianti in attesa dell'ora di cena, un omaccione, che passeggiava davanti alla porta della Direzione seguito da cinque giovinotti, chiamò: «Arocle!». Il cameriere, che stava nel corridoio, si fece rosso come un peperone e non si mosse. Egli si vergognava del suo nome.","YES"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","E aveva torto, perché, pur essendo Arocle un nome non troppo comune, non ha nulla di vergognoso. Ma tant'è. Quest'uomo, che sarebbe stato felice di chiamarsi ben altrimenti - era un suo antico sogno - si vergognava come un ladro, quando lo chiamavano a nome in pubblico, e si metteva a guardare il soffitto, per far credere che chiamassero un altro.","YES"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","Inutile precauzione, poiché tutti ormai sapevano che si chiamava Arocle e di Arocli non c'era che lui tra Palermo e Le Havre, da che l'unico altro Arocle - un vecchio irragionevole - era morto di crepacuore, a causa del proprio nome. Anzi, il cameriere della «Vigile scolta» era ormai popolare, in virtù di questo nome. Quando passava per le strade, le persone lo indicavano agli amici, dicendo, con la mano davanti alla bocca: «Vedi?","YES"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","Quel tale si chiama Arocle». «Ma va!», esclamavano gli amici. L'omaccione che passeggiava gridò: «Animale!».","NO"
"Campanile_Achille-Agosto_moglie_mia_non_ti_conosco-1930","Campanile Achille","Agosto moglie mia non ti conosco","1930","«Comandi!», fece Arocle, irrompendo nella sala. Alla vista dei nuovi arrivati, aprì le braccia facendo: «Oh!». Tratto in inganno dal largo gesto, Andrea lo abbracciò con trasporto.","NO"
