"filename","nome","titolo","anno","chunk","DIL"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","﻿GIOVINOTTI, NON ESAGERIAMO! (E SIA DETTO ANCHE ALLE RAGAZZE*) Un pallone che parte e non ritorna.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","— Si sarebbe moltiplicato in ventimila palloni? — Interessamento degli scienziati e importanza del carattere corsivo. Il 12 di quel mese, sapete, quel mese così conosciuto, di cui si parla tanto, specialmente in poesia, ma sì, quel mese che fa rima con quella cosa, ce l’ho sulla punta della lingua.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Insomma, il 12 di quel mese, al Chrystal Palace di Londra i 200.001 occhi degli spettatori che assistevano a una partita di calcio... “Oh,” diranno i lettori “c’era uno spettatore con un occhio di più.” No. C’era uno spettatore con un occhio di meno. Un simpatico vecchietto a nome Peterson, che non mancava mai alle grandi partite di calcio, dovunque esse si svolgessero.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Per assistervi, quest’uomo irrequieto compiva lunghi viaggi e spendeva un monte di quattrini. Una volta, in un resoconto, si lesse che la partita era seguita da centotrentamila occhi. “Oh,” dissero tutti “è morto Peterson.” Ma Peterson era vivo e presente alla partita.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Il fatto è che questa volta, nel pubblico, c’era anche un altro spettatore guercio. Allora i giornali pregarono quest’ultimo di intervenire sempre, come spettatore, alle grandi competizioni calcistiche, e gli pagarono i viaggi, per ristabilire l’equilibrio e facilitare il compito dei resocontisti, che, prima, con quell’occhio dispari, eran costretti a fare calcoli complicatissimi. Dunque, i 200.001 occhi degli spettatori che assistevano a una partita di calcio al Chrystal Palace videro un fatto curioso.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Il pallone, spinto da un calcio del famoso Tom Bills, s’alzò, traversò l’aria come un bolide, divenne piccino piccino e scomparve. Orbene: per quante ricerche si facessero, di quel pallone non si trovò traccia. Esso era scomparso.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","* * * (Notate l’efficacia del carattere corsivo nei romanzi: esso dà a una frase semplice in apparenza, un che di misterioso e in certi casi procura, a chi legge, un leggero brivido. Perché? Chi sa.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Non potrò mai dimenticare l’impressione che, in un romanzo, mi fece questa frase stampata in corsivo: Un pallore terribile si diffuse sul suo volto: il cocchiere aveva due dita di meno. E quest’altra frase? Provate a leggerla di notte, soli, nella vostra stanzetta, com’è accaduto al sottoscritto, nel corso di un romanzo misteriosissimo: Egli scorse nell’angolo il meticcio.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Che c’è in questa frase? Niente. Eppure, quel corsivo quando uno meno se l’aspetta dà al meticcio qualche cosa di misterioso e di spaventoso, da far rizzare i capelli.)","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","* * * Le autorità sportive inglesi, non avendo altro da fare, si adoperarono molto per rintracciare il pallone, divenuto ormai storico. I giornali fecero ricerche per conto proprio inviando sul luogo i migliori cronisti, e la questione, divenuta d’interesse generale e tenuta viva dalle congetture del popolino, fini per esser portata davanti all’Accademia Scientifica Inglese, che dedicò più d’una seduta al fenomeno e incaricò uno scienziato — il professor Sambuko —di studiarlo sul posto. Qualcuno dei colleghi del professor Sambuko avanzò l’ipotesi che l’oggetto, uscendo dall’orbita d’attrazione della Terra, fosse stato catturato dalla Luna o da qualche pianeta vicino.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Ma la cosa parve — ed era difatti — poco verosimile. Si pensò che fosse caduto in mare, ma, per quante ricerche fossero fatte da battelli attrezzati all’uopo, non se ne trovò traccia: e sì che avrebbe dovuto galleggiare; senza dire che anche il fondo marino fu scandagliato ben bene, senza risultati. Qualche giornale lanciò l’ipotesi che il pallone, caduto a poca distanza dal Chrystal Palace, fosse stato raccolto da persona non troppo scrupolosa, che l’avesse occultato.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Allora le autorità sportive londinesi stanziarono premii vistosissimi per chi avesse riportato il pallone, o avesse saputo dar notizie sufficienti a farlo rintracciare. In seguito a questo, si presentarono non meno di ventimila persone con altrettanti palloni, dichiarando di “averli trovati nei dintorni di Londra”; dichiarazione molto sospetta se si pensa che è un fatto per lo meno strano che, nello spazio di pochi giorni, si perdano più di ventimila palloni nei soli dintorni di Londra. Senza contare che nessuno dei palloni esibiti aveva le impronte del piede di Tom Bills.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Il “mistero del Chrystal Palace” — così ormai si chiamava questa faccenda — appassionò per qualche tempo stampa, pubblico, gente di diporto e studiosi. Poi, non venendosi a capo di nulla, come accade, fu dimenticato e nessuno ne parlò più. Soltanto nel popolino restò il ricordo del “pallone di Tom Bills”, e cominciarono a circolare leggende sulla sua sorte.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Si narrarono ai bambini le storie del pallone di Tom Bills rapito dagli spiriti folletti e del pallone di Tom Bills che il diavolo s’era portato all’inferno per giocare coi demonii. Tra i vecchi giocatori ognuno disse la sua e pretese di sapere la verità su questa faccenda, che presto divenne proverbiale. Tanto che, ancor oggi, nei sobborghi di Londra, quando si parla di qualcuno che se ne va senza lasciare sue notizie, o d’un oggetto smarrito che non s’arriva a ritrovare, si dice: “Fa come il pallone di Tom Bills”.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Pontesullago, strano paese. — Proponimenti per la vecchiaia. — Un lago sempre tetro e un Santo poco noto.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","— Sua maraviglia nel vedersi salutato dai passanti. — Come si salutano le immagini sacre agli angoli delle strade. E gira il mondo, se lo vuoi girare, un paese non c’è simile a questo.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Vi ricordate di quella volta che il vostro treno si fermò verso mezzogiorno a una stazioncina in piena campagna? C’era un sole che spaccava le pietre. Il treno si fermò un minuto; si sentì sbattere uno sportello; si udì una gallinella che accennava a far coccodè; poi una trombetta, seguita subito da un fischio breve della locomotiva, e il treno ripartì.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","E vi ricordate di un’altra volta che il treno si fermò a quella stessa stazioncina, mentre era notte e voi dormivate? Un ferroviere scese e camminò lungo il treno buio, gridando... Gridando un nome oggi celebre, signori, e se ve lo dicessimo, saltereste mezzo metro da terra. Ma noi non vogliamo dirlo quel nome, perché si tratta d’un paese di gente vendicativa; d’un paese di anime perse.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","E, oggi, anche d’un paese potente. Perciò diremo, per intenderci: un ferroviere scese e camminò lungo il treno buio, gridando: “Pontesullago!” * * * Come vorremmo poter raccontare, di Pontesullago, una storia di pace e di serenità; descrivere quei pomeriggi inoltrati, in una bianca strada di campagna, fiancheggiata dai canneti coperti di polvere, con l’odore acuto di mandorle amare; descrivere i prati primaverili di sera, con l’odore di fieno e di mentuccia; l’argine con gli oleandri in fiore, poco dopo il tramonto, quando ancora c’è una luce serena, una luce classica, e l’odore è più acuto; quelle notti estive sui giardini, con l’odore dei gelsomini, e quelle mattinelle fresche, nei cortili; descrivere gli amori di Joséphine, un po’ fuori del paese, dopo la benedizione in chiesa. Ma Joséphine è prigioniera, signori, e un perverso destino ci obbliga anche questa volta a far dolce violenza alla nostra vera natura, che è vagamente volta al poetico.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Ci rifaremo di tutto, un giorno, quando non avremo più cose urgenti da dire. Quel giorno, il più lontano possibile, svaniti i bollori della gioventù, potremo scrivere finalmente qualcosa di sereno, calmo e affettuoso, nei riguardi di Pontesullago. E chi sa che non riusciremo a scoprirlo, allora, questo paesino ideale, questo luogo ignoto e tranquillo, dove tutto costi poco e tutto sia bello e onesto, dove le zanzare sieno sconosciute, le acque fresche e i vini generosi; dove i venti spirino soavi nei boschetti, i fiori nascano lungo le strade odorose e gli abitanti sieno ospitali e antichi; dove la sera s’odano canti lunghi e malinconici errare tra la terra e il cielo, tra il profumo delle mucche e quello del fieno, e tutta la notte trillino i grilli sotto le trepide costellazioni.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Quel giorno saremo vecchi e avremo messo testa a partito. Ma se il cielo ci concederà di scoprire questo paese dei sogni, andateci in villeggiatura, signore e signori, e siate felici. Quanto a noi, chiederemo solo che in questo paese, dove fioriranno gli amori d’una stagione, la più solitaria, ombrosa e discreta strada sia intitolata al nostro nome.","NO"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","* * * Strano paese. Figuratevi una piazza, e alcune strade e alcune case abitate dagli abitanti di Pontesullago. Per la piazza, poi, si aggiravano perennemente dei cani misteriosi, senza padrone.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Donde venivano? Come vivevano? Nessuno avrebbe saputo dirlo.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Questi cani, la notte, dormivano? No. Abbaiavano alla luna.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","A lungo. Perché? Lunghi, tristi, angosciosi abbaiamenti si spandevano, nei vasti campi imbiancati dall’astro che illumina le notti.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Dietro al paese, c’era un piccolo lago. Sempre tetro e malinconico. Perché?","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Che diavolo era accaduto a quel lago? Se ne stava chiuso tra due montagnole, solitario e imbronciato, di notte e di giorno, e non sorrideva mai. Abbandonato dagli uomini, privo di vaporetti e di turisti: forse era questa la ragione della sua tristezza?","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","Gli abitanti del luogo non lo degnavano di un’occhiata. Dediti alla caccia, invece che alla pesca, costoro s’arrampicavano su per le colline circostanti e — pùm pàm! — tutte le attenzioni erano per le creature del cielo.","YES"
"Campanile_Achille-Giovinotti_non_esageriamo-1929","Campanile Achille","Giovinotti non esageriamo","1929","E, così, il lago sempre solo, sempre triste, sempre pensieroso. Fortuna che, vicino, c’era la chiesa di San Piè di Leone, patrono del paese. * * * Questo San Piè di Leone era un santo poco noto.","YES"
