"filename","nome","titolo","anno","chunk","DIL"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","﻿Achille Campanile MA CHE COSA È QUEST’AMORE? Alle 7 del mattino Carl'Alberto entrò nella stazione di Roma e gridò: — Facchino!","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Un facchino si voltò risentito. — Dice a me? — fece.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","— Facchino sarà lei. — Ma non è lei che porta i bagagli? — Ah, per i bagagli?","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Credevo che m’insultasse. — Ma le pare? Il facchino l’accompagnò al treno di Napoli.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","— Veramente — osservò il giovane — io debbo andare a Firenze. — Salga! — disse il facchino.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","— Sempre prepotenze, — mormorò Carl’Alberto, prendendo posto nel treno di Napoli. — Bisogna far sempre come vogliono loro. Mancava qualche minuto alla partenza.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Questi ultimi minuti sono i più lunghi. Ormai i viaggiatori e le persone che li hanno accompagnati alla stazione desiderano solo che il treno parta. A ogni segnale si rinnovano i saluti definitivi.","YES"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Non c’è altro da dirsi. Trilla un campanello e tutti si salutano con aria di liberazione. Ma il treno non parte.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Si sente un sibilo e di nuovo tutti si salutano. Ma il sibilo non si riferiva a questo treno. Squilla una trombetta: altri saluti, raccomandazioni e mezze frasi di conferma.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Quando nessuno se l’aspetta, il treno profitta della generale disattenzione per partire cheto cheto. Infatti, presso il treno parallelo a quello di Napoli stavano un giovane e una signorina che si erano abbracciati e baciati successivamente a causa d’una trombetta, d’un fischietto, d’un campanello, d’un sibilo di locomotiva e di due rintocchi metallici accordati con un salto di quarta. All’improvviso il treno parti e il giovane, rimasto a terra, venne con la signorina accanto al treno di Napoli, come se fosse per lui indifferente andare in un paese o in un altro.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","I due nuovamente s’abbracciarono, avendo un ferroviere gridato: — Signori, in carrozza. — Salga — disse Carl'Alberto al giovane. — Perderà anche questo treno.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","— Non parto — rispose l’altro. — Parte la signorina? — No.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Si tratta di un amore contrastato. Non potendo vederci in casa, veniamo qui per esser più liberi. Fra poco parte il treno di Firenze e non vorremmo perderlo.","YES"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Con permesso. Che faceva intanto il macchinista? Zitto zitto dentro il suo sgabuzzino, faceva gli ultimi preparativi per la partenza.","NO"
"Campanile_Achille-Ma_che_cosa_e_quest_amore-1927","Campanile Achille","Ma che cosa e quest amore","1927","Il treno era già affollato, quando una bellissima signora dall’accento francese ma nata in Egitto si affacciò dal corridoio nello scompartimento occupato da Carl'Alberto e domandò: — C’è un posto? — Tutto occupato — s’affrettò a dire un signore con le lenti d’oro e con una di quelle età indefinite (poteva avere novanta come novantacinque anni). — Quando il treno si muoverà, — disse la signora, che mostrava una viva curiosità di conoscere questo particolare — vedremo di chi sono tanti cappelli.","NO"
