"filename","nome","titolo","anno","chunk","DIL"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","CAPITOLO PRIMO Gran cose e molte in brevi detti accolgo. Ariosto, C. Xlll. Ad alto grado di prosperità salì lo stato di Milano sotto dell'arcivescovo Giovanni Visconti, che prese a governarlo dopo la morte di Luchino suo fratello, e che ne tenne le redini sino all’anno 1354, in cui morì.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","Sotto questo saggio prelato le fazioni furono tenute in freno ; lontana dallo stato fu tenuta la guerra ; ed impiegato nelle fazioni militari il braccio degli stranieri , si volsero alle arti della pace gli animi de’ cittadini, crebbe il loro commercio, e con questo il lusso, ed assai si perdette di quella antica rozzezza che la cagione era stata di tanti interni dissidii. II buon arcivescovo innoltre favoreggiava le lettere, ricolmava di onori i letterati, e fra questi ben a ragione distingueva quel gentile pensatore di Francesco Petrarca : morendo poi, lasciava a’ suoi nipoti uno stato che l’invidia eccitava de’ vicini, tanto era cresciuto sì in vastità che in floridezza; sotto il suo dominio, oltre Milano, noverandosi Bergamo, Brescia, Crema, Cremona, Lodi, Parma, Bologna, Como,Novara , Vercelli , Asti, Alba, Tortona, e Genova stessa che a lui si era assoggettata poco prima della sua morte. Ma una tanta potenza in che era sórta la Casa de'Visconti, di cui recente era lo splendore nell’Italia, non lasciò di eccitare la gelosia di molti principi e Repubbliche Italiane; e per abbassare l’orgoglio del Biscione, si erano fra di loro confederati, coi Veneziani, gli Estensi, i Gonzaga, i Carraresi, e Can Grande della Scala : nè la divisione fatta al morire di quel prelato fra i tre suoi nipoti, Bernabò, Galeazzo e Matteo, de’ suoi stati, disarmò l’ira loro, nè Tessersi favorevole da principio mostrato a que’ fratelli l’Imperadore Carlo IV, venuto in Italia, il quale a Milano si portò per prendere di mano del nostro Arcivescovo la Corona del Regno, nella insigne Basilica di S. Ambrogio.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","In quella occasione mostrarono i Visconti all’Imperadore le loro forze, non meno che le loro ricchezze. Nel mentre che, per festeggiare quell’incoronazione, feste tenevansi di ogni sorta, e corti bandite, e strepitavano per la città giulivamente le trombe, le nacchere , le cornamuse e i tamburi, schieravansi innanzi agli occhi dell’Imperadore sei mila cavalieri benissimo armati, e dieci mila fanti, con istrepito di bellici strumenti. Protestavano i Visconti a Carlo che tutte quelle, e le altre loro forze che erano nelle varie loro città, erano tutte a sua disposizione; ma realmente con più eloquenza parlavano nel lor silenzio quelle schiere, e gli dicevano: Ecco quali braccia difenderanno all'uopo da voi la vipera da cui esce il fanciullo !","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","L’apparato di tante forze tenne infatti in rispetto i nemici loro confederati : e se questi persistevano nell’idea di voler muover guerra ai Visconti egli era perchè ancor speravano di trarre al lor partito l’imperadore. Ma poichè questo ebbe mostro, colle meschine sue imprese, che di ben poco peso stata sarebbe la sua spada sulla bilancia a lor favore , Venezia coi tre fratelli si riconciliò; e le armi deponevano ancora gli altri Confederati. Ma a nuovamente farle loro impugnare sopravvennero altri avvenimenti.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","Nel fior degli anni morì Matteo Visconti, non senza sospetto di essere stato avvelenato dai fratelli ; quindi lo stato vasto del loro zio fra loro si dividevano Galeazzo e Bernabò. A questo, Bergamo toccava, Brescia, Crema, Cremona, Lodi, Parma, Bologna; a Galeazzo, Como, Novara, Vercelli, Asti, Alba, Alessandria e Tortona; le due città di maggiore importanza, io voglia dire Milano e Genova, restavano indivise. Questo accrescimento di stati de’ due superstiti fratelli crebbe la gelosia repressa de’ loro nemici; e la gelosia fece loro dare nelle anni quando riputarono segno di debolezza in Bernabò l’aver ceduta Bologna a Giovanni di Oleggio, che se l'avea usurpata: gliela cedeva Bernabò per tutta la di lui vita , e riserbandosi solo il diritto di nominarvi il podestà; ma questo, come sembra, era solo un artifizio per addormentare il ribelle.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","Incoraggiati adunque da questo che reputarono debolezza, presero di nuovo le armi i Carraresi, i Gonzaghi, gli Estensi, gli Scaligeri; e loro si univa il Marchese di Monferrato, e lo stesso Carlo IV che dei Visconti avea varj motivi di lamentanze. Ma non si smarrivano i due fratelli che Milano signoreggiavano. Bernabò tentava di aver Bologna col tradimento, e non riuscitovi, non cedevano nè egli nè Galeazzo innanzi la rea fortuna, che dando mano a’ loro nemici li conduceva sugli stati Viscontei , e loro accennava la capitale che doveano assediare: i nemici coi loro indugi guastarono la loro impresa; i Visconti, assoldando nuove genti, ebbero tempo di fortificarsi, e con nuove opere munire la nostra città; e finalmente, lavando un’antica macchia, Leodrisio Visconti a capo degli eserciti Milanesi siffattamente sconfisse i Collegati, che dei loro capitani solo il Conte Lando ebbe salva la vita.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","Lo strepito della guerra, allontanato dalla capitale , continuò con varia sorte fino alla metà dell’anno 1358, in cui finalmente ebbero fine quelle fazioni, che a nessuna parte lasciarono vantaggi , a tutte bensì delle ferite da risanare. Più fortunato di Bernabò, il quale non potè riacquistare Bologna, fu Galeazzo suo fratello, che tolse Pavia al Marchese di Monferrato, a malgrado dell’ostinata resistenza opposta dai Pavesi incitati dalla fervida eloquenza di Jacopo Bussolari, Agostiniano, che prometteva agli assediati la manna dal Cielo. Ma la manna non fu veduta, ed estenuati dalla fame, loro fu forza rendere Pavia.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","Allora, credendo Bernabò la sorte amica della sua casa, spedì un esercito nuovamente contro di Bologna; ma Bologna fu venduta dall'Oltreggiano al Pontefice, ed una guerra più terribile ebbe allora nascimento. Infatti accingevasi Bernabò a combattere le forze della Chiesa, ed il Pontefice scagliava la scomunica contro il feroce suo nemico; ed a salvare Bologna dalle armi di esso otteneva ajuti dal Re d'Ungheria. Non isgomentavasi per questo Bernabò; il suo esercito egli accresceva, gente assoldando nella Germania; egli stesso moveasi a campeggiare Bologna; e questa città finalmente sarebbe caduta nelle mani delle sue genti, che egli però abbandonava, senza lo stratagemma del Malatesta che la difendeva.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","Questi avendo trovato modo di distaccare dai nemici l'Oderlaffi, avuto un rinforzo di genti obbligò finalmente i Visconti alla fuga: il qual successo, unito a qualche altro del suo nemico, mosse Bernabò, per allora, a sottoscrivere la pace. Ma, se di questa guerra risentire doveasi il nostro stato, esse non era però la sola. Galeazzo anch'egli contemporaneamente impugnava le armi contro il Marchese di Monferrato; e questi avendo al suo soldo una compagnia di Inglesi detta la Compagnia Bianca, da lui assoldata in Francia, disastrava orribilmente il Novarese, e, quello che è peggio, vi recava la pestilenza; il qual flagello non cessava che per dar luogo a nuova guerra.","NO"
"Campiglio_Giovanni-Uberto_Visconti-1831","Campiglio Giovanni","Uberto Visconti","1831","Il Pontefice infatti pretendeva da Bernabò alcune castella, e Bernabò bestialmente i messi del Pontefice insultava. Collegavansi in favore della Chiesa i Carraresi, gli Scaglieri, i Gonzaga e gli Estensi, e mandavano a Milano anch'essi ambasciadori a far conoscere a Bernabò le loro pretese; e Bernabò non meglio che i pontificii trattava i messi di quelle potenze. Ricominciava allora la guerra; Bernabò in sulle prime avea a sè propizia la fortuna; ma poi, succeduto ad Innocenzo VII Urbano V, una nuova scomunica dal novello pontefice veniva scagliata contro di lui, ed egli inoltre venia sconfitto sul Modanese, nè valeagli rifar l'esercito perchè costante in resistergli erano i suoi nemici.","NO"
