"filename","nome","titolo","anno","chunk","DIL"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Alberto Cantoni IL DEMONIO DELLO STILE Novella Critica Ho ricevuto ieri dopo pranzo la vostra amabilissima letterina, e ho passeggiato fino al tocco per pensare alla risposta, che principio ora, mentre vi vedo traversare il mio giardino coi vostri figli e con quella stupenda nutrice amalfitana che vi ho trovato io stesso. Voi avete scelto, come poetica e fiorita, la via più lunga per tornare in carrozza, e le mie cognate, che sono sempre così liete delle vostre visite ma che hanno in uggia il sole, vi lasciano ricondurre al cancello dalla nostra maestra di casa.","NO"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Costei vi sfodera contro il meno arrugginito dei suoi sorrisi, vi fa la sua riverenza e torna indietro. Andrò avanti io, dunque, non più distratto da quel vostro profilo di statua greca, nè dalle ingenue risate di vostra figlia, che poneva il capo ogni momento in mezzo ai fiori come un bel folletto inghirlandato a festa, nè dalle movenze quasi pittoriche dell'Amalfitana, che vi faceva vedere il bimbo, palleggiandolo in alto con tenerezza di madre. Voi volete scrivere, mi dite, perchè avete bisogno di distrazione, perchè la vostra bellezza non può durare gran tempo, e soprattutto perchè vi piace di procurarvi una specie di ritiro, ben laico e ben razionale, pei vostri anni cadenti.","YES"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Questo mi dite chiaro e netto fin dalle prime parole, ma ora se permettete, aggiungerò io tutto quello che ho letto in mezzo alle righe, o altrimenti si rischia di non c'intendere più. Voi volete scrivere, leggo io, perchè vostro marito vi ha appiccicato una piccola parte della sua grandissima ambizione, perchè i vostri figliuoli hanno già di troppo dell'institutrice, delle cameriere e dell'Amalfitana, e soprattutto... qui bisogna guardare di leggere bene... e soprattutto perchè il nostro ingegnosissimo Carlino vi principia già a parere un po' troppo giovine, un po' troppo irrequieto, un po' troppo innamorato dell'arte sua. È vero, ed io non me ne sono già accorto da ora, ma tre o quattro anni fa, cioè a dire quando mi sono imbattuto nel vostro salotto, allorchè ve l'hanno condotto innanzi la prima volta.","NO"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Ho detto subito: O io mi sbaglio di molto, o questa padrona di casa, che è sempre così gentile, vuole quest'oggi vincere se stessa. Per chi? Per me no certo; s'è principiato a giocare che eravamo vestiti da donna entrambi e ci avrebbe pensato prima.","YES"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Per quei due senatori? Sono vecchi. Per le signore?","YES"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Sono donne. O chi rimane? Rimane Carlino, coi suoi vent'anni e coll'arte che gli sfolgora dagli occhi.","YES"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Povera amica mia! Ma questo è un viluppo sul quale ci converrà di ritornare anche troppo. Ora si tratta della vostra lettera.","YES"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Andiamo avanti. Dite subito modestamente che per mandare ad effetto il vostro piano vi è mestieri anzi tutto di non farvi nessuna illusione, e cioè di ammettere che voi sino ad ora non avete mai guardato nè voi stessa nè gli altri con quella intensità di osservazione che è pur necessaria a chi voglia rendere bene e gli altri e sè. Io credo invece di potervi dire che il vostro futuro lato debole non sarà punto questo, e che voi non avrete che a riandare le memorie, talvolta un po' troppo azzurre, talvolta un po' troppo tempestose, della vostra vita passata, per avere innanzi quanta messe di affetti e di passioni voi non potreste far capire che in parecchi volumi.","YES"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Che cosa non avete sperimentato voi giovane ancora? Le caste ebbrezze dell'amor felice, quasi infantile; poi subito la vedovanza, dapprima sconsolata e deserta, poi meno buia, men solitaria, e a grado più libera e più vivace; da ultimo il secondo matrimonio, dove gli strappi sono stati molti di qua e di là, non giova nasconderlo, ma dove almeno sono apparsi due figliuoli, che paiono venuti al mondo espressamente per riconciliarvi un bel giorno e coi troppi ragionamenti che avete fatto ambidue prima di sposarvi, e col soverchio brio coniugale che v'ha balestrati un po' troppo spesso così lontani un dell'altra... e lontani se non del corpo, certamente dell'anima. Qui mi direte: ""Ma quanto più le mie sensazioni sono state molteplici e dolorose, tanto meno m'hanno lasciato libera di badare a me!""","YES"
"Cantoni_Alberto-Il_Demonio_Dello_Stile-1887","Cantoni Alberto","Il Demonio Dello Stile","1887","Meglio? rispondo. Guai, guai tre volte ai vostri futuri volumi se voi, nell'essere in alto mare, avreste potuto, per un prodigio di separazione morale, dimezzarvi così bene da poter sentire da una parte ed esaminarvi dall'altra.","NO"
