"filename","nome","titolo","anno","chunk","DIL"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","«CHI DI VOI È SENZA PECCATO...» Un giovinetto, cui l'abito e le insegne di guardia marina aggiungevano splendore e bellezza, usciva tutto lieto e festante dalla propria casa posando il suo braccio su quello del padre, e la effusione espressa negli affrettati e vivaci loro discorsi era tanto grande, che gli astanti li avrebbero tolti prima per fratelli od amici che per padre e per figlio. Nello stesso tempo una donna ancor bella e seduta dietro alle persiane della medesima casa, donde erano esciti quei due, li seguiva entrambi dello sguardo, e di lì ad un momento, quasichè non avesse potuto più reggere, usciva da sola in un dirottissimo scoppio di pianto.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Eppure la vista di padre e figlio che si amino teneramente, è tale spettacolo che ci rallegra tutti, e più avrebbe dovuto rallegrare lei, lei che aveva aspetto di donna bennata, lei che era madre dell'uno e moglie dell'altro. Racconteremo subito il più che potremo di quella piccola famiglia patrizia, e forse che il lettore profitterà della occasione per avvertire che il segreto, in certe cose, può salvare bensì gli innocenti, e non bastare punto alla donna colpevole, e che la giustizia non ha sempre mestieri della umana riprovazione per giungere al divino suo segno. Alessandra De' Bardi (così chiameremo la donna che non sortì certo, nascendo, nome di questo meno antico ed illustre) aveva sposato un giovine che per sangue e per eccellenza d'animo non era certo men nobile di lei, e che apparteneva ad una famiglia, la quale, malgrado la sua indomabile devozione alla fortuna della patria, non aveva egualmente smarrito la fortuna propria.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Niuno adunque meritava più di lui la mano ed il parentado di Donna Alessandra, di lui che aveva già saputo così ben guadagnare la fede e l'amore dei suoi cittadini da vederli un giorno, con rarissimo esempio, unanimi tutti nell'affidargli il loro vecchio e glorioso Comune. Questo fatto, per sè onorevolissimo, gli tolse di occuparsi quanto avrebbe voluto della donna sua, la quale, per l'alto luogo dove era posta la famiglia, dovette subito raccogliere a frequenti convegni la miglior parte della cittadinanza, e fare in casa quel che il marito, con altra veste, era pur costretto a fare in Palazzo. I primi anni di matrimonio corsero assai veloci per la gentile madre della patria, che al vivace intendimento sapeva aggiungere la modestia del fare e la grazia del dire, e non fu che più tardi, quando cioè le si introdusse in casa uno di quei giovani che la natura, non si sa perchè, si affatica a ridurre troppo amabili e troppo scaltriti, non fu che allora, torniamo a dire, che principiarono i guai.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Costui, molto innanzi nell'amicizia del marito, non ebbe grande scrupolo di mettere gli occhi sopra la moglie, e ravvisata questa per diversa e maggiore delle altre donne, colle quali si era esperimentato, ne perdette la pace e fors'anco la speranza, ma ritrovò in cambio quella verità di passione che gli mancava dapprima, e che le donne amate sanno così presto e così ben riconoscere. Ciò malgrado, la più cospicua parte del luogo si levò d'indi a poco a rumore per uno inopinato avvenimento. Il giovane si era trovata una nicchia in taluna delle nostre maggiori ambascerie, ed espatriava, probabilmente per non più ritornare.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Alcuni, venuti un po' a cognizione delle ultime sue gesta, lo dissero partito in traccia di men fiere gentildonne: altri credettero che egli non avesse potuto rimanere presente alla felicità di chi era posto fra lui e la donna che sola aveva amato sulla terra, ma nessuno fu mai tanto ardito da supporre che Alessandra fosse caduta e, molto meno, che avesse egualmente conservato così gran potere sul complice suo, da imporgli, per il pubblico onore del marito, una specie di esilio. In qualunque guisa fossero andate le cose, e posto subito, come non dubbio, che un siffatto allontanamento si avesse a tenere in tutti i modi per una grande fortuna sua, certo è che Alessandra cominciò poco dopo a lottare in segreto con una grande mestizia, malgrado che nulla di spiacevole, nè in casa nè fuori fosse venuto a conturbarla apparentemente. Tutt'altro, anzi.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Perchè essa aveva un bambino al petto che rassomigliava troppo a quelli di Correggio per non parere, come cosa viva, mille volte più bello; perchè aveva al fianco tal uomo, che nè il più degno nè il più affettuoso non avrebbe potuto immaginare, e perchè finalmente non vi era, come per lo innanzi, giovane dama della città, la quale non si volgesse per consiglio o per aiuto a quella Donna Sandrina, cui tutte riconoscevano «tanto buon cuore e così buona testa». La peggio era che il buon cuore e la buona testa non bastavano certo a farle rifiorire l'aspetto, il quale mantenne anzi abbattuto per anni ed anni. Ma perchè non si lagnava mai, nè voleva accogliere nessun amichevole suggerimento di sentir medici o di cambiar aria, così il marito ed anche gli astanti convennero poco per volta nella dolorosa opinione che il suo fosse una specie di occulto languore, cui la molta fortezza dell'animo non bastava di certo a combattere.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","- Sandrina è malata, - dissero tutti. - e così voglia provvederci Dio, come essa non vuole! - E Dio parve provvedere, quale era appunto il vivissimo desiderio di ognuno.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Fu parecchi anni dopo, allorchè il bambino, fatto ormai grandicello, principiò a dire, con meravigliosa insistenza, che voleva darsi ai viaggi e correre i mari. Questa, per dire il vero, non sarebbe stata la via che il padre gli avrebbe additata più volentieri. Nulla meno, perchè era uomo coltissimo, e non ignorava a quali matti propositi fossero stati spinti parecchi giovanetti contrariati dai genitori nella medesima inclinazione, si guardò bene dall'avversare apertamente i disegni del figliuolo, fino a che, passato parecchio tempo, lo prese un giorno per mano e gli disse: - Tu sai che portiamo, noi due soli al mondo, il nome di una famiglia, la quale per moltissimo tempo, non ha mai cessato di ricordare il suo debito verso la patria, e devi tu stesso desiderare che questa miglior parte della eredità nostra non accenni, per te, a venire in disuso.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Io non sono qui sicuramente per dire che tu, correndo moltissime terre, non possa fare onore alla tua, quanto noi che lavoriamo per il suo bene dentro di essa. Ma per un solo viaggiatore, cui la scienza va debitrice di notevoli aiuti, sono troppi quelli che finiscono per cercare, nei viaggi, le inusitate piacevolezze e la febbrile, eppur vuota operosità del momento. Io ti esorto adunque ad entrare nella nostra armata navale, ed a mettere così d'accordo, per quanto è possibile, la tua particolare soddisfazione con l'obbligo, che hai, di servire il paese che ti ha visto nascere.","NO"
"Cantoni_Alberto-Novelle_Racconti_Grotteschi-1875","Cantoni Alberto","Novelle Racconti Grotteschi","1875","Se poi, dopo un conveniente numero d'anni, crederai in coscienza di potergli essere più utile abbandonando il diretto servizio, e tu lo potrai fare. Sarà il partito d'un uomo, non di un ragazzo, e l'abitudine del mare e le acquistate cognizioni ti riusciranno utilissime. - Il giovinetto accolse per obbedienza questo consiglio e si lasciò mettere in un collegio di marina, di dove appunto usciva uffiziale, allorchè lo presentammo al lettore.","NO"
