"filename","nome","titolo","anno","chunk","DIL"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","AI MAESTRI ELEMENTARI L' AUTORE. Senza orgoglio, senza pre- tensioni, negletti e fors' anche disprezzati, Voi preparate l'avanzamento morale ed intellettuale della generazione futura, i cui teneri rampolli sono confidati alle vostre cure. Se il fate con amore, con pazienza, con fiducia, siate benedetti!","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","Il mondo non vi conosce, ma vantaggia delle vostre fatiche. E,per segno di stima e di benevolenza ad una classe tanto utile, io volli intitolare a Voi questo libricciuolo destinato ai piccoli vostri allievi. Esperti come siete, Voi comprenderete facilmente la ragione delle cose esposte in esso e del modo di esporle,e come trarne il maggior profitto.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","E sia scala ai due altri che pubblicai per l' educazione della classe più numerosa, uno intitolato IL GIO VINETTO INDIRIZZATO AL SAPERE, ALLA INDUSTRIA, ALLA BONTA', l'altro IL GALANTUOMO. Aggraditelo, fatemene sentire il voto ed i consigli vostri; e, se Vi parrà conveniente al fine che Voi ed io ci proponiamo, sia un nodo che maggiormente ci unisca per volerci bene, per concorrere ognuno secondo il nostro potere a rendere savia, illuminata, industre, religiosa la gioventù della nostra patria, Milano, La Pasqua del 1857. IL MIO MAESTRO ELEMENTARE.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","QUAND'io èra fanciulletto come voi siète, e che andavo alla scuola ad imparare a leggere, scrivere e far di conto, mi toccò, per grazia del Signore, un buòn maestro: pòiché un buon maestro è veramente una grazia del Signore. In sua prima gioventù aveva egli servito nelle truppe (1) e visto delle cose assai, ma senza riportarne quel fare orgoglioso e bravo, che alcuni acquistano col praticare in mèzzo alle armi. Congedato e tornato a casa, rizzò una piccola bottega (2); ma divèrsi accidènti mandarono così alla pèggio le sue faccènde, che dovètte abban (1) Truppe si usa da molti per Milizie, Esercito: ma avendo noi queste altre voci che significano il medesimo, non consigliamo i giovanetti di adoperare la prima, non essendo rifermata dall' uso di buoni scrittori.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","(2) Rizzò una piccola bottega. - Rizzare una bottega vale Cominciare a tenere aperta una bottega; quello propriamente che da noi Napoletani si dice Mettere una bottega. donare il traffico (1): ed allora aprì scuola nel suo e mio paese.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","La gente temeva sulle prime ch' egli non dovesse sapersi adattare a quel tènue impiègo, perché lo conoscevano capace d'uno molto migliore: ma egli diceva che la professione di maestro è delle più onorevoli; che niuna cosa si può fare tanto utile ed importante, come educare i piccolini, i quali hanno un giorno a diventare uomini, cittadini, capi di casa; e che anche Gesù Cristo nòstro modèllo si compiaceva d' èssere chiamato il Maestro, e voleva che si lasciassero andargli intorno i fanciulletti. D'altra parte, aggiungeva egli, quando uno ha assunto un mestièro, una professione, una incombènza qualunque, dève adempirne i doveri in modo da meritarsi l'amore e la stima degli altri, e da contentare la pròpria cosciènza. **Né crediate ch'egli avesse solo delle buòne paròle, ma le poneva in pratica.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","E prima èrasi dato premura di rèndere buono sé stesso, perché, se fosse egli stato cattivo, come avrebbe avuto coraggio di raccomandare a noi la bontà? In famiglia dunque èra il miglior padre, il più savio marito che si potesse trovare; all'osteria non mai, i, non bazzicava coi su (1) Traffico è quello che volgarmente si dice Negozio, ed anche Negoziato. surroni (1), coi malèdici (2), cogli oziosi : ai doveri religiosi èra il primo: sapeva tutte quelle belle stòrie della Bibbia; intendeva i salmi ed i provèrbii di Salomone, e ce li spiegava; attènto alle prèdiche, devèto alla messa, riverènte coi prèti; cosicché quando i nostri parènti ✔ci mandavano alla chiesa, invece di tante raccomandazioni, ci dicevano: Fa come fa il tuo maestro.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","Avrà sicuramente avuto anche egli i suòi difetti, perché nessuno ne va senza : ma noi non ce ne accorgevamo, perché i buòni figliuoli sono sempre inclinati a creder buòni tutti gli altri, principalmente pòi chi rènde loro tanto servigio coll'istruirli ed educarli. Nella scuòla non saprèi descrivere quanto fosse amorevole e paziente. Ci guardava come fossimo pròprio sudi figliuoli, non faceva distinzione tra il ricco e il pòvero, tra chi gli portava regali e chi non n'èra al caso (3), tra chi vestiva civile e chi (1) Non bazzicava coi susurroni.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","- Bazzicare con uno si dice familiarmente per Conversare, Trattare con alcuno; e dicesi anche Bazzicare in un luogo per Praticare in un luogo. - Susurrone è lo stesso che Mormoratore, Detrattore. (2) Maledico è lo stesso che Maldicente.","NO"
"Cantu_Cesare-Il_buon_fanciullo_racconti_di_un_maestro-1844","Cantu Cesare","Il buon fanciullo racconti di un maestro","1844","(3) E chỉ non n' era al caso; cioè: e chi non era in quella condizione, e chi non poteva. E Potere sarebbe qui potuto adoperarsi in luogo di Essere al caso, non essendo questo un modo di nostra lingua.. CAN. Vol.","NO"
