"filename","nome","titolo","anno","chunk","DIL"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","PORTAFOGLIO D'UN OPERAIO Ordinato e pubblicato da CESARE CANTÙ AL SENATORE ALESSANDRO ROSSI INDUSTRIALE A SCHIO Caro amico, Se qualche ministro avesse voluto far segno di conoscere il mio nome, e darmi i galoni di veterano, gli avrei chiesto di annicchiarmi in qualche archivio o biblioteca.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","A chi è rimbambito, come dicono i loro giornali, qual più opportuna industria che il rimuginare carte altrui, massime se già con qualche fortuna v'ha pescato di quei fatterelli che o spiegano o colorano i fatti grandi? Ciò che a nessun ministro, venne in mente a voi, e mi affidaste le carte d'un operaio, par vostro e mio, dicendo: “Cavatene fuori un libro.” Sono esse talvolta un racconto, talvolta un giornale ove questo brav'uomo notava i propri accidenti, e discorsi e pensieri suoi e d'altri. E poiché mi parve che, con sagace semplicità e costante buona fede e senza sorprese né colpi di scena, presentassero i fatti usuali, non lo straordinario e le eccezioni; l'uomo qual è, non quale lo strafelano romanzieri acrobati e storici cortigiani, fuochi fatui dell'odierno firmamento, e che infondessero inclinazioni consolatrici e fortificanti, sentimenti di rassegnazione e speranza, accettai l'improba fatica di cernirle tra una farragine di note, di lettere, di conti; connettere i fatti, coordinare gli argomenti.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Pur troppo vi accorgerete che non sempre riuscii, tanto più che il nostro Savino avea la mala abitudine di non segnare la data de' tempi e de' luoghi. Improvidi ammiratori hanno disonorato il Foscolo, il Leopardi, il Lafarina, il Giordani pubblicandone postumi scritti. Voi non potete temere quest'abuso, poiché il nostro, se apparirà incostante nelle risoluzioni, subitaneo a mutamenti, timoroso di quel che la gente direbbe, diffidente dei letterati, disamorato del Governo, in fondo in fondo appare galantuomo, di buon senso, pertinace al lavorare e all'imparare; non vitupera né i garibaldini né i frati; non odia neppur quelli che gli han fatto male.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Alcune proposizioni sue faranno mal suono a questo nuvolo di locuste che oggi adombra il sole della verità. Ha talora sentimenti e giudizi ben distanti da' miei: ma io ero semplice editore; sicché gli anfizioni della pubblicità dovrebbero risparmiare di staffilarne me: se mi staffileranno mi ci hanno avvezzo. Chi poi volesse verificarne la genuinità non ha che a cercare gli originali, deposti sotto il tabellionato del notaro Olivo Panciotto di Castiglione.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Il nostro operaio scrive senza il rigo, così alla buona, come parlava e pensava: si capisce non aveva seguito il corso ginnasiale, non istudiato nel Puoti e nel Gherardini, non fatto il cappello alla letteratura aristocratica, sicché manca talvolta di grammatica, sempre d'eleganza; mai un epifonema, un'ipotiposi, una descrizione; mai que' riempitiva di cui si aromatizza il Bresciani, giudicato dal Ranalli “il solo fra i moderni a porgere un saggio di quel che dovrebbe essere lo stile de' romanzi”. Di quante voci squisite e frasi peregrine, di quanti emistichi e testi latini e francesi avrebbe potuto imperlarsi s'egli avesse avuto a fianco taluno di noi, pratici del figurino della moda letteraria! Ma egli non sapeva che esprimere da popolano quel che avea di buono e di vero nell'anima, in un modo che lo capirebbero fin i bifolchi e i fattorini.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Di questa spontaneità io non ho colpa; bensì sono merito mio tutte le note: a ciascuno il suo. I libri italiani son letti poco qui e niente fuori. Ed è fortuna; giacché questo discorre di operai nostri e secondo le necessità e le abitudini nostre, assai diverse da quelle dei forestieri.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Ma voi, caro amico,avete saviamente pensato che sulla questione operaia, sull'antagonismo fra capitale e lavoro, fra imprenditori e operai, fra ingordigia e povertà, sulle inquietudini e aspirazioni che mascherano l'abisso e minacciano l'ordine sociale, non sia più lecito addormentarsi: anzi bisogni applicarvi istituzioni, atti, scritti di quel far semplice che l'Italia adotterà quando cessi di pensare a parlar forestiero; e non colla lotta ma colla gara della scienza, dell'arte, dell'industria, del commercio, dell'agricoltura, bisogni dalle astrazioni che non che non comprende ricondurre il popolo alla pratica; snebbiare gl'intelletti, educare il senso del retto, combattere il basso nella politica, il falso nella letteratura, invigorire le volontà; insomma formare il carattere. Voi lo fate, con nobili intenti e larghi mezzi cooperando a coloro che agli interessi egoistici strappano la maschera di interessi generali; che, colla saviezza dignitosa che sa rispettare anche le cause meno probabili, si dolgono del giorno che muore, ma pronti a nuova opera quando rinascerà. Ed io, da non invidiabili casi relegato allo scrittoio invece di utilizzarmi nel fondaco e al telaio fra il popolo, da cui nacqui e con cui ho sentito, amato, odiato, sperato, non ho mai disertata la causa di questo, per quanto me ne punissero i forti e i sapienti, per quanto sangue vivo dovessi sudare trascinando la croce su per questo Calvario.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Ed ora dal vertice con indomabile affetto rivolgo ancora la parola a questo popolo, esposto a sistematica adulazione,a sciagurate ispirazioni di ira, di vilipendio, di denigrazione, al ripudio d'ogni autorità, alla sfiducia in sé stesso e negli altri, a divorare col frutto della scienza anche l'albero della vita. E desidero seguitare, anche dopo morto, a consolarlo, a predicargli la necessità di sapere e di produrre, ad insinuargli coraggio e rassegnazione, lavoro e dignità. POVERA CONDIZIONE DE' FIGLIUOLI D'OPERAI Savino Sabini, nato a Napoli il 1815 da Colantonio e da Giuannella Starrabba, operaio, statura alta, capelli neri, occhi castani...","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Così leggevo sul mio passaporto; e quel 1815 mi arrestò, facendomi riflettere che ho passato i 34 anni: l'età già soda; scorsa metà della vita, la metà più operosa, quella dove l'uomo forma e costituisce la propria fortuna, creossi una famiglia, contrasse relazioni, preparò la felicità o il turbamento, il decoro o il disonore degli anni che ancor gli rimangono. E mi proposi di ripassarla e di scrivere così alla buona quel che ne ricordo. Credo che il meditare sopra sé stessi frutti più che lunghi studi e che, chi abbia presente la storia della sua vita, ne sappia meglio d'un professore di storia greca e romana.","YES"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Il proprio interno è un campo di riflessione inesauribile: e poiché somiglia a quel degli altri, studiando noi impariamo la società, conosciamo gli altri perché conosciamo noi stessi. All'opera dunque. Della mia fanciullezza non serbo dolci ricordi.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Mio padre era falegname, il più abile nel suo mestiere, almeno a giudizio mio. E di mia madre; ma lavorando ne buscava appena tanto per la panatica. Non so scompagnare la sua ricordanza da due immagini.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","La prima, ch'egli pippava, vizio allora di pochissimi, massime nei nostri paesi caldi: a me fanciullo faceva disgusto e paura il vedergli uscire quel fumo di bocca, e quando avvicinava alla mia faccia la sua pippa di gesso annerita, che rappresentava Pulcinella co' suoi occhi squarciati e il lungo naso adunco. L'altra sua abitudine era il bere. Non di rado tornava a casa brillo: mia madre a rampognarlo, ma egli o la derideva o la rimbrottava, e qualche vota peggio.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Io mi mettevo a strillare, e allora me ne toccavano di quelle che non erano risparmiate alla povera mamma mia. La qual mia mamma era una bonissima donna, tutta marito e figliuoli, tutta devozione e pregiudizi; le raccomandazioni che mi faceva riducevansi all'essere anch'io devoto; il ragionamento che mi inculcava era: “Il Signore ti vede.” Questa lezione l'ho ritenuta, sebbene sempre non me ne sia giovato. È proprio vero il proverbio “Mamma mamma, chi l'ha l'ama e chi non l'ha la chiama”.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Ma né mio padre e neppure mia madre pensarono alla mia educazione. Aveano piantato quest'albero, e lo lasciavano venir su col favore del cielo e della pioggia. Io mangiavo pane finché me ne davano, e vi facevo onore, crescendo grande grosso e sveltito; ogni momento che potessi uscivo a giostrone, a far la birba cogli sbarazzini seminudi della piazza su cui aprivasi lo stambugino che diceasi bottega di mio padre, a giocar al nocino, a tirar i campanelli delle porte vicine.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Appena fui in grado, aiutavo la mamma a portar in casa l'acqua, a sbucciare i piselli, a soffiar nel fuoco; non dico a scopare, perché poco si faceva; aiutavo mio padre a stemprare al fuoco la colla, e tirar la sega, e raccoglievo i truccioli e le schiapparelle per far bollire la pentola le poche volte che la s'attaccava. Quelle dolcezze di cui si rallegra la prima età, quei baci di bambino che Dio creò per asciugare le lacrime delle madri, io non li conobbi. Non mi sovviene che mio padre mi abbia fatto una carezza né mia madre un bacio; se cascavo dall'alto, se cozzavo contro il muro o mi tagliavo, mi dicevano sol: “Impara”.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Quante gioie negatemi, direi usurpatemi! E ai poveri non costano niente, e rasserenano i genitori, e delle ingenue affettuosità lasciano cara memoria ai figli anche dopo maturi e fra i tanti affanni che gli aspettano nella vita. Eppure essi mi voleano tanto bene.","YES"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","Mia madre alle solennità mi dava un soldo per comprare stoppini da accendere a una Madonna, che era dietro al canto della nostra casa. Guai se un'altra donna mi torcesse un capello! Una nostra casigliana, inalberata perché avevo picchiato il suo cocolino, picchiò me pure di santa ragione.","NO"
"Cantu_Cesare-Portafoglio_d_un_operaio-1871","Cantu Cesare","Portafoglio d un operaio","1871","A vedere che caso gliene fece mia madre! Ma a me non disse se non: “Impara.” Mio babbo ripeteva al terzo e al quarto che avevo del genio; che con due legni avevo saputo formar una croce; che avevo messo due truccioli in maniera di ricci a quella Madonna che era dietro al canto della nostra casa. Poi facevo una barca di foglio, e la mettevo nell'acqua, dicendo che volevo su quella andar in America.","NO"
