"filename","nome","titolo","anno","chunk","DIL"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","AGLI ILLUSTRISSIMI FRATELLI DUCA ANTONIO E CONTE GIULIO","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","LITTA-VISCONTI-ARESE CAVALIERI GEROSOLIMITANI PERCHE SUBITO IL LIBRO S ADORNI","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","DI NOMI NEI PATRI FASTI INSIGNI GLORIOSI E PERCHE IL RITRATTO DELLE RARE VIRTU DEL CONTE BARTOLOMEO ARESE","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","DEL SENATO IN MILANO GIA PRESIDE ILLUSTRE VIRTU PIU AMMIRANDE PER LA SCABREZZA DE TEMPI NON MEGLIO PUO INTITOLARSI","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","CHE AGLI EREDI DI QUELLE SUOI DEGNI NIPOTI L AUTORE","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","FIDENTE NELLA LORO INDULGENZA QUESTA STORIA DEVOTAMENTE OFFRE IN OMAGGIO","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","LA PIAZZA DI SANT' BUFEMIA. Il 13 dicembre 1638 sull'ora bassa uscivano dal palazzo di giustizia di Milano da trenta fra birri e soldati, che pigliando per santo Stefano in Broglio si dirizzavano verso Porta Lodovica. Venivano di seguito, pochi passi discosti, il bargello e un sergente degli alabardieri, camminando così a pari e barattando parole.","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","Questa volta, diceva il sergente, bel soldato sui trent'anni, mi par che si faccia da senno. E di che senno! replicava il bargello uomo maturo nel mestiere; tengo ordini assoluti di pigliarlo vivo o morto, ma pigliarlo!","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","Cosi va fatto, soggiunse quel primo, per trargli il pazzo dal corpo. Che si crederebbe costui, perchè è il marchese Porrone, d' essere forse di pasta diversa ? De' nobili n'abbiamo a Milano da levarne un esercito, e con tante cartepecore ornate di cifre, di armi, di titoli, di feudi; con mille e mille privilegi: i Serbelloni, i Settála, i Crivelli, gli Archinti, gli Oppizzoni, i Litta, eppure, ce n'è uno che spari così alto?","YES"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","e i conti Borromeo, gente così di carità e di chiesa? e il presidente Cusani, e il presidente Arese? se han un diffetto è d'esser troppo alla mano; e don Vercellino Maria Visconti?","YES"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","a parlargli non è come un ragazzo? eppur è generale di tutte le nostre truppe. Ma quest'altro con cento grilli pel capo si è tolto il gusto disperato di voler giocar del mondo a suo capriccio; sempre in mezzo a banditi, a","YES"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","cani, a coltelli, a pistole, a malanni che se lo portino, e pur la passa liscia. Se in cambio fosse un povero diavolo Mala cosa nascer povero; gli stracci alla fin de' conti van sempre all'aria, caro amico, ma il suo sabato vien per tutti, e questa volta credo che il marchese non vedrà più l'uscio di casa sua; te lo dico io, te lo dico.","YES"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","Proferite tali parole il bargello per dare loro più autorità strinse le labbra in modo da far ballare e arruffare i baffi e il pizzo del mento brizzolati, e dopo un po' di silenzio soggiunse. Una buona giustizia la ci vuole anche per costoro; sì, la ci vuole! E indispensabile!","NO"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","sentenziò sulla stessa intonazione il sergente, scuotendo la lunga alabarda che teneva appoggiata alla spalla destra. Ma che divario passa tra il dottor Parasacco e gli altri? il marchese Porrone non s'era già tolti molti omicidii sulla coscienza prima di questo?","YES"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","e perchè solamente adesso si ricorre a un provvedimento e si fa tanto fracasso? Divario ? e quale!","YES"
"Cantu_Ignazio-Il_marchese_Annibale_Porrone-1842","Cantu Ignazio","Il marchese Annibale Porrone","1842","rispose il bargello; il dottor Parasacco era avvocato fiscale, e l'averlo ucciso è delitto di lesa maestà.... è uno de' casi contemplati.... irremissibili, e qui non si scappa; finiremo a veder il marchese trascinato a coda di cavallo, e finalmente sulla vettura di messer strozza far il viaggio di piccardia. Ma l'avvocato gli aveva forse detta ingiuria? l'aveva provocato?...","YES"
