"filename","nome","titolo","anno","chunk","DIL"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","GIROLAMO CALVI CHE IL NATIVO INGEGNO ALLE SAVIE DOTTRINE EDUCATO FRA I CULTORI DI LETTERE E ARTI BELLE NOME COSPICUO OTTENNE QUESTE SCENE DI STORIA LOMBARDA TENUISSIMO ATTESTATO DELLA PIÙ CORDIALE AMICIZIA CANDIDAMENTE OFFRE L' AUTORE AL LETTORE Poichè conviene che ogni autore si proponga nello scrivere uno scopo, e che questo sia possibilmente vantaggioso, chiedo a chi si degna di leggere le ventisette linee di queste pagine, licenza di esprimere quale sia stata la mia intenzione nel comporre questi Racconti Storici, per dimostrare, se l'amor proprio non mi fa velo, come io creda che non possano essere affatto privi d'ogni utilità. Quando m'immagino nella storia una persona alta di corporatura, ve stita di superbissimo manto, sostenuta negli atti, nelle parole, che, passeggiando frammezzo agli avvenimenti non getta lo sguardo se non ai principali, nè si bada intorno alle piccole circostanze, ti pare egli, o lettore, che io mi sia formato di essa uno sconveniente concetto? Invece dal rappresentarmi che fo certe persone dimesse negli abiti e ne modi, che o non valendo o non piacendosi ad osservare i fatti grandiosi, s'arrestano ad esaminarne le tenui proprietà e a mirare gli avvenimenti più ovvii, il vestito d'un passeggiero, le capriole d'un saltimbanco d'un giocoliere, mi sembra di non avere una ingiusta idea dei cronisti.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Ponete assieme queste due persone e fate che ciascuna esponga quanto ha veduto in uno spazio determinato di tempo, e quali ne saranno le conseguenze? La storia vi esporrà rivolgimenti politici e religiosi, intrighi, guerre combattute, balzelli tollerati, assalti, assedj di castelli e di città, scoperte di regioni sconosciute, milizie riformate, recenti macchine militari e tante altre siffatte cose. Ascoltiamo il cronista: egli non invase il terreno della storia, ma a lui non isfuggirono gli ornamenti, i colloquii d'alcune persone siano grandi, siano volgari, le feste profane e religiose, i rigori o le dolcezze delle stagioni, l'abbondanza o scarsezza del ricolto, i banchetti, le danze, i tornei, l'erezione di una chiesa, d'un ospitale, d'un convento.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Facciamo che entrambi si presentino in vista d'un esercito schierato, e udirete lo storico richiedere qual sia la cagione che pose le armi nelle mani, far conghietture sulle conseguenze di quella pugna, esaminare la militare posizione; vedrete l'altro correre a numerare gl'individui che compongono questo esercito, ad esaminarne l'armatura dalla testa ai piedi, a conoscere il nome non solo dei comandanti supremi, ma di chiunque si leva pur pure dal volgo della milizia; del resto poco curarsi se la guerra sia giusta od iniqua, e star contento al più al più a maledire le cause che diedero origine a questa e a tutte le altre battaglie. Mentre io dunque ascoltava le narrazioni della storia severa e le ripeteva nelle Vicende della Brianza ed in altri lavori che forse oserò fra poco di sottoporre al pubblico giudizio, doveva pure lungamente intrattenermi fra le minutezze dei cronisti per togliere da essi le particolarità degli avvenimenti che ci son dati nudi dagli storici, l'idea della vita domestica, delle usanze, dei costumi e di tant'altre cose di simile natura. Mi venne d'allora il pensiero di un nuovo lavoro che fosse di mezzo fra la storia e la cronica, togliere un fatto per lo più vero o almeno non contrario al vero, e vestirlo in modo che con questi adornamenti potessi porgere, il meglio che mi fosse possibile, una dipintura della fisonomia propria d'ogni secolo.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Ho veduto che quando un avvenimento è posto in azione colpisce assai più al vivo che quando se ne ascolta il semplice racconto, ed è questo uno dei vantaggi che il pittore gode sopra lo storico. Mi venne quindi in fantasia di togliere un fatto di qualche interesse, ed invece di narrarlo colla storica forma, introdurvi persone con un'incombenza, destinate ad agire per un fine particolare, ma tutte cospiranti al fine generale, ciascuna delle quali avesse indosso un ornamento, un abito, mostrasse una passione, un vizio, una virtù. Le circostanze d'alcuni avvenimenti che possono contribuire all'effetto drammatico non sono se non toccate nella storia.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","In questi racconti vogliono essere sviluppate tali circostanze nel modo che meglio giovino a dare vivacità e verità alla dipintura. Così quando mi accadesse di sceneggiare la prigionia di Leone III, quel pontefice che pose la corona d'imperatoreromano sul capo di Carlo Magno, sapendo nella storia che fu liberato di cattività dal suo cameriere Albino, io crederei bene drammatizzare questa generosa azione cercando dall'invenzione ciò che tace la storia, vale a dire immaginare la via che mi parrebbe la più naturale per introdurre il cameriere nel carcere e ridurre il somто pontefice in salvamento. Ho quindi veduto che pochi possono accostarsi alle opere grandiose che descrivono i costumi delle singole età, e che forse anche quei pochi non potranno trovare gran fatto compiacenza nel leggere tante descrizioni astratte di abiti, di armature.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Se invece questi abiti e queste armature le vediamo poste addosso a qualche persona che lu storia od il racconto ci abbia fatto conoscere allora ci resteranno più salde nella memoria, e la loro cognizione ci tornerà più amena. Chi potrebbe diffatti cavare molto diletto dal leggere 1 nell'ammasso di gride spagnuole i distintivi della formidabile razza dei bravi? Ma al veder quel ciuffo, quella reticella col fiocco cascante sull' omero, quei lunghi mustacchi, quel farsetto legato alla cintura da un lucido cuojo, le larghe brache, lo spadone, il fiaschetto della polvere, il coltellaccio addosso al Griso, al Nibbio e a tutta la loro famiglia, ne proviamo un forte diletto, perchè quello che nel primo caso non sarebbe stato che una narrazione; diventa qui una dipintura che, colpendo più al vivo i nostri sensi, si scrive profondamente nella memoria.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Questo esempio singolare faccia pe'mille altri che si potrebbero facilmente produrre. Con questa persuasione m'accostai dunque alle narrazioni della storia, ne tolsi alcune che mi parevano atte ad esser poste in azione, indi studiando la vita casalinga, i vizj e le virtù private del tempo in cui accaddero, ed indagando altri avvenimenti che giovassero a dare loro maggior risalto, le innestai a qualche intreccio ideale che non discordasse col fondo del mio racconto e colla storica verità. Alcuni fatti però li tolsi quali erano dalla storia, nè mi permisi altra libertà se non quella di dialogare e di presentare i personaggi non già nudi come li danno le storie, ma coperti degli abiti e delle armi use a tempi in cui vissero, e procurare d'introdurvi alcuni caratteri che rappresentassero il carattere d'un'intiera società, un soldato, un ministro, un giudice, un notajo, un cittadino, una donna con nome, con fisonomia, con indole che porga un'idea di tutti i soldati, ministri, giudici, notari, cittadini, e di tutte le donne loro contemporanee.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Delitti non credetti troppo utile l'inventarne, essendo anche a ribocco quelli che ci sono dati dalle storie e dalle croniche, onde non mi parve mai bene far aggirare l'intreccio d'un racconto sulla dipintura di qualche nefandità, dalla quale si potesse derivare bensì una nuova cognizione sfavorevole all'umana società, ma non cavarne qualche morale lezione. Come pure stimai necessario lasciare le scene atroci, e perchè richiedono pennello più animato del mio, e perchè, a mio avviso, colpiscono troppo vivamente la sensitività de lettori, come il bagliore di luce che investe con isgarbo l'occhio non ancor ben rinvigorito d'uno a cui siasi levata la cateratta. Che se la tristezza dei tempi che io presi a tratteggiare non mi permise di starmi sempre discosto, come avrei voluto, da combricole, da prigioni, da patiboli, ho però sempre studiato che fino il palco di morte non fosse presentato in tutta la sua straziante orridezza.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Non parlo poi di ciò che possa offendere il pudore o la santità della nostra religione, poichè il peccare anche leggiermente in siffatta materia, sarebbe errore da non ammettere più giustificazione. Delle passioni umane ho cercato di preferenza scegliere quelle che fossero proprie dell'età rappresentata, ed è questo il motivo per cui ho procurato di tralasciare, il più possibile, la passione dell'amore, come quella che non è d'un sol uomo, d'una sola classe, d'una sola età, ma sibbene di tutti gli individui d'ogni tempo, d'ogni condizione. Avrei però creduto che mancasse una figura all'integrità del quadro ove questa passione avessi del tutto respinta.","NO"
"Cantu_Ignazio-Racconti_storici-1838","Cantu Ignazio","Racconti storici","1838","Ma se anche sotto la ferrea corazza d'un catafratto fo battere il cuore all'aspetto della beltà, ove ne eccettui la Cecilia, non mai questo palpito influisce sull'intreccio della narrazione. So di alcuni che faranno brutto viso a questo miscuglio di verità e di finzione come a quello che non lascia che bene si discerna il falso dal reale. Rispettando l'opinione di costoro, come quella di tutti, mi permetto far osservare che lo scopo letterario di questi racconti è di far conoscere non tanto il singolo avvenimento, quanto di servirmi di questo per far conoscere le particolarità del secolo; quindi sotto questo riguardo spero che la finzione possa essere giustificata; che se poi potessi fare che ad alcuno venisse dalla lettura di questo libro l'utile brama di appurare il fatto colla lettura delle storie, far insomma che qualcuno s'innamorasse di conoscere le vicende della sua patria, allora crederei d'avere a compiacermi meco stesso delle mie invenzioni.","NO"
