"filename","nome","titolo","anno","chunk","DIL"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","Allorchè incoraggiato da uno fra i migliori romanzieri d'Italia, Massimo d' Azeglio 1, m' accinsi a scrivere e pubblicare il primo romanzo storico, Giovanni delle Bande Nere, mentre la Rivista Contemporanea di Torino del gennaio 1858 facevami elogio di aver prescelto lo storico al romanzo sociale, dalle rive dell'Arno mi veniva lanciato l'anatema. La Rivista di Firenze nel suo primo fascicolo dell'anno stesso mi condanna perchè io, non dando ascolto ai precetti dell'illustre Manzoni, aveva invaso il campo dello storico, spiegando la bandiera del romanziere. Il mio povero Giovanni venne da essa lapidato, condannato a perire nei banchetti, come un eroe da marionette, come un falso Giovanni de' Medici; e tutto questo perchè io, per servire fedelmente alla storia, aveva fatto di lui un soldato di ventura, e non un patriota, come volle dichiararlo Nicolò Macchiavelli: quasi avessi potuto porre nella mente del mio protagonista un disegno, ch' egli non avria mai messo ad esecuzione, e contro il quale avrebbero fatto fede tutte le imprese di quell'Eroe.","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","Quale sarebbe stato lo sviluppo del racconto? Per buona sorte il Medici, mosso forse a compassione di me, alzò la testa dal sepolcro, se non per dare una mentita formale a Macchiavelli, almeno per dire che la storia non aveva torto 2. Per quanto poco cortese fosse la forma, colla quale la Rivista di Firenze mi scagliò la sua critica, per quel rispetto che ogni giovine autore deve a questa, restai lunga pezza titubante, se dovessi o no abbandonare il romanzo storico.","YES"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","L'autorità dell' illustre Manzoni, a cui s' appoggiava l'accreditato giornale del Vannucci, pareva a me rispettabilissima, ma dall' altro lato trovava giuste le ragioni addotte in contrario dall'Azeglio nella sua lettera, e dallo Zini nel lungo articolo, col quale la Rivista Contemporanea volle onorato il mio romanzo. Mentre pendeva incerto così l'animo mio, aprii il volume dei Cronisti Lombardi e lessi I Congiurati Bresciani del mio Odorici 3. Grado a grado che io andava innanzi in quella lettura sentiva venir meno ogni dubbio.","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","Il mio pensiero, che si spesso, per forza di simpatia, si trasportava sulle rive del Mella, da quel momento non sognò che Brescia. Io la vidi questa bella terra di Dio. Io la vidi questa seLucente regina, che si fa trono d'ubertose colline, che si sgabello di fertile pianura.","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","Io la vidi questa terribile Querriera, col fulmine della libertà negli occhi, col petto riCoperto d' onorate stimmate, colla palma del martirio nella estra, coll' alloro sul capo. Lessi ad una ad una sopra il suo scudo tutte le sue imI rese, tutte le sue sciagure; e nella prosperità di lei, come nella miseria, riconobbi il fuoco sacro della grandezza la tina'. Da una lettera, in data Torino, 17 novembre 1855.","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","Lettere inedite, e testamento di Giovanni de' Medici, detto delle Bande Nere.... raccolte dal cavaliere Filippo Morri, e pubblicate per cura di Carlo Milanesi. Questi nell'avvertimento scrive cosi: « Le sue imprese, e nemmeno le sue lettere, non mostrano "" ch'egli avesse verun'altezza di concetti e d'intenti. A noi « non sembra di vedere in lui che un valoroso capitano, ecc.""","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","* A questo distinto letterato, quanto cortese amico, devo molti documenti e nozioni occorsemi nel presente racconto. Brescia era la capitale dei Cenomani, trib u gallica, e divenne colonia romana dopo la sommissione di quella tribù a Cornelio Cetego. Un non so che di sublime e romantico ad un tempo vid'io nelle sue gesta, e sopratutto nel fatto di quella con-.","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","giura, così bene esposta dall'Odorici, che mi decisi a trattarlo, sicuro che i miei concittadini italiani mi saprebbero buon grado di segnare su nuovo, benchè fragilissimo monumento, la storia di tanto eroismo, e mi perdonerebbero i critici, se io, lasciandone intatta la verità, volli adornarla coi fregi della poesia e dell'amore. CAPITOLO PRIMO. Falso e vero patriottismo.","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","La mattina del 19 maggio 1509, dentro un ampio salone del suo palazzo, stava passeggiando colle braccia conserte al petto il Conte Alvise Avogadro. Era questi uomo tra i quaranta ed i cinquant' anni, di nobile e severo aspetto; ma ne negli occhi suoi mal avresti potuto leggere la grandezza del coraggio e la bassezza dell'ambizione, tanto queste due diverse espressioni si succedevano in esso rapidamente. Alvise non avrebbe indietreggiato d'un passo a fronte di venti nemici, nè alcuno avria potuto strappargli dalle mani la spada senza farlo cadavere; Alvise, per ascendere all' altezza de' suoi desiderii, si sarebbe fatto sgabello del proprio onore.","NO"
"Capranica_Luigi-La_congiura_di_Brescia-1862","Capranica Luigi","La congiura di Brescia","1862","Ma se impulso al coraggio gli era sempre un sentimento orgoglioso, non sempre di questo era conseguenza il primo; il leone cangiavasi spesso in serpente, e dall'incedere ardimentoso e tremendo, passava a strisciar vilmente nel fango, lanciando occulto il veleno contro i suoi avversarii. L'ambizione, che come la bufera infernale di Dante agita gli uomini, spingendo gli uni contro gli altri, e Di qua, di là, di su, di giù, li mena, trasportava continuamente seco l' Avogadro, senza dargli mai posa nè campo a ponderar le sue azioni. L'animo dell'illustre Bresciano s' inebriava nel sorriso di questa Dea bugiarda, che sotto maschera seducente nasconde il volto spaventoso d' un' idra, che strazia l'uomo e le nazioni flagella.","NO"
