"filename","nome","titolo","anno","chunk","DIL"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","﻿DOMENICO CAPRILE GEMMA D'ORIENTE STORIA GENOVESE DEL SECOLO X RACCONTO POSTUMO GEMMA D'ORIENTE STORIA GENOVESE DEL SECOLO X Quel dì era gran festa nelle case dei Castello.","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","Allo spuntar del sole, si spargeva per tutta la città la notizia che era in vista una Galea genovese. Molta gente era venuta al porto, e si facevano di molte congetture e un gran discorrere, quando d'improvviso taluni giovani, che stavano sulla punta del Molo aguzzando a gara gli sguardi, presero a gridare: Castello! Castello!","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","E, tra coloro che erano sulla spiaggia, quei che aveano vista più acuta ripetevano il grido, affermando distinguere lo stendardo celeste con in mezzo il Castello bianco sormontato da tre torri. Poco dopo giungeva al porto il vecchio Marco, e gli uomini della Compagnia del Castello facevano ressa intorno al loro Console; i consorti e gli amici si rallegravano con esso lui, poichè sua era la nave che a vele gonfie si avanzava maestosa verso la città. Ma il vecchio badava appena ai discorsi, e rispondeva rade e tronche parole.","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","– Scommetterei che pensa al ritorno di suo figlio, diceva in un crocchio un marinaio accennando Marco. – L'ultima a perdersi è la speranza, sentenziava un altro. – Se ne son vedute tante!","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","– Ma ormai sono dieci anni che non n'ebbe più notizia. – Che strazio per un padre! – E quella povera Giovanna!","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","– Cani di Saraceni! esclamava una donna stringendo i pugni; i nostri figliuoli, che ci costarono tanti stenti e tanti dolori, rubarceli, e non poter sapere mai più se siano vivi o morti! Consumarsi aspettandoli anni e anni, ogni ora del dì, ogni ora della notte, e di angoscia e di crepacuore morirsene!","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","Povere, povere madri! – L'ultima volta che sono tornate le galee di Sicilia, ripigliava un terzo, anche Giovanna era venuta al porto, e quando fu certa che il suo Lottario non c'era, cadde sull'arena come morta. – E si è riavuta soltanto dopo tre dì, per miracolo; ma quella poveretta non può durarla a lungo.","YES"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","– Pensate! l'unico suo figliuolo. – E che bel giovine!","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","– Credete forse, non sia anche per Marco un coltello nel cuore? – Si sa; è padre. – E ambizioso.","NO"
"Caprile_Domenico-Gemma_d_Oriente-1900","Caprile Domenico","Gemma d Oriente","1900","– L'ambizione che c'entra? – C'entra anche troppo. Per un uomo come lui, che si è affannato sempre per crescere in potenza, che è riuscito per tutta la sua vita ad avere signoria nella città, dev'essere una gran pena il vedere che lui morto tutto finisce.","YES"
