"filename","nome","titolo","anno","chunk","DIL"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","﻿PEREGRINAZIONI D'UNO ZINGARO PER LAGHI ED ALPI VALENTINO CARRERA IL LAGO MAGGIORE, L'OSSOLA, LA FRUA ED IL GRIES","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Io non viaggio mica Per il minimo scopo: Non vo' pensare al dopo, Non vo' durar fatica. Quel che vuol nascer nasca, Andrò dove mi porta Il vapore o la tasca, Sempre per la più corta. Giusti.","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Miei cari genitori A voi che stimo ed amo sopra tutti, offro questo libro. Voi accettatelo con quel sorriso con cui accoglievate le prime parole che m'insegnaste a balbettare. Intanto vivete molti anni per la mia felicità.","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","PARTE PRIMA Il Lago Maggiore I. Che intitolo prefazione, onde il lettore lo salti a piè pari. Tutto il mondo è paese.","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Prov. ital. Uno zingaro?","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Ma ce n'ha ancora degli zingari, fuorchè nella Russia e nel Trovatore? - Perchè, non ce ne dovrebbe più essere? Lo zingaro non è forse un pensiero errante di paese in paese, facendo suo con ardita frode quanto non gli verrebbe concesso dall'umana avarizia?","YES"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Ammesso - il che veramente non so - il paragone, lo zingaro può avere subìto trasformazioni, non mai essersi perduto. Permettete, signor mio, che io cerchi di vincere, s'è possibile, la vostra ritrosìa nell'accettarmi a compagno, evocando i benigni influssi dell'eloquenza tradizionale de' miei avi novellatori e poeti: tolleratemi dieci minuti... Non sono discreto?","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Ne spendete tanti a sopportare il trionfo della ciarla su pelle gazzette e nei parlamenti! La storia dell'umanità nella nostra tribù dividiamo in tre ere: la scoperta della foglia di fico, quella dell'America e questa della fotografia. Dopo la fatale scoperta dei primi nostri nonni, ecco l'uomo-zingaro che migrando dall'Asia percorre poco alla volta le plaghe mondiali, lasciando qua e là un lambello del suo saio.","YES"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Quell'età non avendo lasciato giornali, nè ritratti d'illustri contemporanei, per mancanza di sicuri documenti veniamo alla seconda. Scoperta l'America, gli zingari si precipitano su di essa: a sentirli sono venuti a seminare la libertà e le patate; tutto d'allora in poi deve spirare amore, felicità. Mentre gli umanitarii cianciano di quest'inezia di riformare quel mondo, pillottando colle solite spezie della cristiana uguaglianza e dei civili diritti la tiritera; mentre gl'indigeni buoni e semplici come un popolo che non sa un'acca di mutuo soccorso e di monte di pietà, aprono un tanto di bocca dalla meraviglia, i missionarii iniziano la riforma facendo scomparire nell'abisso delle loro tasche i tesori di quelle fortunate contrade: siccome però il mestiere di moralista è meno facile di quanto si crede, il tiro si scopre, proteste, recriminazioni, rivolta; il torto è necessariamente degli Americani poichè l'astuzia, la forza è agli zingari.","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","I quali, smessi i lenocini della ciaccola, pagano a misura di carbone la cordiale ospitalità americana. Un bel dì però, per solenne grazia del proverbio, il gruppo venne al pettine, e gli zingari, scardassati addovere, sono costretti ad alzare i tacchi da quella terra non ancora matura..... - Ma - lasciando la storia in disparte - questi non mi paiono gli zingari della tradizione.... - Eh! pensate se li conosco!","YES"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Lo zingaro è volgarmente un vagabondo che va dicendo la buona ventura nelle capanne del contadino, pei trivii, nelle osterie e nelle canove in tempo di mercati, di fiere e di feste; sa rattoppare qualche volta i caldani e le pentole; compone farmachi e filtri preziosissimi; vende ai più generosi il prezioso segreto - oh! datene un po' anc'a me per amore di Dio! - di farsi amare; commuta minuterie dorate senza valore con antichi smanigli d'oro, non perdendo il destro d'accalappiarvi con quella sua cera da nesci e di farvi sparire di mano l'anello che ricusaste di vendergli.","NO"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Ma ora tutta questa scienza a che può ancora servire? Vendono tuttora augurii di nozze e predizioni di fortuna? O, visto che nella capanna affumicata del contadino, comincia a penetrare la luce che guizza dai centri di civiltà e di corruzione, lo zingaro, nascosti nella foresta il tamburo, le nacchere, le carte divinatrici e la non più magica bacchetta, non è entrato di contrabbando nella città, e con mille vicende di fogge e di fortuna, non s'è fatto ora sollecitatore d'impieghi o tagliaborse, letterato di plagi e d'occasione, giornalista o mezzano?","YES"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","E la scienza per cui gli riusciva di imbarcare il lunario nei boschi deserti, fra i monti incresciosi, sarà poi sì feconda in espedienti da far fronte alla desta oculatezza dei cittadini, da sapere con rapida mano ordire trame impercettibili che pure ad un baleno si stringano sì fortemente con mille nodi attorno al meglio esperto da torgli ogni scampo - e se fallisce, quando tutto sta per naufragare sotto i colpi d'un galantuomo che non vuole perire invendicato, da risospingerlo al largo dalle secche, risoffiargli in poppa vento e fortuna in barba agli onesti? No, questa non è la nostra tribù - a cui non vorrete con dura parzialità negare l'istinto del progresso alla perfettibilità umana, che asserite innato in ogni creatura. No, questa non è la nostra tribù.","YES"
"Carrera_Valentino-Peregrinazioni_d_uno_zingaro_per_lagni_ed_Alpi-1861","Carrera Valentino","Peregrinazioni d uno zingaro per lagni ed Alpi","1861","Il lezzo della società non fu mai la parte del mondo che ne sia piaciuto di notomizzare, anzitutto per un certo istinto d'avversione alle dissecazioni, d'orrore per la tabe; e poi perchè sappiamo per durata esperienza che gli è impossibile il compiacersi, come oggi si fa con tanto studio, nel diguazzare in quanto ha di più sucido il maremagno del vizio, sia brutalmente spudorato o sia inorpellato da larva di passione, senza inzaccherarsi un tantino i sandali, quand'anche vi aggiriate nelle eleganti sale ove non si balbetta motto a vanvera - ove, non come nel trivio, manca la scusa della malsuadente fame e dell'ineducazione: perciò se mai solleticava le papille della vostra curiosità brama di una storia terribile d'uno zingaro dalla bruna tinta e dallo sguardo felino, che d'avventura in avventura, sulle rotaje dell'adulterio e dell'omicidio, vi facesse correre per le vene il diaccio dello spavento od il fuoco della voluttà, serbandovi a morale della favola la bella soddisfazione di vederlo alfine fra le braccia dell'amata, riverginata - scusate la parola impossibile - dall'amore puro, mentre l'esoso marito sta in fondo del quadro lungo, disteso, inchiodato da due righe di pugnale..... per verità vi siete ingannato! La non sarà così perchè ne pare che tanta filza di delitti non possa essere figlia della serenamente gioconda fantasia italiana, e perchè lo zingaro che vi fa invito a peregrinare con lui non appartiene alla tribù antica, tradizionale, se non per la comunanza..... del peccato originale. L'antica s'è riabilitata, direbbe un drammaturgo, e la nuova non è meno curiosa.","NO"
