"filename","nome","titolo","anno","chunk","DIL"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","﻿ UNA RIGA DI PREFAZIONE. Questi racconti, lettori carissimi, non pretendono punto di essere una novità. Il primo è comparso molti anni addietro in un modesto Almanacco, che, fra alcuni giovani veneziani, stampavamo ai tempi del dominio austriaco; il penultimo ebbe gli onori dell'Antologia; gli altri tutti videro la luce nella Strenna Veneziana, pubblicazione annua, alla quale prendevano parte anche scrittori di merito, ma che, come accade di tutte le Strenne, non poteva aspirare ad un'assai larga diffusione.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","Si sa che nelle Strenne il contenente uccide il contenuto, i cartoni soffocano lo stampato. Scendo a tanti particolari per iscusare questo tentativo di risurrezione. Infatti, una seconda edizione de' miei lavori non si spiegherebbe se non fosse chiarito che una prima edizione propriamente detta non vi è mai stata.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","[ii] Del resto, io non mi dissimulo che queste cosuccie possono aspirare tutt'al più a esser giudicate mediocri. Ma siffatta considerazione non mi scoraggia. Nei primi bollori della giovinezza, quando si spera di arrivare al sublime, si disdegna superbamente il mediocre, e si ripete quella sentenza che dev'esser stata proferita a vent'anni: non essere, in arte, permessa la mediocrità.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","Ognuno principia la vita con questo convincimento, ognuno, senza voler confessarlo, ne mitiga la rigidezza col maturarsi del senno. A una sentenza assoluta che mi sembra fallace non ne contrapporrò un'altra assoluta del pari, e non porrò quindi la riabilitazione della mediocrità nell'arte come una tèsi generale. Credo invece ch'essa possa valere per buona parte della letteratura e pel romanzo in ispecie; credo che le opere eccellenti, come sarebbero, per esempio, I promessi sposi e Davide Copperfield, non debbano escludere mille altri libri di gran lunga inferiori, intesi alla pittura del vero, benchè inabili a riprodurlo con eguale efficacia.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","Quanto più si sparge l'abitudine del leggere, tanto più cresce l'opportunità del romanzo, che, per l'indole sua, è meglio atto a penetrare in tutte le classi sociali. Ebbene; il [iii] romanzo che riesce a provocare un onesto sorriso, a spremer dal ciglio una lagrima pietosa, a rinvigorire nell'anima un sentimento gentile, a svegliare nell'uomo accasciato dall'assiduo lavoro le virtù sopite della fantasia, quando pure non tocchi l'eccellenza dell'arte, può presentarsi senza baldanza, ma senza rossore, e prendere il suo posto nella folla delle opere letterarie. È un posto umile; però è un posto che giova vedere occupato, come piace che nei teatri, oltre alle poltrone ed ai palchetti, sieno occupate anche l'altre sedie.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","Se questo volume adempierà almeno qualcheduna delle condizioni che ho pocanzi accennate, io non mi gonfierò certo di superbia come il tacchino che credeva d'esser pavone, ma neppure mi pentirò di averlo dato alle stampe. Venezia, 14 luglio 1872. L'autore.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","[1] UN SIGNORE POSSIBILE. Nel paese di *** venne a morire, non ha guari, un possidente ricchissimo, il quale agli ozî beati dell'opulenza prepose l'attività della vita campestre e, facendosi ammaestratore ed amico de' suoi coloni, seppe volgere le dovizie al più nobile degli scopi, a quello cioè di migliorare le condizioni materiali e morali de' propri simili. Erede d'un pingue censo, egli stimò acconcio di porre sua stanza in mezzo alle terre che gli appartenevano, e quantunque le fossero in sito molto remoto, nè vi si vedesse nemmen da lunge il fumo della capitale, credette però che l'animo e l'ingegno per esercitarsi pienamente abbiano d'uopo soprattutto d'operosità e che per coloro, i quali sanno riempiere la stoffa del tempo, il silenzio d'una villa non valga meno del trambusto d'una città.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","Era nobile di petite noblesse, come direbbero i Francesi, perchè suo padre, di famiglia gentilizia, aveva osato insudiciare il blasone sposando un'onesta borghese: contuttociò era così invalso l'uso presso i suoi aderenti e presso gli estrani di chiamarlo il conte Alberto, che [2] noi nel farne la biografia lo nomineremo così, sebbene egli non celasse punto la sua origine mezzo popolana. Fu certo un dì memorando per gli abitanti di *** quello, in cui il giovane signore prese possesso delle sue terre. I servi gallonati, accorsi in frotta a rendergli omaggio, videro un uomo sul primo fiore degli anni, di modi schietti, di vestire semplice, al quale parea pesassero quelle dimostrazioni d'ossequio, e premesse invece assaissimo d'investigare le condizioni della tenuta, lo stato e l'educazione dei villici.","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","Ahimè! le vecchie livree use alla famigliare insolenza d'un patrizio mezzo rimbambito che non solea dimorar nella villa se non due mesi di autunno, nè d'altro occupavasi che dei cavalli e dei cani, mostravano gradire assai poco le sottili ricerche del nuovo padrone e quel suo fare amichevole sì, ma pur decoroso e tanto diverso dai modi del conte defunto. V'è alcuni signori che trattano il popolo con quel tuono carezzevole, con cui si trattano i cagnolini, salvo sempre a pigliarli a calci quando se ne presenti il destro, ed è pur doloroso che siffatta costumanza incontri favore presso quelli che dovrebbero esserne offesi: tanto può la consuetudine dell'obbedienza e della servilità!","NO"
"Castelnuovo_Enrico-Racconti_e_bozzetti-1872","Castelnuovo Enrico","Racconti e bozzetti","1872","Lo stato della tenuta non porse invero argomento di consolazione al conte Alberto. Essa era divisa in molti affitti, ma a prezzo sì tenue che la rendita totale era minore assai di quello che avrebbe potuto e dovuto essere; e d'altro lato i fittaiuoli, avendo a pagare pochissimo, non si davano alcun pensiero d'introdurre miglioramenti di sorta nella cultura. L'ignoranza [3] delle cose agrarie era estrema: non s'era estirpato nemmeno uno degli errori, dei pregiudizî d'un tempo; aggiungasi a ciò la mancanza assoluta di capitali, il sistema degli affitti brevissimi, onde i coltivatori non si affezionavano al suolo, il difetto d'ingrassi, di strumenti rurali, di tutto.","NO"
