"filename","nome","titolo","anno","chunk","DIL"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Generale Dittatore! L'adulterio del Papato è già presso a sparire. Da sette secoli, da Arnaldo in qua, l'Italia grida!","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Le idee, i fatti gli interessi maturarono oramai. Le nazioni crebbero. Il gran corpo delle nazioni, il corpo mistico del Cristo, già nel sorgere delle nazionalità, si realizza.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Che resta? Resta che il Papa salti; la chiesa si purghi; da chiesa del clero, divenga chiesa dei popoli; e sia VERITA' PRIMA dei popoli, VINCOLO SUPREMO delle nazioni la MENTE UNA, in cui coedificati popoli e nazioni camminano verso la carità, la mutualità, la solidarità, sicchè infine UNO IL CORPO, UNO LO SPIRITO, UNA SIA LA COOPERAZIONE, da tutti i luoghi, da tutti i tempi. Voi, Generale, col cuore, coll'idea, col braccio affrettate tal tempo.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Io, umile cooperante, scrollo l'idolo; studio torgli il rispetto della superstizione, il credito dell' ignoranza, la venerazione ipocrita, la credenza egoista. In questo scopo mi son fatto romanziere; così come mi feci filosofo, e domani mi farei soldato, o altro che abbisogni. Andiamo dunque.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Napoli, Roma, il Veneto, il Trentino ci chiamano. Voi, duce col brando, io come uno degli umili soldati della penna. La Sicilia, per noi, -per Voi e per me e per chi altri sente con noi,- è poca cosa; l'Italia stessa è poco.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Il vostro cuore aspira oltre; aspira alla redenzione delle nazioni tutte, affinchè libere tutte, tutte si giovino, tutte collaborino e tutte concordino, e la legge del Cristo: la carità, divenga legge politica, sociale, economica, stimolo a mutualità, affrettamento più e più a congaudio tra le genti. Accettate dunque, o gran Duce delle età che compionsi, la dedica di questa altra edizione di una delle opere, con che mi affatico a quel comune intento, ed insieme un abbraccio come di fratello, una stretta di mano come di un amico. Palermo 2 Agosto 1860.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","BENEDETTO CASTIGLIA. ALLA SICILIA MIA TERRA NATALE A NAPOLI ALLE MARCHE E ALL'UMBRIA ALLE PIU' DESOLATE DI TUTTE LE ITALICHE PROVINCIE LA VENEZIA E IL TRENTINO ALL' ITALIA, ALL'UMANITA' CUI SACRAI SIN DAGLI ANNI MIEI PRIMI CUORE, MENTE, OPERE QUESTO LAVORO SCRITTO IN SEI GIORNI COLLA FEBBRE DI ANTICHE SPERANZE NELLA CERTEZZA DI PROSSIMA REDENZIONE IN MILANO, IL 20 MAGGIO 1860. CAPITOLO PRIMO.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","La partenza, La via du Cherche-Midi in Parigi è una via lunga, storta in principio, quasi dritta nel resto, larga verso la parte che va alla barriera, meno spaziosa dal lato che si interna verso la città. Essa sta tra mezzo al quartiere della Sorbona e al Faubourg S. Germain. Nel primo di questi quartieri, abita la gente di lettere e di scienza; molti de' principali membri dell'Istituto di Francia e de' professori della scuola di Medicina e della Facoltà di dritto.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Nell'altro stanno le famiglie di vecchia nobiltà, le prosapie del legitttimismo il più antiquato, il più titolato e il più puro. La via du Cherche-Midi, posta tra mezzo a questi due quartieri, e come a cavaliere de' medesimi, ha inquilini dell'una specie e dell'altra. Più modesta, meno solitaria, meno insolente che il quartiere della nobiltà non ha palazzi nè grandi Hôtels, ma pure qua e là case più splendide di quelle che si convengano a esigue fortune.","NO"
"Castiglia_Benedetto-Lamoriciere_Pio_IX_e_Antonelli-1860","Castiglia Benedetto","Lamoriciere Pio IX e Antonelli","1860","Meno rozza, meno trasandata e meno lurida che il quartiere de' sapienti, essa ha, come questo, l'a-ria alquanto severa; ma pure, ne' bei giorni, si veste di una certa avvenenza, e in alcune ore, sul mezzodi sovratutto, di una trasparenza assai viva. Il 4.° marzo ultimo, all'una dopo mezzanotte, quattro carrozze, una appresso l'altra, erano giunte a una casa delle più nobili di quella via. Da ciascuna di quelle vetture era smontata una persona.","NO"
