"filename","nome","titolo","anno","chunk","DIL"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","﻿PARTE PRIMA Il Circo Alhambra rigurgitava di gente. L'aria era calda: gli spettatori, quasi diritti, rossi, urlanti, applaudivano e sventolavano i fazzoletti.","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","Le fiammelle del gas si agitavano nel soffio crescente di quell'entusiasmo popolare. Grida, rumori, muggiti quasi feroci, uscivano da quella moltitudine sbalordita e commossa. Le signore, vestite di chiaro, si curvavano sui parapetti dei palchi, guardando verso l'arena; gli uomini, in piedi, acclamavano.","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","E l'orchestra seguitava a eseguire una seguedilla malinconica e ardente, che si udiva a tratti, sopra il fragore incessante del pubblico, come il grido di una procellaria sul tumulto di un oceano in tempesta. Sull'arena due clowns, dalla faccia spalmata di biacca e di minio, dalla parrucca di stoppa, insaccati in un largo abito di cotone bianco dipinto di tutti i segni dello zodiaco, facevano versacci agli spettatori; li guardavano con la bocca spalancata, che pareva enorme così tinta in giro di rosso vivo, si rincorrevano a scapaccioni e a pedate, e finivano a battere le mani anche loro, stupidamente. D'improvviso un leggero grido si udì; l'orchestra intonò un motivo di galoppo; la gente sedette; un gran silenzio si fece, e su un bel cavallo arabo, agile come una freccia e nero come la notte, apparve una creatura veramente meravigliosa.","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","Senza esser troppo alta, ella si slanciava arditamente con tutta la persona diritta sulla groppa del cavallo: il gonnellino leggero di veli, che le serrava la vita, lasciava ignude le belle braccia di un bruno dorato, svelte e rotonde come l'anse di un'anfora antica. La capigliatura disciolta le si svolgeva come un tenebroso torrente fin sulle caviglie dei piedi piccoli e mobili, calzati di scarpine rosee che si agitavano fra l'abbondante criniera del cavallo, come due farfalle sull'erba. In mano teneva, invece del frustino, un ventaglio.","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","Com'ella apparve nel Circo, un nuovo e più alto fragore di battimani salì alla turba degli spettatori. Ella fece un gesto di ringraziamento e di saluto, e gridò al cavallo: – Olé! hop!","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","Il cavallo, animato da quella voce, dal rombo della moltitudine, dall'orchestra sonora, si slanciò a tutta corsa. La fanciulla rimase dritta sulla groppa dell'animale, volgendo qua e là la testa e mandando lampi dai grandi occhi neri: poi, lentamente, accendendosi a poco a poco, ricominciò le sue prove ginniche e coreografiche. Si muoveva sul dorso del nudo cavallo con la stessa disinvoltura di una signora nel suo salotto: strisciava inchini; eseguiva passi da ballo; si raggiustava le vesti; si metteva a sedere o coricata supina con le belle braccia rotonde in arco dietro la testa; si faceva aria col ventaglio: fumava delle sigarette; si metteva e si levava degli abiti, che le porgeva un palafreniere vestito all'inglese.","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","Così apparve, a mano a mano, mutata in castellana del Trecento, la borsa al fianco, la lunga veste di lana con lo strascico, il cappello a cono dal velo diffuso sulle spalle; in cortigiana del Cinquecento, eretta nella veste tessuta d'oro onde emergeva l'arco marmoreo delle spalle mal protette dalla bernia foderata di zibellino, china la pura fronte nel velo verde orlato di perle; in marchesa del Settecento, la mosca sulla guancia, incipriati i capelli, alta e lunga la vita nel guardinfante; in paggio, in monaca, in zingara, in contadina, in mendica. A ogni trasformazione erano applausi da far venire giù il teatro; ella, seria, in un torrente di luce elettrica che l'avvolgeva come di un nimbo, risalutava; poi subito, volgeva gli occhi e la voce, in lingua spagnola, al cavallo: – Olé, Campeador! Caramba!","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","Que tal? Muy bien! Olé, hop!","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","E ricominciava gli esercizi. Si lasciava sdrucciolare lungo il fianco dell'animale, galoppante, e rimaneva così, non seduta, ma appena aderente, per tre o quattro giri, poi, con agilità incredibile, passava, senza toccar terra, sotto il ventre di Campeador e risaliva dall'altro fianco; gli si appendeva con i piedi alla coda fluttuante e si lasciava trascinare sfiorando della testa l'arena inondata dalla larga capigliatura fuggente: e di nuovo era in piedi. Il pubblico l'acclamava freneticamente.","NO"
"Cattermole_Evelina-L_innamorata-1901","Cattermole Evelina","L innamorata","1901","Ma lo spettacolo nuovo, che esaltava e faceva accorrere la gente in teatro, era l'ultimo; in cui Leona, detta la Perla di Granata, faceva prova di un coraggio e di una destrezza veramente straordinaria. La cavallerizza difatti, che fino a quel punto aveva eseguito i suoi volteggi con piglio d'indifferenza suprema, scivolò giù dal cavallo, l'arrestò per il morso, di botto, e si mise a palpargli i fianchi e la testa, a carezzarlo, a parlargli all'orecchio. La bella bestia intelligente pareva intendere, perché drizzava le orecchie e abbassava il capo, sbuffando, sulla spalla della padrona.","NO"
