"filename","nome","titolo","anno","chunk","DIL"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","GLI AMMONITORI È venuto il tempo di compiere il mio grande atto. Fra alcuni giorni tutto sarà finito.","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Questo memoriale, di cui preparo due copie, l'una che porterò indosso d'or innanzi, l'altra per inviare ad un giornale, ha il solo scopo di dichiarare - in caso che si volessero travisare le mie intenzioni o spiegare l'avvenuto come un accidente fortuito - il processo in cui io venni nella determinazione di morire in modo tanto eccezionale. Nacqui a Gàssino, nella valle del Po. Non ho conosciuto mia madre.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Mio padre era fornaciaio: colle gambe nude nella fossa, tagliava la creta gialla, l'impastava, la metteva nella forma da mattoni: e s'allineavano innumerevoli i mattoni sull'aia levigata, parevano grandi pani, inzuccherati di sabbia fina. Pane invece non ne guadagnava molto: ma i suoi ottanta centesimi giornalieri procuravano a lui e a me polenta il mezzogiorno e minestra la sera. L'inverno non si lavorava; quando i primi geli ci avevano coperte le mani di crepacci, cessavamo: ci riparavamo allora nella stalla d'un vicino che aveva bestiame, e quando non nevicava, andavamo a far legna nei boschi dei signori, raccogliendo soltanto il seccume e i ceppi putridi che vendevamo a un soldo il fascio: stando tutto il giorno nei boschi e portando sulla schiena fino al villaggio due o tre fasci, guadagnavamo sette od otto soldi.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Perciò l'inverno si mangiava meno, quantunque avessi molta più fame: è vero che il pane di granoturco, pesante e giallo come i nostri mattoni, ci faceva credere d'aver sempre lo stomaco pieno. A febbraio, sull'aia! E anch'io nella mota gialla fin sopra il ginocchio, col sole che dava la febbre: per ciò mio padre era giallo e io ho l'aria d'aver l'itterizia.","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Ma questo non monta. Mio padre morì. Il sindaco ricorse per me a Torino e fui raccolto nella Pia Casa.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Qui mi si insegnò qualche cosa: d'inverno al paese ero andato a scuola e sapevo il catechismo e la storia sacra: qui mi fecero ripetere la storia sacra e il catechismo e un po' di storia romana, Muzio Scevola e Bruto, più i diritti e doveri del cittadino italiano. Più tardi mi posero come apprendista in una stamperia. Correvo tutto il giorno per città a portare commissioni e bozze e tornavo all'ospizio la sera.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","La domenica si passava gran parte in chiesa e solo il canto e l'organo me la facevano parere meno gravosa. Quando mi misero alla cassa di compositore, imparai rapidamente. Ebbi tosto un buon salario e potei uscire dalla Pia Casa.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Intanto frequentavo le scuole serali: studiai parecchio: imparai l'italiano e il francese e così, da me, nella mia soffitta - abitavo in Borgo San Secondo e mangiavo alla Cucina popolare - volli anche conoscere un po' la grammatica latina, senza di cui non si possono approfondire quelle lingue. Perché il mio scopo era di diventare correttore. A dir il vero, sui diciott'anni mi domandai se non avessi delle attitudini a far parecchie altre cose, a cantare, a disegnare, a scrivere e perfino a far della filosofia...","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Mi ricordo vagamente d'una primavera in cui affermai a me stesso con un certo turbamento che la vita doveva essere assai bella: il cielo, la terra, le cose e le persone, tutto era pieno d'una grande simpatia per me! Ciò durò poco. Sentendomi divenir malinconico, mi riposi a studiare.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Non avevo alcuna preoccupazione che mi frastornasse seriamente: ottenni presto un posto di correttore alla Società Editrice Scientifica; dapprima fui impiegato in lavori di poco conto; indi, conosciutasi la mia buona volontà, mi si pose attorno a lavori di maggiore importanza, sopratutto a traduzioni di opere scientifiche. La mia professione mi dava molte compiacenze. Ero a contatto con gente di scienza e talvolta cercavo mostrare a qualcuno, che comprendevo molto di più che non desse a presumere la mia condizione: più d'uno mi piantò gli occhi in faccia con stupore, quando gli indicai certe contraddizioni nel corso d'un lavoro o gli suggerii umilmente certe trasposizioni che avrebbero giovato all'ordine, all'equilibrio non soltanto tipografico, d'una trattazione.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Passarono, credo, cinque o sei anni. Nel gettar su carta questi ricordi non ho tempo d'indugiarmi: ricordare è dolce, anche i dolori, ma la vita incalza - o piuttosto la morte... Or son quattro anni, andai ad abitare in Borgo San Donato.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","A questo punto incomincia la mia vita: Perché prima non avevo vissuto, vale a dire non avevo sentito nulla dentro di me, non mi ero detto neanche un momento: ""To', sei qui, Martino: c'è tanta gente al mondo: tu vali quanto qualcheduno..."". Abitavo nelle soffitte della casa n. ** di via San Donato.","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","C'erano 142 scalini che facevo ogni sera a due per volta, riducendoli così a metà. Allora non avevo il batticuore... Una sera, montavo allungando il braccio alla ringhiera di ferro, a testa china; rischiai di sfondare il ventre a uno che discendeva, il quale per l'urto sedette sugli scalini senza fiato. Ahi, lo stesso m'era accaduto qualche settimana prima con un giovinotto elegante che aveva alzato il bastone a percuotermi, ma aveva colpito soltanto la ringhiera, perché io era già in alto... Chiesi perdono con una grande vergogna al povero diavolo che avevo dinanzi.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Vidi un sorriso di fanciullo in una faccia pallida e patita: l'aiutai ad alzarsi: era piccolo, di membra gracili, con un viso fine dominato da una fronte enorme. Egli riprese a discendere, dopo avermi guardato con due occhi acuti e dolci, indimenticabili. Io non avevo mai badato di proposito agli inquilini delle soffitte.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Uscivo la mattina, alle cinque d'estate, alle sei d'inverno, e non tornavo che la sera tardi, stanchissimo. Qualche bestemmia di ubbriaco, qualche urlo di donna percossa, qualche strillo di bimbo, le martellate di un calzolaio matto, chiamato Cimisin, mi destavano talvolta d'improvviso, ma non mi davano inquietudine. A poco a poco, senza volerlo, vidi chi fosse l'ubriacone e la donna percossa che stavano entrambi nella soffitta attigua alla mia, e parecchi degli squallidi abitanti di quel lunghissimo corridoio a ferro di cavallo, fiancheggiato d'una quarantina di cellette dall'uscio color caffè, quasi sempre chiuse lungo il giorno e piene la notte di agitazioni e di sonni più pesanti che la morte.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Il giorno dopo, era una domenica di ottobre, rimasi in casa fino a tardi, cosa che mi capitava ben di rado, perché quel bugigattolo non m'invitava a trattenermi fuorché per dormire, e, nato in campagna, amavo passarvi tutto il dì festivo, da vero vagabondo solitario... (Feci perfino una piccola collezione di piante e d'insetti, aiutandomi per la classificazione con le visite al museo zoologico). La ragione era in questo, che attendevo dal calzolaio matto le mie scarpe, e quegli non se la sbrigava. Bel tipo!","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Egli zufolava come un flauto e sapeva a memoria tutto il Barbiere, che eseguiva secondandolo colla battuta del martello o colle bracciate dello spago: zufolava dei fu fu interminabili o vocalizzava agilissimamente lalla liro lirolla! Un merlo in una gabbia gareggiava con lui, ripetendo migliaia di volte la prima battuta dell'Inno di Garibaldi. Cimisin aveva inventato una macchina per volare e diceva che senza i framassoni essa sarebbe già adottata dall'esercito italiano.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Dopo averlo lasciato fischiettar Rossini parecchie ore, mi risolvetti ad affrontarlo nella sua tana. Aveva sempre l'uscio aperto, anche la notte, perché temeva che i fabbri glielo scassinassero, - i fabbri erano altri suoi persecutori, come i framassoni - soltanto teneva sempre dinanzi alla porta una tenda, per la decenza. Stavo per gridare: ""Si può?","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903",""", quando al fondo del corridoio vedo uscir dall'ombra una figura di giovinetta, pallidissima, cogli occhi stravolti, come pazza. Io occupavo il passaggio: quando mi fu vicina si coprì la faccia, strisciò lungo il muro e prese a scendere rapidamente. Appena scomparsa lei, dalla stessa parte un uomo si slancia.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Era il giovane che avevo urtato per le scale il giorno prima. Aveva la faccia come pesta e gli occhi smarriti. - Mia sorella?- singhiozzò rivolgendosi a me.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","- È scesa, - diss'io subito. Si precipitò anch'egli per la scala. Ed io dietro in ciabatte, chiedendogli con imbarazzo: - Signore, scusi, signore!","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Giunsi anch'io sulla strada. Ma la portinaia, che avea veduto scendere il giovane, lo afferrò per un braccio e lo spinse nella sua camera. Là la sorella, accosciata in terra, si torceva in singhiozzi convulsivi.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Egli diede un gran sospiro, strinse il braccio di lei per sollevarla: ma il corpo non consentiva: l'alzò con forza, con ira. Poi s'intenerì subito: - Povera Lena! - mormorò.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","La sua voce era profonda e vibrante d'una dolcezza repressa. Ad un tratto strinse con ambo le mani la faccia di lei, figgendole gli occhi negli occhi, poi lasciò cader le braccia come esausto: - Vieni sopra, Lena! Ella chinò gli occhi e obbedì.","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Scoprii un istante un volto bianco, delle labbra pallide, non segnato che da due grandi occhi dalle sopracciglia nere. Ricordai ad un tratto quelle sopracciglia, il cui disegno puro mi s'era certo impresso negli occhi sfiorando lei chissà quante volte distrattamente per le scale. Che fare?","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Seguirli mi pareva sconveniente. Quando furono saliti, chiesi alla portinaia: - Che avviene? Ne sapete qualcosa voi?","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","- Eh! non ne so niente... Ma lo dicevo io!","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","I signori sono tutti uguali. I signori? Non si riferiva certo ai miei compagni delle soffitte.","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","- Che c'entrano i signori? - dissi. - Mah!","NO"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Misteri! Del resto lo sanno tutti. Non ha osservato mai un bel giovinotto nei corridoi?","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","Era lui. E adesso chi l'ha visto l'ha visto. Tutti compagni... Buon giorno, signor Stanga!","YES"
"Cena_Giovanni-Gli_Ammonitori-1903","Cena Giovanni","Gli Ammonitori","1903","E mi piantò in asso. Risalii. Appoggiato al davanzale della mia finestra, che dava nel cortile, ascoltavo.","NO"
