"filename","nome","titolo","anno","chunk","DIL"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","AI GIOVINETTI STUDIOSI () Un n racconto nel quale si narra della vita, delle opere e dei dolori del padre e dell' amico della gioventù, non doveva e non poteva essere dedicato che a voi. Egli è ben giusto che impariate per tempo a conoscere e a venerare il nome di quelli egregi uomini che passarono sulla terra, a somi (*) In questa nuova edizione sono aggiunti per intiero sei capitoli: - Il ritratto La nuova fuga - Un' ambasciata della Mariuccia - Il cielo ci protegga Il Cardinal Cesarini.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","Le molte correzioni poi fatte nel rimanente del libro mi fanno sperare, se non m' inganno, che il lavoro sarà più gradito ai miei giovani lettori. i glianza del Maestro Divino, beneficando. A questo titolo glorioso, Giuseppe Calasanzio aggiunse anche l'altro, d' avere inteso con tutto l' ardore d' una carità senza pari e con tutte le forze dell' ingegno suo all' ufficio santissimo dell' educare.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","Ciò basta, ne sono certo, a rendervene doppiamente cara la rimembranza. Che se a caso poi vi piacesse di paragonare il presente racconto colle vite che di lui ci rimangono, e furono pubblicate colle stampe, io spero, che voi troverete non essermi io mai dipartito dalla storica verità, malgrado la forma drammatica che mi piacque di preferire, colla speranza di rendervene più amena la lettura. Se io abbia raggiunta la meta propostami ne farete ragione voi medesimi; ma in ogni caso vorrete tenermi conto del buon desiderio.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","G. B. CERESETO Una na casetta povera e quasi nuda, composta di tre luride stanzucce, era l'asilo malagiato della famiglia di Francesco Castelli, operoso ed onesto bracciante; ma dalle malattie, dalle disgrazie e da impreveduti avvenimenti condotto di quel tempo quasi allo stremo d' ogni miseria. Era la notte del sette agosto 1646.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","Più mesta ancora dell'usato, la deserta famigliuola si riparava stentatamente da un improvviso acquazzone, che inondava le vie di Roma, crepitando sui tetti con orribile fragore, e gocciando a larga vena per mille parti nel casolare dell' operaio. Due fanciulli, la Mariuccia, che toccava appena i dodici anni, e Giannino, che avea di poco passati i nove, si affaccendavano col padre nell' ingrato lavoro di camparsi dalla insolita inondazione, somministrando a mano a mano qualche pentolino, vasi, piattelli e conche, per sottoporli a quelle parti ove l'acqua filtrasse più viva, perchè il pavimento non ne venisse per intiero allagato. Nell' angolo più oscuro, dove mal raggiava la dubbia luce della lanterna, sospesa ad una lunga fune, ed oscillante a misura che le buffe del vento faceano cigolare le deboli impannate, stavasi accovacciato un IL CALASANZIO vecchio Cieco, tutto inteso a snocciolare fra le sue dita callose un lungo rosario, e a mormorare con bassa voce la solita preghiera vespertina.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","La moglie del Francesco era già a letto, se pure un tal nome si addice ad un lacero pagliericcio, sovra il quale erano spiegati due cenci a foggia di lenzuoli, che appena bastavano a coprire le membra della povera donna. Il Cieco a quando a quando sospirava forte e borbottava fra i denti qualche malinconica esclamazione, interrompendo la prece; e allora la cortese Mariuccia si volgeva con ansiosa tenerezza verso di lui, mentre Francesco, come per distrarsi, correva più avaccio qua e là, dando vista di non avvisare quel lamentio. Così duravan tutti in silenzio, finchè il vecchio, onde rappiccare comecchessia il filo del discorso: Mi pare, diceva, che l'acqua vada mano a mano rallentando: conducetemi alla finestra; vorrei respirare un po'd'aria fresca.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","Almeno questa Iddio la manda per tutti! Così dicendo e' si levava barcollando e aiutandosi colle mani tese a tentone, a sembianza d'uno scheletro, che sbucasse d'improvviso dopo di avere scoperchiato il sepolcro. Egli era grande e robusto della persona; ma combattuto da un mese dalle febbri così frequenti sotto l'infuocato clima di Roma, soffriva di quei giorni acerbamente, e pareva molto dimagrito.","YES"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","- No, no, rispose subito Francesco, sollevando alquanto la faccia; la tempesta infuria tuttavia; e poi l'aria aperta della sera senza dubbio vi nuocerebbe. Dio mio! sclamò il Cieco, con un poco d' impazienza, lasciandosi ricadere sul giaciglio, Dio mio!","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","tutto il giorno accосcolato lungo la soglia delle chiese, alla sferza del sollione, per accattare un tozzo di pane, e poi ?... e poi la sera mi negate anche l'aria libera. Ho fame, Francesco, ho fame!","YES"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","Oggi non raccolsi un baiocco: i ricchi hanno le viscere di bronzo. Francesco, senza risponder sillaba all'ingiusto rimprovero, proseguì il suo lavoro, tergendo col rovescio della mano una lagrima che gli cadeva dagli occhi. Allora la Mariuccia, accostandosi al vecchio, e cavandosi dalla saccoccia un morselletto 1 dı pan bigio: - Suvvia, nonno mio, prese a dire con dolcezza, non fate piangere il babbo, mangiate questo pane: io l'avea serbato per la mia cena, ma ne posso far senza, dacchè la Tonia mi regalò questa mane una scodelletta di minestra.","YES"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","- Tutti gli altri tacevano inteneriti alle parole della fanciulla. - Povera Mariuccia, ripigliò allora il Cieco, studiando di raddolcire quel suo vocione da Stentore, tu sei buona come una Madonna. Mangia il tuo pane, che ti faccia il buon pro': la sarebbe dal canto mio una vera ghiottoneria.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","Del resto ho detto così per attaccare il discorso: che al postutto posso reggere fino a domattina, e allora qualche santo mi aiuterà. Voi mi parete tutti eosi tristi! Il babbo piange; - disse Giannino.","YES"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","- Francesco, t'ho fatto male, neh? segui dicendo il Cieco addolorato. Abbi pazienza: questa malaugurata febbre mi mette di mal umore.","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","E Marta la è muta questa sera? Essa dorme: rispose Francesco. Infatti quella madre dolente mostrava di dormire, benchè il cuore di lei sanguinasse a tali parole, e pregasse segretamente Iddio a volerli comecchessia cavare una volta dalle strette in cui si trovavano.","YES"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","E, ricominciò il Cieco; Francesco, di questi giorni ove LAVORI? -- Ma... egli è una settimana che sto colle mani alla cintola. - Tu vuoi darmi la baia!","NO"
"Cereseto_Giovanni_Battista-Il_Calasanzio-1853","Cereseto Giovanni Battista","Il Calasanzio","1853","Che! voi vivete dunque di rendita come il Cardinal Colonna! Sei tu forse malato?","NO"
