"filename","nome","titolo","anno","chunk","DIL"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","﻿Giovanni Battista Cereseto Storia della Tonia. Racconto Nell'ora della ricreazione donna Vittoria, secondochè aveva più giorni prima promesso alle alunne, scendeva in compagnia loro nel giardino.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Le quattro giovinette premurose e liete accompagnavano la Tonia, e quando giunsero nel boschetto dei figli, si disposero lungo i sedili di pietra facendo sedere in mezzo la vecchia, che proponevasi di narrar loro brevemente la storia della sua vita. Dopo la scena della vigilia di Natale, in cui le giovani, e principalmente l'Enrichetta, avevano addolorato con un insulto villano quella povera vecchia, essa aveva guadagnato molto sul conto; imperocchè quell'anime bennate per rifarla comecchesia andarono a gara nello aiutarla, verificando alla lettera quel vecchio adagio: che le disgrazie giovano pure a qualche cosa. Quando adunque essa vide che tutte erano intente e desiderose di udirla, facendo un leggero inchino a donna Vittoria, come in segno di chiederle licenza d'incominciare il suo racconto, prese a dire come segue: Io non vorrei, signorine gentili, che dalla mia narrazione v'imprometteste qualche cosa di grande e di meraviglioso.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","La storia della mia vita è la cosa più semplice del mondo; nè mi sarei per avventura indotta mai a compiacervi, se per una parte non me ne aveste domandato con tanta istanza, e se non avessi per l'altra sperato di tornarvi di qualche utile. Ma ora poichè così piacevi, vedrò di sdebitarmi alla meglio, e almeno di sbrigarmi quanto più presto mi venga fatto, per menomarvi la noja d'una narrazione poco interessante, e forse anche il dispiacere d'aver voluto conoscere una storia tessuta di falli dolorosi e pieni di amarezza. Io fui la figliuola di un onesto ed agiato contadino, e sarei per avventura parula degna d'invidia, se i miei natali non fossero stali segnati da una disgrazia forte a vincersi; perocchè la madre mia morì appunto.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","nel darmi alla luce; e il padre non molto dopo menò per seconda moglie una donna, che non volle o non seppe prendermi amore, e fini col trattarmi a guisa d'una straniera ed importuna. Io gli guastavo a mezzo gli avari disegni di far ricca la famiglia propria, che in un con lei rodeva le sostanze di mio padre. Non vi narrerò pertanto quale fosse la mia fanciullezza, e quanti amari bocconi mi toccasse d'ingoiare senza lagnarmene, perchè comunque potessi aver ragione, il padre non avrebbe voluto difendermi, e alla matrigna non sarebbe fallita l'opportunità di punirmi più gravemente.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Questa prima disavventura mi riuscì tanto più fatale in quanto che resemi cupa, difficile, vendicativa e sospettosa. Non è possibile a dirsi qual genere di martirio sia quello di non trovare mai un cuore amico, il cuore d'una madre, a cui comunicare i vostri dolori, le allegrezze vostre; il crescere in mezzo alla famiglia come una straniera, e non udir mai mai una voce amorosa che vi consoli se per caso avete un dispiacere o una fantasia malinconica. Se mia madre fosse vissuta, parmi ch'io sarei stata ben migliore, o avrei per tempo superati molli difetti di carattere.","YES"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","La voce materna ha una potenza, a cui non si può resistere quando si abbia un tantino di cuore. Allorchè crebbi in età non mi mancarono i cattivi consiglieri, che mi suggerivano di far valere le mie ragioni, e rispondere dobitamente a quella malaugurata, che infine de' conti viveva del mio; ed io irritata dalle lunghe mortificazioni, seguii anche troppo fedelmente quei pessimi avvisi, riducendo in poco d'ora la casa nostra in un vero campo di battaglia. Voi avreste udito un brontolio perpetuo, una vicenda non interrotta di domande insolenti, di risposte anche più amare; insomma un vero tramestio da diavoli.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Una casa in discordia è proprio l'immagine dell'inferno, dove non si trova alcun ordine ed un orror sempiterno. Mio padre, che era una buona pasta d'uomo, tentò sulle prime di mettere qualche parola di pace; qualche volta perdette pazienza e andò in bestia a segno di suonar bene tanto me, quanto la moglie, ma in ultimo, ossia disperazione di riuscire a buon termine, ossia stanchezza dell'età, ci lasciò il campo aperto, s'andò fuor di casa buona parte del giorno per non rompersi il capo con altre noje. Educata dunque a questa scuola immortale di scandalosi dissidii, io mi usai indocile ad ogni maniera di giogo; e circuita da cattive compagnie, benchè non fossi rolla a mali costumi, ebbi presto una fama mo'to dubbia nel contado, e mi vidi tenuta a riguardo, dai vostri conoscenti, che a buon diritto temevano il mio contatto.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","I mali costumi si appiccano come una spezie di contagio. La mala voce era, com'io diceva, più grave del fatto; ma le insidiose parole della matrigna davano ad essa una taccia di vero, che la mia condotta disgraziatamente non poteva smentire. Venuta a tale estremo parvemi opportuno di prendere anche un' estrema risoluzione sposandomi contra la volontà di tutti ad un giovinastro che mi bazzicava intorno, tanto per vezzo di seguire il mio naturale talento, e si ancora per tormi al tormento d' una guerra domestica e disgustosa.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Mio padre ne fu addolorato nel profondo dell' animo: ma l'implacabile matrigna, anzi che porgergli una parola di consolazione, lo inviperi tanto contro di me, che indusselo a farle una donazione di tutto il suo, riducendosi da per sè medesimo al verde. Questo era il passo a cui già da lungo tempo l'attendeva, spingendovelo con ogni arte più schifosa. In breve per tanto trovossi egli medesimo caduto nella più crudele schiavitù, e quella rea femmina levò così superbamente la cresta, ch'io fui bandila, per sempre dalla casa paterna, e privata anzi d'ogni speranza per l'avvenire.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Se Iddio pagata mi avesse a misura della mia condotta io dovea essere ben più disgraziata di quello non fossi; ma insomma mio marito senza essere cattivo per indole, riusciva quasi intollerabile per le pessime abitudini contratte da una vita licenziosa e scioperata. Egli lavorava in un lanificio, guadagnava di che vivere con qualche larghezza; ma il giuoco e la bettola lo riducevano molte volte agli estremi, e allora diveniva litigioso, duro e insoffribile; rubava in casa e vendeva quanto venissegli alle mani, e sciupava in un giorno, in un'ora tutto il risparmio d' una settimana. Finchè fummo soli la cosa cammino tra bene e male alla meglio; ma quando io diedi a luce una figliuola, e le spese domestiche si aumentarono, allora cominciai a sentire il peso della povertà, e a pensare seriamente all' avvenire.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Il divenir madre parve che cangiassemi natura: io divenni provvida, altenta massaja; non mi rincresceva di spendere tutto il giorno filando, e di raccomandarmi benchè inutilmente agli amici, al marito, e finalmente anche all'odiosa matrigna. Questa umiliazione mi costò molto; ma l'amor materno guarisce la superbia, e non conosce difficoltà. Se quella donna sortita avesse una men triste natura sarebbesi allora intenerila, ed avrebbe colto il destro di far la pace; ma in quella vece mi ributtò villanamente, facendomi passare una notte intera fra il dolore d'aver fallito nelle speranze, e la rabbia d'essermi inutilmente umiliata.","YES"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","In questo mezzo mio padre si ammalò gravemente, ed io ebbi la fiera angoscia di non potermi avvicinare al suo letto per dargli un ultimo addio, e chiedergli perdono delle amarezze sofferte per mia cagione. Iddio rimerilava con giusto ma terribile castigo la passata condolta. Ancora per accrescimento di rimorsi venni a sapere ch'egli aveva più volle domandato di me, che avrebbe voluto lasciarmi una parte dell'aver suo; ma la moglie vegliò con tanta cura, che ciò non fu possibile, e sofferse che morisse nell'amara credenza che io mi ricusassi di vederlo.","YES"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Dopo tanti anni questo pensiero è bastante a farmi piangere ! Mio marito che di questi segreti dolori non teneva un conto al mondo, seguita la morte di lui, cominciò a dire che l'eredità era nostra, che dovevasi tener per nulla la donazione, e che al postutto sentirebbesi in quella di farsi colle proprie inani ragione quando i tribunali negassero di darci ajuto. A tutti gli altri mali si aggiunse dunque il cancro delle liti, che ci spolpò sino alle ossa.","YES"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Certi avvocati imbroglioni ci tennero a bada finchè avemmo un po' di vivo, e finalmente ei cantarono tondo, che la cosa era disperata, e che vi volevano delle ingenti spese, senza però la certezza di spuntarla; che pertanto sarebbe il miglior partito di cessare affatto, e ricorrere agli amici per trovare una via qualunque di conciliazione. Benedetto (è il nome di mio marito) montò sulle furie; e una sera che tornò a casa mezzo ubbriaco, trovando ch'io non aveva preparata la cena per manco di denari, suonemmi di molte percosse, e poi uscì precipitoso di casa, risoluto di fare un colpo disperato con quella maledetta, siccome egli soleva chiamare mia matrigna. Diffatti con un pensiero veramente riprovevole recossi risolutamente in quella casa, pestò bestialmente quella vecchia maligna, s'impadroni a forza di quanto aveavi di meglio, é si partì.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Quell'atto era ben più grave di quello non avesse immaginato tra i fumi del vino; i quali appena svaporárono, gli apersero il vero così terribilmente, che egli medesimo ne fu spaventato. Nè quei timori erano sragionevoli; perchè la giustizia messa subito in sull'avviso, tenne sulle tracce; sì che in breve io mi vidi segnata come la moglie del bandito. Io non saprei esprimervi, o giovinette, quali angosce provassi durante quei giorni.","YES"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Ora mi riferivano che mio marito era caduto nelle mani dei birri, ora che era accusato d'un furto nuovo, ora finalmente che sarebbe gettato per sempre in una prigione; cose e novelle che mi empivano l'animo di spavento, e mi facevano desiderare la morte. Dopo parecchi mesi (erano forse le due), mi capitò d'improvviso in casa mentre era alzala presso il lettuccio della mia Maddalena, e mi disse: Tonia, sono venuto a congedarmi per sempre. lo non seppi rispondere che gettandomi al suo collo, e piangendo dirottamente.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","In si breve lasso di tempo egli era tanto mirabilmente trasformato, che a fatica avrei potuto riconoscerlo se non avesse parlato. Era pallido, cogli occhi infossati, la barba lunga, la chioma ispida e inculta, inquieto e sospettoso come se temesse ad ogni tratto di venir colto; il rimorso e la paura della pena consumavapó quell'uomo, che pur aveva la salute d'un gigante. Ma vedendo ch'io non poleva rispondergli, e pur premendogli di fuggire quanto prima, ricominciò di nuovo: Tonia, io sono costretto a congedarmi per sempre, o almeno fino a che il tempo abbia cancellata la memoria di quella notte esecrata, o altre azioni mi abbiano rigenerato alla società.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Veramente io non era nato al delitto; ma le circostanze mi trassero nell'abisso, ed infamarono forse per sempre. Per me ormai non avvi un partito di mezzo, o la fuga a galera. Tuttavia non volli partire senza prino vederti, e senza baciare questa nostra bambina innocente?-Cosi dicendo, diede anch'egli in uno scoppio di pianto, baciò la piccoletta Maddalena, mi chiese perdono dei dolori ch'io soffriva ed avrei sofferti per cagion sua..... e mi abbandonò.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Io mi dimenticai di narrarvi come per sopraccarico di mali mi trovassi incinta, e un mese dopo questa scena dolorosa partorissi un'altra bambina, cui posi nome l'Addolorata, pensando a quella Madre dei dolori, la quale era ormai l'unica mia protettrice. O buone giovinette, io veggo bene che voi siete intenerite sino alle lagrime; eppure la mia parola è ben lungi dal potervi descrivere anche la minor parte delle angosce da me sofferte in quei giorni! Povera Tonia!","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","sclamò Ottavia che non poteva trattenere due grosse lagrime che le brillavanó sugli occhi. E noi abbiamo potuto insultarvi - ripigliò Amalia. Non crediate, disse la vecchia, che una parola possa offendermi.","NO"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Dopo tante prove, di cui le narrate fin qui non sono che le men gravi, io sono divenuta quasi insensibile. Le sventure troppo prolungate istupidiscono! O mio Dio e voi avete voluto ch'io vivessi tanti anni... ma sia fatta la vostra volontà!","YES"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","La Tonia riandando così colla mente le miserie venute dopo, siccome colpita di paura, si coperse colle mani la faccia, e rimase un buon tratto in silenzio prima di riprendere il filo della narrazione interrotta. Rimasta sola e presa di mira o venuta in uggia al contado siccome moglie d'un bandito per delitti, senza mezzi di procacciarmi secondo avrei desiderato una sussistenza onorata, risolvetti di traslocarmi nella non lontana città, lusingata dalla speranza di vivere più agevolmente e più ignota, e di preparare un'educazione alla Maddalena, la quale cominciava a crescere piena di bontà ed intelligenza. Diffatti non mi falli all'uopo il soccorso d'una mia vecchia conoscenza, la quale nei primi tempi imprestommi un cantuccio del suo tugurio, e mi ajutò a trovar qualche po' di lavoro da persone caritatevoli, che mi davano da filare, e mi chiamavano a qualche piccolo servigio.","YES"
"Cereseto_Giovanni_Battista-Storia_della_Tonia-1856","Cereseto Giovanni Battista","Storia della Tonia","1856","Durante il giorno io correva qua e là, mentre la mia buona ospite vegliava sulle mie due angiolette; la notte poi io l'impiegava in buona parte à filare, negandomi ogni riposo, onde procurarmi di che vivere, e dare una mano eziando alla mia buona compagna. Tuttavia per quanto mi adoperassi, ed essa facesse le viste di non disagiarsi, era ben facile ad intendere che l'ospite non avrebbe potuto sopperire lungamente coi sottilissimi guadagni; laonde vennemi in animo di separarmi, e vivere da per me sola. Quell' egregia amica non cedette che a forza; e quando una volta fu persuasa de la mia ferma risoluzione, si pose meco a fantasticare intorno alla via da scegliersi, e ai provvedimenti che paressero più indispensabili.","NO"
