"filename","nome","titolo","anno","chunk","DIL"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Da Piazza di Ponte a Campo di Fiori, padron Gregorio Ferramonti godeva la notorietà e la considerazione di un uomo, che si ritiene quasi milionario. Aveva costruito da sé la propria fortuna. Dei vecchi lo rammentavano ancora cascherino di Toto Setoli, un fornaio al Pellegrino, che lo aveva raccolto per carità.","NO"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Poi il cascherino era passato garzone di banco; poi era andato ad aprire un buco di bottega, di faccia appunto all'antico padrone. Gli rubava la clientela, dopo avergli rubato i quattrini per fargli quella figuraccia. E da quel momento, la sua barca aveva sempre avuto, come si dice, il vento in poppa.","YES"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Ma si susurravano delle brutte storie: il fallimento di Toto Setoli, dopo due anni di abile concorrenza da parte dell'antico garzone; il suo schiattare di dolore e di rabbia. Prima di stender le gambe, gli era pure toccato di veder Ferramonti lasciare la botteguccia dirimpetto, per occupar da padrone quella dov'era entrato cascherino. Era stato il colpo di grazia.","YES"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Setoli n'era morto mandando a Ferramonti mille maledizioni, predicendogli che nella nuova bottega appunto avrebbe trovato il suo castigo, se c'era una giustizia divina. Gregorio ci aveva riso su. Il trasloco lo metteva all'onore del mondo.","YES"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Riapriva la bottega rinnovata nell'arredamento di legno chiaro e nella scialbatura celeste nei muri; un lusso! Attirava maggior clientela mettendo al banco una moglie un po' piú attempata di lui; ma geniale, ridanciana, appetitosa e scaltra. Un altro pasticcio.","YES"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","La moglie, già vedova del cameriere di un monsignore, aveva portato a Ferramonti dei capitali d'origine misteriosa, e gli aveva regalato un figlio, dopo sette mesi scarsi di matrimonio. Ma se i maldicenti s'erano sbizzarriti, il fornaio aveva avuto ben altro pel capo a cui pensare! Gli piovevano le protezioni; si slanciava nella grande industria, approvvigionando seminari, conventi, educandati e caserme.","YES"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Per anni ed anni, il forno Ferramonti aveva avuto un lavoro da sbalordire, conservando le sue apparenze modeste di bottega aperta nel cuore di un quartiere popolare. Con tutto ciò, poco dopo il Settanta, senza che nei moventi della sua risoluzione entrassero i desideri di riposo di un trafficante arricchito, padron Gregorio si disfece del forno, concludendo bensí un affare vantaggioso. Vedovo e nel fiore della salute, lo aveva preso il disgusto di un'opera destinata a morire con lui.","NO"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Eransi a poco a poco dileguate certe sue fantasticherie d'altri tempi: le speranze di vedere i figli succedergli nell'industria; aumentare indefinitamente le ricchezze della famiglia; fondare una dinastia di Ferramonti fornai, padrona di far la pioggia ed il sereno nell'Arte Bianca della piazza. Gl'invidiosi ridevano, trovando che il castigo minacciato da Toto Setoli colpiva appunto da questa parte Gregorio. In realtà egli era un padre disgraziatissimo.","YES"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Mario, il suo primogenito, sciupato dalla madre, aveva sortito tutte le disposizioni possibili alla vita dello scavezzacollo. Vestiva da elegante; nuotava nei debiti; era un donnaiolo sfrenato, capace di ogni porcheria. Era stato il primo ad uscir di casa, nel Sessantotto, a ventidue anni, dopo una scena ignobile.","NO"
"Chelli_Gaetano_Carlo-L_Eredita_Ferramonti-1884","Chelli Gaetano Carlo","L Eredita Ferramonti","1884","Padron Gregorio non aveva piú avuto relazioni con lui, lasciandolo vivere una vita equivoca d'avventura. Nondimeno, per gran tempo, Mario aveva trovato il mezzo di spiluccare i quattrini del papà in collera: faceva debiti vergognosi, vere truffe da rischiarci la galera. Il fornaio pagava per risparmiare al proprio nome un tal disonore.","NO"
