"filename","nome","titolo","anno","chunk","DIL"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","GIA MONACO BENEDETTINO CISTERCIENSE, BIBLIOTECARIO ONORARIO NEL COLLEGIO PONTIFICIO DI S. BERNARDO, ALLE TERME DIOCLEZIANE IN ROMA. RACCOΝΤΟ. QUANDO volgo indietro lo sguardo a considerare il pericolo, il vortice procelloso d' onde la grazia del Signore mi ha sottratto, simile al naufrago di cui parla l' Alighieri; che ""Volgesi all' onda perigliosa e guata,"" l'idea della chiesa Romana mi si presenta appunto come un moderno scrittore immaginosamente la concepì, paragonandola al Colosseo.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Questo solenne edificio cui eresse la superbia di un popolo prepotente, fu lavoro dello schiavo che affannavasi a preparare un luogo di tormenti per se e per gli altri. La Chiesa Romana che aspirava a divinizzarsi, servissi della bassa sommissione dei popoli soggetti all' Impero per giungervi; e i popoli non si avvidero che fabbricavano un nefando monumento all' orgoglio, ove un giorno il sangue dei loro figli verrebbe in copia versato. Ma l' Anfiteatro Flavio echeggiava un giorno del plauso di 300,000 spettatori, l'aquila Romana gli girava all' intorno; simbolo della potenza e dell' ardire.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Ora l' immenso recinto n' è muto, l' upupa di sinistro augurio svolazza fra le sue ruine, il rovo selvaggio cresce tra il fesso delle sue mura crollanti. L' arena inaffiata di sangue rammemora il tristo spettacolo degl' innocenti martirizzati a solo fine di render paga la rabbia feroce d' un popolo potente. L' epoca della grandezza de' Papi declina al tramonto; scosso da ogni parte l' edifizio loro è cadente, ma la terra rosseggia ancora di sangue.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Il Colosseo nello stato attuale è la viva immagine del presente stato del papismo; solo avanzo della religione di Cristo vi si vede nel mezzo la croce, ma, per ricordare a coloro che v' entrano ch' eglino sono schiavi, i soldati posti all' ingresso impugnano il fucile su cui sta confitta la bajonetta, e su quella sta scritto a grandi cifre, ""Carita Cristiana.” Congratulatevi meco, benevoli lettori, poichè dal lago dei leoni sono uscito a salvezza. Io era uno di quegl' infelici su cui le tigri Romane eran pronte a gettarsi. Vittima d'un' inquisizione, che nel secolo decimo nono dovrebbe vergognosamente rintanarsi nelle caverne di abisso donde venne per desolare la terra, non avrei io ora il piacere di far conoscere in queste pagine le mie sofferenze, se per un miracolo della Divina providenza non fossi uscito dai suoi artigli grondanti di sangue.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Non si creda alle piacevoli proteste della Romana tirannia che vorrebbe persuadere alle nazioni non essere stato da lei eretto il patibolo e il rogo, ma dai Rè che sanzionarono le leggi in favor della chiesa. Se ció fosse stato, l' inquisizione sarebbe cessata fin da quando le nazioni sdegnate la rigettarono, ed interamente dimenticata in quest'età in cui i Duchi d' Alba e i Filippi di Spagna son nomi che svegliano abbominio ed orrore. In Roma ancora esiste l' inquisizione.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","In Italia tutto ha cangiato nome, ma non già natura; la polizia tiranneggia le coscienze al par di quella. I Domenicani han dato luogo ai commissarj ed agl' ispettori di polizia riserbandosi il dritto di spiare nel fondo dei cuori sotto il velo d' un supposto sacramento, stimandosi fortunati se loro avviene di ritrovare qualche vittima per porla fra le loro unghie. Chiunque ardisce affermare essere omai cessate le persecuzioni sanguinolenti del Vaticano, mentisce.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Il racconto delle mie sventure ne farà fede. Ciò che ho veduto, ció che ho sofferto nel breve corso di mia gioventù basterebbe soltanto a convincere di barbarie e tirannia il sistema religioso della Chiesa Romana, quando anche altri argomenti mancassero. Eran corsi i primi sette anni della mia vita fra le pure dolcezze della materna affezione.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Certo dell' amore onde mi era prodiga la madre mia, io accolsi con filiale sommissione la decisione da Lei presa di farmi entrare in un collegio per esservi educato alle lettere, alla pietà; ed insieme a quei modi gentili che addiconsi ad un giovane ben nato. Tal era la decisione dei miei genitori nella cui mente non nasceva certamente il sospetto che contraria al loro scopo fosse la via sulla quale m' incamminavano. A chi avesse lor detto: son lupi cotesti a cui affidate la cura del vostro agnello, avrebber risposto sdegnosi: son gli angeli questi cui Dio ha imposto di guidare i passi del mio figliuolo fra le dubbiezze della vita.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Fui quindi mandato nel collegio dei Chierici Regolari sotto A 2 il titolo del SS. Redentore nella città di Frosinone. Quest' ordine istituito da Alfonso de' Liguori vien comunemente chiamato de' Liguorini.","NO"
"Ciocci_Raffaele-Barbarie_praticate_a_Roma_nel_secolo_decimo_nono-1845","Ciocci Raffaele","Barbarie praticate a Roma nel secolo decimo nono","1845","Immaginato nell' epoca in cui i Gesuiti correvano verso la loro ruina, quando eran già manifesti i segni della loro caduta, fu destinata la nuova società del Liguori per prenderne le veci onde arrestare il progresso della civiltà Europea. A dir vero questo nuovo mostro favoreggia più apertamente l' oppressione di quello che il facciano gli stessi Gesuiti. Questi almeno promuovono fino ad un certo segno gli studj, ma i Liguorini adottando le loro massime inique, imitandone l' astuzia insidiosa, aguzzarono queste armi facendosi propagatori d' una totale ignoranza.","NO"
