"filename","nome","titolo","anno","chunk","DIL"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","﻿SFINGE IL CASTIGAMATTI NOVELLE LA NEMICA INERME.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Dolce è l'autunno a Salsomaggiore, nella gran conca verdolina un po' arsiccia abbracciata dal gesto amoroso delle sue colline un po' brulle. I culmini circostanti sono ornati di storiche meravigliose castella, il paese si abbellisce ogni giorno di alberghi sfarzosi, di moderne eleganze, e le viscere della terra sono corse dalle misteriose portentose sorgenti che sono balsamo a tanti mali dell'umanità. La gente d'ogni parte del mondo ivi trae in folla in cerca di salute.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Ma specialmente le donne, le donne cui la giovinezza sfugge.... Per questo Salsomaggiore è un paese autunnale, dolce ma un po' malinconico. S'incontrano lungo i suoi viali pieni di negozi eleganti, nelle vie del suo borgo, dal suo celebre pasticcere Colombo, su per i sentieri della collina dai bei villini fioriti di rose, specialmente signore eleganti la cui bellezza è vicina a sfiorire.... Moriva ottobre, nel grande poetico parco del vecchio albergo Detraz, il più quieto, il più tradizionalmente perbene del luogo. Gocciavano dai faggi, dai castagni, dai platani foglie gialle, foglie rosse, foglie color ruggine, come una larga pioggia lenta, leggera, vivacemente colorita e pur mesta....","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Non c'era più molta gente all'albergo e si erano formate, come sempre accade, dei pochi rimasti, diverse comitive. Sotto il cader delle foglie, nel vecchio giardino, si vedevano adesso ruzzare diversi bambini, e riunirsi sui sedili un piccolo gruppo di ospiti. Una bella signora sul tramonto, elegantissima, con una graziosa figliuola; un ingegnere già celebre per arditissimi lavori compiuti di ferrovie di montagna, di miniere, di gallerie, con la moglie ed una bambina.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Notevole anche esteriormente la figura dell'ingegner Godio. Alto, bruno, con una barba aguzza di antico condottiero italiano, con gli occhi balenanti, con maniere un po' rudi. Bella, benchè un po' sciupata, la signora, vestita sempre con sobrio buon gusto, distinta e taciturna.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Un razzo, un maschiotto sfrenato e turbolento la ragazzetta decenne Graziana, detta ""Chiblù"". La madre diceva, col suo accento un po' stanco: ""È impossibile chiamarla Graziana. È la negazione della grazia, il mio diavoletto!","YES"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Quando nacque furono una sorpresa per tutti i suoi occhi azzurri su quel visetto nero. Parve esserne sorpresa anch'essa, perchè una delle prime cose che imparò a dire, fu: — Ho gli occhi blù! — Diceva anzi, abbreviando: ""Chiblù"", senz'altro.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","E divenne il suo soprannome"". ""— Un nome di gattina o di cagnetta. Infatti graffia e morde se la si tocca!","YES"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919",""", diceva il padre che l'adorava, cui si addolcivano i fieri occhi saettanti quando la guardava o parlava di lei. Pareva una famiglia modello. Erano stati molto all'estero, ma ora erano tornati definitivamente in Italia.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","L'ingegnere si stava costruendo un villino a Roma. Anche la signora Demàri e la figliuola Nazarena stavano a Roma. Mondo della finanza: ricche e raffinate.","YES"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","A Roma avevano lasciato il padre e due sorelline minori. Si era introdotto nella loro comitiva un giovane elegante, certo signor Savelli, il quale accompagnava la sua mamma che non poteva camminare. Era un buon diavolo, ricchissimo, disoccupato, irrequieto, un po' ""snob"", che andava su e giù di continuo con la sua magnifica automobile.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Quando stava fermo faceva la corte a Nazarena, la quale aveva l'aria di non accorgersene. La signora Demàri, che stava poco nel giardino perchè aveva paura che l'umidità le disfacesse i ricci e le togliesse via la ""veloutine"", e che la gran luce rivelasse qualche ruga, disse un giorno con la moglie dell'ingegnere: ""Il signor Savelli sarebbe un bel partito per le nostre figliuole!"". Nazarena Demàri arrossì e disse: ""Mamma, lo sai che non devi mai dire simili cose!"".","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Anche l'ingegnere Godio protestò: ""Per conto di Chiblù è un po' presto mettersi in lizza. Eppoi quel giovane mi è pochissimo simpatico. Porta male i suoi troppi quattrini!"".","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Tutti risero, ma senza allegria. Una grande amicizia avevano fatto le ""due bambine"" come volentieri diceva la signora Demàri. Ma Nazarena aveva ventidue anni, benchè non li dimostrasse esteriormente.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","D'anima, invece, era una donna, un po' triste, pensosa, tutta diversa dalla frivola madre ch'essa adorava, forse vedendone in segreto le debolezze.... Era una ragazza di spirito maturo con qualche guizzo d'infantilità, con una fresca vivacità di umore che non era allegria ma fermento di giovinezza. Pensava, sentiva molto, soffriva quindi.... eppoi scrollava le spalle, ogni tanto, e aveva voglia di giocare.","NO"
"Codronchi_Argeli_Eugenia-Il_castigamatti-1919","Codronchi Argeli Eugenia","Il castigamatti","1919","Con Chiblù faceva la bambina. Giocavano alla corda, alla palla, al cerchio nei folti boschetti del vecchio parco abbandonato di cui erano assolute padrone insieme ad alcuni bambini. Quell'albergo è stato un convento....","NO"
