"filename","nome","titolo","anno","chunk","DIL"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","﻿SFINGE LA GAIA SCIENZA NOVELLE IL GIOGO","NO"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","«Comment vis-tu, toi qui n'as pas d'amour?» La sua onesta mediocrità era stata la cagione del suo bene. Mediocrità di fortuna, d'intelligenza, di bellezza, di desideri, d'imaginazione.","YES"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","Si era sempre contentata di quello che aveva, e si era sempre sentita press'a poco felice. Nata in provincia, da gente agiata e rispettabile, aveva sposato a vent'anni un bravo professionista che l'aveva resa madre di due figliuoli. E la sua vita era volata via con la sua prima giovinezza, serena e piana, come un paesaggio di pianura: un po' monotona eppure uniformemente piacevole.","YES"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","Ester Vallauri era una donna tradizionalmente onesta, senza morbose curiosità, ma senza piccinerie di spirito, e conosceva la vita anche dal raccoglimento della sua esistenza casalinga. Leggeva molto, nelle ore di tregua alla sua attività di massaia e di perfetta madre di famiglia, e, benchè pura, non era ingenua nè eccessivamente provinciale. Era molto pia, ma non bigotta, e le piacevano gli svaghi e l'allegria.","NO"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","Teneva alla sua modesta bellezza e le era caro non solo d'essere molto amata da suo marito, ma d'essere ammirata per semplice omaggio alla sua femminilità. Non sarebbe stata una figlia d'Eva se l'opinione degli uomini sul conto suo le fosse stata perfettamente indifferente. Così visse Ester Vallauri, durante una dozzina d'anni, il suo discreto sogno realizzato di pallida, opaca, sicura felicità.","NO"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","Poi, un triste giorno, il suo bravo marito morì. Il suo dolore fu grande e sincero, ma contenuto, anche quello, entro i limiti di quell'equilibrio che governava i suoi sentimenti e le sue sensazioni. Pianse, ma si confortò col pensiero della religione e de' suoi figli, e la sua saviezza le permise di benedire ancora il Cielo che le aveva mandata sì una grande sventura ma che le aveva, prima, concesso un lungo periodo di tranquillità.","YES"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","Quella sventura era la prima della sua vita! E poichè aveva trentadue anni, Dio non era poi stato eccessivamente crudele con lei! Calmato il dolore, e passato l'anno di lutto stretto, ella dovette pensare all'educazione dei suoi figli, già grandicelli, e, anche per consiglio dei suoi genitori ed amici, prese la decisione di lasciare la sua piccola città per trasferirsi in una città grande.","YES"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","La città prescelta fu Milano, dove aveva alcuni parenti e alcuni buoni conoscenti, e che non era lontanissima dal luogo nativo e dagli interessi famigliari. Il cambiamento di residenza fu un grande avvenimento per lei. Il molto da fare le servì di distrazione, e la gioia dei suoi ragazzi le teneva buona compagnia.","NO"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","In breve tempo, la sua nuova vita fu bene avviata, in un'atmosfera di cose facili e soddisfacenti. I giovanetti studiavano volentieri e amavano sfrenatamente la grande città che offriva loro tante sorprese e tanti stupefacenti divertimenti! Alcune case di parenti e conoscenti si erano loro aperte cortesemente ospitali, così che Ester doveva difendersi dai soverchi inviti.","YES"
"Codronchi_Argeli_Eugenia-La_gaia_scienza-1924","Codronchi Argeli Eugenia","La gaia scienza","1924","Aveva trovato un grazioso appartamento in una via tranquilla eppure centrale, e la sua famigliuola aveva ripreso, nel ricordo del Diletto perduto e dei cari nonni lontani, il suo ritmo di normalità e di serena pace. Ma a poco a poco il ritmo pacifico si andava accelerando in note più vibrate, si chè certe fanfarette gaie, quasi febbrili, balzavano nello spirito di lei, senza che esattamente se ne rendesse conto. Cos'era?","YES"
