"filename","nome","titolo","anno","chunk","DIL"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","﻿Carlo Collodi I misteri di Firenze UNA CENA AL VEGLIONE Era l’ultima sera di Carnevale. Un vento freddo e strapazzone, levatosi sull’imbrunire, fischiava rabbiosamente per le vie di Firenze.","NO"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","A sentirlo imperversare con tanta burbanza, pareva che egli fosse il battistrada della Quaresima, venuto a spazzare l’atmosfera dai miasmi dei giorni grassi e dallé noto cadenzate del Valtz e della Marzurka. Il cielo, tutto chiuso e d’una tinta cenerognola cupa, minacciava una nottata d’inferno. Di tanto in tanto alcuni spruzzi di neve e d’acqua gelata, scagliati con violenza, andavano a battere, come finissime punte d’acciajo, sulle facce inermi dei fuggiaschi cittadini.","NO"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","I lampioni a olio delle strade ( il gaz non era ancora venuto a dar saggio della sua insufficonza!) affaticati per ogni verso della bufera, mandavano una luce incerta a balzelloni, cigolando in tuono lamentevole sui oro ganci di ferro! Firenze, in codesta sera, pareva una veduta all’acquaorte di qualche città sui confini della Siberia.","NO"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","Intanto, a dispetto dell’aria pungentissima e delle smargiassate del subalterno d’Eolo, un centinajo d’individui dell’infima plebaglia, fra vagabondi, poveri e dilettanti di cicche e …. di fazzoletti da naso, faceva cerchio intrepidamente dinanzi alla porta d’ingresso del teatro della Pergola. Gli uni si accalcavano sugli altri, come pecore all’avvicinarsi del temporale; e tutto questo pigia-pigia, e questa smania continua di spingersi avanti, unicamente per godere più davvicino la vista dei signori e delle signore, che smontavano dalle loro vetture, per andare in teatro.","NO"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","Eppure è così! — la propaganda democratica avrà un bello sfiatarsi; ma finchè mondo sarà mondo, i poveri anderanno sempre a vedere i signori, come si va a qualunque spettacolo per divertirsi. E che di strano?","YES"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","— la vista dell’aristocratico e del quattrinajo in grand’abito da gala, non può a meno di solleticare curiosità di quei disgraziati paria del corpo sociale, pei quali l’abito che hanno indosso è più una seusa per non incorrere in trasgressione col Codice penale, che una salvaguardia dall’intemperie dell’aria; condannati, corno essi sono, da un anno all’altro-a vestirsi sempre contro stagione, infilando uno straccio di pantaloni di tela o di bordatino, alle prime brinate del Novembre, e indossando una giacchetta di lana o qualche logoro paletot di pelone, quando per l’appunto il sole di Maggio comincia importunamente a scottare!… I legni di vettura e le carrozze di padronato si succedevano senza interruzione. L’allegria e lo schiamazzo delle maschere che si precipitavano nel vestibolo del teatro, facevano un curioso contrasto coi nasi paonazzi e colle giaculatorie non troppo ascetiche dei cocchieri e dei vetturini, intirizziti dal rovajo. Il Veglione era nel suo colmo.","YES"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","Una folla straordinaria di quattro in cinquemila persone, fra matte e spiritate, si urtavano, si assordavano, si soffocavano senz’ombra di carità — convintissime in buona fede di divertirsi a più non posso e di passare la più bella serata dell’anno. I dominò, i pulcinelli, gli arlecchini, i pierrot, i sordottori, e tutte le altre maschere poco storiche e meno fantastiche che ogni anno improvvisa il carnevale, non potendo correre e saltare, a motivo della calca, si sfogavano a manifestare la loro feroce allegrezza con moti sussultorj violentissimi e raddoppiando di zelo e d’energia nell’emissione di quegli urli ferini e discordanti, che costituiscono la fisonomia della stagione carnevalesca. Sopprimete l’urlo, e il Carnevale non esiste più!","NO"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","La circolazione per il teatro e nei locali annessi era affatto impedita. La platea, veduta da un palchetto di quint’ordine, ti dava l’immagine di una smisurata caldaja, nella quale si facesse bollire un gran cibreo di braccia, di mani, di teste, di cappelli e di cappucci di ogni forma e colore. Gli urli, le grida e le voci alte e fioche facevano una romba strana; un vero baccano di casa del diavolo.","NO"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","Le orchestre suonavano a martello. L’atmosfera, accesa da una miriade di candele d’impurissima cera, che fumavano come tanti piccoli pascià a tre code; rarefatta da un calore tropicale, come usa sotto la linea, e ottenebrata da un nuvolone di polvere, l’avresti sentita pesare sullo stomaco, come se fosse stata l’armatura di Dante da Castiglione. In questo frattempo, i tonfi frequentissimi e petulanti dello Sciampagna, stappato con profusione ostentata per i palchetti del teatro, annunziavano al popolo della platea, la magnificenza e il brio delle aristocratiche cene.","NO"
"Collodi_Carlo-I_misteri_di_Firenze-1857","Collodi Carlo","I misteri di Firenze","1857","— Alle avventure galanti e all’eterna gioventù del Cavaliere di Santa-Fiora! — Evviva! evviva!","NO"
