"filename","nome","titolo","anno","chunk","DIL"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","L'omino anticipato. Ossia la storia di tutti quei ragazzi che vogliono parere uomini prima del tempo. 1.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Il signor Gigino. Quando lo conobbi io, aveva appena dieci anni. Di nome si chiamava Gigino.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Non era né bello né brutto. Aveva un par d'occhietti cerulei: i capelli biondissimi, d'un biondo chiaro come la stoppa: il naso un po' ritto e voltato in su e le gambe un tantino magre più del bisogno. Nell'insieme, poteva dirsi un buon figliuolo.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","A scuola non faceva miracoli, ma il maestro mostravasi contento: in casa poi era il cucco della mamma e l'occhio diritto del babbo. Guai se le sorelle e i fratelli maggiori avessero torto un capello a Gigino! C'era da far nascere una specie di finimondo.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Volete che vi dica il più gran difetto di questo ragazzo? Durerete fatica a crederlo, eppure è così: il suo più gran difetto era quello di vergognarsi a passar per un ragazzo: voleva per forza parere un giovinotto, un uomo fatto! A domandargli quanti anni avesse, per il solito rispondeva: «Il babbo e la mamma dicono che ne ho dieci: ma lo dicono per farmi arrabbiare...» «O dunque quanti anni hai?» «A dir poco poco, ne devo avere dodici per i diciotto: un altr'anno sarò di leva...» «Come fai a saperlo?» «Chi può saperlo meglio di me?","YES"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Gli anni sono miei, e nessuno me li può levare.» Fatto sta che Gigino, mentre pretendeva di essere un giovinotto e un omino maturato prima del tempo, si dava a conoscere per un ragazzo più ragazzo di molti altri. Era bizzoso, capriccioso, svogliato, ghiotto di zucchero e di pasticcini: un po' bugiardo: prepotente e permaloso co' suoi compagni di scuola, e fanatico dei balocchi fino al segno di pigolare tutti i giorni qualche soldo per comprarsi un burattino o un cavallo di terra cotta col fischio nella coda. Voi forse mi domanderete: «In qual modo, dunque, il signor Gigino mostrava questa sua gran passione di farsi credere un giovinotto?» Ve lo dico subito: la sua passione stava tutta nel desiderio di potersi vestire da uomo, come il suo fratello maggiore che aveva oramai vent'anni compiti: vale a dire, invece del solito berrettino, avrebbe preferito un bel cappello a tuba: invece della giacchettina, un soprabito di panno nero, e invece della golettina rovesciata, che lascia libero il collo, un bel golettone ritto e inamidato, come il collare dei preti.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","2. Il cappello a tuba. Fra tutte queste galanterie, la più agognata per il nostro Gigino era il cappello a tuba.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Un giorno, sfogandosi con la Veronica, la cameriera che per il solito lo accompagnava a spasso, arrivò fino a dire: «Credilo, Veronica, per un cappello a tuba darei tutti i miei libri di scuola.» «O perché non se la fa comprare dal babbo?» ripigliò la cameriera, ridendo come una matta. «E perché ridi?» domandò Gigino impermalito. «Rido, perché a vedere un ragazzo, come lei, col cappello a tuba, mi parrebbe di vedere un fungo porcino.» «Povera donna!","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","ti compatisco...» «La mi compatisca quanto la vuole, ma a me i ragazzi vestiti da ominini grandi mi somigliano tante maschere fuori di carnevale...» La mattina dopo (era per l'appunto giovedì, giorno di vacanza per la scuola) il nostro Gigino, frugando nell'armadio di guardaroba, gli venne fatto di trovare un vecchio cappello di felpa, tutto bianco dalla polvere. Era un vecchio cappello del suo babbo. Tutto allegro, come se avesse trovato un tesoro, se lo portò via di sotterfugio; e ritiratosi nella sua camera, si pose a spazzolarlo e a strigliarlo, come se fosse stato un cavallo.","YES"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Quel povero cappello in alcuni punti era diventato bianchiccio a cagione del pelo andato via: ma Gigino, senza perdersi d'animo, vi rimediò subito, e presa la boccettina dell'inchiostro, restituì alla felpa del cappello il suo bellissimo color morato. Poi se lo pose in testa: ma il cappello era così largo, che gli calava fino al principio del naso. Gigino non se ne dette per inteso: e andandosi a guardare nello specchio, cominciò a dire gongolando dalla gioia: «Ecco qui... non sono più il medesimo: paio proprio un altro... neanche la mamma mi riconoscerebbe!...","YES"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Bisogna convenire che il cappello a tuba è quello che fa parere uomini... Se gli uomini portassero i berretti, come noi, sarebbero tanti ragazzi... Che cosa pagherei di farmi vedere con questo cappello dai miei compagni di scuola!... Chi lo sa come m'invidierebbero!...","YES"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","E il maestro?... Scommetto che, se andassi a scuola con questo cappello, anche il maestro avrebbe un po' di soggezione di me... Oh!","YES"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","che bell'idea!...». Detto fatto, Gigino ebbe lì per lì una bellissima idea. Levatosi il cappello, corse da sua madre e le disse: «Ti contenti, mamma, che vada qui dal cartolaro, sulla cantonata, per comprare un quinternino di carta?» «Mi prometti di tornar subito?» «In un lampo.» «E non ti fermare dinanzi alle vetrine delle botteghe.» «Che mi credi un ragazzo?» E senza stare a dir altro, Gigino ritornò in camera; e dopo due minuti era giù in mezzo alla strada, con in testa il suo bellissimo cappello a tuba, ritinto a nuovo.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","La gente si voltava a guardarlo, e rideva: ma lui si pavoneggiava ed era contento come una pasqua. Per altro le contentezze in questo mondo durano poco: tant'è vero che prima di arrivare alla bottega del cartolaro, il nostro Gigino incontrò due monelli di strada, che incominciarono a girargli d'intorno e a fargli delle grandi riverenze e dei grandi salamelecchi, gridando con quanto fiato avevano in gola: «Sor Dottore, buon giorno a lei!... Ben arrivato sor Dottore!» Altri monelli sopraggiunsero strillando: «Guarda che bel Cappellone!...","YES"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Sor Cappellone, la si rigiri!... Evviva Cappellone!...». E lì grandi risate, urli, fischi, un baccano indiavolato, da levar di cervello.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Il povero Gigino, che avrebbe pagato Dio sa che cosa per aver le ali come un uccello e tornarsene volando a casa dalla sua mamma, si provò più volte a farsi largo e a svignarsela, ma i monelli, riunitisi in cerchio, gli chiudevano ogni via di salvezza. «Mi pare una bella porcheria!» gridò piangendo. «Io vado per i fatti miei, e non do noia a nessuno... e non voglio che nessuno dia noia a me...» «Bravo Cappellone, urlò un ragazzaccio, più sbarazzino degli altri.","YES"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Bravo Cappellone!... tu ragioni meglio d'un libro stampato... e meriti la mancia.» E nel dir così, gli diè sul cappello un colpo così screanzato, che il cocuzzolo volò via di netto, e il povero Gigino rimase con la sola tesa penzoloni intorno alla testa. Figuratevi lo scoppio delle risate!","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Appena tornato a casa, il nostro amico si chiuse in camera per bagnarsi con l'acqua fresca un bel graffio sul naso, raccapezzato in mezzo a quel gran parapiglia. 3. Il goletto insaldato.","NO"
"Collodi_Carlo-Storie_Allegre-1887","Collodi Carlo","Storie Allegre","1887","Il graffio del naso non era ancora guarito per bene, che già il nostro amico Gigino, per la solita grulleria di vestire da uomo fatto, ne meditava un'altra delle sue. Una mattina, avendo trovata la Veronica in guardaroba, che rassettava della biancheria, le disse con una manierina incantevole: «Dimmi, Veronica, mi faresti un piacere?» «Si figuri!» «Ma prima mi devi promettere...» «Che cosa?» «Di non dir nulla alla mamma.» «Si comincia male» osservò la cameriera, alzando la testa e guardando in viso il ragazzo. «Dev'essere dunque un segreto?» «Un segreto, no... ma ecco, vorrei...» «Animo via: sentiamo di che si tratta.» «Si tratta di un goletto da collo del mio fratello Augusto.» «Come c'entra il suo fratello Augusto?» «Bisogna sapere che Augusto mi ha regalato uno de' suoi goletti da collo: ma per me è troppo grande... e vorrei che tu mi facessi il piacere di ristringerlo.» «E un ragazzino, come lei, vuol mettersi un golettaccio alto e insaldato a quel modo, che pare un collare?","YES"
