"filename","nome","titolo","anno","chunk","DIL"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","...degni che ogni Italiano procuri, quanto è in sè, che i nomi loro trapassino alla posterità mediante l'instrumento delle lettere. Guicc. Storia d'Italia.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","L. V, c. V.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","ALL'OTTIMA SUA MOGLIE GIULIA FIGLIA DI ALESSANDRO MANZONI DELLE COSE PATRIE STUDIOSA CULTRICE CONSACRA QUESTO VOLUMETTO L'AUTORE SUPERBO DI POTER RACCOMANDARE L'UMIL LAVORO A TANTO E SI CARO NOME Al cadere d'una bella giornata d'aprile dell'anno 1503 la campana di San Domenico in Barletta sonava gli ultimi tocchi dell'avemaria. Sulla piazza vicina in riva al mare, luogo di ritrovo degli abitanti tranquilli che, nelle terricciuole dei climi meridionali specialmente, sogliono sulla sera essere insieme a barattar parole al sereno per riposarsi dalle faccende del giorno, stavano col fine medesimo dispersi in vari gruppi molti soldati spagnuoli ed italiani, alcuni passeggiando, altri fermi, o seduti, od appoggiati alle barche tirate a secco, delle quali era ingombra la spiaggia; e, com'è costume delle soldatesche d'ogni età e d'ogni nazione, il loro contegno era tale che pareva dire: il mondo è nostro.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Di fatto, lasciato loro il campo migliore, si tenevano i terrazzani in disparte, dando così a questa loro burbanza tacita approvazione. Chi per figurarsi questo quadro si volesse rappresentare una simile radunata de' nostri soldati moderni nella loro misera uniforme, sarebbe lontano assai dall'averne una giusta immagine. L'esercito di Consalvo, le fanterie specialmente, quantunque le meglio in arnese, e le migliori di tutta cristianità, non conoscevano però, più di qualunque altra milizia del secolo XVI, la stretta disciplina moderna, che è giunta a render simile un soldato all'altro dalle scarpe al cappello.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Qui invece, ogni uomo che facesse il mestier dell'arme a piede o a cavallo, poteva vestirsi, armarsi ed adornarsi come più gli piacesse; onde nasceva fra questa turba una mirabile varietà e vaghezza nelle fogge, ne' colori e nel portamento, dal quale si poteva facilmente conoscere a qual nazione appartenesse ogni individuo. Gli Spagnuoli per lo più serii immobili, atteggiati da bravacci, ed avvolti (o com'essi dicono embozados) nella cappa nazionale, dalla quale si vedeva uscir per disotto la lunga e sottil lama di Toledo; gl'Italiani loquaci e pronti al gestire, in sajo od in farsetto, colla daga pistolese appesa dietro le reni. Al sonare della campana era cessato il susurro, e scomparendo la maggior parte de' cappelli, le teste eran rimaste scoperte, perchè in quel tempo anche i soldati credevano in Dio, e talvolta lo pregavano.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Dopo piccola pausa tornarono a luogo i cappelli, ricominciò il bisbiglio; e benchè quella turba presa insieme avesse al primo aspetto un non so che di gajo e di vivace, si poteva tuttavia facilmente avvedersi, girando fra i diversi crocchi, esservi un motivo comune di tristezza e di scoramento, al quale erano volte le menti e le parole di tutti. Infatti il motivo era vero e possente. La fame cominciava a farsi sentire fra i soldati ed anche fra gli abitanti di Barletta, ove il gran Capitano, aspettando i tardi ajuti di Spagna, teneva chiuso l'esercito di troppo inferiore a quello dei Francesi, perchè s'arrischiasse commetter la somma delle cose alla fortuna d'una giornata.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Tre lati della piazza erano chiusi da certe povere case di marinaj e pescatori, dalla chiesa e dall'osteria. Il quarto s'apriva alla marina, ingombro, com'è costume di tali luoghi, di barche, reti e di altri attrezzi pescherecci; ed all'ultima linea dell'orizzonte si vedeva sorgere dal seno delle acque la bruna forma del monte Gargano, sulla cui vetta andava morendo l'ultimo raggio del sole cadente. Nello spazio frapposto, veleggiava chetamente un legno sottile; e si volgeva tratto tratto per cercare il vento che soffiava incostante in quel golfo, increspando qua e là a lunghe strisce la superficie del mare.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","La distanza tuttavia della nave e la dubbia luce del crepuscolo non lasciavano distinguere qual fosse la sua bandiera. Uno spagnuolo, che insieme con molti soldati era presso alla riva, la guardava fisso, aguzzando le ciglia, ed attorcigliandosi certi grandissimi baffi più bigi che neri. — Che cosa guardi che sembri una statua, e non dai retta a chi discorre con te?","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Quest'apostrofe d'un soldato napoletano, che non avendo ottenuta risposta ad una prima domanda, se l'aveva per male, non mosse nè punto nè poco l'imperturbabile Spagnuolo. Alla fine con un sospiro che pareva uscire più da un mantice che dal petto d'un uomo, disse: — Voto à Dios que nuestra segnora de Gaeta, che manda buon vento e buon cammino a tanti che la pregano in mare, potrebbe mandar ora questa fusta a noi che la preghiamo in terra, e non abbiamo da metter sotto i denti altro che il calcio dell'archibuso! Chi sa che non porti grano e provvisioni a quei descomulgados di Francesi che ci tengono stretti in questa gabbia per farci morir di fame...() Y mala Pasqua me de Dios y sea la primera que viniere, si a su grazia el segnor Gonzalo Hernandez quando ha ben pranzato e meglio cenato gl'importa di noi più che del() cuero de sus zapatos.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","— Che cosa può far Consalvo? — rispose con istizza il Napoletano, contento di contraddire: — dovrà diventar pane per entrar in corpo ad una bestia come te? Quando ne avrà, ne darà; e le navi che il malanno loro ha portate nelle secche di Manfredonia, chi l'ha divorate?","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Consalvo, o voi altri? Lo Spagnuolo un po' mutato in viso mostrava di voler rispondere, ma fu interrotto da un altro del crocchio, il quale battendogli sulla spalla, scuotendo la testa, ed abbassando la voce, come per dar maggior peso alle parole: — Ricordati Nuno, — gli disse, — che il ferro della tua picca era a tre dita dal petto di Consalvo il giorno che in Taranto per esser pagati si fece quello strano scherzo...; e se v'è stata volta in cui abbia creduto che quel tuo collo nero dovesse far amicizia collo spago, è stata quella... Ti ricordi che si faceva schiamazzi da sbigottir un leone? Si muove là il torrione del castello?","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","— (ed additava la torre maggiore della rôcca che mostrava il capo al disopra delle case). Tanto si mosse Consalvo, e freddo freddo... mi par di vederlo... con quella sua mano pelosa scansò il ferro e ti disse(): mira que sin querer no me hieras... A questo punto il volto bruno del vecchio soldato diventò più bruno la metà, e per rompere un discorso che poco gli garbava, tagliò la parola all'altro dicendo: — Che cosa m'importa a me di Taranto, della picca, o di Gonzalo? — Che t'importa?","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","— ripigliò il primo sorridendo. — Se vuoi dar retta a Ruy Perez, e serbar libero il passaggio al pane per quando Dios fuere servido di mandarcene, non parlar tant'alto che Consalvo ti senta e si ricordi di Taranto... mezza parola è poco, e una è troppo, dice l'Italiano; ed uomo avvisato, mezzo salvato. Nuno rispose con un certo garbuglio, al quale la sua mente non pareva avesse gran parte: l'avviso ricevuto lo metteva in pensiero suo malgrado; volse con dubbio l'occhio in giro per veder se l'idea di denunciare le sue poco misurate parole era nata in qualche cervello.","YES"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Quest'indagine per fortuna fu, o gli parve rassicurante. La piazza intanto era rimasta quasi deserta; l'ora di notte sonava al castello; onde questo gruppo imitò gli altri che già s'erano andati sciogliendo, e si disperse fra le strette ed oscure vie della città. — Diego Garcia tornerà stasera, — diceva camminando Ruy Pèrez, — le buone lance del suo terzo avran trovato da far caccia in campagna, e forse avremo domani un pranzo migliore della cena d'oggi.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","I pensieri suscitati da una tale speranza troncarono a tutti le parole, ed ognuno tornò in silenzio al proprio alloggiamento. Nel tempo che si facevano questi discorsi, il legno che dapprima pareva passasse al suo viaggio, s'era piano piano venuto accostando. Pose in mare una barchetta nella quale scesero due uomini, che prestamente vogarono verso la spiaggia; ed appena scostati, il legno maggiore, spiegate tutte le vele, s'allontanò; nè più si rivide.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Approdò il battello nella parte più oscura della piazza, ed i due rematori saltarono a terra. Il primo di questi stranieri, visto che in quel luogo non v'era persona, si fermò ad aspettare il compagno che rimaneva addietro occupato a caricarsi d'una valigia e di cert'altri impicci; fatta la qual cosa condusse la barca alla punta d'un picciol molo che serviva allo sbarco de' legni maggiori, quindi raggiunse quello che, per quanto accennava la presenza ed una cert'aria d'arrogante superiorità, non sembrava di condizione eguale alla sua, e' che gli disse come conclusione de' discorsi fatti durante il tragitto: — Michele, è tempo dunque d'essere accorto; sai chi sono, e più non ti dico. Michele intese benissimo la forza di queste poche sillabe; accennò col capo che farebbe, e s'avviarono all'osteria.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Davanti alla porta principale di questa, sei pilastri sottili di mattoni rozzi sostenevano un pergolato, sotto il quale erano parecchie tavole disposte all'uso degli avventori. L'oste (il cui nome era Baccio da Rieti, ma che per certi sospetti aveva dal popolo il soprannome di Veleno e così veniva chiamato da tutti) avea fatto dipingere fra due finestre un gran sole in rosso, al quale il pittore, secondo nozioni astronomiche che non sono perdute ancora, aveva attribuito occhi, naso e bocca, con certi raggi color d'oro, fatti a coda di rondine, che di giorno si vedevano un miglio lontano. L'interno della casa era diviso in due piani: uno stanzone terreno serviva di cucina e di camera da mangiare; per una scala di legno si saliva al secondo, ove l'oste abitava colla famiglia, e con qualche disgraziato quando capitava a passar ivi la malanotte.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","L'uso comune d'Italia era in quei tempi di cenare alle ventitrè: a quest'ora pertanto non si trovavano colà che pochi soldati o capisquadra seduti sulla porta al fresco, della compagnia del signor Prospero Colonna, che seguiva la fortuna di Spagna; tutti giovani arditi, che quivi cogli altri bravi dell'esercito avean costume di ripararsi. L'oste, che sapeva il suo mestiere, non lasciava mancar loro nè carte nè vino; ed essendo uomo sollazzevole e pieno di grilli, sempre piacevolmente ad ognuno diceva la sua; e così intrattenendoli spillava loro i danari. Stava appunto Veleno ritto sull'uscio, facendosi vento colla berretta, il grembiule alzato sul fianco; e le parole, le risa e il romore andavano alle stelle.","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Giunsero i due forestieri, e per non parer tali camminavano passo passo, fermandosi spesso e cicalando fra loro; quando furono rimpetto all'uscio, e 'l chiarore del focolare di dentro percosse loro nel volto, apparvero vestiti nè più nè meno come ogni altro che fosse quivi. Poco badò loro la brigata quando entraron dentro; se non che uno, che era seduto più lontano, e stando all'oscuro aveva meglio veduto costoro, non potè far che non desse in un oh! di grandissima maraviglia, e dicesse mezzo rizzandosi: il duca!...","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Il suono col quale fu pronunziata questa parola mostrava dovesse esser seguita da un nome; ma un leggiero volger d'occhio di colui che entrava, bastò a rimandargli questo nome in gola. Nessuno avea posto mente a questo suo sbigottimento: un solo compagno che gli era presso gli disse: — Boscherino! Che duca ti vai sognando?","NO"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Pure non t'ho visto bere oggi. Ti par egli luogo da duchi codesto? Non parve vero a Boscherino di non trovar fede, e d'esser tenuto pazzo o briaco; e senza entrar in altro, volse destramente le parole, ritornando ai discorsi di prima.","YES"
"D_Azeglio_Massimo-Ettore_Fieramosca_o_la_disfida_di_Barletta-1833","D Azeglio Massimo","Ettore Fieramosca o la disfida di Barletta","1833","Dietro i due entrati nell'osteria s'avviò Veleno colla sua rotonda e bisunta persona, e con una cera olivastra, barbuta e maliziosa, nella quale si vedeva un miscuglio che teneva del coviello e dell'assassino. Senza molto scomporsi fece l'atto di far di berretta, e disse: — Comandate, signori. Quegli che già sappiamo chiamarsi Michele, fattosi avanti, disse: — Si vorrebbe cenare.","NO"
