"filename","nome","titolo","anno","chunk","DIL"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","﻿I. Ricordava senza affetto e senza rimpianto la città dov’era nata e dov’era vissuta per tanto tempo. Quando aveva compiuti sette anni sua madre l’aveva accompagnata a scuola; dopo qualche giorno ella aveva imparato a portare da sè i pochi libri e il cestino con la colazione, ed era sempre andata e tornata sola.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","Scendeva le innumerevoli scale della sua casa, percorreva la sua via grigia, e poi una via lunghissima e frequentata. I suoi piedini erano sicuri e veloci, e sarebbero arrivati prima di quanto occorreva; ma i suoi occhi obbligavano i piedini obbedienti a fermarsi davanti a tutte le vetrine. Ella non era mai sazia di guardare i nastri d’ogni colore, i pizzi, i bottoni lucenti, le scarpe eleganti, i cappelli, i libri legati in cuoio, le chicche, i balocchi, i fiori.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","I piedini si fermavano obbedienti, e gli occhi si aprivano avidi ed assorti davanti a tante cose meravigliose ch’ella poteva finalmente guardare, in silenzio, senza che sua madre la chiamasse o le prendesse la mano per obbligarla a camminare. Così, ella giungeva sempre a scuola con enorme ritardo e ne fu avvertita sua madre. Quella sera fu mandata a letto subito dopo cena, per castigo, e le fu negato per parecchie sere di sfogliare la Enciclopedia illustrata che ella amava tanto.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","Si rassegnò senza piangere, come sempre, e, poichè era obbediente, non si fermò più davanti alle meravigliose vetrine. Nei giorni di festa e di bel tempo faceva lunghe passeggiate con sua madre verso la campagna. Percorrevano generalmente un viale fiancheggiato da platani, fra i quali appariva ogni tanto qualche grande casa signorile.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","E la loro mèta era quasi sempre una villa bellissima, circondata da un vasto giardino, chiuso da un muro abbastanza alto. Non si poteva vedere il giardino perchè il cancello era tutto di ferro liscio, impenetrabile, non fatto a spranghe più o meno sottili come sono quasi tutti i cancelli. Si vedeva dalla strada qualche abete, qualche immensa quercia, e nient’altro.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","Un giorno ella pensò che in quel giardino doveva esserci dell’altro, cespugli e fiori, e non solo abeti e quercie; pregò sua madre di tenerla un momento sollevata fra le braccia, così ch’ella potesse vedere oltre il muro. Sua madre l’accontentò. Ella si strinse al muro con le piccole braccia e si sporse: nel giardino chiuso, fra gli abeti e le quercie non vi era niente.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","Ella ricordava questo, ed altre cose più insignificanti ancora. Se si affacciava ad una delle piccole finestre del suo terzo piano, vedeva una specie di piazzale o il punto più largo d’una via grigia; vedeva in fondo a sinistra una caserma, di fronte alcune case basse, a destra una chiesa. Quella chiesa aveva un piccolo campanile che ogni tanto, nelle ore più quiete, gettava all’aria il fragore cantante delle sue invisibili campane.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","I suoi delicati orecchi sussultavano, colpiti da quel suono improvviso e vicino; ed ella sentiva una molestia agli orecchi ed al cuore, e fin che le campane suonavano le era impossibile distrarsi, giocare, studiare, pensare ad altro che non fosse quel suono. Poi, un po’ alla volta, si abituò. E anzi cominciò ad amare quelle campane, ad aspettarle, a riconoscere la campanella gaia della Messa, le campane dolci dell’Angelus, il rintocco triste dei morti, campana d’agonia ch’ella amava di più perchè non turbava i suoi delicati orecchi: ma le faceva trattenere il respiro nelle pause fra un rintocco ed un altro, come se il suono fosse sempre per finire e non sapesse finir mai: come se vi fosse in quel suono l’ansia dell’agonizzante che si sente fuggire un poco la dolce vita ad ogni pausa del respiro.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","Ma dalla piccola finestra inferriata di uno stanzino interno ella poteva guardare cose diverse il cui aspetto le era più caro, perchè meno comune, e più somigliante forse alla sua natura silenziosa. Fra tre pareti di vecchie case grigie, una vecchia muraglia grigia chiudeva, sotto la piccola finestra, un piccolo giardino incolto e deserto ch’ella amava tanto. Spingendo la testa fra due ferri arrugginiti ella poteva vedere traccie di aiuole devastate, qualche cespuglio deforme, qualche rosaio dalle braccia contorte, un fico nano, un aggrovigliamento di glicine, di caprifoglio e di bambù ai piedi d’un alto tronco d’oleandro.","NO"
"Dandolo_Milly-Il_figlio_del_mio_dolore-1921","Dandolo Milly","Il figlio del mio dolore","1921","Il sole sfiorava quel giardino solo per poco e nei mesi d’estate. L’umidità doveva esservi perenne perchè il musco tappezzava i sentieri e l’edera copriva i muri; tutto era verde, cupo, lucente. Ma nei mesi d’estate la fiorita in quell’ombra umida era meravigliosa.","NO"
