"filename","nome","titolo","anno","chunk","DIL"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","﻿BIANCA DE MAJ MADRI DELL’OMBRA ROMANZO La Bigia varcò il cancello del Brefotrofio di Milano, il cancello di ferro bruno spalancato nel mattino di maggio. Attraversò il giardino, salì la grande scala bianca e giunta al primo piano, attese nella sala comune. Fra il gruppo delle nutrici di campagna, fresche contadine o artigiane floride, ella appariva la più alta, la più sana, la più bella.","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","Era quel suo busto di ventitre anni, o quel tesoro di trecce bionde intorno al placido viso, o era quella sua espressione di salute appena tocca da un velo di malinconia, come un’ombra dinanzi a una stella? Ella si presentava all’Istituto di Assistenza Pubblica per domandare una creatura in allattamento. La levatrice anziana che aveva assistito alla visita sanitaria, nell’aiutarla a rivestirsi le disse: — Il salario è di ventiquattro lire mensili, più il corredo.","YES"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","E c’è l’obbligo, ad ogni sei mesi, di riportare il bambino per la visita — — Lo so. – rispose calma la contadina. – Non è la prima di queste creature che allatto.","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","— La levatrice la fissò per un attimo e si ricordò. — Ah, la Bigia! Scusatemi, non vi avevo riconosciuta.","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","Mancavo da più di un anno e sono ritornata giusto ieri. Come va che venite a prendervi un altro baliatico? — La Bigia chinò il capo e si vide più distinto scendere sul suo volto roseo il velo di malinconia.","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","— Mi è morto anche il secondo figlio, – rispose. – Una disgrazia di Dio, se sapeste! Almeno uno me ne fosse rimasto.","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","— — Ah, ma davvero lo dite? E di che malattia, benedetta? Chissà che dolore anche per vostro marito, povera gente.","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","Così belli e giovani tutti e due! — Scosse un momento la testa grigia, incanutita negli Istituti di beneficenza, poi domandò: — E il piccolo Donato, ditemi, quell’esposto che avete preso qui dopo che avevate perduto il vostro primo bambino, è sempre con voi, è vero? — Aggiunse subito, col viso compunto che precorreva la domanda incresciosa: — E ha incominciato a parlare?","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","— La Bigia rispose: — Qualche parola, sì, la dice. Non proprio come gli altri, ma mi contento. Non c’è più la paura che sia muto, ecco.","NO"
"De_Maj_Bianca-Madri_dell_ombra-1919","De Maj Bianca","Madri dell ombra","1919","— — Meno male, cara. Avrei giurato davvero che quel piccino non avrebbe sciolto la lingua mai più. Nascono tante volte segnate queste povere creature di Dio.","NO"
