"filename","nome","titolo","anno","chunk","DIL"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","﻿Grazia Deledda Il nostro padroneParte prima In quel tempo, circa trent’anni or sono, da Macomer a Nuoro si viaggiava ancora in diligenza, e quasi sempre di notte. La strada era ben tenuta, ma poco frequentata e non sempre sicura; il vetturino, quindi, che era allora un vecchietto energico e dispettoso, aveva cura di frustare i cavalli, e se per caso si addormentava, dopo un attimo si svegliava di soprassalto, bestemmiando.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","Unico viaggiatore, in quella notte di aprile, era un capo-macchia, cioè uno di quei carbonai per lo più toscani, che in Sardegna dirigono il taglio dei boschi. Era un bel giovane, alto e svelto e dal viso pallido i cui lineamenti regolari avevano però alcunché di duro; e i suoi capelli dritti e i baffi spioventi sul mento forte e sporgente erano dello stesso colore biondo-scuro del suo vestito di fustagno. Egli veniva di lontano, sebbene il suo bagaglio si componesse appena di un ombrellone turchino e di un sacchetto pieno di castagne e di biancheria; ma doveva conoscere i luoghi che attraversava, perché i suoi occhi azzurri, melanconici, velati da lunghe ciglia dorate, guardavano senza curiosità il paesaggio fuggente.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","La notte era tiepida e chiara, nonostante le nuvole che oscuravano qua e là il cielo biancastro. All’orizzonte, sopra una linea azzurra di colline, apparivano le montagne di Barbagia dai profili argentei, e pareva che là lontano si stendesse una terra di sogno; ma al di qua, la luna, quando si liberava dalle nuvole, illuminava un paesaggio livido e rugginoso, una distesa di roccie che parevano blocchi di ferro, sparse fra macchie di fichi d’India simili anch’esse, sotto il chiarore lunare, a mucchi di pietre grigie. Tutto il paesaggio era morto, e per la campagna deserta pareva non dovesse più incontrarsi anima viva; quando a un tratto, fra Bortigali e Silanus, apparve un uomo fermo sul ciglio della strada, e una voce forte gridò: – Oh, cristiano, ferma!","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","Carrozziere, dico a te! Il vetturino neppure rispose. Allora la voce diventò supplichevole: – Figlio di Dio, ferma; pago il viaggio da Bortigali.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","Mi sono storto un piede. Questa notizia aumentò la diffidenza del vecchietto. – Va alla cantoniera!","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","– Come posso camminare? – E allora va al diavolo. Qui non posso fermarmi.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","Il capo-macchia mise la testa fuori del finestrino e disse: – Ma fermate, perdio! Non sentite che non può muoversi? – Ed io non posso fermarmi!","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","– Voi fermerete, invece; altrimenti scendo io. – Su diaulu chi tin ch’at battiu! Ma il forestiere capiva benissimo il dialetto, e cominciò anche lui ad imprecare finché non riuscì a far fermare la vettura.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","L’uomo s’avanzò lentamente, zoppicando, con una scarpa in mano: salutò, e aiutato dal capo-macchia salì sulla diligenza. Era un borghese, di media statura, grosso, vestito modestamente, con un cappello a cencio e una vecchia cravatta attortigliata attorno al colletto molle di una camicia di colore. Sulle prime il capo-macchia lo credette un vecchio, ma esaminandolo meglio si accorse che nonostante la sua figura molle e i suoi capelli grigi l’uomo era giovane ancora e di aspetto non volgare.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","La sua pelle era bianca, gli occhi neri e vivi: e i denti bianchissimi apparivano fra due labbra fresche, giovanili. Ma una barba grigiastra e ispida copriva le sue guance giù fino al collo grosso; e un’espressione di stanchezza, di debolezza, come nei vecchi grassi, faceva apparire ancor più molli i suoi lineamenti. Appena fu seduto parve rianimarsi alquanto; allungò il piede fasciato con un fazzoletto, e sentì subito il bisogno di far sapere che non era un vagabondo, né un pezzente, ma un proprietario.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","– Ho qui un pezzo di terra! Ho un cavallo indiavolato, che pascolava là intorno (accennò la campagna che si lasciavano addietro). Ero venuto per cercarlo, perché dovevo recarmi a Nuoro, ma non l’ho trovato.","NO"
"Deledda_Grazia-Il_nostro_padrone-1910","Deledda Grazia","Il nostro padrone","1910","Me lo avran preso i benefattori, che non mancano da queste parti. Buon prò a loro! Oltre al resto, nel cercare quella bestia indiavolata ho saltato un muro e mi sono storto il piede.","YES"
