"filename","nome","titolo","anno","chunk","DIL"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","﻿Grazia Deledda Stella d’oriente Prologo Non ostante i suoi quarant’anni vicini, la marchesa Anna di Oriente era ancora una bellissima donna, alta, bionda dalla carnagione di neve e gli occhi grandi e grigi con riflessi di oro. E poi che chic nella sua persona dalle forme stupende, dalla vita lunga, elegantemente sottile e sopratutto nelle sue mani di cui è impossibile darvi un’idea: due mani perfette, di marmo vivo, dalle unghie color rosa splendenti come brillanti, dalle venature di un bleu-glauco delicato!","NO"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","- Dicevano che il marchese d’Oriente l’avesse sposata soltanto per le sue mani perché era figlia di un ricco borghese di Anglona, piccola città della Basilicata, mentre i d’Oriente Santo Stefano contavano fra i più ricchi ed aristocratici di Napoli. Anche lui, il marchese Francesco era biondo, gli occhi azzurri; e la barba d’oro, corta, riccia, divisa sul mento, gli dava un’aria di signore buono ed affabile. Avevano un figlio solo.","NO"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Al tempo in cui comincia il nostro racconto - 1880 - Maurizio contava venti anni. Era un giovine buono e simpatico, tanto carino coi suoi grandi occhi neri tagliati a mandorla e una pioggia di riccioli bruni, morbidi, cascanti sulla sua fronte, sulle sue guancie color rosa-dorato. I suoi amici, e ne aveva molti perché frequentava il Liceo, lo chiamavano infatti tutti Carino, perché sembrava un bimbo, ma in fondo Maurizio si rideva di loro.","NO"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Si è che aveva fatto una scoperta. Sul suo labbro superiore, di minio e dalla linea sorridente, cominciava a spuntare una lanuggine bruna, riccia e morbida come di velluto… Maurizio rise tanto di quella scoperta e passandosi una mano sui ricci dei suoi capelli mormorò: – Non mi chiameranno più Carino. Del resto egli era anche troppo serio per la sua età, quasi melanconico.","YES"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Fra il lusso della sua casa, adorato dai genitori, egli non si sentiva niente felice e studiava, studiava, per discacciar quello strano malessere che si chiama noia. Donna Anna lo sgridava dicendogli che bisogna divertirsi quando si è giovani e ricchi ed esser quasi vergogna che lui, ricchissimo e aristocratico studiasse sempre… Maurizio se ne rideva, e lasciando sua madre le diceva di voler diventare avvocato! A sua volta il marchese pensava già di ammogliarlo, ma lui scuoteva la testa chiamando pazzia lo ammogliarsi… in questi tempi poi!","YES"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Don Francesco non insisteva. Egli non era il vero specchio delle virtù coniugali: anzi si narravano molte avventure galanti sul suo conto che per fortuna non giungevano tutte sino alla marchesa che, del resto, punto gelosa, viveva sorridente, amata da tutti, amando tutti, pazzamente Maurizio. Le costava tanto!","YES"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Alla sua nascita la marchesa quasi era morta. Per tre mesi il marchese aveva disperato della vita di lei: gettato Maurizio fra le braccia di una nutrice, quasi maledicendolo perché gli rapiva la sua sposa adorata, durante i tre mesi della malattia di Donna Anna non aveva cercato quasi mai di vederlo… Ma Anna guarì, ritornò bellissima coi suoi venti anni e chiese il figlio. Don Francesco arrossì del suo operare verso il piccino e fece venir Maurizio con la nutrice che l’aveva allevato come figlio.","NO"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Era una robusta popolana di Porta Capuana, bruna, buona, chiamata Ninnia o Giovannamaria. La marchesa la ringraziò tanto, la volle presso di sé, e quando Maurizio, fatto grandicello, si accorse un giorno che Ninnia doveva lasciare la casa, fece tanto chiasso che si videro costretti a lasciarla per sempre al loro servizio. Ora Ninnia, quasi vecchia, i capelli brizzolati e le prime rughe sulla fronte, viveva sempre presso i d’Oriente come guardarobiera; così buona e gentile che la marchesa la trattava quasi come donna di compagnia.","NO"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Maurizio poi l’amava tanto che qualche volta si spaventava: perché tornandogli in mente le indistinte memorie della sua infanzia, ricordandosi le bizzarre melodie che Ninnia cantava quindici o venti anni prima per addormentarlo nella culla dorata o nel grembo, - allora gli sembrava che Ninnia si frammischiasse a tutta la sua vita, che egli l’amasse più che sua madre… In realtà egli amava assai la marchesa, ma non si sentiva pienamente libero presso di lei, - mentre a Ninnia confidava tutte le piccole noie, tutti i piccoli dispiaceri della vita, che nella sua fervida fantasia di venti anni assumevano proporzioni di grandi dolori, - e Ninnia lo confortava, dandogli consigli, e lo chiamava figlio mio accarezzandolo colla sua lunga e morbida mano. Allora si sentiva contento, rideva di sé e dei suoi dispiaceri di studente e chiamava Ninnia la sua gran mammà mentre la marchesa era la sua piccola mammà!….. Abitavano a Napoli un vecchio palazzo tutto marmo nero, tutto spirante medio-evo all’esterno, ma addobbato con tutta la raffinatezza del lusso moderno all’interno, in via Chiaia, e dai suoi alti balconi si scorgevano i rigogliosi palmizi ed il mare. Vicino alla colonna della Vittoria, aveva una vista incantevole, nelle notti di luna quando la brezza scuoteva i palmizii il mare luccicava e le ali della statua fusa in bronzo della Vittoria, alla luce della luna, scintillavano come di argento.","YES"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","In estate scendevano ogni anno in Basilicata, nel paese ardente ed azzurro di donn’Anna, ad una villa, detta la Mambrilla, portata in dote dalla marchesa, con grandi tenute che confinavano col fiume Agri, al di là di Anglona. Una sera di luglio del 1880 la marchesa e Don Francesco scendevano a piedi dalla villa al fiume che dovevano attraversare in barca per recarsi ad Anglona per visitarvi una cugina ammalata. Quando arrivarono alla riva il sole era tramontato sull’orizzonte di un azzurro verdognolo e profondo; ma alla destra, come dal golfo di Taranto, s’innalzavano grandi nuvole opache, quali masse di nebbia, oscurando il cielo.","NO"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Donna Anna guardò sul fiume e emise una esclamazione. La loro barca, elegante come una gondola, eseguita secondo il disegno della marchesa, corretto da Maurizio, che s’intendeva di linee artistiche, stava abbandonata in un piccolo seno, esposta benissimo a chi voleva pigliarsela. – E Martino?","YES"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","– chiese la marchesa. Martino era il lo-ro piccolo barcaiuolo: un povero giovine gobbo non più alto di cinque palmi, ma, tutto fuoco e forza, che custodiva sempre la barca. Don Francesco si batté la fronte esclamando: – Oh, questa mattina Martino salì alla villa e mi chiese il permesso di allontanarsi per oggi.","NO"
"Deledda_Grazia-Stella_d_oriente-1890","Deledda Grazia","Stella d oriente","1890","Doveva sposarsi una sua sorella ad Anglona: avrebbe lasciato la barca in custodia di una pescatrice che abita qui vicino… E Don Francesco additò, un venti metri distante da loro, una piccola capanna da pescatori, in riva al fiume, circondata da un muro e ombreggiata da un’alta pianta di melagrano. La porta dava sullo Agri e ad un palo solidissimo stava attaccata la corda di una piccola barca bruna, vecchia, ripiena di arnesi da pescare. Anna non aveva mai badato a quella capanna che le sembrò pittoresca, così, fra le prime nebbie del tramonto, e cercò con gli occhi la pescatrice, ma non vide che una bambina seduta su un masso raccomodando una rete.","NO"
